"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.408658334E-2,7.302672416E-2,-1.291247755E-1,1.071893983E-2
3.403258329E-2,7.093085349E-2,-1.533977240E-1,3.684873227E-3
5.397958332E-2,3.521838784E-2,-1.497471780E-1,-9.579875506E-3
7.392558333E-2,-5.799756385E-3,-1.052311063E-1,-6.130011380E-2
9.387158335E-2,-7.050435990E-2,-4.785523936E-2,-1.180785373E-1
1.138175833E-1,-1.498511583E-1,1.762047783E-2,-1.561812609E-1
1.337635833E-1,-2.260745615E-1,7.690936327E-2,-1.587490737E-1
1.537095833E-1,-2.800615728E-1,1.019174680E-1,-1.470649242E-1
1.736555833E-1,-2.935022712E-1,1.124708503E-1,-1.367175281E-1
1.936023333E-1,-2.629460692E-1,1.126676053E-1,-1.271805465E-1
2.135483333E-1,-2.040525526E-1,1.109668538E-1,-1.156242862E-1
2.334943333E-1,-1.553089917E-1,9.018023312E-2,-1.054124683E-1
2.534403333E-1,-1.442260295E-1,5.650475621E-2,-9.173916280E-2
2.733863333E-1,-1.633359194E-1,1.549053751E-2,-7.626379281E-2
2.933323333E-1,-1.777533144E-1,-1.867551915E-2,-6.583663821E-2
3.132793333E-1,-1.725708693E-1,-3.751436993E-2,-4.721844569E-2
3.332253333E-1,-1.630516499E-1,-5.259813741E-2,-4.190935940E-2
3.531713333E-1,-1.555485725E-1,-7.453943789E-2,-4.343063384E-2
3.731173333E-1,-1.404766887E-1,-9.018178284E-2,-5.609209836E-2
3.930633333E-1,-1.163964793E-1,-7.274129987E-2,-6.653857231E-2
4.130093333E-1,-1.034686491E-1,-3.552846611E-2,-7.979438454E-2
4.329553333E-1,-1.004964486E-1,5.370708182E-3,-9.815554321E-2
4.529013333E-1,-1.179533154E-1,3.088145144E-2,-1.060576811E-1
4.728473333E-1,-1.515524536E-1,5.037280172E-2,-1.030837223E-1
4.927933333E-1,-1.764196604E-1,6.455644965E-2,-8.865742385E-2
5.127393333E-1,-2.174355239E-1,8.139675111E-2,-8.104269952E-2
5.326853333E-1,-2.673720419E-1,7.225714624E-2,-8.795852959E-2
5.526323333E-1,-2.874890566E-1,5.319508165E-2,-9.196373820E-2
5.725783333E-1,-2.503621578E-1,4.687717929E-2,-9.573081881E-2
5.925243333E-1,-1.857465357E-1,6.365370750E-2,-1.127066761E-1
6.124703333E-1,-1.385983974E-1,8.175071329E-2,-1.231251955E-1
6.324163333E-1,-1.308531761E-1,8.596962690E-2,-1.311220229E-1
6.523623333E-1,-1.469503045E-1,6.418328732E-2,-1.403332204E-1
6.723083333E-1,-1.540230066E-1,3.682564199E-2,-1.486324072E-1
6.922543333E-1,-1.453640014E-1,4.577264190E-2,-1.522169560E-1
7.122003333E-1,-1.263430864E-1,6.454981863E-2,-1.586759537E-1
7.321463333E-1,-7.739271224E-2,1.090789139E-1,-1.750276685E-1
7.520923333E-1,-4.577732086E-2,1.590192765E-1,-1.906815022E-1
7.720383333E-1,-5.279695615E-2,1.710359007E-1,-2.021064460E-1
7.919853333E-1,-7.490090281E-2,1.645731181E-1,-2.083635181E-1
8.119313333E-1,-7.670989633E-2,1.679467261E-1,-1.975828856E-1
8.318773333E-1,-5.042688176E-2,2.219604999E-1,-1.783391833E-1
8.518233333E-1,-2.523040399E-2,2.749238014E-1,-1.536209732E-1
8.717693333E-1,-2.195215598E-2,3.059371114E-1,-1.252352595E-1
8.917153333E-1,-3.694218397E-2,3.025426567E-1,-1.005223393E-1
9.116613333E-1,-4.066838697E-2,3.048400283E-1,-8.080319315E-2
9.316073333E-1,-3.113196976E-2,2.924580574E-1,-5.829925090E-2
9.515533333E-1,-2.159901336E-2,2.406347692E-1,-3.651882708E-2
9.714993333E-1,-4.852168262E-3,1.818198413E-1,-2.563299052E-2
9.914453333E-1,2.337706462E-2,1.052045897E-1,-4.076594859E-2
1.011391333E0,5.944076553E-2,3.553933278E-2,-6.701552868E-2
1.031337333E0,8.379805833E-2,-1.534632780E-2,-8.119352907E-2
1.051284333E0,1.007673517E-1,-3.237787262E-2,-7.511718571E-2
1.071230333E0,1.047982201E-1,-4.228896648E-2,-4.781662673E-2
1.091176333E0,1.109273136E-1,-3.242063895E-2,1.709226752E-3
1.111122333E0,1.268112808E-1,7.326490711E-3,5.217418075E-2
1.131068333E0,1.757407337E-1,6.607604772E-2,8.574905246E-2
1.151014333E0,2.055326998E-1,8.721911907E-2,8.618013561E-2
1.170960333E0,1.958985776E-1,7.523857057E-2,5.137527734E-2
1.190905458E0,1.559319049E-1,5.601573363E-2,8.013308048E-3
1.210851458E0,1.256669313E-1,8.532222360E-2,-2.068324946E-2
1.230797458E0,1.346188933E-1,1.822953671E-1,-1.644755900E-2
1.250743458E0,1.545228362E-1,3.058524728E-1,1.229513902E-2
1.270689458E0,1.325775534E-1,3.914652467E-1,4.123650491E-2
1.290636458E0,5.825349316E-2,4.167661667E-1,4.425169900E-2
1.310582458E0,-4.540197924E-2,3.967550099E-1,8.431117982E-3
1.330528458E0,-1.450100988E-1,3.314010799E-1,-2.610963583E-2
1.350474458E0,-1.779104918E-1,2.454451174E-1,-2.107377909E-2
1.370420458E0,-7.378541678E-2,2.098770142E-1,2.365235705E-3
1.390366458E0,1.110411957E-1,2.024498284E-1,2.000175603E-2
1.410312458E0,2.428678274E-1,1.416084319E-1,1.181063429E-2
1.430258458E0,2.535089254E-1,1.072607283E-2,-1.910851523E-2
1.450204458E0,1.856113225E-1,-1.405590177E-1,-4.402593523E-2
1.470150458E0,9.998401254E-2,-2.428109944E-1,-5.414411053E-2
1.490096458E0,6.775017828E-2,-2.442096770E-1,-6.335731596E-2
1.510042458E0,7.195548713E-2,-1.669702083E-1,-5.232133716E-2
1.529988458E0,8.150207251E-2,-5.030982569E-2,-3.336092085E-2
1.549935458E0,7.167857140E-2,7.415166497E-2,6.922702771E-3
1.569881458E0,2.950538136E-2,1.883734465E-1,6.222728267E-2
1.589827458E0,-2.493277751E-2,2.640895844E-1,1.367203146E-1
1.609773458E0,-4.937855154E-2,2.907344699E-1,1.874158829E-1
1.629719458E0,-2.413367294E-2,2.860014439E-1,1.821387261E-1
1.649665458E0,-5.478416570E-4,2.319831550E-1,1.513212174E-1
1.669611458E0,-3.711687401E-3,1.403493136E-1,1.211537868E-1
1.689557458E0,-4.883656744E-3,4.329682887E-2,1.007355601E-1
1.709503458E0,1.614164002E-2,-2.220109664E-2,9.675063193E-2
1.729449458E0,3.352292627E-2,-5.111555383E-2,1.047871411E-1
1.749395458E0,4.395133257E-2,-6.931395084E-2,9.699741006E-2
1.769341458E0,6.251466274E-2,-7.864506543E-2,6.996683776E-2
1.789288458E0,8.085613698E-2,-9.202498198E-2,2.725316212E-2
1.809234458E0,5.529537797E-2,-1.146899387E-1,-3.529896960E-2
1.829180458E0,1.068892423E-3,-1.481464207E-1,-8.920348436E-2
1.849126458E0,-4.363834485E-2,-1.922421753E-1,-1.306959093E-1
1.869072458E0,-4.250057414E-2,-1.939576566E-1,-1.439239830E-1
1.889018458E0,-2.268638462E-2,-1.818478853E-1,-1.848601699E-1
1.908964458E0,-3.794051707E-2,-2.343593836E-1,-2.454302907E-1
1.928910458E0,-8.181649446E-2,-3.168606460E-1,-2.854398191E-1
1.948856458E0,-8.254429698E-2,-3.778406680E-1,-3.099312186E-1
1.968802458E0,1.305414364E-2,-3.868166208E-1,-3.418983221E-1
1.988748458E0,1.788429320E-1,-3.448333144E-1,-3.940676451E-1
2.008694458E0,3.293129802E-1,-2.692094445E-1,-4.525782764E-1
2.028641458E0,3.376644552E-1,-2.255434394E-1,-5.290827155E-1
2.048587458E0,2.112745494E-1,-2.229285836E-1,-5.800580382E-1
2.068533458E0,6.422534585E-2,-1.768982857E-1,-5.649213791E-1
2.088479458E0,-3.241364658E-2,-7.605899870E-2,-4.916875660E-1
2.108425458E0,-8.287335187E-2,4.172526672E-2,-4.146742225E-1
2.128371458E0,-1.078679785E-1,1.112276167E-1,-3.723531663E-1
2.148317458E0,-1.075354442E-1,1.336098611E-1,-3.783705533E-1
2.168263458E0,-9.213132411E-2,1.167230085E-1,-3.721312582E-1
2.188209083E0,-7.065755129E-2,8.967208117E-2,-3.359027207E-1
2.208155083E0,-3.069702536E-2,6.685136259E-2,-2.630484998E-1
2.228101083E0,1.765848324E-2,3.005808406E-2,-1.906331778E-1
2.248047083E0,9.923163056E-2,-1.174977422E-2,-1.657053381E-1
2.267993083E0,1.761543751E-1,-7.150247693E-2,-1.679921150E-1
2.287940083E0,2.200488597E-1,-1.243720874E-1,-1.760063618E-1
2.307886083E0,2.382373810E-1,-1.214183569E-1,-1.453951150E-1
2.327832083E0,2.497286052E-1,-3.863603622E-2,-6.175770611E-2
2.347778083E0,2.478324473E-1,5.967158079E-2,2.380208671E-2
2.367724083E0,2.215061337E-1,1.049089283E-1,8.327971399E-2
2.387670083E0,1.718608886E-1,8.795341104E-2,1.015415862E-1
2.407616083E0,1.194919422E-1,3.880561888E-2,8.886079490E-2
2.427562083E0,6.974712014E-2,-1.641291194E-2,7.080387324E-2
2.447508083E0,6.059358642E-2,-2.214780450E-2,5.656756461E-2
2.467454083E0,6.176622957E-2,2.119159512E-2,7.898788154E-2
2.487400083E0,2.784363925E-2,5.403598025E-2,1.324399114E-1
2.507346083E0,-4.647138529E-3,6.934774667E-2,1.968127340E-1
2.527292083E0,-3.098854795E-2,6.095207483E-2,2.417696863E-1
2.547239083E0,-6.098201126E-2,1.729279757E-2,2.433386296E-1
2.567185083E0,-1.410759799E-2,3.217102215E-2,2.517827153E-1
2.587131083E0,1.356938034E-1,1.459246427E-1,2.950825095E-1
2.607077083E0,2.588266432E-1,2.361374944E-1,3.571896553E-1
2.627023083E0,2.235279083E-1,2.155836374E-1,3.796234727E-1
2.646969083E0,7.047172636E-2,1.126326174E-1,3.433055580E-1
2.666915083E0,-8.731888235E-2,6.834846921E-3,2.722539902E-1
2.686861083E0,-1.243673861E-1,1.166984253E-2,2.355892062E-1
2.706807083E0,-8.956801146E-2,1.152599379E-1,2.358247191E-1
2.726753083E0,-8.721596748E-2,2.151051760E-1,2.504672110E-1
2.746699083E0,-1.463097483E-1,2.586899102E-1,2.765166759E-1
2.766645083E0,-1.948639005E-1,2.867669761E-1,3.420695364E-1
