"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668841055449835E9,"2022-11-19 14:57:35.450 UTC+08:00"
"PAUSE",4.523863208334660E0,1.668841059973614E9,"2022-11-19 14:57:39.974 UTC+08:00"
"START",4.523863208334660E0,1.668841063834229E9,"2022-11-19 14:57:43.834 UTC+08:00"
"PAUSE",1.482961941664689E1,1.668841074139794E9,"2022-11-19 14:57:54.140 UTC+08:00"
"START",1.482961941664689E1,1.668841079441504E9,"2022-11-19 14:57:59.442 UTC+08:00"
"PAUSE",1.133433080833347E2,1.668841178234161E9,"2022-11-19 14:59:38.234 UTC+08:00"
"START",1.133433080833347E2,1.668841178809688E9,"2022-11-19 14:59:38.810 UTC+08:00"
"PAUSE",3.383650346666691E2,1.668841403829359E9,"2022-11-19 15:03:23.829 UTC+08:00"
