"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.813305333E0,-1.343588948E0,-5.813561678E-1,-5.918970108E-1
1.833307333E0,-9.153964520E-1,-4.637129605E-1,-6.728134751E-1
1.853310333E0,-4.530551136E-1,-4.081654251E-1,-6.598782539E-1
1.873312333E0,-1.333477944E-1,-7.043355703E-1,-3.177840710E-1
1.893314333E0,4.571553692E-2,-9.259563684E-1,3.798323870E-2
1.913317333E0,4.545756876E-1,-8.335114717E-1,7.633004338E-2
1.933319333E0,1.130488038E0,-5.363036394E-1,2.681941688E-1
1.953322333E0,1.628832340E0,-1.680732965E-1,6.108909845E-1
1.973324333E0,1.774903059E0,-1.605486497E-3,8.216807842E-1
1.993326333E0,1.815590382E0,7.343933731E-2,8.681709170E-1
2.013329333E0,1.967628479E0,1.509400457E-1,8.711892962E-1
2.033331333E0,2.192409277E0,2.528471053E-1,8.253771663E-1
2.053334333E0,2.473529100E0,2.654046416E-1,8.741040230E-1
2.073336333E0,2.813933849E0,9.013520926E-2,9.995611906E-1
2.093338333E0,3.245255947E0,-3.982923459E-3,1.115249157E0
2.113341333E0,3.642568350E0,1.100293249E-1,1.149680734E0
2.133343333E0,3.882130146E0,5.060567856E-1,1.157545447E0
2.153346333E0,3.856678486E0,7.522775531E-1,1.191943526E0
2.173348333E0,3.598036051E0,8.772009611E-1,1.162174702E0
2.193350333E0,3.040299892E0,1.358821154E0,8.640576601E-1
2.213353333E0,2.662456274E0,1.155793428E0,8.410293460E-1
2.233354917E0,2.252787352E0,9.049497247E-1,6.441418529E-1
2.253357917E0,1.858273864E0,6.188806891E-1,5.275281072E-1
2.273359917E0,1.319859862E0,4.315789342E-1,2.492571175E-1
2.293361917E0,7.420232296E-1,4.048572183E-1,1.644063368E-2
2.313364917E0,1.523207873E-1,1.235333364E-2,-1.253971905E-1
2.333366917E0,-4.025882781E-1,1.573899388E-1,-2.801585793E-1
2.353368917E0,-7.145646214E-1,3.504459262E-1,-5.518935323E-1
2.373371917E0,-8.087528348E-1,1.524990201E-1,-9.724298120E-1
2.393373917E0,-7.826303244E-1,-1.350377947E-1,-1.243489742E0
2.413376917E0,-1.024797559E0,-2.393299788E-1,-1.342025399E0
2.433378917E0,-1.542612910E0,-1.393664777E-1,-1.358670592E0
2.453380917E0,-1.835729480E0,5.611890554E-2,-1.421858549E0
2.473383917E0,-1.793853402E0,2.804749608E-1,-1.578592896E0
2.493385917E0,-1.538080096E0,3.760620058E-1,-1.859994411E0
2.513388917E0,-1.147956967E0,3.967790604E-1,-2.049948215E0
2.533390917E0,-8.509596586E-1,3.927225769E-1,-1.936514616E0
2.553392917E0,-7.469085455E-1,2.182361037E-1,-1.643588901E0
2.573395917E0,-7.349917889E-1,-2.963891625E-1,-1.483461022E0
2.593397917E0,-7.366636395E-1,-7.572084069E-1,-1.535784602E0
2.613400917E0,-8.682164550E-1,-1.152420044E0,-1.567754269E0
2.633402917E0,-9.880507588E-1,-1.389984250E0,-1.473768711E0
2.653404917E0,-1.042994738E0,-1.242918372E0,-1.313862681E0
2.673407917E0,-1.039845109E0,-9.613139629E-1,-1.144179702E0
2.693409917E0,-1.086756229E0,-6.078476310E-1,-1.027894258E0
2.713412917E0,-1.190533519E0,-3.455785513E-1,-9.542388916E-1
2.733414917E0,-1.360346675E0,-2.095036954E-1,-8.720972538E-1
2.753416917E0,-1.557581306E0,-2.234028578E-1,-8.438073993E-1
