"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.303050518E-1,3.211752679E1,1.189504365E2,1.703813434E1,-1.000000000E0,-1.000000000E0,1.056537804E2,1.056537804E2
4.804530144E-1,3.211737289E1,1.189506343E2,1.694783998E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.143041730E0,3.211731076E1,1.189505205E2,1.672812963E1,1.495220780E0,1.516432588E2,2.642691941E1,2.642691941E1
7.143022299E0,3.211734269E1,1.189506192E2,1.667811637E1,1.212991238E0,1.579740299E2,2.008928119E1,2.008928119E1
8.314617515E0,3.211736526E1,1.189507662E2,1.688677087E1,9.688463807E-1,1.694098482E2,1.752296592E1,1.752296592E1
9.264628530E0,3.211735284E1,1.189507657E2,1.718832750E1,1.528861165E0,1.645161713E2,1.315716696E1,1.315716696E1
1.021465278E1,3.211733734E1,1.189507631E2,1.733065006E1,1.528861165E0,1.691831360E2,1.100156479E1,1.100156479E1
1.116468441E1,3.211732535E1,1.189507680E2,1.739341998E1,1.532256603E0,1.698133295E2,9.423805930E0,9.423805930E0
1.211973393E1,3.211730913E1,1.189507650E2,1.745088185E1,1.536122441E0,1.936239383E2,8.788232787E0,8.788232787E0
1.311978090E1,3.211730473E1,1.189507555E2,1.748219112E1,1.536122441E0,1.952435144E2,1.189337995E1,1.189337995E1
1.411984098E1,3.211729622E1,1.189507642E2,1.751380667E1,1.128896117E0,1.767645069E2,8.209697657E0,8.209697657E0
1.511989033E1,3.211728735E1,1.189507557E2,1.745201916E1,1.055366993E0,1.641190527E2,8.529512515E0,8.529512515E0
1.611994457E1,3.211726583E1,1.189507603E2,1.741586361E1,1.055366993E0,1.658084556E2,7.612139276E0,7.612139276E0
1.711998773E1,3.211723116E1,1.189507539E2,1.741467169E1,1.672158837E0,1.776154634E2,7.166337745E0,7.166337745E0
1.812003565E1,3.211721343E1,1.189507593E2,1.740799970E1,1.672158837E0,1.833777497E2,6.818654094E0,6.818654094E0
1.912007678E1,3.211719465E1,1.189507420E2,1.744865550E1,1.505496264E0,2.091124299E2,1.183429060E1,1.183429060E1
