"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.000000000E-3,2.120800018E0,-4.177000046E0,-5.001299858E0
3.399843700E-2,1.234899998E0,2.360000014E-1,-1.167780018E1
5.400000000E-2,2.476999909E-1,-1.383799911E0,-9.339599609E0
8.399843700E-2,3.282500029E0,-2.365099907E0,-1.040400028E0
1.039984370E-1,4.097000122E0,-1.561900020E0,9.863900185E0
1.239984370E-1,4.805200100E0,1.528800011E0,1.570429993E1
1.439984370E-1,1.391299963E0,4.020999908E0,1.129220009E1
1.639984370E-1,-2.103600025E0,3.005100012E0,4.841599941E0
1.839984370E-1,-4.324599743E0,1.720699906E0,1.472599983E0
2.040000000E-1,-6.243399620E0,1.125299931E0,-3.876000047E-1
2.339984370E-1,-7.718099594E0,-3.844999969E-1,-1.638799906E0
2.539984370E-1,-7.299899578E0,-1.639799953E0,-1.904699922E0
2.740000000E-1,-6.502999783E0,-2.716300011E0,-2.192199945E0
3.039968750E-1,-5.349299908E0,-2.688499928E0,-1.397699952E0
3.240031250E-1,-4.884399891E0,-1.198899984E0,9.970999956E-1
3.539984370E-1,-2.520699978E0,1.244899988E0,2.878299952E0
3.839968750E-1,1.816699982E0,3.528999805E0,2.437500000E0
4.039984370E-1,7.276399612E0,2.919399977E0,6.659999490E-2
4.240062500E-1,1.320759964E1,2.214499950E0,-3.566599846E0
4.539984370E-1,2.315799952E0,6.964499950E0,-1.307929993E1
4.739984370E-1,-7.859999686E-2,6.157499790E0,-7.326699734E0
4.939984370E-1,2.436800003E0,3.442899942E0,1.329399943E0
5.240000000E-1,-1.474999905E0,1.491999924E-1,3.367499828E0
5.539968750E-1,6.672999859E-1,1.950999945E-1,4.092700005E0
5.739984370E-1,3.520900011E0,7.356999516E-1,4.707799911E0
5.939984370E-1,4.448800087E0,8.934999704E-1,4.352399826E0
6.139984370E-1,3.693699837E0,-7.515999675E-1,8.196199417E0
6.339984370E-1,2.073099852E0,-2.337899923E0,8.784599304E0
6.539984370E-1,-2.402999878E0,-1.080899954E0,2.108999968E0
6.739984370E-1,-4.775099754E0,-5.469999835E-2,6.827999949E-1
7.040000000E-1,-6.645299911E0,8.039000034E-1,1.410999894E-1
7.339984370E-1,-6.273699760E0,8.496999741E-1,6.409999728E-2
7.539984370E-1,-5.439399719E0,1.217899919E0,-5.403999686E-1
7.739984370E-1,-4.600899696E0,7.813000083E-1,-1.825500011E0
8.039968750E-1,-3.763700008E0,-1.090099931E0,-7.512999773E-1
8.239984370E-1,-2.164299965E0,-2.041699886E0,-1.574999988E-1
8.439984370E-1,1.819999889E-2,-2.287199974E0,7.079999894E-2
8.639984370E-1,2.673199892E0,-2.110899925E0,5.629999638E-1
8.839984370E-1,5.266900063E0,-1.633099914E0,1.090700030E0
9.039984370E-1,7.389999866E0,-3.011600018E0,5.121999979E-1
9.240000000E-1,4.692299843E0,-4.501399994E0,-2.520699978E0
9.539984370E-1,5.590000004E-2,-1.158699989E0,-1.226200008E1
9.739984370E-1,6.128000021E-1,6.582999825E-1,-8.840099335E0
9.939984370E-1,-9.473999739E-1,-1.272300005E0,-6.542500019E0
1.013998437E0,3.835999966E-1,-2.743099928E0,-5.514699936E0
1.033998437E0,3.627799988E0,-4.249099731E0,3.750999928E0
1.053998437E0,4.450599670E0,-2.914899826E0,1.118989944E1
1.073998437E0,4.490200043E0,-3.504000008E-1,1.446309948E1
1.093998437E0,1.010599971E0,2.000599861E0,1.101340008E1
1.113998437E0,-2.551399946E0,1.815899968E0,5.261799812E0
1.133998437E0,-4.610699654E0,9.320999980E-1,2.063899994E0
1.163998437E0,-7.561199665E0,-2.264999896E-1,4.887000024E-1
1.183998437E0,-7.833599567E0,-1.067000031E0,-1.068999991E-1
1.203998437E0,-7.659999847E0,-1.680599928E0,-8.642999530E-1
1.223998437E0,-6.823799610E0,-2.105700016E0,-2.082499981E0
1.243998437E0,-6.237199783E0,-1.998399973E0,-2.702299833E0
1.273998437E0,-4.372299671E0,-7.768999934E-1,-2.421999872E-1
1.293998437E0,-1.791199923E0,-4.969999939E-2,1.361799955E0
1.314039062E0,1.455399990E0,5.159999728E-1,1.578799963E0
1.343998437E0,8.389200211E0,1.529699922E0,-3.280000016E-2
1.373996875E0,9.327199936E0,4.638000011E0,-1.642300010E0
1.393998437E0,4.695600033E0,6.600499630E0,-5.296299934E0
1.413998437E0,1.917299986E0,7.027799606E0,-1.150769997E1
1.433998437E0,2.083099842E0,4.812699795E0,-5.782000065E0
1.453998437E0,2.699300051E0,1.249599934E0,1.639699936E0
1.483998437E0,-1.197700024E0,-5.342000127E-1,2.518699884E0
1.503998437E0,7.045999765E-1,-5.981999636E-1,3.479699850E0
1.533998437E0,3.155999899E0,-5.570000038E-2,4.316899776E0
1.563998437E0,2.804699898E0,-2.437500000E0,6.977599621E0
1.583998437E0,4.894999862E-1,-2.652400017E0,5.580399990E0
1.603998437E0,-1.198099971E0,-1.793099999E0,1.550699949E0
1.633998437E0,-4.391200066E0,-3.177999854E-1,2.759299994E0
1.663996875E0,-6.505300045E0,5.825999975E-1,1.202099919E0
1.683996875E0,-6.717199802E0,7.567999959E-1,6.588000059E-1
