"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.554833761E0,1.183874980E-1,-1.634600043E0,-7.041375041E-1
1.574862170E0,2.164250016E-1,-1.508787513E0,-4.580124915E-1
1.594890500E0,5.555000156E-2,-1.196662545E0,-2.331999987E-1
1.614918807E0,-6.187499966E-3,-9.421499968E-1,-6.806249917E-2
1.634947339E0,7.562499959E-3,-7.695875168E-1,-1.799875051E-1
1.654975642E0,-4.358749837E-2,-5.128750205E-1,-3.249124885E-1
1.675003959E0,6.187500060E-2,-3.955875039E-1,-4.175874889E-1
1.695032286E0,7.369999588E-2,-3.275249898E-1,-4.548499882E-1
1.715060613E0,3.533750027E-2,-3.327499926E-1,-4.600749910E-1
1.735088981E0,3.629999980E-2,-4.563624859E-1,-4.494875073E-1
1.755117288E0,4.386249930E-2,-5.638874769E-1,-3.866499960E-1
1.775145788E0,2.681249939E-2,-6.363499761E-1,-3.673999906E-1
1.795174060E0,4.482499883E-2,-7.077124715E-1,-3.440249860E-1
1.815202391E0,6.517499685E-2,-7.386500239E-1,-3.099249899E-1
1.835230754E0,6.943749636E-2,-7.034500241E-1,-2.800875008E-1
1.855259077E0,9.075000137E-2,-6.278250217E-1,-2.704625130E-1
1.875287365E0,1.055999994E-1,-5.106750131E-1,-2.673000097E-1
1.895315920E0,1.098624989E-1,-3.392125070E-1,-2.865499854E-1
1.915344253E0,1.098624989E-1,-2.028124928E-1,-2.800875008E-1
1.935372584E0,1.322750002E-1,-3.024999984E-2,-2.865499854E-1
1.955400991E0,1.439625025E-1,7.727500051E-2,-2.396624982E-1
1.975429250E0,1.482249945E-1,1.561999917E-1,-1.234750003E-1
1.995457578E0,1.141249985E-1,3.009875119E-1,2.887500077E-2
2.015486115E0,1.641750038E-1,3.521375060E-1,1.480875015E-1
2.035514460E0,2.110625058E-1,4.757499993E-1,2.227499932E-1
2.055542777E0,2.611125112E-1,5.482124686E-1,2.450249940E-1
2.075571164E0,3.304125071E-1,5.769500136E-1,3.239499927E-1
2.095599481E0,3.793624938E-1,5.620999932E-1,4.357374907E-1
2.115628018E0,3.697375059E-1,4.246000051E-1,3.877499998E-1
2.135656330E0,3.847250044E-1,2.659249902E-1,-1.484999992E-2
2.155684643E0,4.635125101E-1,2.787125111E-1,-1.597750038E-1
2.175713011E0,5.754374862E-1,5.428500175E-1,-2.969999984E-2
2.195741274E0,5.902875066E-1,6.291999817E-1,1.161874980E-1
2.215769782E0,6.542249918E-1,6.994624734E-1,2.003374994E-1
2.235798085E0,6.903874874E-1,7.335624695E-1,1.566125005E-1
2.255826377E0,6.212249994E-1,7.793499827E-1,4.592499882E-2
2.275854752E0,3.740000129E-1,9.635999799E-1,-3.162499983E-3
2.295883062E0,-6.159999967E-2,1.240662456E0,5.335000157E-2
2.315911624E0,-4.376625121E-1,1.467537522E0,7.782500237E-2
2.335939954E0,-7.380999923E-1,1.590049982E0,1.033999994E-1
2.355968277E0,-8.520874977E-1,1.600637436E0,7.988750190E-2
2.375996646E0,-2.096875012E-1,1.341862440E0,-6.489999592E-2
2.396024980E0,3.107500076E-2,1.044587493E0,-9.473749995E-2
2.416053279E0,-1.362625062E-1,8.282999992E-1,-1.117874980E-1
2.436081800E0,-2.171124965E-1,6.003249884E-1,-9.267500043E-2
2.456110103E0,-2.653750032E-2,2.978250086E-1,-7.878749818E-2
2.476138469E0,5.871250108E-2,5.926249921E-2,-8.731249720E-2
2.496166779E0,8.002500236E-2,-1.112374961E-1,-8.304999769E-2
2.516195086E0,1.215500012E-1,-2.017125040E-1,-6.283749640E-2
2.536223651E0,8.222500235E-2,-2.135374993E-1,-4.578749835E-2
2.556251959E0,-3.506249934E-2,-1.974499971E-1,-4.358749837E-2
