"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.986000000E0,-1.505699992E0,4.481000006E-1,-8.249999881E-1
2.006000000E0,-5.202300072E0,-4.250099659E0,-3.903299809E0
2.026000000E0,-6.102799892E0,-3.857499838E0,-3.830199957E0
2.046000000E0,-5.234299660E0,-2.315700054E0,-1.185400009E0
2.066000000E0,-3.649699926E0,2.622999847E-1,8.838999867E-1
2.086000000E0,-3.811699867E0,1.447999924E-1,2.901999950E0
2.106000000E0,-7.384199619E0,-1.162099957E0,4.244100094E0
2.126000000E0,-1.005599976E0,-9.936999679E-1,4.332900047E0
2.146000000E0,-2.449599981E0,1.174099922E0,4.095200062E0
2.166000000E0,-6.728899956E0,-1.228799939E0,-2.549999952E-1
2.186000000E0,-6.234200001E0,-2.944499969E0,-8.218999505E-1
2.206000000E0,-2.650199890E0,-2.971999884E0,-1.411099911E0
2.226000000E0,1.190799952E0,7.009999454E-2,9.899999499E-1
2.246000000E0,6.279999614E-1,-2.579999901E-2,-1.384999901E-1
2.266000000E0,1.457499981E0,1.499999911E-1,-3.525999784E-1
2.286000000E0,4.305200100E0,-8.125999570E-1,-1.405999959E-1
2.306000000E0,3.402699947E0,-1.945499897E0,1.771099925E0
2.326000000E0,6.063299656E0,-1.777999997E0,2.043900013E0
2.346000000E0,5.861399651E0,-1.008499980E0,2.108399868E0
2.366000000E0,4.259099960E0,3.174999952E-1,1.329800010E0
2.386000000E0,4.515399933E0,-1.974799991E0,1.974399924E0
2.406000000E0,-2.479899883E0,-1.057299972E0,1.598999947E-1
2.426000000E0,-8.324099541E0,3.161999941E0,-8.150000125E-2
2.446000000E0,-4.512499809E0,2.637099981E0,7.953999639E-1
2.466001563E0,-4.993899822E0,-1.099999994E-1,-1.325699925E0
2.496000000E0,-4.604899883E0,-3.711599827E0,-3.750499964E0
2.516000000E0,3.058999777E-1,-2.796099901E0,-2.609499931E0
2.536000000E0,2.970499992E0,3.016999960E-1,1.124249935E1
2.556000000E0,4.458199978E0,-1.180699944E0,1.001049995E1
2.576000000E0,3.387799978E0,-8.086099625E0,-1.436999917E0
2.596000000E0,2.158900023E0,-6.187699795E0,-2.152099848E0
2.616000000E0,-1.472399950E0,-3.868999958E0,-1.365399957E0
2.636000000E0,-2.352999926E0,-1.689799905E0,-1.015200019E0
2.656000000E0,-3.353399992E0,3.601000011E-1,1.266999990E-1
2.676000000E0,-2.360999823E0,1.985499978E0,2.925599813E0
2.696000000E0,-1.109899998E0,3.795199871E0,3.951399803E0
2.716000000E0,-6.043999791E-1,3.957799911E0,5.736899853E0
2.736000000E0,-1.688499928E0,6.281599998E0,4.790400028E0
2.756000000E0,-1.574100018E0,5.663899899E0,2.996399879E0
2.776000000E0,-5.244599819E0,4.375400066E0,2.129499912E0
2.796000000E0,-4.335799694E0,1.055699944E0,1.786499977E0
2.816000000E0,-3.454099894E0,1.538199902E0,-4.329999983E-1
2.836000000E0,-4.833300114E0,8.231999874E-1,1.449999958E-1
2.856000000E0,-6.552899837E0,-4.561999738E-1,-1.910899997E0
2.876000000E0,-5.245599747E0,-3.470799923E0,-2.395499945E0
2.896000000E0,-6.614699841E0,-3.240499973E0,-5.013599873E0
2.916000000E0,-3.663599968E0,-4.388499737E0,-2.766499996E0
2.936000000E0,-3.224599838E0,-2.380199909E0,-4.768999815E-1
2.956000000E0,-1.072999954E0,-1.391600013E0,1.120199919E0
2.976000000E0,1.492100000E0,-2.004099846E0,-2.751999855E0
2.996000000E0,3.745299816E0,-6.266399860E0,2.342399836E0
3.016000000E0,4.190499783E0,-3.517799854E0,1.053900003E0
3.036000000E0,3.760699987E0,-3.621099949E0,1.216899991E0
3.056000000E0,6.072099686E0,-2.161799908E0,5.185999870E-1
3.076000000E0,5.346399784E0,-1.771399975E0,8.934999704E-1
3.096000000E0,2.461599827E0,-1.790300012E0,2.539700031E0
3.116000000E0,1.113999963E0,-2.135400057E0,7.130999565E-1
3.136000000E0,1.193599939E0,-1.781699896E0,6.046999693E-1
3.156000000E0,2.027199984E0,-6.582999825E-1,1.050999984E-1
3.176000000E0,3.225699902E0,-2.841999829E-1,4.179999977E-2
3.196000000E0,1.562099934E0,-7.050999999E-1,-1.053999960E-1
3.216000000E0,2.310499907E0,-1.244499922E0,9.420000017E-2
3.236000000E0,1.100899935E0,5.960999727E-1,-1.632999927E-1
3.256000000E0,2.662999868E0,4.804999828E-1,1.057500005E0
3.276000000E0,2.572499990E0,4.052000046E-1,4.583999813E-1
3.296000000E0,6.358000040E-1,2.297600031E0,2.066999972E-1
3.316000000E0,5.602999926E-1,1.496099949E0,5.539000034E-1
3.336000000E0,1.660899997E0,9.972999692E-1,8.113999963E-1
3.356000000E0,2.617199898E0,1.404299974E0,3.393999934E-1
3.376000000E0,1.572399974E0,9.733999968E-1,-3.510999978E-1
3.396000000E0,1.059999969E-2,5.622000098E-1,3.421999812E-1
3.416000000E0,2.423999906E-1,6.475999951E-1,2.074999958E-1
3.436000000E0,2.800999880E-1,2.902999818E-1,1.131500006E0
3.456000000E0,-2.397999913E-1,8.118000031E-1,-6.780000031E-2
3.476000000E0,6.069999933E-2,7.824999690E-1,-2.395999879E-1
3.496000000E0,6.293999553E-1,7.166000009E-1,-4.925999939E-1
3.516000000E0,4.032999873E-1,7.016999722E-1,-2.166000009E-1
3.536000000E0,-4.342999756E-1,3.242000043E-1,2.002999932E-1
3.556000000E0,-4.092999995E-1,-1.105999947E-1,3.910000026E-1
3.586000000E0,-7.989999652E-2,-1.955000013E-1,8.312999606E-1
3.606000000E0,-1.491999924E-1,-9.077000022E-1,1.582000017E0
3.626000000E0,-6.245999932E-1,-1.292899966E0,1.435999990E0
3.646000000E0,-1.159699917E0,-9.179999828E-1,1.121999979E0
3.666000000E0,-8.678999543E-1,-1.148499966E0,-1.254999936E-1
3.686000000E0,-6.908000112E-1,-1.163800001E0,4.891999960E-1
3.706000000E0,1.320699930E0,-1.724399924E0,5.954999924E-1
3.726004688E0,1.174499989E0,-1.436399937E0,1.194000006E0
3.755998438E0,1.310999990E-1,-1.744699955E0,8.341000080E-1
3.775998438E0,1.316999912E0,-1.871899962E0,4.163999856E-1
3.795998438E0,-9.086999893E-1,-8.411999941E-1,4.772000015E-1
3.815998438E0,-1.661799908E0,-1.509099960E0,-6.746999621E-1
3.835998438E0,4.493999779E-1,-1.059999943E0,-1.152899981E0
3.856000000E0,1.128700018E0,-9.752999544E-1,-6.283000112E-1
3.876006250E0,4.041999876E-1,-7.157999873E-1,-6.538000107E-1
3.905998438E0,3.841999769E-1,-8.849999905E-1,-2.334999889E-1
3.926000000E0,1.128999963E-1,-4.165000021E-1,-3.588999808E-1
3.955998438E0,6.807000041E-1,-4.732999802E-1,-1.131399989E0
3.976000000E0,8.068999648E-1,-3.121999800E-1,-1.664999962E0
4.005998438E0,1.084999964E-1,2.769999951E-2,-9.675999880E-1
4.025998438E0,5.906000137E-1,3.409999982E-2,-1.114899993E0
4.046003125E0,3.163999915E-1,-2.339999937E-2,-2.353999913E-1
4.075998438E0,-5.719999969E-2,1.722999960E-1,1.577999890E-1
4.095998438E0,-2.284999937E-1,-1.678999960E-1,6.089999899E-2
4.116003125E0,-4.971999824E-1,-3.539999947E-2,-2.279999852E-2
4.146000000E0,-4.999999702E-2,-6.219999790E-1,2.578999996E-1
4.166006250E0,-6.949999928E-2,-2.547999918E-1,1.468999982E-1
4.196000000E0,9.519999474E-2,-9.002999663E-1,1.156199932E0
4.216001563E0,-1.137799978E0,-2.626999915E-1,2.537099838E0
4.245998438E0,-1.772999913E-1,-5.640000105E-1,3.271099806E0
4.266004688E0,4.733999968E-1,-8.133999705E-1,3.308699846E0
4.295998438E0,-7.185999751E-1,-1.008000016E0,1.986699939E0
4.316000000E0,-2.502300024E0,-8.139999509E-1,4.767999947E-1
4.345998438E0,4.839999974E-2,-3.371999860E-1,2.917000055E-1
4.365998438E0,5.047000051E-1,3.014000058E-1,3.702999949E-1
4.385998438E0,2.395999879E-1,3.039000034E-1,5.561999679E-1
4.406003125E0,-2.369999886E-2,-2.559999935E-2,2.595999837E-1
4.435998438E0,-2.554999888E-1,-1.616999954E-1,-8.640999794E-1
4.455998438E0,2.337999940E-1,-3.238999844E-1,-1.542299986E0
4.476000000E0,1.246699929E0,5.773999691E-1,-1.032699943E0
4.506006250E0,1.697699904E0,-1.030000020E-2,-1.072999984E-1
4.535998438E0,4.837999940E-1,-3.820999861E-1,3.421999812E-1
4.555998438E0,6.469999552E-1,-5.446999669E-1,-5.720999837E-1
4.575998438E0,1.193000004E-1,-5.928999782E-1,-1.575299978E0
4.596006250E0,1.523100019E0,-8.549999446E-2,-3.649999797E-1
4.625998438E0,1.898199916E0,1.794999987E-1,1.576200008E0
4.646007813E0,8.786000013E-1,2.437999994E-1,-2.515999973E-1
4.675998438E0,-2.214299917E0,7.032999992E-1,-1.801099896E0
4.696000000E0,-1.022300005E0,6.467999816E-1,-1.040799975E0
4.716000000E0,-3.815999925E-1,7.073000073E-1,2.951000035E-1
4.746004688E0,5.755000114E-1,1.480000019E-1,9.145999551E-1
4.775998438E0,1.799999969E-3,3.229999915E-2,1.163999960E-1
4.796006250E0,-2.228999883E-1,6.031000018E-1,-1.040999964E-1
4.826000000E0,1.373899937E0,8.121999502E-1,2.599999905E-1
4.846000000E0,1.368699908E0,5.496000051E-1,9.017999768E-1
4.866000000E0,4.949999750E-1,6.060999632E-1,6.344000101E-1
4.886000000E0,6.134999990E-1,3.524000049E-1,4.241999984E-1
4.906000000E0,2.106999904E-1,6.376000047E-1,-1.245999932E-1
4.926000000E0,4.587000012E-1,3.258999884E-1,-6.152999997E-1
4.956000000E0,2.583999932E-1,2.210000008E-1,-4.749999940E-1
4.976000000E0,-6.877999902E-1,3.454999924E-1,3.452000022E-1
4.996003125E0,-4.917999804E-1,-4.319999814E-1,1.182699919E0
5.026000000E0,-1.384699941E0,-5.586999655E-1,1.420899987E0
5.055998438E0,-3.279999793E-1,-1.009699941E0,1.873699903E0
5.076000000E0,1.435000002E-1,-9.587000012E-1,6.919999719E-1
5.096000000E0,5.342999697E-1,-1.542400002E0,-1.176100016E0
5.116000000E0,3.542999923E-1,-1.441299915E0,-1.799699903E0
5.136003125E0,7.490000129E-2,-1.169999957E0,-6.141999960E-1
5.166000000E0,-4.099999964E-1,-8.880999684E-1,1.202199936E0
