"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.090460000E0,1.068750000E1,4.575000000E1,4.437500000E0
2.110460000E0,1.056250000E1,4.581250000E1,2.062500000E0
2.130460000E0,1.025000000E1,4.575000000E1,5.625000000E-1
2.150460000E0,9.062500000E0,4.606250000E1,-1.125000000E0
2.170460000E0,8.062500000E0,4.593750000E1,-4.062500000E0
2.190460000E0,8.125000000E0,4.556250000E1,-6.750000000E0
2.210460000E0,8.187500000E0,4.543750000E1,-7.875000000E0
2.230460000E0,7.812500000E0,4.518750000E1,-9.062500000E0
2.250460000E0,8.062500000E0,4.493750000E1,-1.012500000E1
2.270460000E0,8.625000000E0,4.475000000E1,-1.006250000E1
2.290460000E0,1.000000000E1,4.450000000E1,-1.031250000E1
2.310460000E0,1.087500000E1,4.450000000E1,-9.562500000E0
2.330460000E0,1.150000000E1,4.468750000E1,-8.875000000E0
2.350460000E0,1.218750000E1,4.456250000E1,-8.375000000E0
2.370460000E0,1.212500000E1,4.487500000E1,-7.437500000E0
2.390460000E0,1.206250000E1,4.518750000E1,-6.125000000E0
2.410460000E0,1.143750000E1,4.512500000E1,-5.187500000E0
2.430460000E0,1.100000000E1,4.525000000E1,-4.062500000E0
2.450460000E0,1.143750000E1,4.512500000E1,-3.375000000E0
2.470461563E0,1.106250000E1,4.493750000E1,-3.437500000E0
2.500460000E0,1.150000000E1,4.487500000E1,-2.500000000E0
2.520460000E0,1.181250000E1,4.487500000E1,-1.000000000E0
2.540460000E0,1.100000000E1,4.493750000E1,4.375000000E-1
2.560460000E0,1.062500000E1,4.506250000E1,-3.125000000E-1
2.580460000E0,1.037500000E1,4.512500000E1,0.000000000E0
2.600460000E0,9.750000000E0,4.531250000E1,1.437500000E0
2.620460000E0,9.375000000E0,4.506250000E1,2.625000000E0
2.640460000E0,9.000000000E0,4.525000000E1,3.750000000E0
2.660460000E0,9.000000000E0,4.537500000E1,4.312500000E0
2.680460000E0,9.375000000E0,4.575000000E1,4.625000000E0
2.700460000E0,9.625000000E0,4.568750000E1,4.875000000E0
2.720460000E0,1.006250000E1,4.587500000E1,4.562500000E0
2.740460000E0,1.087500000E1,4.612500000E1,3.437500000E0
2.760460000E0,1.262500000E1,4.543750000E1,1.062500000E0
2.780460000E0,1.431250000E1,4.487500000E1,-1.562500000E0
2.800460000E0,1.725000000E1,4.418750000E1,-5.687500000E0
2.820460000E0,1.937500000E1,4.300000000E1,-9.875000000E0
2.840460000E0,2.056250000E1,4.193750000E1,-1.487500000E1
2.860460000E0,2.175000000E1,4.062500000E1,-2.000000000E1
2.880460000E0,2.262500000E1,3.868750000E1,-2.381250000E1
2.900460000E0,2.381250000E1,3.731250000E1,-2.575000000E1
2.920460000E0,2.512500000E1,3.700000000E1,-2.550000000E1
2.940460000E0,2.643750000E1,3.743750000E1,-2.450000000E1
2.960460000E0,2.768750000E1,3.775000000E1,-2.350000000E1
2.980460000E0,2.862500000E1,3.731250000E1,-2.256250000E1
3.000460000E0,3.062500000E1,3.675000000E1,-2.125000000E1
3.020460000E0,3.168750000E1,3.606250000E1,-2.106250000E1
3.040460000E0,3.225000000E1,3.550000000E1,-2.106250000E1
3.060460000E0,3.287500000E1,3.487500000E1,-2.156250000E1
3.080460000E0,3.312500000E1,3.506250000E1,-2.181250000E1
3.100460000E0,3.206250000E1,3.531250000E1,-2.306250000E1
3.120460000E0,3.112500000E1,3.506250000E1,-2.437500000E1
3.140460000E0,3.025000000E1,3.487500000E1,-2.581250000E1
3.160460000E0,2.943750000E1,3.425000000E1,-2.768750000E1
3.180460000E0,2.856250000E1,3.375000000E1,-2.937500000E1
3.200460000E0,2.737500000E1,3.337500000E1,-3.056250000E1
3.220460000E0,2.600000000E1,3.331250000E1,-3.225000000E1
3.240460000E0,2.481250000E1,3.337500000E1,-3.275000000E1
3.260460000E0,2.387500000E1,3.331250000E1,-3.281250000E1
3.280460000E0,2.325000000E1,3.337500000E1,-3.337500000E1
3.300460000E0,2.218750000E1,3.331250000E1,-3.431250000E1
3.320460000E0,2.006250000E1,3.287500000E1,-3.568750000E1
3.340460000E0,1.737500000E1,3.262500000E1,-3.737500000E1
