"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.134815630E-1,-9.410640597E-1,-6.888465285E-1,-6.988298148E-2
2.334815630E-1,-8.697324991E-1,-8.347211480E-1,-2.125461996E-1
2.534893750E-1,-8.601506352E-1,-8.751604557E-1,-4.127005637E-1
2.754971880E-1,-7.698647380E-1,-8.181579709E-1,-4.675911665E-1
2.974815630E-1,-6.434854269E-1,-6.738192439E-1,-4.709421992E-1
3.174815630E-1,-6.760358214E-1,-8.090822697E-1,-5.222548842E-1
3.374815630E-1,-1.013704658E0,-2.017827511E0,-2.882411182E-1
3.574815630E-1,-9.447292686E-1,-8.067435622E-1,1.239532828E-1
3.774862500E-1,-7.238927484E-1,-3.875678182E-1,3.981794119E-1
3.994815630E-1,-4.352851212E-1,3.946887553E-1,7.503345013E-1
4.194831250E-1,-1.250528395E-1,1.208186746E0,1.361897826E0
4.414815630E-1,2.088635564E-1,5.764124393E-1,1.460648537E0
4.614846880E-1,4.555833042E-1,2.712765336E-1,1.289606333E0
4.834815630E-1,6.203773022E-1,4.520402756E-3,8.256279826E-1
5.034815630E-1,7.434579134E-1,1.180540696E-1,3.839899004E-1
5.234815630E-1,9.291958213E-1,7.312929630E-2,3.024655581E-2
5.434831250E-1,1.063533783E0,-1.652477682E-1,2.671400905E-1
5.634831250E-1,9.238376617E-1,-1.133905530E0,2.948908210E-1
5.834831250E-1,6.887418032E-1,-1.283061385E0,-1.671501845E-1
6.054800000E-1,6.745348573E-1,9.978047013E-2,-8.276351094E-1
6.254878130E-1,6.412514448E-1,8.515287042E-1,-1.075192571E0
6.474815630E-1,2.991319895E-1,-2.855707705E-1,-5.840744376E-1
6.674846880E-1,9.384635091E-2,-1.341145873E0,1.362054944E-1
6.894800000E-1,7.103490084E-2,-1.988471031E0,3.432888091E-1
7.094815630E-1,7.466518879E-2,-1.415793657E0,3.034254909E-1
7.294815630E-1,1.321563274E-1,-1.193456128E-1,3.624176085E-1
7.494815630E-1,4.954989627E-2,-1.451764852E-1,3.073350191E-1
7.694815630E-1,5.689773336E-2,-1.077391729E-1,1.358040720E-1
7.894815630E-1,1.234122291E-1,-2.165430039E-1,-1.117010694E-2
8.094815630E-1,8.670795709E-2,-6.106034517E-1,-1.640085876E-1
8.294815630E-1,-1.048942842E-2,-4.850968122E-1,3.731513768E-2
8.494815630E-1,-2.368411794E-2,-2.438748628E-1,3.422765136E-1
8.694815630E-1,1.250353903E-1,8.683013171E-2,5.266531110E-1
8.894815630E-1,2.732661963E-1,2.475575060E-1,4.592659473E-1
9.094862500E-1,3.474426866E-1,3.396061659E-1,2.599318922E-1
9.314815630E-1,1.123642996E-1,3.747570813E-1,1.402197480E-1
9.514815630E-1,-2.922030091E-1,4.822868407E-1,3.772703707E-1
9.714815630E-1,-5.719094872E-1,4.446924329E-1,6.945537925E-1
9.914815630E-1,-6.524389982E-1,3.593283892E-1,7.095810771E-1
1.013481563E0,-5.325523019E-1,3.726801574E-1,5.182057023E-1
1.033481563E0,-3.408977091E-1,5.156750083E-1,4.440292120E-1
1.053481563E0,-1.279675364E-1,6.551791430E-1,3.138450980E-1
