"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.588156300E-2,-5.181250000E1,-4.356250000E1,-5.431250000E1
6.588312500E-2,-5.218750000E1,-4.293750000E1,-5.406250000E1
9.588156300E-2,-5.300000000E1,-4.237500000E1,-5.381250000E1
1.158893750E-1,-5.362500000E1,-4.156250000E1,-5.331250000E1
1.458800000E-1,-5.525000000E1,-4.125000000E1,-5.250000000E1
1.658815630E-1,-5.618750000E1,-4.093750000E1,-5.250000000E1
1.858815630E-1,-5.731250000E1,-4.043750000E1,-5.206250000E1
2.058815630E-1,-5.825000000E1,-3.987500000E1,-5.237500000E1
2.258940630E-1,-5.900000000E1,-3.893750000E1,-5.193750000E1
2.558878130E-1,-5.968750000E1,-3.800000000E1,-5.043750000E1
2.858815630E-1,-6.043750000E1,-3.750000000E1,-4.900000000E1
3.058815630E-1,-6.075000000E1,-3.718750000E1,-4.856250000E1
3.258815630E-1,-6.112500000E1,-3.693750000E1,-4.812500000E1
3.558800000E-1,-6.356250000E1,-3.568750000E1,-4.618750000E1
3.758800000E-1,-6.387500000E1,-3.456250000E1,-4.593750000E1
3.958815630E-1,-6.425000000E1,-3.337500000E1,-4.618750000E1
4.158846880E-1,-6.406250000E1,-3.218750000E1,-4.718750000E1
4.458815630E-1,-6.331250000E1,-3.050000000E1,-4.812500000E1
4.658846880E-1,-6.368750000E1,-2.975000000E1,-4.787500000E1
4.958815630E-1,-6.368750000E1,-2.993750000E1,-4.700000000E1
5.158815630E-1,-6.325000000E1,-3.075000000E1,-4.700000000E1
5.358815630E-1,-6.243750000E1,-3.175000000E1,-4.681250000E1
5.558831250E-1,-6.206250000E1,-3.268750000E1,-4.631250000E1
5.858815630E-1,-6.275000000E1,-3.387500000E1,-4.487500000E1
6.058878130E-1,-6.281250000E1,-3.500000000E1,-4.475000000E1
6.358815630E-1,-6.087500000E1,-3.712500000E1,-4.681250000E1
6.558878130E-1,-6.131250000E1,-3.787500000E1,-4.725000000E1
6.858815630E-1,-6.443750000E1,-3.687500000E1,-4.550000000E1
7.058846880E-1,-6.650000000E1,-3.618750000E1,-4.356250000E1
7.258925000E-1,-6.743750000E1,-3.593750000E1,-4.343750000E1
7.558878130E-1,-6.731250000E1,-3.568750000E1,-4.425000000E1
7.858815630E-1,-6.662500000E1,-3.568750000E1,-4.425000000E1
8.058846880E-1,-6.681250000E1,-3.600000000E1,-4.381250000E1
8.358800000E-1,-6.706250000E1,-3.637500000E1,-4.300000000E1
8.558815630E-1,-6.750000000E1,-3.618750000E1,-4.318750000E1
8.858815630E-1,-6.812500000E1,-3.562500000E1,-4.406250000E1
9.058831250E-1,-6.806250000E1,-3.562500000E1,-4.443750000E1
9.358815630E-1,-6.775000000E1,-3.587500000E1,-4.493750000E1
9.558815630E-1,-6.737500000E1,-3.531250000E1,-4.537500000E1
9.758815630E-1,-6.706250000E1,-3.462500000E1,-4.618750000E1
9.958815630E-1,-6.668750000E1,-3.337500000E1,-4.706250000E1
1.025881563E0,-6.625000000E1,-3.212500000E1,-4.743750000E1
1.055887813E0,-6.550000000E1,-3.193750000E1,-4.743750000E1
1.085881563E0,-6.481250000E1,-3.218750000E1,-4.693750000E1
1.105881563E0,-6.487500000E1,-3.275000000E1,-4.587500000E1
1.125881563E0,-6.468750000E1,-3.287500000E1,-4.543750000E1
1.145881563E0,-6.450000000E1,-3.287500000E1,-4.568750000E1
1.165881563E0,-6.450000000E1,-3.300000000E1,-4.587500000E1
1.185881563E0,-6.450000000E1,-3.306250000E1,-4.625000000E1
1.205881563E0,-6.406250000E1,-3.325000000E1,-4.718750000E1
1.225894063E0,-6.343750000E1,-3.343750000E1,-4.818750000E1
1.255881563E0,-6.293750000E1,-3.375000000E1,-4.900000000E1
1.275881563E0,-6.306250000E1,-3.387500000E1,-4.906250000E1
1.295886250E0,-6.325000000E1,-3.375000000E1,-4.900000000E1
1.325881563E0,-6.375000000E1,-3.368750000E1,-4.887500000E1
1.345881563E0,-6.362500000E1,-3.400000000E1,-4.862500000E1
1.375880000E0,-6.318750000E1,-3.537500000E1,-4.843750000E1
1.395881563E0,-6.318750000E1,-3.581250000E1,-4.812500000E1
1.415881563E0,-6.318750000E1,-3.631250000E1,-4.793750000E1
1.435886250E0,-6.325000000E1,-3.643750000E1,-4.806250000E1
1.465883125E0,-6.318750000E1,-3.656250000E1,-4.887500000E1
1.485883125E0,-6.268750000E1,-3.668750000E1,-4.987500000E1
1.515881563E0,-6.206250000E1,-3.656250000E1,-5.131250000E1
1.535881563E0,-6.225000000E1,-3.668750000E1,-5.100000000E1
1.555881563E0,-6.212500000E1,-3.637500000E1,-5.037500000E1
1.585881563E0,-6.187500000E1,-3.668750000E1,-4.962500000E1
1.605881563E0,-6.225000000E1,-3.700000000E1,-4.881250000E1
1.635889375E0,-6.312500000E1,-3.743750000E1,-4.700000000E1
1.665881563E0,-6.300000000E1,-3.812500000E1,-4.750000000E1
1.685884688E0,-6.268750000E1,-3.825000000E1,-4.818750000E1
1.715881563E0,-6.268750000E1,-3.762500000E1,-4.893750000E1
1.735881563E0,-6.318750000E1,-3.706250000E1,-4.881250000E1
1.755881563E0,-6.406250000E1,-3.662500000E1,-4.843750000E1
1.775881563E0,-6.425000000E1,-3.606250000E1,-4.850000000E1
1.805881563E0,-6.462500000E1,-3.587500000E1,-4.787500000E1
1.825881563E0,-6.475000000E1,-3.575000000E1,-4.781250000E1
1.845881563E0,-6.506250000E1,-3.575000000E1,-4.725000000E1
1.865881563E0,-6.518750000E1,-3.612500000E1,-4.662500000E1
1.885883125E0,-6.537500000E1,-3.650000000E1,-4.668750000E1
1.915881563E0,-6.562500000E1,-3.712500000E1,-4.662500000E1
1.935881563E0,-6.543750000E1,-3.750000000E1,-4.700000000E1
1.955881563E0,-6.512500000E1,-3.768750000E1,-4.750000000E1
1.975881563E0,-6.487500000E1,-3.787500000E1,-4.787500000E1
1.995881563E0,-6.475000000E1,-3.781250000E1,-4.806250000E1
2.025883125E0,-6.481250000E1,-3.768750000E1,-4.856250000E1
2.055884688E0,-6.518750000E1,-3.756250000E1,-4.850000000E1
2.075889375E0,-6.525000000E1,-3.775000000E1,-4.825000000E1
2.105881563E0,-6.568750000E1,-3.812500000E1,-4.731250000E1
2.125887813E0,-6.600000000E1,-3.837500000E1,-4.656250000E1
2.155880000E0,-6.643750000E1,-3.906250000E1,-4.556250000E1
2.175881563E0,-6.656250000E1,-3.937500000E1,-4.518750000E1
2.195881563E0,-6.625000000E1,-4.000000000E1,-4.537500000E1
2.215881563E0,-6.618750000E1,-4.031250000E1,-4.581250000E1
2.235881563E0,-6.593750000E1,-4.037500000E1,-4.600000000E1
2.255881563E0,-6.575000000E1,-4.056250000E1,-4.625000000E1
2.275881563E0,-6.543750000E1,-4.081250000E1,-4.637500000E1
2.305881563E0,-6.493750000E1,-4.187500000E1,-4.687500000E1
2.325881563E0,-6.500000000E1,-4.237500000E1,-4.731250000E1
2.345881563E0,-6.462500000E1,-4.250000000E1,-4.756250000E1
2.365886250E0,-6.462500000E1,-4.243750000E1,-4.793750000E1
2.395881563E0,-6.487500000E1,-4.250000000E1,-4.718750000E1
2.415881563E0,-6.506250000E1,-4.287500000E1,-4.675000000E1
2.435881563E0,-6.525000000E1,-4.331250000E1,-4.681250000E1
2.455886250E0,-6.525000000E1,-4.381250000E1,-4.712500000E1
2.485880000E0,-6.506250000E1,-4.406250000E1,-4.718750000E1
2.505881563E0,-6.456250000E1,-4.393750000E1,-4.725000000E1
2.525881563E0,-6.425000000E1,-4.393750000E1,-4.737500000E1
2.555883125E0,-6.368750000E1,-4.412500000E1,-4.787500000E1
2.585881563E0,-6.418750000E1,-4.375000000E1,-4.787500000E1
2.605886250E0,-6.437500000E1,-4.381250000E1,-4.806250000E1
2.635881563E0,-6.481250000E1,-4.350000000E1,-4.806250000E1
2.655881563E0,-6.500000000E1,-4.356250000E1,-4.743750000E1
2.675881563E0,-6.512500000E1,-4.362500000E1,-4.706250000E1
2.705890938E0,-6.437500000E1,-4.393750000E1,-4.718750000E1
2.725894063E0,-6.393750000E1,-4.375000000E1,-4.768750000E1
2.755883125E0,-6.437500000E1,-4.281250000E1,-4.806250000E1
2.785881563E0,-6.581250000E1,-4.200000000E1,-4.731250000E1
2.805881563E0,-6.587500000E1,-4.187500000E1,-4.650000000E1
2.825881563E0,-6.581250000E1,-4.212500000E1,-4.668750000E1
2.845881563E0,-6.643750000E1,-4.206250000E1,-4.618750000E1
2.875881563E0,-6.656250000E1,-4.168750000E1,-4.556250000E1
2.895881563E0,-6.693750000E1,-4.181250000E1,-4.600000000E1
2.915881563E0,-6.656250000E1,-4.212500000E1,-4.593750000E1
2.935881563E0,-6.562500000E1,-4.225000000E1,-4.643750000E1
2.955883125E0,-6.543750000E1,-4.200000000E1,-4.675000000E1
2.985881563E0,-6.543750000E1,-4.156250000E1,-4.675000000E1
3.005881563E0,-6.575000000E1,-4.112500000E1,-4.687500000E1
3.025881563E0,-6.606250000E1,-4.112500000E1,-4.737500000E1
3.045883125E0,-6.650000000E1,-4.112500000E1,-4.725000000E1
3.075880000E0,-6.725000000E1,-4.106250000E1,-4.668750000E1
3.095883125E0,-6.750000000E1,-4.168750000E1,-4.612500000E1
3.125881563E0,-6.718750000E1,-4.237500000E1,-4.531250000E1
3.145881563E0,-6.700000000E1,-4.243750000E1,-4.512500000E1
3.165881563E0,-6.737500000E1,-4.231250000E1,-4.487500000E1
3.185881563E0,-6.762500000E1,-4.212500000E1,-4.437500000E1
3.205881563E0,-6.781250000E1,-4.187500000E1,-4.387500000E1
3.225894063E0,-6.825000000E1,-4.193750000E1,-4.368750000E1
3.255883125E0,-6.806250000E1,-4.175000000E1,-4.418750000E1
3.285881563E0,-6.756250000E1,-4.193750000E1,-4.381250000E1
3.315881563E0,-6.756250000E1,-4.262500000E1,-4.375000000E1
3.335881563E0,-6.743750000E1,-4.281250000E1,-4.387500000E1
3.355881563E0,-6.743750000E1,-4.331250000E1,-4.431250000E1
3.385887813E0,-6.718750000E1,-4.331250000E1,-4.506250000E1
3.415881563E0,-6.668750000E1,-4.312500000E1,-4.550000000E1
3.435883125E0,-6.637500000E1,-4.356250000E1,-4.606250000E1
3.465881563E0,-6.562500000E1,-4.368750000E1,-4.700000000E1
3.485886250E0,-6.500000000E1,-4.381250000E1,-4.712500000E1
3.505898750E0,-6.456250000E1,-4.412500000E1,-4.706250000E1
3.535886250E0,-6.418750000E1,-4.400000000E1,-4.662500000E1
3.565881563E0,-6.450000000E1,-4.368750000E1,-4.650000000E1
3.585884688E0,-6.406250000E1,-4.368750000E1,-4.706250000E1
3.615881563E0,-6.450000000E1,-4.300000000E1,-4.756250000E1
3.635887813E0,-6.487500000E1,-4.293750000E1,-4.706250000E1
3.655887813E0,-6.487500000E1,-4.306250000E1,-4.675000000E1
3.685881563E0,-6.475000000E1,-4.318750000E1,-4.700000000E1
3.705881563E0,-6.412500000E1,-4.262500000E1,-4.812500000E1
3.725894063E0,-6.412500000E1,-4.137500000E1,-4.900000000E1
3.755881563E0,-6.493750000E1,-4.025000000E1,-4.831250000E1
3.775881563E0,-6.468750000E1,-3.975000000E1,-4.806250000E1
3.795881563E0,-6.468750000E1,-3.943750000E1,-4.775000000E1
3.815881563E0,-6.487500000E1,-3.881250000E1,-4.687500000E1
3.835890938E0,-6.525000000E1,-3.806250000E1,-4.675000000E1
3.865881563E0,-6.668750000E1,-3.593750000E1,-4.612500000E1
3.885881563E0,-6.737500000E1,-3.450000000E1,-4.600000000E1
3.905881563E0,-6.718750000E1,-3.325000000E1,-4.643750000E1
3.925881563E0,-6.681250000E1,-3.206250000E1,-4.675000000E1
3.945881563E0,-6.650000000E1,-3.162500000E1,-4.637500000E1
3.965881563E0,-6.650000000E1,-3.150000000E1,-4.525000000E1
3.985881563E0,-6.643750000E1,-3.193750000E1,-4.406250000E1
4.005881563E0,-6.618750000E1,-3.306250000E1,-4.356250000E1
4.025886250E0,-6.550000000E1,-3.468750000E1,-4.368750000E1
4.055881563E0,-6.550000000E1,-3.781250000E1,-4.275000000E1
4.075881563E0,-6.643750000E1,-3.900000000E1,-4.168750000E1
4.095881563E0,-6.700000000E1,-3.931250000E1,-4.162500000E1
4.115881563E0,-6.756250000E1,-3.962500000E1,-4.193750000E1
4.145881563E0,-6.775000000E1,-3.937500000E1,-4.293750000E1
4.165881563E0,-6.775000000E1,-3.887500000E1,-4.362500000E1
4.185883125E0,-6.793750000E1,-3.875000000E1,-4.343750000E1
4.215886250E0,-6.806250000E1,-3.862500000E1,-4.275000000E1
4.245881563E0,-6.837500000E1,-3.918750000E1,-4.175000000E1
4.265881563E0,-6.831250000E1,-3.975000000E1,-4.150000000E1
4.285881563E0,-6.793750000E1,-4.012500000E1,-4.156250000E1
4.305881563E0,-6.750000000E1,-4.037500000E1,-4.168750000E1
4.325881563E0,-6.725000000E1,-3.987500000E1,-4.262500000E1
4.345881563E0,-6.662500000E1,-3.950000000E1,-4.406250000E1
4.365884688E0,-6.606250000E1,-3.893750000E1,-4.581250000E1
4.395881563E0,-6.500000000E1,-3.818750000E1,-4.731250000E1
4.425881563E0,-6.406250000E1,-3.875000000E1,-4.750000000E1
4.455881563E0,-6.293750000E1,-4.018750000E1,-4.668750000E1
4.475881563E0,-6.281250000E1,-4.056250000E1,-4.631250000E1
4.495881563E0,-6.287500000E1,-4.075000000E1,-4.650000000E1
4.515889375E0,-6.287500000E1,-4.056250000E1,-4.656250000E1
4.545881563E0,-6.312500000E1,-4.006250000E1,-4.650000000E1
4.565887813E0,-6.325000000E1,-4.037500000E1,-4.631250000E1
4.595881563E0,-6.387500000E1,-4.112500000E1,-4.500000000E1
4.615886250E0,-6.425000000E1,-4.143750000E1,-4.443750000E1
4.645881563E0,-6.425000000E1,-4.225000000E1,-4.443750000E1
4.665884688E0,-6.418750000E1,-4.256250000E1,-4.500000000E1
4.695881563E0,-6.362500000E1,-4.268750000E1,-4.593750000E1
4.715883125E0,-6.325000000E1,-4.268750000E1,-4.637500000E1
4.745881563E0,-6.275000000E1,-4.256250000E1,-4.625000000E1
4.775880000E0,-6.225000000E1,-4.218750000E1,-4.731250000E1
4.795881563E0,-6.218750000E1,-4.250000000E1,-4.768750000E1
4.815881563E0,-6.275000000E1,-4.250000000E1,-4.712500000E1
4.835881563E0,-6.293750000E1,-4.231250000E1,-4.718750000E1
4.855886250E0,-6.287500000E1,-4.206250000E1,-4.731250000E1
