"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.560197246E1,3.211725723E1,1.189569414E2,2.005091197E1,1.145303262E0,2.612411389E2,5.252408770E0,5.252408770E0
4.660166657E1,3.211725725E1,1.189569228E2,2.006614265E1,1.382801614E0,2.585740590E2,5.212806342E0,5.212806342E0
4.760137904E1,3.211725774E1,1.189569094E2,1.985494442E1,1.198335142E0,2.652141832E2,5.191267269E0,5.191267269E0
4.860110903E1,3.211725815E1,1.189568921E2,2.001777612E1,1.408067146E0,2.676724039E2,5.169471747E0,5.169471747E0
4.960085499E1,3.211725345E1,1.189568821E2,2.000615775E1,1.143707274E0,2.590519864E2,5.159858481E0,5.159858481E0
5.060061717E1,3.211725161E1,1.189568720E2,1.995147910E1,1.075491698E0,2.613233281E2,5.170911274E0,5.170911274E0
5.160039151E1,3.211724211E1,1.189568616E2,1.993314887E1,1.192225659E0,2.516248468E2,5.169623559E0,5.169623559E0
5.260017991E1,3.211723722E1,1.189568504E2,1.997691878E1,1.148077290E0,2.602863657E2,5.174290592E0,5.174290592E0
5.359998155E1,3.211722559E1,1.189568381E2,2.001065123E1,1.393150406E0,2.406229958E2,5.153987177E0,5.153987177E0
5.459979546E1,3.211722712E1,1.189568259E2,2.008597347E1,1.246965197E0,2.480513454E2,5.064988776E0,5.064988776E0
5.559962022E1,3.211722366E1,1.189568142E2,1.996562440E1,1.159352765E0,2.498689493E2,5.077572902E0,5.077572902E0
5.659945381E1,3.211722204E1,1.189568019E2,1.999107253E1,1.031582956E0,2.528186882E2,5.075395546E0,5.075395546E0
5.759929848E1,3.211721893E1,1.189567879E2,2.027612116E1,1.039055499E0,2.536020137E2,5.064199267E0,5.064199267E0
5.859915280E1,3.211721376E1,1.189567767E2,2.011290557E1,1.082576930E0,2.480955508E2,5.059172975E0,5.059172975E0
5.959901440E1,3.211720507E1,1.189567664E2,2.004805133E1,1.159111197E0,2.482530089E2,5.055273112E0,5.055273112E0
6.059888327E1,3.211719762E1,1.189567536E2,2.030031432E1,1.271235075E0,2.491621130E2,5.054168632E0,5.054168632E0
6.159876037E1,3.211719308E1,1.189567360E2,2.035397798E1,1.376255315E0,2.513467783E2,5.047033566E0,5.047033566E0
6.259864533E1,3.211718935E1,1.189567222E2,2.046881479E1,1.304792581E0,2.525959550E2,5.047033340E0,5.047033340E0
6.359853566E1,3.211718957E1,1.189567092E2,2.037513786E1,1.120308547E0,2.567981317E2,5.041724697E0,5.041724697E0
6.459843254E1,3.211718765E1,1.189566991E2,2.034685150E1,8.910152184E-1,2.558249898E2,5.041343306E0,5.041343306E0
6.559833586E1,3.211718613E1,1.189566826E2,2.035551276E1,9.854181369E-1,2.583235248E2,5.050246350E0,5.050246350E0
6.659824395E1,3.211718449E1,1.189566680E2,2.016820301E1,1.014228456E0,2.578581492E2,5.042873359E0,5.042873359E0
6.759815764E1,3.211718091E1,1.189566550E2,2.040066312E1,1.027640240E0,2.563298062E2,5.050348343E0,5.050348343E0
6.859807658E1,3.211717732E1,1.189566407E2,2.053105371E1,1.096084202E0,2.535731692E2,5.057729959E0,5.057729959E0
