"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.723619958E0,-5.983985066E-1,1.815797389E-1,-5.773906112E-1
1.743636958E0,-7.573240399E-1,1.744269729E-1,-6.184179783E-1
1.763652958E0,-6.894923449E-1,8.317904919E-2,-5.550923347E-1
1.783669958E0,-4.068883061E-1,6.243498623E-2,-4.271812737E-1
1.803686958E0,-1.372901797E-1,1.136704162E-1,-3.154774010E-1
1.823702958E0,1.360235363E-2,5.016022921E-2,-1.738535017E-1
1.843719958E0,1.615302563E-1,-1.224596649E-1,-5.281975865E-2
1.863736958E0,3.383551538E-1,-1.895774752E-1,-5.052383244E-2
1.883753958E0,3.562373221E-1,-1.632049493E-2,-9.765523672E-2
1.903769958E0,2.276028246E-1,2.806608081E-1,-1.596939862E-1
1.923786958E0,6.748459488E-2,6.090220809E-1,-2.920538187E-1
1.943803958E0,-1.679543853E-1,6.336491704E-1,-3.975550234E-1
1.963819958E0,-3.263806701E-1,3.805086315E-1,-3.532545865E-1
1.983836958E0,-2.138133049E-1,1.235170141E-1,-1.867017448E-1
2.003853958E0,2.266034484E-1,1.008506641E-1,-1.027111895E-2
2.023869958E0,6.583489180E-1,4.170827866E-1,4.546927661E-2
2.043886958E0,5.421788692E-1,5.647751093E-1,-1.728061121E-3
2.063903958E0,6.335693598E-2,3.545429111E-1,9.127059951E-3
2.083919958E0,-1.882611513E-1,-3.362358361E-2,1.330293119E-1
2.103936958E0,-4.546411335E-2,-2.095687091E-1,1.844737828E-1
2.123953958E0,7.955531031E-2,-1.627662033E-1,1.807597280E-1
2.143969958E0,-4.945987836E-2,-3.905674815E-2,1.706507057E-1
2.163986958E0,-2.232499123E-1,3.529033065E-2,1.206262708E-1
2.184003958E0,-2.198399752E-1,1.090989485E-1,8.990777284E-2
2.204020958E0,-1.031905338E-1,2.050535679E-1,8.540258557E-2
2.224036958E0,1.764425635E-2,3.094299138E-1,1.101918146E-1
2.244053958E0,5.828625709E-2,3.907010853E-1,1.130874828E-1
2.264070958E0,6.486146897E-2,3.731362224E-1,1.045042127E-1
2.284086958E0,8.200240135E-2,2.790434062E-1,8.964970708E-2
2.304103958E0,1.224125028E-1,2.195712030E-1,6.000614911E-2
2.324120958E0,1.513434649E-1,1.002870426E-1,6.356199831E-2
2.344136958E0,2.527419329E-1,-2.305083536E-2,5.603475869E-2
