"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.646055958E0,1.845661926E0,6.998845825E0,2.338736572E0
1.666071958E0,1.986968079E0,6.879843292E0,2.243833923E0
1.686088958E0,1.970352631E0,6.899602203E0,1.700463867E0
1.706105958E0,1.485211487E0,7.138954468E0,1.061143341E0
1.726121958E0,8.119116211E-1,7.614515533E0,7.150630188E-1
1.746138958E0,3.743714905E-1,8.444389801E0,7.937992859E-1
1.766155958E0,1.245410156E-1,9.238787842E0,1.085841980E0
1.786171958E0,9.714797974E-2,9.966574402E0,1.349892883E0
1.806188958E0,-1.796264648E-3,1.037627243E1,1.374741211E0
1.826205958E0,-2.772235107E-1,1.098236206E1,1.561702423E0
1.846221958E0,-3.399430847E-1,1.145672562E1,2.038610687E0
1.866238958E0,-3.742218018E-2,1.180265625E1,2.518662415E0
1.886255958E0,3.073109436E-1,1.187390808E1,2.609822845E0
1.906271958E0,6.426136780E-1,1.169892197E1,2.725083160E0
1.926288958E0,9.075627136E-1,1.108699448E1,2.668051758E0
1.946305958E0,5.599855042E-1,1.099254089E1,2.717748413E0
1.966321958E0,2.055226135E-1,1.123413849E1,3.309767303E0
1.986338958E0,3.827540588E-1,1.114297806E1,4.268224182E0
2.006355958E0,9.590556335E-1,1.041863434E1,4.749922485E0
2.026371958E0,1.067879333E0,9.442963257E0,4.071233826E0
2.046388958E0,2.621049500E-1,8.961714020E0,2.987786865E0
2.066405958E0,-3.243754578E-1,9.157806244E0,2.200873260E0
2.086422958E0,-3.201841736E-1,9.539662170E0,2.212399292E0
2.106438958E0,4.071533203E-2,9.498348083E0,2.300266571E0
2.126455958E0,1.172062683E-1,9.382189636E0,2.105671234E0
2.146472958E0,-1.185534668E-1,9.460626526E0,1.692081299E0
2.166488958E0,-3.097059631E-1,9.388326874E0,1.609602814E0
2.186505958E0,-2.085163879E-1,9.200766907E0,1.754202118E0
2.206522958E0,-6.750961304E-2,8.859776001E0,1.824406128E0
2.226538958E0,-2.380050659E-2,8.701704712E0,1.654958496E0
2.246555958E0,2.829116821E-2,8.519234161E0,1.436562653E0
2.266572958E0,8.158035278E-2,8.349187775E0,1.277742920E0
2.286588958E0,8.023315430E-2,8.353229370E0,1.293609924E0
2.306605958E0,1.678010559E-1,8.312214661E0,1.269510040E0
2.326622958E0,2.398013306E-1,8.536298676E0,1.541793823E0
2.346639958E0,3.782633972E-1,8.676407318E0,1.895208893E0
2.366655958E0,4.827461243E-1,8.927135925E0,2.145787811E0
2.386672958E0,3.972738647E-1,9.492210846E0,2.402953033E0
2.406689958E0,2.724334717E-1,1.018077896E1,2.635718994E0
2.426705958E0,1.710942078E-1,1.063074326E1,2.901865540E0
2.446722958E0,1.666035461E-1,1.089973389E1,3.129991150E0
2.466739958E0,2.016307068E-1,1.092098969E1,2.943179626E0
2.486756958E0,4.537065125E-1,1.090691895E1,2.267784119E0
2.506772958E0,3.543132019E-1,1.076950470E1,1.710343323E0
2.526789958E0,1.318757629E-1,1.081935104E1,1.724863129E0
2.546806958E0,9.325607300E-2,1.090542206E1,2.768642578E0
2.566817458E0,4.864883423E-1,1.034558624E1,3.337310028E0
2.586834458E0,7.491920471E-1,9.633516998E0,3.215313721E0
2.606851458E0,5.393284607E-1,9.449549561E0,2.347867584E0
2.626868458E0,2.047741699E-1,9.948761444E0,2.213297424E0
