"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.737652708E1,3.211740083E1,1.189509794E2,1.792154542E1,1.153803117E0,1.527007118E2,6.429149584E0,6.429149584E0
4.837729491E1,3.211738523E1,1.189509822E2,1.794901221E1,1.110706968E0,1.520981938E2,6.363264204E0,6.363264204E0
4.937801636E1,3.211737261E1,1.189509772E2,1.806755715E1,9.259271636E-1,1.566029623E2,6.311913445E0,6.311913445E0
5.037869526E1,3.211734011E1,1.189509824E2,1.817663501E1,1.270763043E0,1.605000666E2,6.167230353E0,6.167230353E0
5.137933124E1,3.211732364E1,1.189509869E2,1.800421639E1,1.436816631E0,1.606996438E2,5.897633016E0,5.897633016E0
5.237993062E1,3.211730719E1,1.189509837E2,1.821738882E1,1.338048149E0,1.683742922E2,5.726295715E0,5.726295715E0
5.338049258E1,3.211729897E1,1.189509850E2,1.778674192E1,1.028201059E0,1.659435486E2,5.608268352E0,5.608268352E0
5.438102163E1,3.211728481E1,1.189509814E2,1.784063574E1,1.102799661E0,1.693108370E2,5.521279057E0,5.521279057E0
5.538151885E1,3.211726494E1,1.189509821E2,1.798348644E1,1.280069548E0,1.654951287E2,5.394080947E0,5.394080947E0
5.638198842E1,3.211725000E1,1.189509841E2,1.788119478E1,1.145246548E0,1.655738875E2,5.357879862E0,5.357879862E0
5.738242913E1,3.211723799E1,1.189509837E2,1.807487694E1,1.094022965E0,1.651255955E2,5.323885764E0,5.323885764E0
5.838284291E1,3.211722676E1,1.189509887E2,1.773566565E1,1.099519721E0,1.627022207E2,5.320829329E0,5.320829329E0
5.938323344E1,3.211721104E1,1.189509904E2,1.770124119E1,1.082151574E0,1.628944417E2,5.293763512E0,5.293763512E0
6.038359989E1,3.211719552E1,1.189509894E2,1.784373461E1,1.188755144E0,1.638152273E2,5.276814579E0,5.276814579E0
6.138394619E1,3.211718143E1,1.189509841E2,1.779209973E1,1.146959200E0,1.658894963E2,5.285447249E0,5.285447249E0
6.238427151E1,3.211716957E1,1.189509760E2,1.804863214E1,1.077253088E0,1.685186331E2,5.290890870E0,5.290890870E0
6.338457883E1,3.211715687E1,1.189509738E2,1.802886155E1,1.005216477E0,1.718834329E2,5.317185048E0,5.317185048E0
6.438486935E1,3.211714615E1,1.189509691E2,1.776752401E1,8.666648285E-1,1.749193575E2,5.313915677E0,5.313915677E0
6.538514234E1,3.211713407E1,1.189509683E2,1.773041401E1,8.566936639E-1,1.735441120E2,5.324164944E0,5.324164944E0
6.638539875E1,3.211711827E1,1.189509654E2,1.766944351E1,9.641796388E-1,1.708841217E2,5.278394385E0,5.278394385E0
6.738564194E1,3.211710111E1,1.189509556E2,1.766987364E1,1.077025943E0,1.769955465E2,5.262808735E0,5.262808735E0
6.838587154E1,3.211708474E1,1.189509610E2,1.770554293E1,1.149568835E0,1.703165821E2,5.257619297E0,5.257619297E0
6.938608814E1,3.211707593E1,1.189509676E2,1.752376046E1,1.014676480E0,1.613685636E2,5.267855860E0,5.267855860E0
