"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.281666667E-2,-9.552698582E-2,4.276088476E-1,-1.415170282E-1
5.281766667E-2,-8.536010236E-2,4.928115308E-1,-1.383469626E-2
7.281866667E-2,-1.576439887E-1,4.684955776E-1,1.400906146E-1
9.281966666E-2,-3.118289709E-1,4.477854669E-1,2.334187776E-1
1.128196667E-1,-2.738876343E-1,4.582284391E-1,2.193965912E-1
1.328206667E-1,-1.287073344E-1,2.736800611E-1,2.207894325E-1
1.528261250E-1,4.663178697E-2,1.937881410E-1,4.388992190E-1
1.728271250E-1,2.373441011E-1,3.704706728E-1,7.815319896E-1
1.928281250E-1,2.662951946E-1,4.239832759E-1,9.272351861E-1
2.128291250E-1,5.991770700E-2,3.453116417E-1,8.703171611E-1
2.328301250E-1,-2.657819688E-1,5.141578615E-2,7.641240358E-1
2.528311250E-1,-4.890964627E-1,-2.040600032E-1,6.780644655E-1
2.728321250E-1,-5.119258165E-1,-1.602998227E-1,5.852262974E-1
2.928331250E-1,-3.955422044E-1,-1.511460692E-1,5.439923406E-1
3.128341250E-1,-2.818042934E-1,-1.111961678E-1,5.032563806E-1
3.328351250E-1,-1.199879944E-1,7.892471552E-2,4.947172403E-1
3.528361250E-1,1.086369157E-2,1.413520873E-1,5.087159276E-1
3.728371250E-1,-2.980593778E-2,4.588434473E-3,4.554769397E-1
3.928381250E-1,-6.388923526E-2,-5.427131057E-2,3.835784495E-1
4.128391250E-1,-8.176279068E-2,-1.388745904E-1,3.537094593E-1
4.328401250E-1,-1.280463636E-1,-1.531228572E-1,3.632919192E-1
4.528401250E-1,-1.464720964E-1,-1.837630272E-1,3.532628417E-1
4.728411250E-1,-5.923047662E-2,-2.410342246E-1,2.816172838E-1
4.928421250E-1,1.173050776E-1,-2.610732913E-1,1.632648110E-1
5.128431250E-1,2.674956322E-1,-2.449388057E-1,1.003401726E-1
5.328441250E-1,2.687761784E-1,-2.678701580E-1,8.984258026E-2
5.528451250E-1,6.229823455E-2,-4.576008618E-1,5.914783850E-2
5.728461250E-1,-2.856619060E-1,-6.988427043E-1,7.021425664E-2
5.928471250E-1,-4.771049023E-1,-7.917062044E-1,6.065166369E-2
6.128481250E-1,-1.712871343E-1,-5.462572575E-1,-3.631342947E-2
6.328491250E-1,2.015699297E-1,-2.393012345E-1,-1.105636433E-1
6.528501250E-1,6.216895580E-2,-1.864593476E-1,-1.323189288E-1
6.728511250E-1,-3.880039454E-1,-1.657131612E-1,-1.041193008E-1
6.928521250E-1,-6.926789880E-1,-6.708355248E-2,-1.681987196E-1
7.128531250E-1,-7.806925774E-1,-1.568769217E-1,-3.322878480E-1
7.328541250E-1,-4.546927512E-1,-1.808083951E-1,-4.921705127E-1
7.528551250E-1,7.945036888E-2,-2.310285866E-1,-6.060302854E-1
7.728561250E-1,3.493920565E-1,-1.242236942E-1,-6.054567695E-1
7.928561250E-1,3.406942487E-1,-5.282289907E-2,-6.030697823E-1
8.128571250E-1,1.671855450E-1,-8.880265802E-2,-6.814405918E-1
8.328581250E-1,-1.276572049E-1,-9.735163301E-2,-7.570938468E-1
8.528591250E-1,-3.866508603E-1,-9.599183500E-2,-7.782711387E-1
8.728601250E-1,-3.927536905E-1,-1.655769944E-1,-7.627902031E-1
8.928611250E-1,-1.860921830E-1,-2.305798084E-1,-7.740009427E-1
9.128621250E-1,3.035083972E-2,-1.867477596E-1,-7.814998627E-1
9.328631250E-1,5.929500982E-2,-2.026940323E-2,-7.592454553E-1
9.528641250E-1,-1.192785203E-1,1.329957396E-1,-7.122731805E-1
9.728651250E-1,-3.724915981E-1,8.558000624E-2,-6.562072635E-1
9.928661250E-1,-4.669577181E-1,-2.179458886E-1,-6.423428059E-1
1.012867125E0,-3.874387443E-1,-3.582071066E-1,-6.008033752E-1
1.032868125E0,-2.414663583E-1,-3.181012273E-1,-4.862129688E-1
1.052869125E0,-1.221006066E-1,-7.105029374E-2,-3.435156345E-1
1.072869125E0,-4.055333510E-2,1.592658758E-1,-2.464369237E-1
1.092870125E0,-7.349667605E-3,3.047005534E-1,-2.158950567E-1
1.112871125E0,6.479245611E-3,4.133396745E-1,-2.407674193E-1
1.132872125E0,3.229365870E-2,2.699077725E-1,-2.556894422E-1
1.152870417E0,-2.168316022E-2,1.046281159E-1,-1.801618785E-1
1.172871417E0,-1.785502420E-3,8.911251277E-2,-1.616493165E-1
1.192872417E0,1.785387993E-1,2.659102976E-1,-1.727208942E-1
1.212873417E0,3.620644808E-1,4.376770556E-1,-1.514076442E-1
1.232874417E0,3.027087450E-1,4.202876985E-1,3.763045371E-2
