"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211464900E1,1.189502410E2,0.000000000E0,0.000000000E0,0.000000000E0,2.500000000E1,0.000000000E0
7.980781250E-1,3.211464900E1,1.189502410E2,6.626586129E0,1.043551564E0,3.371094971E2,2.500000000E1,0.000000000E0
6.366696354E0,3.211484985E1,1.189502988E2,6.358874245E1,9.046090245E-1,3.250423279E2,2.016962242E1,2.016962242E1
7.366419791E0,3.211489420E1,1.189502949E2,6.089991428E1,6.070929766E-1,3.132564392E2,2.000000000E1,2.000000000E1
8.359988541E0,3.211489442E1,1.189502514E2,5.080935456E1,1.063047409E0,3.419036560E2,1.506048584E1,1.506048584E1
9.710479686E0,3.211496476E1,1.189502851E2,6.320237398E1,8.705140948E-1,3.350285645E2,1.624690056E1,1.624690056E1
1.071252344E1,3.211495135E1,1.189502623E2,5.526652327E1,1.111724257E0,3.454622803E2,1.810274506E1,1.810274506E1
1.171124583E1,3.211491492E1,1.189501961E2,2.542801268E1,1.792722583E0,1.143348980E1,1.519504738E1,1.519504738E1
1.271195104E1,3.211487154E1,1.189501601E2,1.737302475E1,3.334186077E-1,1.143348980E1,1.251117897E1,1.251117897E1
1.370834792E1,3.211488090E1,1.189501636E2,1.805163426E1,9.183226824E-1,1.143348980E1,1.035988331E1,1.035988331E1
1.471063177E1,3.211488466E1,1.189501581E2,1.784465146E1,1.168084025E0,1.143348980E1,8.558574677E0,8.558574677E0
1.571770677E1,3.211488610E1,1.189501488E2,1.724744425E1,8.607457280E-1,3.423403625E2,6.986105919E0,6.986105919E0
1.670891823E1,3.211488316E1,1.189501416E2,1.405475295E1,1.133136392E0,3.548166809E2,1.364224195E0,1.364224195E0
1.771572396E1,3.211488611E1,1.189501369E2,1.269248412E1,1.089981318E0,3.464229431E2,2.681882381E0,2.681882381E0
1.870971614E1,3.211489116E1,1.189501313E2,1.418202641E1,1.179678679E0,3.351593628E2,3.246068239E0,3.246068239E0
