"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.456583300E-2,-1.675127149E-1,-1.194426864E-1,1.487374306E-1
9.466062500E-2,-1.142495275E-1,-3.954791278E-2,1.966743022E-1
1.147554170E-1,-1.280979514E-1,-2.263685223E-3,1.934785098E-1
1.348504690E-1,-1.643169224E-1,-1.930790395E-2,1.881521940E-1
1.549457810E-1,-1.909485012E-1,-6.617950648E-2,1.860216707E-1
1.750410940E-1,-1.792306006E-1,-8.855003864E-2,1.860216707E-1
1.951364060E-1,-1.259674281E-1,-4.593949392E-2,1.711079776E-1
2.152317190E-1,-1.280979514E-1,-6.524739787E-3,1.593900770E-1
2.353270310E-1,-1.334242672E-1,-1.504684892E-2,1.519332230E-1
2.554223440E-1,-1.291632205E-1,-5.020054802E-2,1.540637612E-1
2.755176560E-1,-1.376853287E-1,-9.494162351E-2,1.508679688E-1
2.956129690E-1,-1.408811212E-1,-1.343563795E-1,1.412805915E-1
3.157082810E-1,-1.217063740E-1,-1.130511016E-1,1.295626909E-1
3.358035940E-1,-9.507478029E-2,-4.807002097E-2,1.178447902E-1
3.558989060E-1,-6.418213248E-2,-2.676474862E-2,9.653951973E-2
3.759942190E-1,-7.163897902E-2,-2.676474862E-2,8.056056499E-2
3.960895310E-1,-8.761793375E-2,-6.511423737E-2,6.884266436E-2
4.161848440E-1,-9.294424951E-2,-7.150582224E-2,6.351634115E-2
4.362801560E-1,-8.655267209E-2,-7.470161468E-2,5.819002539E-2
4.563754690E-1,-7.483477145E-2,-7.257108390E-2,5.925529078E-2
4.764704170E-1,-8.016108721E-2,-5.765739456E-2,5.179844424E-2
4.965652080E-1,-6.737792492E-2,-1.185105834E-2,4.114580899E-2
5.166600000E-1,-4.926844314E-2,6.258423906E-3,4.860265180E-2
5.367552610E-1,-5.992107838E-2,-2.463422157E-2,6.564687192E-2
5.568505730E-1,-7.270424068E-2,-4.807002097E-2,5.712476373E-2
5.769458860E-1,-7.270424068E-2,-4.807002097E-2,5.073318258E-2
5.970411980E-1,-6.524740160E-2,-7.576687634E-2,6.245107949E-2
6.171365110E-1,-7.483477145E-2,-8.748477697E-2,9.121319652E-2
6.372318230E-1,-8.655267209E-2,-8.428898454E-2,9.547425061E-2
6.573271360E-1,-8.122635633E-2,-3.315633163E-2,1.008005738E-1
6.774224480E-1,-6.205160543E-2,-1.198421582E-3,1.018658355E-1
6.975177610E-1,-4.500738904E-2,-1.185105834E-2,9.440898895E-2
7.176130730E-1,-4.926844314E-2,-2.463422157E-2,8.482161909E-2
7.377083860E-1,-4.820318148E-2,-3.954791278E-2,8.375635743E-2
7.578036980E-1,-4.074633494E-2,-2.250369452E-2,8.162582666E-2
7.778990110E-1,-1.731053367E-2,1.051947847E-2,6.990792602E-2
7.979943230E-1,1.038632076E-2,2.117211558E-2,6.990792602E-2
8.180896360E-1,2.636527456E-2,1.371526904E-2,7.949529588E-2
8.381849480E-1,1.571263932E-2,-2.250369452E-2,1.103879437E-1
8.582802610E-1,-2.583264373E-2,-1.504684892E-2,1.284974217E-1
8.783755730E-1,-5.033370852E-2,3.502054140E-2,1.444763839E-1
8.984708860E-1,6.125265732E-3,5.739107728E-2,1.583248079E-1
9.185658860E-1,6.578002870E-2,5.099949613E-2,1.806953400E-1
9.386606770E-1,7.323687524E-2,2.649843320E-2,1.977395564E-1
9.587554690E-1,3.701791167E-2,3.608580679E-2,2.179795653E-1
9.788507290E-1,-1.944106072E-2,6.058686972E-2,2.541985512E-1
9.989460420E-1,-4.500738904E-2,1.394163817E-1,2.755038142E-1
1.019041354E0,7.190529723E-3,1.948100924E-1,2.904174924E-1
1.039136667E0,7.110634446E-2,2.171806246E-1,3.063964546E-1
1.059231979E0,5.086633936E-2,2.225069404E-1,3.458112180E-1
1.079327292E0,8.255792782E-3,1.990711391E-1,3.937480748E-1
1.099422604E0,3.701791167E-2,1.862879843E-1,4.246407151E-1
1.119517917E0,1.296958476E-1,1.447426975E-1,4.107922912E-1
1.139613229E0,1.627190262E-1,5.952160433E-2,3.735080659E-1
1.159708542E0,-9.853689000E-3,6.378266215E-2,3.553985953E-1
1.179803854E0,-3.198454082E-1,2.054627240E-1,3.404848874E-1
1.199899167E0,-5.254412889E-1,2.874880135E-1,2.595248520E-1
1.219994479E0,-4.210454524E-1,2.992059290E-1,1.327584833E-1
1.240089792E0,-1.802958697E-1,2.555301189E-1,6.351634115E-2
1.260185104E0,-9.081372619E-2,2.310290486E-1,6.777740270E-2
1.280280417E0,-1.185105816E-1,1.639174372E-1,1.327584833E-1
1.300375729E0,-1.291632205E-1,7.443529367E-2,2.211753577E-1
1.320471042E0,-4.500738904E-2,-4.167843983E-2,2.605901062E-1
1.340566354E0,5.512739345E-2,-1.577921808E-1,2.904174924E-1
1.360661667E0,7.856319100E-2,-2.121206224E-1,3.426154256E-1
1.380756979E0,-4.527370445E-3,-1.918806136E-1,3.980091214E-1
1.400852292E0,-1.249021590E-1,-9.920267761E-2,4.310323000E-1
1.420947604E0,-1.366200596E-1,-6.085318699E-2,4.107922912E-1
1.441042917E0,-5.459476262E-2,-5.659212917E-2,3.596596420E-1
1.461138229E0,3.701791167E-2,-8.002793044E-2,3.287670016E-1
1.481233542E0,5.193160102E-2,-1.428784877E-1,3.117227852E-1
1.501328854E0,1.864211401E-3,-1.972069293E-1,3.063964546E-1
1.521424167E0,-8.788425475E-3,-2.334259003E-1,2.850911915E-1
