"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.165573176E1,3.211496383E1,1.189529764E2,9.878205972E0,1.330000043E0,1.005999985E2,3.790092468E0,2.500000000E0
4.265563582E1,3.211496218E1,1.189529916E2,1.023789341E1,1.320000052E0,9.919999695E1,3.790092468E0,2.500000000E0
4.365166149E1,3.211496031E1,1.189530062E2,1.040773240E1,1.299999952E0,9.680000305E1,3.790092468E0,2.500000000E0
4.465333957E1,3.211495828E1,1.189530217E2,1.051689947E1,1.309999943E0,1.000000000E2,3.790092468E0,2.500000000E0
4.565202649E1,3.211495520E1,1.189530366E2,1.071752760E1,1.309999943E0,1.010000000E2,3.790092468E0,2.500000000E0
4.665568707E1,3.211495233E1,1.189530519E2,1.078546437E1,1.330000043E0,1.014000015E2,3.790092468E0,2.500000000E0
4.765206592E1,3.211495024E1,1.189530673E2,1.059989270E1,1.330000043E0,9.809999847E1,3.790092468E0,2.500000000E0
4.865519967E1,3.211494837E1,1.189530825E2,1.070005842E1,1.309999943E0,9.819999695E1,3.790092468E0,2.500000000E0
4.965530524E1,3.211494635E1,1.189530974E2,1.069451158E1,1.320000052E0,9.900000000E1,3.790092468E0,2.500000000E0
5.065589217E1,3.211494477E1,1.189531127E2,1.066210893E1,1.320000052E0,9.730000305E1,3.790092468E0,2.500000000E0
5.165298040E1,3.211494294E1,1.189531283E2,1.080539452E1,1.419999957E0,9.769999695E1,3.790092468E0,2.500000000E0
5.265492503E1,3.211494092E1,1.189531433E2,1.088294687E1,1.370000005E0,9.790000153E1,3.790092468E0,2.500000000E0
5.365500701E1,3.211493765E1,1.189531588E2,1.043971285E1,1.360000014E0,1.004000015E2,3.790092468E0,2.500000000E0
5.465732685E1,3.211493471E1,1.189531736E2,1.083315172E1,1.340000033E0,9.950000000E1,3.790092468E0,2.500000000E0
5.565242670E1,3.211493144E1,1.189531889E2,1.064965360E1,1.350000024E0,9.890000153E1,3.790092468E0,2.500000000E0
5.665290654E1,3.211492873E1,1.189532039E2,1.071377707E1,1.370000005E0,9.619999695E1,3.790092468E0,2.500000000E0
5.765291961E1,3.211492680E1,1.189532189E2,1.081562158E1,1.379999995E0,9.290000153E1,3.790092468E0,2.500000000E0
5.865258961E1,3.211492613E1,1.189532340E2,1.056618024E1,1.379999995E0,8.830000305E1,3.790092468E0,2.500000000E0
5.965229435E1,3.211492612E1,1.189532490E2,1.033788921E1,1.450000048E0,8.769999695E1,3.790092468E0,2.500000000E0
6.065205607E1,3.211492640E1,1.189532637E2,1.008771848E1,1.399999976E0,8.809999847E1,3.790092468E0,2.500000000E0
6.165355659E1,3.211492679E1,1.189532777E2,1.008541409E1,1.399999976E0,8.940000153E1,3.790092468E0,2.500000000E0
6.265456810E1,3.211492672E1,1.189532914E2,9.790079884E0,1.409999967E0,8.990000153E1,3.790092468E0,2.500000000E0
6.365244170E1,3.211492588E1,1.189533053E2,9.812157171E0,1.399999976E0,9.250000000E1,3.790092468E0,2.500000000E0
6.465517346E1,3.211492366E1,1.189533190E2,9.337742239E0,1.399999976E0,9.609999847E1,3.790092468E0,2.500000000E0
6.565579794E1,3.211492105E1,1.189533326E2,9.347671014E0,1.399999976E0,9.850000000E1,3.790092468E0,2.500000000E0
6.665449081E1,3.211492017E1,1.189533466E2,9.546536258E0,1.379999995E0,9.500000000E1,3.790092468E0,2.500000000E0
6.765356654E1,3.211491998E1,1.189533611E2,9.267556946E0,1.399999976E0,9.200000000E1,3.790092468E0,2.500000000E0
6.865200044E1,3.211492017E1,1.189533758E2,8.762808547E0,1.429999948E0,8.990000153E1,3.790092468E0,2.500000000E0
6.965525685E1,3.211491870E1,1.189533908E2,8.707884795E0,1.399999976E0,9.319999695E1,3.790092468E0,2.500000000E0
7.065625737E1,3.211491754E1,1.189534065E2,8.736181136E0,1.399999976E0,9.359999847E1,3.790092468E0,2.500000000E0
7.165248122E1,3.211491701E1,1.189534214E2,8.312088651E0,1.360000014E0,8.900000000E1,3.790092468E0,2.500000000E0
7.265519221E1,3.211491803E1,1.189534347E2,8.627323214E0,1.159999967E0,8.040000153E1,3.790092468E0,2.500000000E0
7.365618768E1,3.211492397E1,1.189534443E2,8.869886051E0,1.200000048E0,6.020000076E1,3.790092468E0,2.500000000E0
7.466007299E1,3.211493458E1,1.189534508E2,8.657755960E0,1.379999995E0,3.559999847E1,3.790092468E0,2.500000000E0
7.565661758E1,3.211494871E1,1.189534526E2,9.419616318E0,1.340000033E0,1.530000019E1,3.790092468E0,2.500000000E0
7.665827409E1,3.211496405E1,1.189534510E2,9.252138735E0,1.389999986E0,5.199999809E0,3.790092468E0,2.500000000E0
7.765884992E1,3.211497935E1,1.189534479E2,9.328043612E0,1.409999967E0,1.700000048E0,3.790092468E0,2.500000000E0
7.865589278E1,3.211499430E1,1.189534450E2,9.075883219E0,1.370000005E0,8.000000119E-1,3.790092468E0,2.500000000E0
7.965646018E1,3.211500907E1,1.189534428E2,8.997365011E0,1.370000005E0,3.200000048E0,3.790092468E0,2.500000000E0
8.065207606E1,3.211502370E1,1.189534405E2,8.608025751E0,1.350000024E0,4.099999905E0,3.790092468E0,2.500000000E0
8.165512825E1,3.211503788E1,1.189534387E2,8.241632785E0,1.360000014E0,4.699999809E0,3.790092468E0,2.500000000E0
8.265623169E1,3.211505138E1,1.189534373E2,8.271477715E0,1.269999981E0,2.099999905E0,3.790092468E0,2.500000000E0
8.365146788E1,3.211506096E1,1.189534356E2,8.500046989E0,7.599999905E-1,3.597999878E2,3.790092468E0,2.500000000E0
8.465190695E1,3.211506410E1,1.189534340E2,8.594266044E0,0.000000000E0,0.000000000E0,3.790092468E0,2.500000000E0
8.565268054E1,3.211506298E1,1.189534306E2,8.594915907E0,0.000000000E0,0.000000000E0,3.790092468E0,2.500000000E0
8.665204512E1,3.211506227E1,1.189534290E2,8.598338101E0,0.000000000E0,0.000000000E0,3.790092468E0,2.500000000E0
8.765175262E1,3.211506486E1,1.189534288E2,8.759720498E0,6.000000238E-1,8.000000119E-1,3.790092468E0,2.500000000E0
8.865220002E1,3.211507367E1,1.189534302E2,9.129909890E0,1.159999967E0,7.500000000E0,3.790092468E0,2.500000000E0
8.965335241E1,3.211508494E1,1.189534327E2,8.858040952E0,1.250000000E0,1.180000019E1,3.790092468E0,2.500000000E0
9.065787601E1,3.211509648E1,1.189534368E2,9.265885241E0,1.279999971E0,1.689999962E1,3.790092468E0,2.500000000E0
9.165101741E1,3.211510734E1,1.189534422E2,9.163988540E0,1.240000010E0,2.170000076E1,3.790092468E0,2.500000000E0
9.265296934E1,3.211511839E1,1.189534487E2,9.333115387E0,1.309999943E0,2.720000076E1,3.790092468E0,2.500000000E0
9.365231648E1,3.211512810E1,1.189534571E2,9.378789843E0,1.240000010E0,3.829999924E1,3.790092468E0,2.500000000E0
9.465408194E1,3.211513532E1,1.189534672E2,9.617630292E0,1.279999971E0,5.120000076E1,3.790092468E0,2.500000000E0
