"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.014351764E1,3.212253281E1,1.189497027E2,1.969299472E1,6.300000191E0,2.647000122E2,3.790092468E0,2.500000000E0
4.114245873E1,3.212252818E1,1.189496337E2,1.946445685E1,6.380000114E0,2.655000000E2,3.790092468E0,2.500000000E0
4.214239358E1,3.212252057E1,1.189495679E2,1.919647435E1,6.400000095E0,2.620000000E2,3.790092468E0,2.500000000E0
4.314223707E1,3.212251423E1,1.189495021E2,1.913845472E1,6.429999828E0,2.615000000E2,3.790092468E0,2.500000000E0
4.414547832E1,3.212250445E1,1.189494351E2,1.827617287E1,6.539999962E0,2.627999878E2,3.790092468E0,2.500000000E0
4.514401852E1,3.212249832E1,1.189493666E2,1.798799960E1,6.500000000E0,2.642000122E2,3.790092468E0,2.500000000E0
4.614463894E1,3.212249386E1,1.189492955E2,1.774421023E1,6.539999962E0,2.668999939E2,3.790092468E0,2.500000000E0
4.714543868E1,3.212249429E1,1.189492254E2,1.760723790E1,6.360000134E0,2.718999939E2,3.790092468E0,2.500000000E0
4.814231498E1,3.212249652E1,1.189491566E2,1.723259396E1,6.369999886E0,2.743999939E2,3.790092468E0,2.500000000E0
4.914118358E1,3.212249600E1,1.189490912E2,1.682003051E1,6.110000134E0,2.690000000E2,3.790092468E0,2.500000000E0
5.015148930E1,3.212248884E1,1.189490335E2,1.637587422E1,5.610000134E0,2.633999939E2,3.790092468E0,2.500000000E0
5.114593701E1,3.212248211E1,1.189489807E2,1.579583816E1,5.070000172E0,2.632999878E2,3.790092468E0,2.500000000E0
5.214640186E1,3.212248134E1,1.189489231E2,1.572931748E1,5.250000000E0,2.666000061E2,3.790092468E0,2.500000000E0
5.314716363E1,3.212249036E1,1.189488658E2,1.558444467E1,5.409999847E0,2.822000122E2,3.790092468E0,2.500000000E0
