"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.554861938E0,-2.170002699E0,-1.583799005E0,-3.213151172E-2
1.576852563E0,-1.681031346E0,-1.506358743E0,-4.335048795E-1
1.598851000E0,-2.021457672E0,-1.534702897E0,-2.975437343E-1
1.618851000E0,-2.372932196E0,-2.072473764E0,3.281218931E-3
1.638852563E0,-2.387924671E0,-2.765683651E0,-4.872610271E-1
1.660851000E0,-2.669149399E0,-3.577366352E0,-8.870810270E-1
1.680851000E0,-3.321553469E0,-3.451126814E0,-4.797037542E-1
1.700851000E0,-3.564590693E0,-3.204982996E0,1.277581006E-1
1.720851000E0,-3.412328005E0,-2.669568300E0,-5.219930410E-1
1.740852563E0,-3.522318840E0,-1.926913261E0,-2.023290396E0
1.760852563E0,-3.503573895E0,-6.520200968E-1,-2.687562704E0
1.782851000E0,-2.688679695E0,7.351326942E-1,-2.326576233E0
1.802851000E0,-1.397904038E0,1.360484123E0,-2.470129490E0
1.822851000E0,-4.613777995E-1,1.003721356E0,-3.164596081E0
1.842851000E0,2.478367463E-2,9.217258096E-1,-3.638749599E0
1.862851000E0,3.910235763E-1,1.256026149E0,-3.677216768E0
1.882851000E0,8.057836294E-1,1.514142990E0,-3.582532644E0
1.902851000E0,1.306797862E0,3.251827717E0,-3.735004663E0
1.922851000E0,6.593155861E-1,3.474915504E0,-3.652991533E0
1.942851000E0,-1.862091720E-1,2.989103317E0,-2.681192160E0
1.962851000E0,-2.592861056E-1,2.324237585E0,-1.404117346E0
1.982851000E0,-3.512300551E-1,1.531962752E0,-6.443580985E-1
2.002851000E0,-6.089453697E-1,9.567720294E-1,-2.457249016E-1
2.022851000E0,-2.221804112E-1,1.321999669E0,-2.804220617E-1
2.042851000E0,1.954768784E-3,1.952552199E0,-7.765668035E-1
2.062851000E0,4.880289733E-1,2.299034834E0,-5.394114852E-1
2.082851000E0,2.806663811E-1,2.194385052E0,2.706831098E-1
2.102851000E0,-1.185706854E0,8.326267600E-1,1.184956431E0
2.122851000E0,-2.549123287E0,3.951425478E-2,1.615511656E0
2.142851000E0,-2.831604719E0,3.754203320E-1,8.980067968E-1
2.162851000E0,-1.416596532E0,2.969049454E0,-8.951619267E-1
2.182851000E0,3.195697963E-1,2.301111937E0,-1.662722826E0
2.202851000E0,1.915324330E-1,-5.103866458E-1,-9.066985250E-1
2.222852563E0,-1.256741762E0,-2.372705221E0,-7.844905853E-1
2.242852563E0,-2.707791090E0,-2.740900040E0,-3.810053766E-1
2.264852563E0,-3.146339893E0,-2.352895737E0,1.113520097E-2
2.286851000E0,-1.414484620E0,-1.712988257E0,-7.398799658E-1
2.306851000E0,-1.292067170E-1,-1.584968448E0,-4.138524830E-1
2.326852563E0,-1.124323606E0,-1.875199199E0,5.737071633E-1
2.348852563E0,-1.430244923E0,-1.729202390E0,4.462981522E-1
2.370851000E0,-9.287420511E-1,-1.515870810E0,1.522956848E0
2.390851000E0,-1.501192570E0,-3.179012537E0,2.029992342E0
2.410851000E0,-2.345705032E0,-1.293934703E0,1.443509459E0
2.430852563E0,-1.417818189E0,-1.316798568E0,1.342577100E0
2.452851000E0,-1.273985624E0,-2.039609194E0,6.231697798E-1
2.472851000E0,-1.786292076E0,-2.597172022E0,3.232349753E-1
2.492851000E0,-1.222812533E0,-2.882777691E0,4.761258066E-1
2.512851000E0,-8.971690536E-1,-2.987043619E0,1.010789990E0
2.532851000E0,-1.198273301E0,-2.859844208E0,1.968783736E0
2.552851000E0,-1.080917358E0,-2.405377865E0,1.286953449E0
2.572851000E0,-9.371545315E-1,-1.750861883E0,3.592760265E-1
2.592851000E0,-7.906516194E-1,-1.702586174E0,2.248682231E-1
2.612851000E0,-4.756895006E-1,-1.786553979E0,6.838723421E-1
2.632851000E0,-2.197893113E-1,-1.701573849E0,1.406194329E0
2.652851000E0,-2.474353313E-1,-1.722936630E0,1.759169698E0
2.672851000E0,-1.070584953E-1,-2.422953367E0,1.931468606E0
2.692851000E0,2.110103145E-2,-3.314048529E0,2.202378511E0
2.712851000E0,1.470789015E-1,-3.775792837E0,2.713236570E0
2.732851000E0,3.950378299E-1,-3.237987280E0,3.349409103E0
2.752851000E0,6.677978635E-1,-3.195505857E0,3.146479607E0
2.772851000E0,6.635916233E-1,-3.252752781E0,2.621955872E0
2.792851000E0,5.122366548E-1,-2.318268538E0,2.758929253E0
2.812851000E0,1.296971560E0,-1.630556345E0,3.118292570E0
2.832851000E0,1.546257019E0,-1.348999858E0,1.933283806E0
2.852851000E0,8.143182397E-1,-9.352172017E-1,7.932172418E-1
2.872851000E0,8.148942143E-2,-8.212122917E-1,8.552985787E-1
2.892851000E0,-2.138028294E-2,-5.199685097E-1,1.182635069E0
2.912851000E0,3.069336116E-1,4.399625957E-1,9.081820846E-1
2.932851000E0,9.749408960E-1,1.681519985E0,-8.740085363E-1
2.952851000E0,8.871159554E-1,1.886334419E0,-1.002290249E0
2.972852563E0,-3.169867098E-1,9.387428164E-1,1.024874806E0
2.992852563E0,-4.129798114E-1,-9.634217620E-2,2.489485264E0
3.014851000E0,-1.304703474E0,8.114035428E-2,6.155601740E-1
3.034852563E0,-1.557619095E0,9.943838716E-1,-3.153809905E-1
3.056851000E0,-1.251086950E0,1.202793598E0,-1.236338854E0
3.076851000E0,-7.131764293E-1,1.055173755E0,-1.861009717E0
3.096851000E0,-7.823787332E-1,1.424328327E0,-1.715466619E0
3.116851000E0,-9.305048585E-1,2.059785128E0,-2.150839090E0
3.136851000E0,-8.031306863E-1,1.697280288E0,-2.131047010E0
3.156852563E0,2.456550896E-1,6.508681774E-1,-1.166211605E0
3.176852563E0,1.073552012E0,2.656391077E-2,-1.174920797E0
3.196852563E0,6.383017898E-1,-1.027196050E0,-1.826417208E0
3.216852563E0,-3.837280869E-1,-1.477176905E0,-2.477529764E0
3.236857250E0,-1.861149311E0,-9.447641969E-1,-1.905690074E0
3.258852563E0,-2.145899773E0,-9.856572151E-1,-7.403861284E-1
3.278868188E0,-1.088020802E0,-2.543293834E-1,-9.124406576E-1
3.300852563E0,1.869771183E-1,1.390294313E0,-1.465570450E0
3.322851000E0,5.132489800E-1,2.910319090E0,-1.183437943E0
3.342851000E0,1.873960048E-1,3.220463991E0,-1.028103590E0
3.362851000E0,-2.290221006E-1,2.812301397E0,-1.152615428E0
3.382851000E0,-1.750041693E-1,1.395687461E0,-1.513305187E0
3.402852563E0,-7.852236181E-2,1.034561396E0,-1.233110070E0
3.424857250E0,3.972369432E-2,1.888865113E0,-8.374438882E-1
3.446851000E0,7.356562465E-2,3.381488085E0,-6.730862260E-1
3.466852563E0,-1.964018941E-1,3.019227505E0,-9.896191359E-1
3.488871313E0,-5.574581623E-1,1.558718681E0,-1.148775697E0
3.510851000E0,-3.307747841E-1,1.484175682E0,-1.015868902E0
3.530851000E0,-9.173450619E-2,1.953896046E0,-1.078805447E0
3.550852563E0,-1.027475297E-1,1.937821627E0,-1.179388762E0
3.572851000E0,-1.040216237E-1,1.700229883E0,-7.128448486E-1
3.592851000E0,-5.906194076E-2,1.303761005E0,-2.764077783E-1
3.612851000E0,1.245990545E-1,8.938529491E-1,-2.724458873E-1
3.632851000E0,2.634923458E-1,3.908664882E-1,-5.006477237E-1
3.652851000E0,4.377285838E-1,1.620189101E-1,-5.517160296E-1
3.672851000E0,5.252219439E-1,-1.423490494E-1,-4.661250710E-1
3.692851000E0,5.048888326E-1,-6.996501088E-1,-3.191858232E-1
3.712852563E0,3.631855547E-1,-1.359698772E0,-1.009149402E-1
3.734857250E0,5.050808191E-1,-1.697437406E0,1.392772701E-2
3.756852563E0,9.366832972E-1,-1.696320415E0,-5.232496932E-2
3.778851000E0,1.308647871E0,-1.952796578E0,2.801253460E-2
3.798851000E0,9.745569229E-1,-2.410282135E0,8.899259567E-1
3.818851000E0,2.991494350E-2,-2.370209455E0,1.793936610E0
3.838851000E0,-4.799481034E-1,-2.333173513E0,1.791126728E0
3.858857250E0,-1.736951619E-1,-2.294183016E0,8.423308134E-1
3.880851000E0,2.007128671E-3,-2.225783587E0,2.502802201E-2
3.900851000E0,1.300444752E-1,-1.984788418E0,-5.480508208E-1
3.920851000E0,3.211929500E-1,-1.731401563E0,-6.162583232E-1
3.940851000E0,6.607467532E-1,-1.441223025E0,-4.875402749E-1
3.960851000E0,6.385985017E-1,-1.419825315E0,-4.028918147E-1
3.980851000E0,2.379058301E-1,-1.184275746E0,3.504795730E-1
4.000851000E0,-2.076941775E-3,-1.160033107E0,8.851786256E-1
4.020852563E0,-2.674891651E-1,-1.020441651E0,5.437573195E-1
4.042851000E0,-9.241867661E-1,-1.088265181E0,-2.881887555E-1
4.062851000E0,-1.726095676E0,-1.142579794E0,-7.749785185E-1
4.082851000E0,-2.238349915E0,-1.246357083E0,-7.974234819E-1
4.102851000E0,-2.397803068E0,-1.448378921E0,-8.421562910E-1
4.122851000E0,-2.021894217E0,-9.873850942E-1,-8.705003858E-1
4.142851000E0,-7.929903269E-1,4.343600869E-1,-7.718194723E-1
4.162851000E0,5.453979373E-1,1.114549756E0,-5.917189717E-1
4.182851000E0,2.141990185E0,1.283270836E0,3.829601407E-1
4.202852563E0,1.769118071E0,1.818964720E0,1.203317285E0
4.224858813E0,9.158789515E-1,1.153243780E0,6.306223869E-1
4.246852563E0,1.645321846E-1,1.639771700E0,6.946410239E-2
4.268851000E0,-9.896714687E-1,2.069838285E0,-3.116285503E-1
4.288871313E0,-6.595948339E-1,-2.606300116E-1,1.970825791E-1
4.310852563E0,-5.161811113E-1,-1.061893225E0,-2.808409333E-1
4.332852563E0,-1.881464943E-2,5.061454722E-4,-5.124984980E-1
4.354866625E0,1.552295834E-1,1.725205541E0,-4.748342633E-1
4.376851000E0,2.763379812E-1,1.623383045E0,-6.830520630E-1
4.396852563E0,1.930159628E-1,1.307426095E0,-9.027715325E-1
4.418851000E0,-6.778684258E-1,9.189332724E-1,-7.865501046E-1
4.438851000E0,-1.589715719E0,6.548824310E-1,-5.885948539E-1
4.458851000E0,-2.017112017E0,8.559792638E-1,-2.709449232E-1
4.478852563E0,-1.733670473E0,1.416055441E0,-1.719672978E-1
4.500851000E0,-8.868017793E-1,1.593660116E0,-1.259953231E-1
4.520852563E0,-3.157649636E-1,1.828930497E0,-2.966535985E-1
4.542851000E0,-4.370304570E-2,2.339439392E0,-4.315326512E-1
4.562851000E0,5.708971992E-2,2.365322590E0,-3.694687486E-1
4.582851000E0,-2.029294372E-1,1.642337322E0,-4.400324225E-1
4.602851000E0,-6.928259134E-1,8.445473909E-1,-4.372224212E-1
4.622851000E0,-7.053922415E-1,5.902354717E-1,-3.925943673E-1
4.642851000E0,-1.405862719E-1,6.602755189E-1,-2.202081978E-1
4.662851000E0,3.193079829E-1,7.064045668E-1,-2.237512171E-2
4.682852563E0,4.710818231E-1,2.315353751E-1,-5.016076192E-2
4.704851000E0,4.412890375E-1,4.029965401E-2,-9.719738364E-2
4.724851000E0,6.797882915E-1,-3.393792808E-1,-7.620107383E-2
4.744854125E0,7.717322111E-1,-9.023177624E-1,2.373124212E-1
4.766851000E0,8.218755126E-1,-1.819104314E0,5.763076991E-2
4.786851000E0,4.987627268E-1,-2.578863621E0,-1.673421711E-1
4.806851000E0,3.489262164E-1,-3.046524525E0,-3.225193918E-1
4.826852563E0,7.049733996E-1,-3.298462868E0,-3.364471197E-1
4.848852563E0,1.532591105E0,-2.804063320E0,-5.206142664E-1
4.868852563E0,1.828511596E0,-1.946705341E0,-9.423381686E-1
4.888871313E0,2.605252981E0,-2.470722914E0,-9.182526469E-1
4.910851000E0,3.294727802E0,-1.845755458E0,-3.187494874E-1
4.930851000E0,1.701259732E0,-6.700144410E-1,-1.338667516E-2
4.950851000E0,1.059938431E0,-9.341874719E-1,1.719149351E-1
4.970851000E0,5.601809025E-1,-1.936634779E0,1.372352391E-1
4.990851000E0,2.292490005E-1,-2.740376472E0,9.339256585E-2
5.010851000E0,-1.031664088E-1,-3.013014317E0,8.991936594E-2
5.030851000E0,-8.193971515E-1,-2.943497658E0,-3.928736225E-2
5.050851000E0,-1.776832461E0,-2.467441797E0,-2.705783844E-1
5.070851000E0,-1.866455078E0,-1.326659679E0,-5.016425252E-1
5.090851000E0,-1.451555371E0,-5.388878584E-1,-7.715053558E-1
5.110851000E0,-1.154570222E0,-7.833910584E-1,-1.369524956E0
5.130851000E0,-1.582856536E0,-5.787162781E-1,-1.292643189E0
5.150851000E0,-1.882651806E0,2.771181345E0,-6.953391433E-2
5.170851000E0,-8.684234619E-1,1.231434464E0,2.816961333E-2
5.190851000E0,1.202933311E0,-1.020092607E0,5.933071971E-1
5.210851000E0,1.228135824E0,2.000670880E-1,6.553362012E-1
5.230852563E0,2.773851752E-1,3.530277610E-1,7.222172618E-2
5.252851000E0,-2.994635999E-1,1.503077596E-1,-2.596526444E-1
5.272851000E0,-5.898340344E-1,2.589719594E-1,-5.494994521E-1
5.292851000E0,-5.480508208E-1,6.257005036E-2,-1.092314363E0
5.312851000E0,-7.775092721E-1,-1.125580311E0,-1.329871058E0
5.332851000E0,-9.659001231E-1,-1.656020761E0,-1.105700970E0
5.352851000E0,-1.123503327E0,-8.000240326E-1,-8.332725167E-1
5.372851000E0,-1.306099653E0,1.827464461E0,-7.265107632E-1
5.392851000E0,-1.163349152E0,3.402379751E0,-1.441973567E0
5.412851000E0,-1.412006259E0,3.116128206E0,-2.195798635E0
5.432851000E0,-2.020637512E0,2.698017120E0,-2.234318256E0
5.452851000E0,-2.825670481E0,1.671658874E0,-1.720283747E0
5.472851000E0,-3.356215715E0,7.194945216E-1,-1.188569188E0
5.492851000E0,-3.005858421E0,8.493295908E-1,-7.290065885E-1
5.512851000E0,-2.160804987E0,1.273409724E0,-6.098005772E-1
5.532851000E0,-1.768699169E0,8.927184343E-1,-6.497162580E-1
5.552851000E0,-2.346246004E0,-7.779107094E-1,-8.535183668E-1
5.572851000E0,-2.294968367E0,-1.730284452E0,-1.402564049E0
5.592851000E0,-1.945885062E0,-2.689656973E0,-2.045299053E0
5.612851000E0,-1.565455556E0,-3.339286089E0,-3.103160381E0
5.632851000E0,-1.331703663E0,-2.288196564E0,-3.472751379E0
5.652851000E0,-1.662321329E0,-1.294458389E0,-1.427469850E0
5.672851000E0,-6.687752604E-1,-1.930334233E-2,3.942698836E-1
5.692851000E0,7.303853631E-1,1.849752307E0,2.568077445E-1
5.712851000E0,6.561914086E-1,2.557919741E0,3.512998819E-1
5.732851000E0,4.015129805E-1,1.788508654E0,4.020540416E-1
5.752851000E0,1.573937893E0,7.111867666E-1,-1.525417715E-2
5.772851000E0,3.319598675E0,-3.541447520E-1,-1.064825356E-1
5.792851000E0,4.399695873E0,-6.226636767E-1,-3.043854237E-1
5.812851000E0,3.688893080E0,6.038839221E-1,-3.557330072E-1
5.832851000E0,2.891207695E0,2.173982143E0,-1.823520064E-1
5.852851000E0,2.489171028E0,2.719676733E0,9.557422996E-2
5.872851000E0,1.993689656E0,1.528995633E0,3.810751736E-1
5.892851000E0,2.029294252E0,-2.016989708E0,-3.293436393E-2
5.912851000E0,2.089141607E0,-3.131539583E0,-5.377184749E-1
5.932851000E0,1.933039427E0,-2.262452841E0,-5.394638181E-1
5.952851000E0,2.148500204E0,-1.210193872E0,-2.145009674E-2
5.972851000E0,2.438242435E0,-2.491457462E-1,3.547381759E-1
5.992851000E0,2.323451996E0,-1.602945328E0,2.271022350E-1
6.012851000E0,2.117311239E0,-2.776783943E0,1.524894089E-1
6.032851000E0,2.044967413E0,-3.310243845E0,-1.192234382E-1
6.052851000E0,1.830222011E0,-3.143652201E0,-4.419871867E-1
6.072851000E0,1.074145436E0,-2.096960783E0,-5.872858167E-1
6.092852563E0,-7.710864395E-2,-8.573231697E-1,-3.231477141E-1
6.114858813E0,-1.080672979E0,-1.708502769E-1,6.085963175E-2
6.136852563E0,-1.798509479E0,6.148096919E-1,4.097684026E-1
6.156852563E0,-2.297865629E0,1.466390729E0,8.558745384E-1
6.176852563E0,-1.645566225E0,1.045242786E0,8.476017118E-1
6.198851000E0,5.922600031E-1,-8.447219133E-1,4.352501929E-1
6.218851000E0,4.619886577E-1,-1.096660137E0,5.981243253E-1
6.238858813E0,-3.056246042E-1,-1.426806599E-1,7.398974299E-1
6.260851000E0,-7.961668372E-1,-6.535909176E-1,4.043753445E-1
6.280851000E0,-1.602962732E0,6.133261323E-1,-8.400269598E-2
6.300851000E0,-1.212602377E0,2.197317123E0,-1.019621372E0
6.320851000E0,6.336767077E-1,2.142636061E0,-7.770031095E-1
6.340851000E0,-1.168253541E0,1.759030104E0,-1.407084465E-1
6.360851000E0,-3.359427214E0,1.703790426E0,1.560149789E-1
6.380851000E0,-4.711498737E0,1.867624521E0,-1.934173852E-1
6.400851000E0,-4.687884331E0,2.838847876E0,-5.416280031E-1
6.420851000E0,-2.935032845E0,4.194776535E0,-3.550174236E-1
6.440851000E0,-1.659005284E0,3.886900663E0,3.140545487E-1
6.460851000E0,-1.936146140E0,4.679053128E-1,6.530498266E-1
6.480851000E0,-2.374258757E0,-2.311112642E0,1.605877429E-1
6.500851000E0,-1.649563074E0,-2.410369396E0,-4.531572759E-1
6.520851000E0,-5.430591702E-1,-1.608984113E0,-3.639011383E-1
6.540851000E0,-3.213151097E-1,-4.937012792E-1,-7.731808722E-2
6.560851000E0,-1.142859101E0,4.198912978E-1,3.367612660E-1
6.580851000E0,-1.851270676E0,7.735822797E-1,3.662398756E-1
6.600893188E0,-1.812088132E0,7.252715826E-1,1.215621829E-1
6.622851000E0,-1.426317930E0,2.938087285E-1,-1.063254550E-1
6.642851000E0,-1.501384616E0,-1.122246683E-1,-2.176250964E-1
6.662851000E0,-1.375633597E0,-3.296926990E-2,-2.235592157E-1
6.682851000E0,-4.896346629E-1,6.765768528E-1,-1.663473248E-1
6.702851000E0,-8.604473434E-3,1.165652990E0,-9.044296294E-2
6.722851000E0,2.014109939E-1,1.550306201E0,1.918291301E-1
6.742851000E0,4.820948541E-1,1.698519468E0,4.063475430E-1
6.762851000E0,1.585299969E0,1.720091820E0,3.721216619E-1
6.782851000E0,2.973517418E0,1.109837413E0,4.478689432E-1
6.802851000E0,4.199558735E0,7.328986526E-1,3.860842884E-1
6.822851000E0,3.552652597E0,9.617462158E-1,6.170611382E-1
