"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.995312000E-3,-1.349999905E-1,2.552999854E-1,-1.939999908E-1
2.999687500E-2,3.689999878E-2,-1.840000004E-1,-3.321000040E-1
5.000312500E-2,7.313999534E-1,-1.271099925E0,-7.710000128E-2
7.999531200E-2,1.151000023E0,-2.294800043E0,1.469499946E0
9.999687500E-2,-3.222999871E-1,-2.174799919E0,1.895599961E0
1.299968750E-1,-7.602999806E-1,-1.776199937E0,-8.136000037E-1
1.500031250E-1,6.969999522E-2,-1.494300008E0,9.642999768E-1
1.799953120E-1,-1.523299932E0,-2.130800009E0,1.403800011E0
1.999968750E-1,-6.402999759E-1,-2.957399845E0,-6.239999831E-2
2.299937500E-1,-9.700999856E-1,6.861999631E-1,2.297099829E0
2.499953120E-1,-7.001000047E-1,-5.913000107E-1,2.418699980E0
2.799953120E-1,-7.981999516E-1,1.313000023E-1,4.265999794E-1
3.000015620E-1,-1.512099981E0,7.174999714E-1,5.138999820E-1
3.299937500E-1,-2.775999904E-1,-1.945099950E0,-8.587999940E-1
3.500046870E-1,-1.421999931E-1,-1.494799972E0,-3.894999921E-1
3.799937500E-1,3.355999887E-1,2.705999911E-1,4.409999773E-2
3.999937500E-1,8.017999530E-1,1.849000007E-1,-8.763999939E-1
4.199953120E-1,9.815999866E-1,3.484999835E-1,-1.121399999E0
4.400046870E-1,-3.064999878E-1,-1.609999873E-2,-1.213099957E0
4.699953120E-1,-9.652999640E-1,8.106999993E-1,1.739999950E-1
4.900000000E-1,-2.336999923E-1,1.130399942E0,-6.107000113E-1
5.199937500E-1,2.664999962E-1,1.911199927E0,-2.716300011E0
5.399953120E-1,-1.442299962E0,3.128000021E0,-1.720699906E0
5.600015620E-1,-1.764799953E0,2.766499996E0,-2.924499989E0
5.899937500E-1,-3.391000032E0,2.294499874E0,-3.427899837E0
6.099953120E-1,-1.899399996E0,3.386600018E0,-1.971599936E0
6.299953120E-1,-4.551999867E-1,1.475600004E0,5.677999854E-1
6.499953120E-1,-1.080999970E0,1.284600019E0,-1.480499983E0
6.699953120E-1,-1.718599916E0,2.031899929E0,5.162000060E-1
6.999953120E-1,-1.822399974E0,1.773899913E0,-1.352899909E0
7.199953120E-1,-6.877999902E-1,6.728000045E-1,-1.400599957E0
7.499953120E-1,7.759999484E-2,-8.757999539E-1,-2.093499899E0
7.699953120E-1,-2.899000049E-1,-7.795000076E-1,-4.608200073E0
7.899953120E-1,-7.849999666E-1,-5.877000093E-1,-3.896699905E0
8.099953120E-1,-4.222899914E0,-9.043999910E-1,1.383209991E1
8.399937500E-1,-2.963999987E0,-1.844199896E0,5.067599773E0
8.599953120E-1,-2.331500053E0,-6.241999865E-1,4.700099945E0
8.899953120E-1,-3.949999809E-1,-4.669999704E-2,4.429100037E0
9.099953120E-1,1.155999973E-1,-1.079900026E0,2.059700012E0
9.299953120E-1,-7.933999896E-1,-2.470499992E0,-1.698099971E0
9.599937500E-1,5.900999904E-1,-3.542799950E0,6.468999982E-1
9.799937500E-1,-1.536499977E0,-1.051699996E0,-4.312999845E-1
9.999937500E-1,-2.856699944E0,1.745799899E0,4.582999945E-1
1.019993750E0,-1.062099934E0,1.059399962E0,-1.996999979E-1
1.039995312E0,-3.892000020E-1,8.592999578E-1,-6.089000106E-1
1.059995312E0,-6.247000098E-1,1.180599928E0,-2.035199881E0
