"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.948235273E0,4.840064526E0,9.123180389E0
2.168276000E-2,-2.449975729E0,4.710708618E0,9.367518425E0
4.191697900E-2,-1.966089010E0,4.629262447E0,8.902795792E0
6.229916600E-2,-1.506157160E0,4.820900440E0,8.859677315E0
8.239135400E-2,-1.189953923E0,4.916719913E0,9.008196831E0
1.024835410E-1,-9.791518450E-1,4.931092739E0,9.276490211E0
1.225757290E-1,-3.946550786E-1,4.691544533E0,9.127970695E0
1.426679160E-1,-1.311524510E-1,4.533442974E0,8.902795792E0
1.627601040E-1,-9.456151724E-1,3.556087971E0,8.428491592E0
1.828528120E-1,4.198076129E-1,4.701126575E0,8.150615692E0
2.029455210E-1,7.360107899E-1,4.557397842E0,7.963768482E0
2.230382290E-1,1.181569815E0,4.332222939E0,7.484672546E0
2.431309370E-1,1.239061236E0,3.929782629E0,7.633192539E0
2.632235940E-1,5.491634607E-1,2.914099693E0,8.802186012E0
2.833157810E-1,-3.323726356E-1,2.478122473E0,1.014365387E1
3.034079690E-1,2.569150627E-1,2.712879419E0,1.007658005E1
3.235001560E-1,1.104914427E0,2.387094259E0,1.041194725E1
3.435923440E-1,1.698993206E0,1.855298162E0,1.128869247E1
3.636845830E-1,4.102256894E-1,1.448066831E0,1.182528019E1
3.837772910E-1,5.108358264E-1,8.971067071E-1,1.191630840E1
4.038700000E-1,-5.431747437E-1,-2.862596810E-1,1.232833004E1
4.239627080E-1,1.526518703E0,6.383950114E-1,1.280263519E1
4.440554160E-1,2.317026615E0,5.377849340E-1,1.262537003E1
4.641480210E-1,2.484710217E0,-3.712991625E-2,1.147554016E1
4.842402080E-1,2.815286160E0,-1.952314973E-1,9.817869186E0
5.043323960E-1,2.858404875E0,-6.264176369E-1,9.104016304E0
5.244245830E-1,1.162405968E0,-2.754800394E-2,9.583111763E0
5.445167710E-1,7.964966446E-2,4.802934527E-1,1.006220722E1
5.646091660E-1,-4.012426734E-2,9.066886306E-1,1.021551800E1
5.847018750E-1,-3.084178567E-1,1.151027441E0,9.645394325E0
6.047945830E-1,-2.030168027E-1,1.462439656E0,9.310027122E0
6.248872910E-1,-3.323726356E-1,1.912789583E0,9.099225044E0
6.449800000E-1,-5.096380711E-1,1.965490103E0,8.380581856E0
6.650725000E-1,-1.554066658E0,2.573941708E0,5.683272839E0
6.851646870E-1,-1.376801252E0,3.000336885E0,5.807837963E0
7.052568750E-1,-9.024965167E-1,3.053037405E0,7.767339230E0
7.253490620E-1,-9.551970959E-1,2.712879419E0,8.998615265E0
7.454412500E-1,-6.485758424E-1,3.244675636E0,9.755586624E0
7.655338020E-1,-7.539768815E-1,2.425421953E0,9.942433357E0
7.856265100E-1,-1.918179393E0,2.660178900E0,9.209417343E0
8.057192190E-1,-2.181682110E0,2.856608152E0,8.366209030E0
8.258119270E-1,-2.258337498E0,2.976382017E0,8.203316689E0
8.459046350E-1,-2.502676249E0,2.847026348E0,8.735112190E0
8.659970830E-1,-2.263128281E0,2.866190195E0,9.774749756E0
8.860892710E-1,-1.740913987E0,2.938054323E0,1.074252319E1
9.061814580E-1,-1.319309831E0,2.952427387E0,1.082876110E1
9.262736460E-1,-1.065389037E0,2.985964060E0,1.078564167E1
9.463658330E-1,-8.018864393E-1,3.311748981E0,1.059879494E1
9.664584890E-1,-2.748811543E-1,3.575251818E0,1.039278412E1
9.865511980E-1,-1.119886190E-1,3.460268736E0,9.803496361E0
1.006643906E0,-9.935247302E-1,3.666279793E0,8.931541443E0
1.026736614E0,-1.199535847E0,3.560878754E0,8.797394753E0
1.046829323E0,-9.551970959E-1,3.541714907E0,9.012988091E0
1.066921771E0,-6.006662250E-1,3.450686932E0,9.587903023E0
1.087013958E0,-6.964854002E-1,3.215929985E0,1.021551800E1
1.107106146E0,-9.312422872E-1,2.856608152E0,1.051255798E1
1.127198333E0,-1.108507752E0,2.626642227E0,1.060837650E1
1.147289375E0,-1.103716731E0,2.348766804E0,1.082396984E1
1.167375260E0,-2.497885227E0,1.840925217E0,1.071377754E1
1.187476666E0,-1.276191235E0,2.200247049E0,1.006699848E1
1.207568854E0,-6.294119954E-1,2.181083202E0,1.012448978E1
1.227661041E0,-2.317625433E-1,2.142755508E0,1.012448978E1
1.247753229E0,6.881012321E-1,1.936744452E0,1.029217339E1
1.267845416E0,1.061795831E0,2.032563448E0,1.063233185E1
1.287938021E0,6.066549420E-1,1.783433795E0,1.081438828E1
1.308030729E0,-3.898641467E-1,1.548676848E0,1.044069290E1
1.328123437E0,-6.389939189E-1,1.601377368E0,9.750795364E0
1.348216146E0,-4.617284834E-1,2.013399601E0,8.993824005E0
1.368308854E0,-3.515364826E-1,2.439794779E0,8.481191635E0
1.388401458E0,-3.611183763E-1,2.880563021E0,8.217689514E0
1.408493646E0,-3.179997802E-1,3.177602291E0,7.978141308E0
1.428585833E0,-4.761013687E-1,3.393195391E0,7.331362247E0
1.448678021E0,-5.383837819E-1,3.556087971E0,7.264288902E0
1.468771458E0,-3.515364826E-1,3.718980551E0,8.078751564E0
1.488850364E0,4.611296207E-2,3.723771334E0,8.989033699E0
1.508956354E0,6.785193086E-1,3.886663914E0,9.583111763E0
1.529048541E0,1.023468256E0,4.116630077E0,9.841823578E0
1.549140729E0,5.443724990E-1,4.087883949E0,1.002867126E1
