"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.446468700E-2,2.931250000E1,-3.781250000E1,-1.275000000E1
5.446156200E-2,2.931250000E1,-3.687500000E1,-1.531250000E1
7.446156200E-2,2.943750000E1,-3.575000000E1,-1.743750000E1
9.446156200E-2,2.912500000E1,-3.456250000E1,-1.975000000E1
1.144615620E-1,2.956250000E1,-3.275000000E1,-2.162500000E1
1.344615620E-1,2.962500000E1,-3.100000000E1,-2.393750000E1
1.544615620E-1,2.875000000E1,-2.831250000E1,-2.818750000E1
1.744678120E-1,2.687500000E1,-2.643750000E1,-3.131250000E1
2.044615620E-1,2.350000000E1,-2.500000000E1,-3.537500000E1
2.244693750E-1,2.200000000E1,-2.581250000E1,-3.568750000E1
2.544615620E-1,2.150000000E1,-2.843750000E1,-3.387500000E1
2.744693750E-1,2.175000000E1,-3.031250000E1,-3.181250000E1
3.044615620E-1,2.162500000E1,-3.318750000E1,-2.850000000E1
3.344600000E-1,2.237500000E1,-3.475000000E1,-2.606250000E1
3.544600000E-1,2.262500000E1,-3.512500000E1,-2.512500000E1
3.744631250E-1,2.268750000E1,-3.493750000E1,-2.506250000E1
4.044615620E-1,2.356250000E1,-3.525000000E1,-2.443750000E1
4.344600000E-1,2.337500000E1,-3.543750000E1,-2.500000000E1
4.544600000E-1,2.275000000E1,-3.562500000E1,-2.625000000E1
4.744600000E-1,2.150000000E1,-3.581250000E1,-2.737500000E1
4.944600000E-1,2.000000000E1,-3.600000000E1,-2.806250000E1
5.144662500E-1,1.956250000E1,-3.612500000E1,-2.750000000E1
5.444631250E-1,1.850000000E1,-3.650000000E1,-2.693750000E1
5.744600000E-1,1.668750000E1,-3.637500000E1,-2.737500000E1
5.944600000E-1,1.562500000E1,-3.662500000E1,-2.750000000E1
6.144600000E-1,1.543750000E1,-3.712500000E1,-2.687500000E1
6.344600000E-1,1.550000000E1,-3.750000000E1,-2.618750000E1
6.544600000E-1,1.500000000E1,-3.837500000E1,-2.568750000E1
