"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.739476875E0,-3.239680231E-1,7.981390506E-2,-8.286823332E-2
1.759476875E0,-3.961199224E-1,1.018574163E-1,-1.485275198E-2
1.779478438E0,-4.007450342E-1,3.143338114E-2,-4.372049868E-2
1.801476875E0,-3.583509922E-1,-4.363323096E-4,-1.487020552E-1
1.821476875E0,-3.010518551E-1,1.729621366E-2,-1.855634004E-1
1.841476875E0,-2.480985522E-1,-7.543312758E-2,-1.659633517E-1
1.861476875E0,-1.815316975E-1,-2.341010123E-1,-1.430995464E-1
1.881476875E0,-1.409876943E-1,-3.455402851E-1,-1.549677849E-1
1.901476875E0,-1.291020066E-1,-2.567728460E-1,-1.291543692E-1
1.921481563E0,-7.965682447E-2,4.572762642E-3,-7.058111578E-2
1.943476875E0,1.014036313E-2,2.594082952E-1,-5.422737822E-2
1.965476875E0,-8.040732145E-2,-1.622807086E-1,-1.747249067E-1
1.985476875E0,-3.848451078E-1,-9.753947258E-1,-4.684463739E-1
2.005476875E0,-3.942698836E-1,-6.722659469E-1,-6.156125069E-1
2.025476875E0,-7.812093943E-2,1.855808645E-1,-3.547381759E-1
2.045476875E0,2.564237714E-1,7.254111767E-1,4.897394031E-2
2.065476875E0,4.070282280E-1,3.263067603E-1,2.509608865E-1
2.085476875E0,4.319689870E-1,-3.560122550E-1,1.030616909E-1
2.105476875E0,3.437600434E-1,-7.828848958E-1,-2.443111837E-1
2.125476875E0,1.431693584E-1,-7.013081908E-1,-4.872610271E-1
2.145481563E0,-1.054702476E-1,-3.058689535E-1,-4.958131313E-1
2.167476875E0,-3.183829486E-1,1.701172441E-1,-2.774550021E-1
2.187480000E0,-3.529055715E-1,3.574259877E-1,-5.005604401E-2
2.209476875E0,-1.776221544E-1,3.224495649E-1,1.415462047E-1
2.229476875E0,5.604252219E-2,2.505943775E-1,2.355845422E-1
