"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.543040276E-3,3.212143636E1,1.189488232E2,1.994830513E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
4.130740166E-1,3.212157628E1,1.189487920E2,1.994794583E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.443621993E0,3.212154129E1,1.189487765E2,1.994801593E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.288046002E1,3.212145694E1,1.189487373E2,1.994792128E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.936210907E1,3.212136928E1,1.189486168E2,1.994736099E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.538388002E1,3.212134736E1,1.189488054E2,1.994871831E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.580905008E1,3.212132412E1,1.189487018E2,1.994737625E1,-1.000000000E0,-1.000000000E0,4.006152510E1,4.006152510E1
3.227160108E1,3.212124033E1,1.189488387E2,1.994857788E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
3.940704703E1,3.212115785E1,1.189487356E2,1.994762635E1,-1.000000000E0,-1.000000000E0,4.646033292E1,4.646033292E1
4.331042409E1,3.212106054E1,1.189486146E2,1.994728804E1,-1.000000000E0,-1.000000000E0,5.091279891E1,5.091279891E1
5.110609806E1,3.212108471E1,1.189487569E2,1.994890189E1,-1.000000000E0,-1.000000000E0,6.732379188E1,6.732379188E1
5.712966108E1,3.212087870E1,1.189489685E2,1.994910669E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.420757401E1,3.212078408E1,1.189490261E2,1.994912696E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
7.068433309E1,3.212063397E1,1.189490484E2,1.994925737E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
7.670186400E1,3.212067860E1,1.189490895E2,1.994939113E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.129425770E2,3.212047931E1,1.189489938E2,1.994910288E1,-1.000000000E0,-1.000000000E0,5.985635519E1,5.985635519E1
1.185390460E2,3.212029316E1,1.189490984E2,1.994999719E1,-1.000000000E0,-1.000000000E0,5.985635519E1,5.985635519E1
1.245553961E2,3.212032534E1,1.189488844E2,1.994828701E1,-1.000000000E0,-1.000000000E0,5.922830745E1,5.922830745E1
1.325235960E2,3.212011488E1,1.189489833E2,1.994944501E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.389839940E2,3.212000133E1,1.189489373E2,1.994908309E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.450289201E2,3.212002448E1,1.189488683E2,1.994870424E1,-1.000000000E0,-1.000000000E0,5.187979475E1,5.187979475E1
1.515136840E2,3.211993232E1,1.189490363E2,1.994982719E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.579848230E2,3.211985871E1,1.189492735E2,1.995076084E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.640121400E2,3.211980613E1,1.189493551E2,1.995058107E1,-1.000000000E0,-1.000000000E0,4.575200000E1,4.575200000E1
1.704468750E2,3.211970174E1,1.189494138E2,1.995082283E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.769283510E2,3.211965340E1,1.189494422E2,1.995089102E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.834448180E2,3.211960256E1,1.189494005E2,1.995071769E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.899205201E2,3.211953179E1,1.189494769E2,1.995127010E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.964243250E2,3.211939780E1,1.189496046E2,1.995185041E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.029337690E2,3.211941611E1,1.189495285E2,1.995108986E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.094399080E2,3.211941835E1,1.189495429E2,1.995142889E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.154663681E2,3.211925551E1,1.189496254E2,1.995198250E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.158771130E2,3.211926523E1,1.189496338E2,1.995188904E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.223822280E2,3.211923348E1,1.189496184E2,1.995212603E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
