"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.322208348E-3,-1.475853311E-1,1.536122024E-2,-3.096621090E-1
2.426820830E-2,-1.272218909E-1,6.260613799E-3,-4.189705431E-1
4.421420832E-2,-9.807355743E-2,2.625399828E-3,-5.822160333E-1
6.416020833E-2,-1.614690330E-1,1.073121947E-1,-5.381362134E-1
8.410620835E-2,-2.263688144E-1,1.980946031E-1,-4.033690023E-1
1.040522083E-1,-2.505659084E-1,1.740780419E-1,-2.702401811E-1
1.239982083E-1,-1.709353097E-1,1.494016224E-1,-2.061868572E-1
1.439442083E-1,-1.247452296E-1,9.320490986E-2,-2.297540599E-1
1.638892083E-1,-7.438155323E-2,1.199535826E-1,-2.346394086E-1
1.838352083E-1,-1.756178331E-2,1.290030259E-1,-3.559580237E-1
2.037812083E-1,1.488464293E-1,2.473819533E-1,-4.550326610E-1
2.237272083E-1,1.775945574E-1,2.847044384E-1,-4.996808302E-1
2.436732083E-1,2.190282199E-1,2.949923220E-1,-4.359011561E-1
2.636192083E-1,2.686496653E-1,2.562527642E-1,-3.495079601E-1
2.835655417E-1,3.862466738E-1,2.971499446E-1,-4.081362373E-1
3.035115417E-1,3.830304129E-1,4.081011540E-1,-4.089180100E-1
3.234575416E-1,4.326544896E-1,5.001591325E-1,-4.072714341E-1
3.434035417E-1,5.712756736E-1,5.085110030E-1,-4.255451524E-1
3.633495417E-1,5.894232383E-1,5.316788408E-1,-3.526426524E-1
3.832945417E-1,6.413522874E-1,5.983715978E-1,-2.022177672E-1
4.032405416E-1,5.643666036E-1,5.380271628E-1,-8.439403296E-2
4.231865417E-1,5.099553383E-1,4.478628051E-1,2.495591640E-2
4.431325417E-1,4.938745451E-1,3.766925427E-1,9.057921767E-3
4.630785417E-1,4.640690942E-1,3.655158824E-1,-2.466402340E-1
4.830245416E-1,4.399693564E-1,4.273168588E-1,-4.867163837E-1
5.029705417E-1,3.162511902E-1,4.621434599E-1,-5.857506752E-1
5.229165417E-1,1.927703478E-1,4.950714701E-1,-5.363832182E-1
5.428625417E-1,8.740512975E-2,5.666823202E-1,-4.657547003E-1
5.628085416E-1,8.472929768E-2,6.493259892E-1,-4.212667447E-1
5.827545417E-1,1.897558889E-1,6.291861320E-1,-4.884302026E-1
6.026995417E-1,3.175635977E-1,4.564544114E-1,-5.232357538E-1
6.226455417E-1,4.400059015E-1,2.948546201E-1,-3.926767838E-1
6.425915416E-1,4.740041714E-1,2.944909233E-1,-2.519202697E-1
6.625375416E-1,5.160642169E-1,3.530189207E-1,-1.836639673E-1
6.824835417E-1,5.066906916E-1,3.468667728E-1,-1.471521986E-1
7.024295417E-1,4.134121069E-1,3.259410498E-1,-1.835791826E-1
7.223755416E-1,3.546704668E-1,3.445354879E-1,-2.080152816E-1
7.423215416E-1,3.396934086E-1,4.953410268E-1,-1.562264925E-1
7.622675417E-1,2.951252000E-1,5.788883829E-1,-6.939650953E-2
7.822135417E-1,2.223435181E-1,5.925945488E-1,-5.919487238E-2
8.021595416E-1,1.578811084E-1,6.448584241E-1,1.165578121E-1
8.221055417E-1,1.743367081E-1,7.027718791E-1,2.931741303E-1
8.420515417E-1,3.979063142E-1,6.702245227E-1,4.240289694E-1
8.619965417E-1,5.766699493E-1,5.470371374E-1,3.546453238E-1
8.819425417E-1,5.829296860E-1,5.325208399E-1,2.339476830E-1
9.018885416E-1,2.713965411E-1,5.911628580E-1,2.368169117E-1
9.218345417E-1,-1.722727141E-1,3.637383288E-1,8.245158792E-1
9.417805417E-1,-3.479935312E-1,6.592589468E-2,1.010810509E0
9.617265417E-1,-3.120533279E-1,-5.289040446E-1,1.132187596E0
9.816725416E-1,-2.167074600E-1,-1.154395321E0,1.150470670E0
1.001618542E0,-3.511542436E-1,-1.526986627E0,1.141886373E0
1.021564542E0,-5.557160135E-1,-1.718083867E0,8.073513776E-1
1.041510542E0,-6.905441818E-1,-1.671931209E0,8.423674285E-2
1.061456542E0,-8.388371721E-1,-1.351961336E0,-9.496147192E-1
1.081402542E0,-1.022959561E0,-8.083749327E-1,-2.168950387E0
1.101348542E0,-1.318667290E0,-2.221287060E-1,-3.314545648E0
1.121293542E0,-1.434966655E0,-2.420250267E-2,-3.541209455E0
1.141239542E0,-1.640524060E0,1.061064988E-1,-2.488623514E0
1.161185542E0,-1.848828486E0,-5.885251790E-2,-2.085385489E0
1.181131542E0,-1.896696132E0,-7.191578239E-2,-1.830787194E0
1.201077542E0,-1.907760087E0,4.753727853E-2,-1.689216163E0
1.221023542E0,-1.649010708E0,2.286805111E-1,-1.156325487E0
1.240969542E0,-1.706833532E0,2.104939163E-1,-8.424159604E-1
1.260915542E0,-2.232043013E0,7.338828671E-1,1.875354087E-1
1.280861542E0,-2.995297906E0,1.759816322E0,2.661316935E0
1.300807167E0,-2.552039491E0,1.286505557E0,1.278251043E0
1.320753167E0,-1.747250656E0,1.300855502E0,-4.686484873E-1
1.340699167E0,-1.592088064E0,1.263453494E0,-8.163484883E-1
1.360645167E0,-1.738475739E0,1.033159152E0,-9.583282399E-1
1.380591167E0,-1.841556596E0,9.555867729E-1,-4.335511601E-1
1.400536167E0,-1.604962317E0,1.037008666E0,7.701250792E-2
1.420482167E0,-1.509913196E0,8.619725579E-1,4.182928509E-1
1.440428167E0,-7.775723854E-1,5.867923567E-1,5.940888047E-2
1.460374167E0,-2.979661428E-1,2.675937313E-1,1.616971475E-1
1.480320167E0,2.541980526E-1,2.427392641E-1,4.525856012E-1
1.500266167E0,5.320343515E-1,6.233979732E-2,1.271820860E0
1.520212167E0,9.233342622E-1,1.617515266E-2,1.388712548E0
1.540158167E0,1.103688559E0,2.068978786E-2,1.112067327E0
1.560104167E0,9.541331550E-1,2.729375017E-1,1.274971340E0
1.580050167E0,6.455035181E-1,3.197631741E-1,1.452402175E0
1.599996167E0,3.905061512E-1,-1.823889819E-1,1.281557643E0
1.619942167E0,1.271117440E-1,-9.045589989E-1,1.184146539E0
1.639888167E0,1.418274316E-1,-1.505887241E0,8.990170079E-1
1.659834167E0,3.657243356E-1,-1.642231739E0,3.780002725E-1
1.679780167E0,7.140825869E-1,-1.500640242E0,-4.570862031E-1
1.699725167E0,7.161757439E-1,-1.126281031E0,-9.200962204E-1
1.719671167E0,5.151739052E-1,-8.080664921E-1,-1.042486630E0
1.739617167E0,3.692136616E-1,-7.064687812E-1,-1.182468388E0
1.759563167E0,4.129625291E-1,-7.281137118E-1,-1.077507944E0
1.779509167E0,-2.846526906E-2,-7.737214091E-1,-1.068082232E0
1.799455167E0,-4.844758768E-1,-6.542361885E-1,-1.238530907E0
1.819401167E0,-6.250448415E-1,-5.015101317E-1,-1.555274579E0
1.839347167E0,-7.465439893E-1,-2.512206504E-1,-1.690971497E0
1.859293167E0,-3.410316901E-1,-2.046189263E-1,-1.655087720E0
1.879239167E0,-4.062936334E-1,-5.612634131E-1,-1.537941093E0
1.899185167E0,-4.563357130E-2,-4.619081095E-1,-1.599381296E0
1.919131167E0,5.872972637E-2,-1.290658835E-1,-1.549736681E0
1.939077167E0,5.065852225E-2,4.209995270E-2,-1.136442615E0
1.959023167E0,-2.351530865E-1,1.223854396E-1,-6.997339582E-1
1.978969167E0,-4.538007988E-1,2.710815954E-1,-4.656079352E-1
1.998915167E0,-3.116723818E-1,2.518448406E-1,1.108632088E-2
2.018861167E0,-3.580602439E-1,1.474235094E-1,3.341362149E-1
2.038807167E0,-5.257007937E-1,3.889079610E-1,4.166614777E-1
2.058753167E0,-6.749710000E-1,3.989660490E-1,5.349974281E-1
2.078699167E0,-5.579953312E-1,2.902247947E-1,6.053832865E-1
2.098645167E0,-4.209178852E-1,2.952674335E-1,3.867213947E-1
2.118590167E0,-6.699923882E-1,4.522704363E-1,7.944845796E-2
2.138536167E0,-4.613270424E-1,1.413037842E0,-2.484949708E-1
2.158482167E0,-3.835894798E-1,3.341841328E0,-4.108148468E-1
2.178428167E0,-2.762214442E-1,3.856762633E0,-4.919098806E-1
2.198374167E0,-3.092165512E-1,2.076804992E0,-1.996338826E-1
2.218320167E0,-6.677868184E-1,1.568267092E-1,1.158602393E-1
2.238266167E0,-1.135044399E0,-1.666827467E0,4.636374235E-1
2.258212167E0,-1.333386047E0,-2.604917032E0,5.344682550E-1
2.278158167E0,-1.841505872E0,-2.926297253E0,7.545159370E-1
2.298104292E0,-1.694492252E0,-3.415238502E0,3.199456072E-1
2.318050292E0,-9.643545265E-1,-3.068137256E0,-1.715397656E-1
2.337996292E0,-1.115235787E-1,-2.634157788E0,-6.405823553E-1
2.357942292E0,9.043663332E-1,-1.568301298E0,-9.807727772E-1
2.377888292E0,1.237479870E0,1.696367893E-1,-1.356289153E0
2.397834292E0,1.043030933E0,1.573068533E0,-1.347667433E0
2.417780292E0,7.020249704E-1,1.379585629E0,-9.313866091E-1
2.437726292E0,4.022429748E-1,7.679500611E-1,-7.821077782E-1
2.457672292E0,-1.194823701E-2,3.911876442E-1,-3.956319666E-1
2.477618292E0,-1.176219323E-1,1.569265504E-1,1.795960593E-1
2.497564292E0,-2.756562559E-1,1.892158985E-2,4.952638435E-1
2.517510292E0,-4.942921094E-1,-3.431644620E-1,6.855760950E-1
2.537456292E0,-3.291299750E-1,-8.193255982E-1,6.606552619E-1
2.557402292E0,-2.768991365E-1,-7.742963366E-1,4.398994821E-1
2.577348292E0,-5.161029547E-1,-7.369009075E-1,4.621645099E-1
