"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.600000000E0,-5.215528980E-2,7.298676372E-1,9.756553650E0
1.620000000E0,-2.111973315E-1,8.076887131E-1,9.867779732E0
1.640000000E0,-2.136106789E-1,7.725322843E-1,1.009933662E1
1.660000000E0,-6.404968351E-2,6.813514829E-1,9.929846764E0
1.680000000E0,-5.866751820E-2,4.654232562E-1,9.729595184E0
1.700000000E0,-3.410683870E-1,4.858984351E-1,9.740531921E0
1.720000000E0,-5.123016834E-1,6.099755764E-1,9.742371559E0
1.740000000E0,-5.174922943E-1,7.568454742E-1,9.882708549E0
1.760000000E0,-4.331398308E-1,8.703210354E-1,9.785849571E0
1.780001563E0,-5.712948442E-1,1.130972981E0,1.002263546E1
1.802001563E0,-2.597517371E-1,1.245186090E0,1.002823830E1
1.822001563E0,-1.807143353E-2,1.098976970E0,9.931924820E0
1.844001563E0,-2.471007705E-1,1.213477135E0,9.758641243E0
1.866000000E0,-5.384654999E-1,1.454707384E0,9.813191414E0
1.886000000E0,-5.573414564E-1,1.532863617E0,9.846604347E0
1.906000000E0,-1.597028375E-1,1.061522007E0,9.893597603E0
1.926000000E0,-4.603092074E-1,1.104043007E0,9.932297707E0
1.946006250E0,-5.491436720E-1,1.047846317E0,9.695904732E0
1.968001563E0,-6.295313835E-1,1.178675056E0,9.720535278E0
1.988001563E0,-4.841937721E-1,1.064864278E0,9.798097610E0
2.008001563E0,-4.983099997E-1,1.026882648E0,1.018140984E1
2.028001563E0,-2.492268234E-1,8.882200718E-1,1.009172249E1
2.048001563E0,-4.874594510E-3,9.790561199E-1,1.017091370E1
2.070001563E0,3.744148314E-1,8.261432648E-1,1.041154003E1
2.090001563E0,3.022248745E-1,1.098593831E0,1.068326283E1
2.110001563E0,4.105194211E-1,9.631107450E-1,1.031886482E1
2.130029688E0,7.790732384E-2,1.265613317E0,9.763228416E0
2.152012500E0,6.001785025E-2,1.261811256E0,9.479075432E0
2.174001563E0,-2.647316456E-1,1.283071876E0,9.563945770E0
2.194001563E0,-4.031931460E-1,1.136786103E0,9.406732559E0
2.214001563E0,-5.273947716E-1,1.156150341E0,9.437579155E0
2.236001563E0,-3.023110628E-1,8.886606693E-1,9.767002106E0
2.258000000E0,-2.348903418E-1,7.378355265E-1,1.021409607E1
2.278000000E0,-2.045414448E-1,6.920200586E-1,1.002748108E1
2.298000000E0,-3.903123438E-1,7.706743479E-1,9.446208000E0
2.318000000E0,-4.636036456E-1,7.933235765E-1,8.968498230E0
2.338000000E0,-6.398264766E-1,9.753785729E-1,9.274687767E0
2.358018750E0,-7.626203299E-1,9.581307769E-1,9.452337265E0
2.380000000E0,-7.411012053E-1,8.014446497E-1,9.611599922E0
2.400000000E0,-9.247077703E-1,1.059357643E0,9.483950615E0
2.420004688E0,-8.881626725E-1,1.289698958E0,9.445508957E0
2.442000000E0,-7.222444415E-1,1.398596883E0,9.780840874E0
2.462004688E0,-7.515782714E-1,1.449593425E0,1.030788040E1
2.484001563E0,-6.726174355E-1,1.390102267E0,1.075952339E1
2.506000000E0,-5.827965736E-1,1.367663860E0,1.068610764E1
2.526004688E0,-4.309275746E-1,1.332296610E0,1.034675312E1
2.546034375E0,-4.578671157E-1,1.341950059E0,9.872691154E0
2.568000000E0,-4.855536819E-1,1.459486246E0,9.683588028E0
2.588000000E0,-5.701456070E-1,1.558031440E0,9.846624374E0
2.608000000E0,-4.204314053E-1,1.508280039E0,9.795158386E0
2.628000000E0,-3.351403475E-1,1.431522012E0,9.768103600E0
2.648000000E0,-3.326790929E-1,1.376694679E0,9.637389183E0
2.668000000E0,-3.104896545E-1,1.443157673E0,9.320128441E0
2.688000000E0,-4.109407663E-1,1.568211675E0,8.962186813E0
2.708000000E0,-6.322320700E-1,1.736686945E0,8.725552559E0
2.728000000E0,-8.276371956E-1,1.678316236E0,8.740158081E0
2.748000000E0,-1.055938721E0,1.582146049E0,9.185450554E0
2.768000000E0,-9.826282263E-1,1.278733492E0,9.802819252E0
2.788000000E0,-7.681652308E-1,1.104167461E0,1.039515400E1
2.808000000E0,-3.931949437E-1,9.230988026E-1,1.048230362E1
2.828000000E0,-1.389020085E-1,1.063734293E0,1.002099800E1
2.848000000E0,-7.659529895E-2,1.378303647E0,9.440240860E0
2.868000000E0,-2.226607502E-1,1.644299388E0,9.271383286E0
2.889998438E0,-1.974067241E-1,1.611058354E0,9.264707565E0
2.910000000E0,-2.608434856E-1,1.661547184E0,9.261921883E0
2.930007813E0,-1.110718101E-1,1.567234874E0,9.211958885E0
2.952001563E0,-1.931833476E-1,1.582576871E0,8.745195389E0
2.972004688E0,-3.358490169E-1,1.606902003E0,8.264276505E0
2.994001563E0,-6.035112143E-1,1.607629895E0,7.862261772E0
3.016001563E0,-9.856066108E-1,1.756108642E0,7.861207962E0
3.038000000E0,-7.060883641E-1,1.846264601E0,8.685531616E0
3.058000000E0,-3.410300910E-1,1.752727985E0,9.334973335E0
3.078000000E0,-5.519401431E-1,1.797221899E0,9.332876205E0
3.098000000E0,-6.187287569E-1,1.915332675E0,8.830831528E0
3.118003125E0,-7.393869758E-1,2.074527740E0,8.496226311E0
3.140007813E0,-5.677131414E-1,1.831765413E0,8.719567299E0
3.160017188E0,-6.918476820E-1,1.728785992E0,9.232558250E0
3.182001563E0,-1.154091477E0,1.778757811E0,9.733291626E0
3.202004688E0,-1.149331808E0,1.682884455E0,9.730753899E0
3.224000000E0,-8.883445859E-1,1.752172589E0,9.696201324E0
3.244000000E0,-7.760661244E-1,1.794798970E0,9.828561783E0
3.264001563E0,-8.838147521E-1,1.872639298E0,1.002885151E1
3.284001563E0,-8.203588128E-1,1.979918599E0,1.022220707E1
3.306000000E0,-5.028876662E-1,1.978807688E0,1.071109390E1
3.326000000E0,-5.333610773E-1,1.840643048E0,1.081610394E1
3.346000000E0,-5.966542363E-1,1.786294699E0,1.052788830E1
3.366000000E0,-8.887276985E-3,1.359494805E0,1.065102768E1
3.386000000E0,1.354639232E-1,9.373778701E-1,1.132921886E1
3.406000000E0,4.090254381E-2,6.718130112E-1,1.159037781E1
3.426000000E0,-1.757248193E-1,3.775751889E-1,1.155011749E1
3.446001563E0,-1.512848139E-1,1.731582433E-1,1.113548088E1
3.468000000E0,-4.047924876E-1,1.805706918E-1,1.081417751E1
3.488000000E0,-2.969001830E-1,1.829553246E-1,1.060016537E1
3.508000000E0,1.080359593E-1,1.469177902E-1,1.006365299E1
3.528000000E0,2.100385278E-1,3.234662116E-1,9.745453835E0
3.548001563E0,3.501280546E-1,4.858409762E-1,9.453064919E0
3.570000000E0,1.219893619E-1,8.536861539E-1,9.108108521E0
3.590000000E0,1.040615812E-1,1.254475474E0,8.714079857E0
3.610000000E0,1.540142000E-1,1.251889825E0,8.706811905E0
3.630000000E0,1.069537848E-1,9.564740062E-1,8.848586082E0
3.650000000E0,-1.116272584E-1,6.402957439E-1,8.892629623E0
3.672000000E0,-2.648753226E-1,6.829316616E-1,8.837055206E0
3.692000000E0,-1.247857977E-2,6.883234382E-1,8.640827179E0
3.712009375E0,1.221904755E-1,1.101936102E0,8.586095810E0
3.734000000E0,4.201153517E-1,1.239909172E0,8.588029861E0
3.754000000E0,6.243024468E-1,1.065419793E0,8.741230011E0
3.774001563E0,2.338369042E-1,9.303101897E-1,9.073325157E0
3.796000000E0,-2.743755281E-1,9.637044668E-1,9.309308052E0
3.816000000E0,-5.910900831E-1,1.249026299E0,9.412966728E0
3.836000000E0,-4.833893180E-1,1.598359466E0,9.653440475E0
3.856000000E0,-1.192695573E-1,1.794013619E0,1.013110256E1
3.876000000E0,7.508216798E-2,1.868779778E0,1.041257477E1
3.896000000E0,2.791639045E-2,1.783881307E0,1.024988365E1
3.916004688E0,-5.972096696E-2,1.788401604E0,9.826579094E0
3.938001563E0,-1.411621273E-2,1.752795100E0,9.461156845E0
3.960000000E0,-2.175563276E-1,1.683142900E0,9.572985649E0
3.980000000E0,-3.142916560E-1,1.521093726E0,1.010569572E1
4.000000000E0,-3.732464612E-1,1.486981153E0,1.027391243E1
4.020000000E0,-2.062748373E-1,1.328082919E0,1.004844570E1
4.040000000E0,-2.020706236E-2,1.064078927E0,1.000542641E1
4.060000000E0,3.638420403E-1,7.100531459E-1,1.061766243E1
4.080000000E0,3.444202840E-1,3.996305764E-1,1.132406616E1
4.100000000E0,5.268201604E-2,1.164635494E-1,1.132054234E1
4.120025000E0,-3.548877239E-1,-1.160708964E-1,1.070845032E1
4.142006250E0,-4.042657614E-1,6.947015226E-2,9.967827797E0
4.164000000E0,8.522401005E-2,4.211017787E-1,9.693155289E0
4.184000000E0,7.978246212E-1,7.496245503E-1,9.688117981E0
4.204001563E0,9.037249684E-1,1.010439277E0,9.483624458E0
4.226000000E0,4.478497803E-1,9.776099920E-1,8.985065460E0
4.246000000E0,-2.563423812E-1,1.097865939E0,8.954697609E0
4.266000000E0,-5.381112099E-1,9.991195202E-1,9.246023178E0
4.286000000E0,-7.820898890E-1,1.008064270E0,9.648115158E0
4.306000000E0,-9.694218636E-1,1.472501040E0,9.519412994E0
4.326000000E0,-3.615627885E-1,1.823452711E0,9.056249619E0
4.346000000E0,2.451949865E-1,1.907431722E0,8.601380348E0
4.366001563E0,3.909252584E-1,1.849109054E0,8.717959404E0
4.387998438E0,-7.487147301E-2,1.562139988E0,9.594955444E0
4.408000000E0,-5.278257132E-1,1.197838306E0,1.010951614E1
4.428000000E0,-1.005172014E0,1.469944119E0,1.022300148E1
4.449998438E0,-6.592003107E-1,1.716326594E0,1.027841282E1
4.470000000E0,-1.757056713E-1,1.813387632E0,1.030800629E1
4.490000000E0,-4.739561677E-2,1.679388762E0,1.075778008E1
4.510000000E0,-1.827733666E-1,1.404620767E0,1.095075321E1
4.530009375E0,-3.319895864E-1,1.528036952E0,1.060285664E1
4.552010938E0,-2.494758181E-2,1.767964721E0,1.042240047E1
4.574000000E0,3.564200103E-1,1.735125899E0,1.095231438E1
4.594000000E0,2.562849224E-1,1.757142901E0,1.123482037E1
4.614000000E0,2.256774604E-1,1.327805042E0,1.143993664E1
4.634001563E0,1.732635945E-1,8.885456920E-1,1.154889202E1
4.656000000E0,4.075888917E-2,1.037886500E0,1.100345421E1
4.676000000E0,3.059119284E-1,9.653325081E-1,1.050499153E1
4.696000000E0,1.073081136E0,5.866177082E-1,1.047100258E1
4.716001563E0,1.291815400E0,1.165880412E-1,1.096870995E1
4.738001563E0,1.142149210E0,-4.866454601E-1,1.206267738E1
4.760000000E0,6.141797304E-1,-6.379781365E-1,1.235803604E1
4.780000000E0,2.638027370E-1,-1.076433137E-1,1.199249935E1
4.800000000E0,2.676717564E-2,5.944036841E-1,1.081209946E1
4.820000000E0,1.644050479E-1,1.132313728E0,9.538394928E0
4.840000000E0,-2.173743546E-1,1.840911269E0,8.523223877E0
4.860000000E0,-6.125708818E-1,2.091699123E0,8.128477097E0
4.880000000E0,-6.834679842E-1,2.216724396E0,8.247958183E0
4.900000000E0,-9.625839591E-1,2.306526184E0,8.572449684E0
4.920001563E0,-1.230370760E0,2.300837517E0,9.047850609E0
4.942000000E0,-7.981215119E-1,1.644682527E0,9.449991226E0
4.962001563E0,-7.195916772E-1,1.819258094E0,1.012317276E1
4.984001563E0,-6.294835210E-1,2.677148342E0,1.031424046E1
5.006000000E0,-9.085516334E-1,2.247111559E0,1.092942619E1
5.026000000E0,-1.359810829E-1,2.228235602E-1,1.096374893E1
5.046000000E0,-7.124474049E-1,1.217288852E0,7.033312321E0
5.066000000E0,-1.536244273E0,3.131711781E-1,1.031115627E1
5.086001563E0,-1.377432108E0,1.242447019E0,1.105017948E1
5.108000000E0,-1.789541245E0,2.086594820E0,1.086461926E1
5.128000000E0,-1.802536964E0,1.663654208E0,1.028114223E1
5.148003125E0,-1.713309884E0,4.677982926E-1,1.026483345E1
5.170000000E0,-1.608644962E0,-1.542249024E-1,9.899363518E0
5.190000000E0,-1.335504889E0,1.541004032E-1,7.838242531E0
5.210000000E0,-1.082581401E0,3.515837491E-1,8.206576347E0
5.230000000E0,7.599579692E-1,1.853112102E0,7.026828766E0
5.250000000E0,5.190246105E-1,6.689878702E-1,1.030588913E1
5.270000000E0,6.405255795E-1,6.980342865E-1,1.207416058E1
5.290000000E0,-2.934142053E-1,1.814278245E0,1.083742046E1
5.310000000E0,-8.057541847E-1,2.029545546E0,9.785916328E0
5.330035938E0,-9.393697977E-1,2.759068251E0,7.650843620E0
5.352004688E0,-1.841457129E0,1.447170377E0,8.256988525E0
5.372004688E0,4.723185301E-1,1.415241361E0,8.293006897E0
5.392006250E0,9.384025931E-1,-6.732207537E-1,9.756697655E0
5.414001563E0,9.808374047E-1,-9.313349128E-1,1.168984318E1
5.436001563E0,-6.032430530E-1,1.343913227E-1,1.099456596E1
5.458000000E0,-7.737293839E-1,4.388093054E-1,1.018585396E1
5.478000000E0,-5.536064506E-1,1.425392866E0,7.782094002E0
5.498000000E0,-2.897271514E-1,2.020639181E0,8.092037201E0
5.518000000E0,5.526200533E-1,2.652229548E0,9.091109276E0
5.538001563E0,9.437559843E-1,2.049551487E0,1.030053616E1
5.560000000E0,4.965191483E-1,1.797921062E0,1.050589180E1
5.580000000E0,1.108132303E-1,1.410041094E0,1.037780190E1
5.600000000E0,3.213689029E-1,8.644983768E-1,1.022222614E1
5.620000000E0,5.469985008E-1,2.495964766E0,8.886338234E0
5.640000000E0,-1.825626642E-1,2.761989594E0,8.432531357E0
5.660000000E0,-4.365204275E-1,8.444157839E-1,9.146826744E0
5.680000000E0,-3.486340642E-1,2.993901372E-1,1.346650410E1
5.700000000E0,3.249889612E-1,6.245514750E-1,1.158794594E1
