"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.133545156E1,3.211973909E1,1.189495623E2,2.602252212E1,6.556624770E-1,1.151836014E1,4.699999809E0,4.699999809E0
4.233521718E1,3.211974936E1,1.189495692E2,2.604061819E1,7.315381169E-1,4.690457153E1,4.699999809E0,4.699999809E0
4.334914895E1,3.211975460E1,1.189495769E2,2.611379144E1,7.837234735E-1,4.473281860E1,4.699999809E0,4.699999809E0
4.434596145E1,3.211976414E1,1.189495814E2,2.611003534E1,8.502025008E-1,1.454795933E1,4.699999809E0,4.699999809E0
4.532748281E1,3.211977493E1,1.189495848E2,2.607337536E1,9.315804839E-1,1.434282112E1,4.699999809E0,4.699999809E0
4.632664895E1,3.211978583E1,1.189495887E2,2.595336748E1,9.359136820E-1,4.315401077E1,4.948055744E0,4.948055744E0
4.733781562E1,3.211979628E1,1.189495886E2,2.593526604E1,8.879408836E-1,2.732004356E1,4.672047615E0,4.672047615E0
4.832824270E1,3.211980945E1,1.189495903E2,2.597186578E1,7.976117134E-1,2.144745445E1,4.507592201E0,4.507592201E0
4.933781353E1,3.211982414E1,1.189495920E2,2.595814433E1,8.470727205E-1,3.563939819E2,4.312234402E0,4.312234402E0
5.032314739E1,3.211983462E1,1.189495882E2,2.583604013E1,9.951986670E-1,3.545338440E2,4.070063591E0,4.070063591E0
5.133454426E1,3.211985052E1,1.189495806E2,2.594458589E1,1.038731098E0,3.531330566E2,3.759741306E0,3.759741306E0
5.232868280E1,3.211986221E1,1.189495784E2,2.579706592E1,1.012168407E0,3.483506165E2,3.673147678E0,3.673147678E0
5.333528697E1,3.211987278E1,1.189495767E2,2.561734701E1,1.016758323E0,3.488616333E2,3.617334843E0,3.617334843E0
5.434738437E1,3.211988491E1,1.189495725E2,2.559269386E1,1.044101000E0,3.522161560E2,3.651204586E0,3.651204586E0
5.534365155E1,3.211989867E1,1.189495658E2,2.546379360E1,1.060669422E0,3.454586487E2,3.880255222E0,3.880255222E0
5.634563437E1,3.211991311E1,1.189495588E2,2.547507537E1,1.014032125E0,3.432832642E2,3.962883472E0,3.962883472E0
5.734454635E1,3.211992603E1,1.189495498E2,2.551053362E1,1.034934282E0,3.453961182E2,4.146328926E0,4.146328926E0
5.832939062E1,3.211993654E1,1.189495419E2,2.542308321E1,8.621701598E-1,3.460765991E2,4.505851269E0,4.505851269E0
5.933720780E1,3.211994737E1,1.189495335E2,2.544920985E1,8.164396286E-1,3.440076294E2,4.591146946E0,4.591146946E0
6.033639218E1,3.211995962E1,1.189495315E2,2.541824776E1,1.074775696E0,3.522088623E2,4.531022549E0,4.531022549E0
6.133106978E1,3.211997111E1,1.189495307E2,2.523509754E1,1.317899585E0,3.554442749E2,4.802112103E0,4.802112103E0
6.233499634E1,3.211998327E1,1.189495293E2,2.491748710E1,1.222146749E0,3.553983154E2,4.860165596E0,4.860165596E0
6.334767291E1,3.211999374E1,1.189495283E2,2.472518231E1,8.868356347E-1,3.566069641E2,4.929836750E0,4.929836750E0
6.434469218E1,3.212000435E1,1.189495273E2,2.460554740E1,1.060558319E0,3.591352234E2,4.991422176E0,4.991422176E0
6.533474322E1,3.212001705E1,1.189495252E2,2.453720626E1,1.134928703E0,3.510447998E2,4.699999809E0,4.699999809E0
6.633797239E1,3.212003056E1,1.189495213E2,2.456673376E1,1.142513752E0,3.417856140E2,4.699999809E0,4.699999809E0
6.734475936E1,3.212004212E1,1.189495162E2,2.443163690E1,1.056601405E0,3.373493347E2,4.699999809E0,4.699999809E0
6.834302291E1,3.212005494E1,1.189495123E2,2.434846409E1,1.122129440E0,3.426886292E2,4.699999809E0,4.699999809E0
6.932436457E1,3.212006724E1,1.189495095E2,2.426758317E1,1.127622247E0,3.515689697E2,4.699999809E0,4.699999809E0
7.034241353E1,3.212007988E1,1.189495071E2,2.413640800E1,1.126893163E0,3.580506287E2,4.699999809E0,4.699999809E0
7.133429114E1,3.212009036E1,1.189495057E2,2.384504094E1,1.093620896E0,1.082324505E1,4.699999809E0,4.699999809E0
7.232671405E1,3.212009983E1,1.189495102E2,2.350030490E1,1.040316582E0,2.600869560E1,4.699999809E0,4.699999809E0
7.333015364E1,3.212010984E1,1.189495136E2,2.320180752E1,1.071413398E0,1.203328800E1,4.699999809E0,4.699999809E0
7.434048801E1,3.212012082E1,1.189495166E2,2.295677444E1,1.097066998E0,3.567680969E2,4.985920906E0,4.985920906E0
7.533892030E1,3.212013325E1,1.189495146E2,2.282938034E1,1.149774075E0,3.520771790E2,4.666149139E0,4.666149139E0
7.633955884E1,3.212014645E1,1.189495120E2,2.262800197E1,1.102761745E0,3.562481995E2,4.597460747E0,4.597460747E0
7.734050988E1,3.212015537E1,1.189495071E2,2.233544106E1,9.978240728E-1,2.345492172E1,4.451565742E0,4.451565742E0
7.832949530E1,3.212015982E1,1.189495143E2,2.205597619E1,9.610601664E-1,7.895962524E1,4.252202034E0,4.252202034E0
7.933568697E1,3.212016238E1,1.189495187E2,2.196799943E1,1.052056670E0,1.076729736E2,4.347209454E0,4.347209454E0
8.034791770E1,3.212016468E1,1.189495243E2,2.176760940E1,1.131447077E0,1.063101807E2,4.562481880E0,4.562481880E0
8.132875988E1,3.212016749E1,1.189495364E2,2.162577686E1,1.003055692E0,9.770147705E1,4.501123428E0,4.501123428E0
8.233382499E1,3.212017019E1,1.189495509E2,2.158527047E1,9.439193606E-1,9.481167603E1,4.419042587E0,4.419042587E0
8.334047395E1,3.212017288E1,1.189495648E2,2.142346724E1,1.110756159E0,8.938063812E1,4.233664513E0,4.233664513E0
8.433770103E1,3.212017590E1,1.189495784E2,2.126746927E1,1.158578277E0,8.319065094E1,4.187444687E0,4.187444687E0
8.534036092E1,3.212018093E1,1.189495933E2,2.137747174E1,1.236435533E0,8.119573212E1,3.938652754E0,3.938652754E0
8.634819165E1,3.212018582E1,1.189496055E2,2.138499577E1,1.228713036E0,7.873879242E1,3.967967272E0,3.967967272E0
8.734135467E1,3.212019185E1,1.189496165E2,2.135409907E1,1.224603176E0,7.646988678E1,3.901078463E0,3.901078463E0
8.833451457E1,3.212019751E1,1.189496282E2,2.102204948E1,1.238967061E0,7.564264679E1,4.051462650E0,4.051462650E0
8.933798592E1,3.212020053E1,1.189496400E2,2.060050195E1,1.215494990E0,7.515987396E1,4.156934261E0,4.156934261E0
9.033920884E1,3.212020260E1,1.189496571E2,2.097393852E1,1.228267789E0,7.546286774E1,4.334262848E0,4.334262848E0
9.135403540E1,3.212020765E1,1.189496686E2,2.098123969E1,1.230510354E0,7.958510590E1,4.428408623E0,4.428408623E0
9.233367603E1,3.212021982E1,1.189496781E2,2.115001716E1,1.244226694E0,7.209462738E1,4.589820862E0,4.589820862E0
9.333839426E1,3.212022736E1,1.189496927E2,2.112659789E1,1.285821438E0,7.075247955E1,4.648857117E0,4.648857117E0
9.434562342E1,3.212023204E1,1.189497056E2,2.084982496E1,1.340619802E0,7.592597961E1,4.545104504E0,4.545104504E0
9.533754894E1,3.212023565E1,1.189497189E2,2.063323451E1,1.378148198E0,7.225751495E1,4.457253456E0,4.457253456E0
9.633184894E1,3.212024044E1,1.189497327E2,2.044481739E1,1.364194512E0,7.100345612E1,4.545858860E0,4.545858860E0
9.734282394E1,3.212024316E1,1.189497448E2,2.022760748E1,1.325312853E0,7.229940796E1,4.736753464E0,4.736753464E0
9.834668384E1,3.212024589E1,1.189497564E2,2.008123912E1,1.363180280E0,7.574328613E1,4.764081001E0,4.764081001E0
9.934623124E1,3.212024788E1,1.189497680E2,1.975840101E1,1.365450740E0,7.564956665E1,4.965768814E0,4.965768814E0
1.003518302E2,3.212025295E1,1.189497805E2,1.946827038E1,1.340909600E0,7.600120544E1,4.699999809E0,4.699999809E0
1.013345297E2,3.212025636E1,1.189497929E2,1.911797125E1,1.289641857E0,7.894094849E1,4.699999809E0,4.699999809E0
1.023307203E2,3.212025920E1,1.189498052E2,1.887956840E1,1.278863549E0,7.615450287E1,4.917626858E0,4.917626858E0
1.033306224E2,3.212026230E1,1.189498183E2,1.868773907E1,1.263943076E0,7.746329498E1,4.799859524E0,4.799859524E0
1.043399187E2,3.212026588E1,1.189498309E2,1.858553846E1,1.284393549E0,7.596234131E1,4.552729130E0,4.552729130E0
1.053425057E2,3.212026968E1,1.189498423E2,1.852113221E1,1.262037992E0,7.091153717E1,4.637269020E0,4.637269020E0
1.063344547E2,3.212027471E1,1.189498519E2,1.851177430E1,1.213675261E0,7.285985565E1,4.552969933E0,4.552969933E0
1.073468146E2,3.212027849E1,1.189498621E2,1.840754635E1,1.190869808E0,7.983060455E1,4.425305367E0,4.425305367E0
1.083459890E2,3.212028075E1,1.189498728E2,1.831845605E1,1.156720161E0,8.930624390E1,4.429009914E0,4.429009914E0
1.093422890E2,3.212028029E1,1.189498827E2,1.830994742E1,1.073747039E0,1.077130432E2,4.590976715E0,4.590976715E0
1.103379526E2,3.212027799E1,1.189498937E2,1.818910366E1,1.048844218E0,1.326630707E2,4.248908043E0,4.248908043E0
1.113332380E2,3.212027336E1,1.189499005E2,1.781974579E1,1.100609541E0,1.541519470E2,4.166386127E0,4.166386127E0
1.123440656E2,3.212026658E1,1.189499042E2,1.776204410E1,1.177244544E0,1.708229828E2,4.225728512E0,4.225728512E0
1.133251318E2,3.212025991E1,1.189499058E2,1.786953604E1,1.234326124E0,1.754539948E2,4.175317764E0,4.175317764E0
1.143282911E2,3.212025318E1,1.189499046E2,1.820359081E1,1.263227820E0,1.669331055E2,4.002839565E0,4.002839565E0
1.153218140E2,3.212024619E1,1.189499055E2,1.795470793E1,1.201090693E0,1.694550629E2,4.139624596E0,4.139624596E0
1.163224062E2,3.212023659E1,1.189499086E2,1.801427683E1,1.228492737E0,1.653866425E2,4.205765724E0,4.205765724E0
1.173364995E2,3.212022703E1,1.189499114E2,1.813034191E1,1.221825480E0,1.678163147E2,4.237637520E0,4.237637520E0
1.183321713E2,3.212021811E1,1.189499145E2,1.833450589E1,1.210810423E0,1.693477478E2,4.305715561E0,4.305715561E0
1.193199620E2,3.212020845E1,1.189499164E2,1.829695199E1,1.178171754E0,1.659739838E2,4.367705345E0,4.367705345E0
1.203401958E2,3.212019984E1,1.189499200E2,1.830520136E1,9.747657180E-1,1.651684875E2,4.417984962E0,4.417984962E0
1.213446854E2,3.212019601E1,1.189499217E2,1.831658041E1,7.425087690E-1,1.633059235E2,4.523905277E0,4.523905277E0
1.223330474E2,3.212019572E1,1.189499213E2,1.842526304E1,7.232193947E-1,1.485232086E2,4.596477032E0,4.596477032E0
1.233325463E2,3.212020005E1,1.189499215E2,1.858865400E1,4.067868888E-1,1.495611572E2,4.630192757E0,4.630192757E0
1.243444474E2,3.212020237E1,1.189499222E2,1.853062670E1,1.402461678E-1,4.984042740E1,4.864531517E0,4.864531517E0
1.253377932E2,3.212020325E1,1.189499231E2,1.814308787E1,2.824197114E-1,9.072647095E0,4.699999809E0,4.699999809E0
1.263347177E2,3.212021031E1,1.189499284E2,1.794100875E1,6.164932847E-1,1.806227326E0,4.699999809E0,4.699999809E0
1.273367416E2,3.212021762E1,1.189499324E2,1.800306342E1,8.577680588E-1,3.368476152E0,4.699999809E0,4.699999809E0
1.283313036E2,3.212023881E1,1.189499362E2,1.788616860E1,9.240642786E-1,1.128388023E1,4.699999809E0,4.699999809E0
1.293318812E2,3.212025563E1,1.189499408E2,1.807303490E1,8.390700817E-1,2.728636360E1,4.699999809E0,4.699999809E0
1.303244213E2,3.212026642E1,1.189499489E2,1.819050370E1,8.406490088E-1,6.429016876E1,4.968945026E0,4.968945026E0
1.313485323E2,3.212027514E1,1.189499591E2,1.828582332E1,8.798661828E-1,9.142590332E1,4.591071129E0,4.591071129E0
1.323459625E2,3.212028209E1,1.189499713E2,1.863062783E1,9.453523755E-1,9.518920898E1,4.466542244E0,4.466542244E0
1.333376338E2,3.212028697E1,1.189499830E2,1.885814046E1,9.257649183E-1,9.534631348E1,4.314866543E0,4.314866543E0
