"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.000312500E-2,-6.799999624E-2,1.008000001E-1,1.228999943E-1
5.000000000E-2,-8.289999515E-2,8.760000020E-2,2.040999979E-1
7.000312500E-2,-9.160000086E-2,-5.499999970E-2,-2.631999850E-1
1.000000000E-1,4.829999804E-2,5.399999674E-3,-8.410000056E-2
1.200000000E-1,-5.799999926E-3,1.105000004E-1,2.509999871E-1
1.400000000E-1,-9.699999355E-3,2.009999938E-2,4.095999897E-1
1.600031250E-1,5.229999870E-2,-1.652999967E-1,6.424999833E-1
1.900000000E-1,2.518999875E-1,-2.029999942E-1,4.998999834E-1
2.100046880E-1,2.078000009E-1,-6.019999832E-2,6.218999624E-1
2.400000000E-1,6.659999490E-2,2.461999953E-1,1.315999925E-1
2.600046880E-1,2.777000070E-1,1.991999894E-1,-1.049999967E-1
2.900000000E-1,2.518999875E-1,-9.789999574E-2,-2.379999869E-2
3.100046880E-1,-2.809999883E-2,1.083000004E-1,1.893000007E-1
3.300187500E-1,3.859999776E-2,1.062999964E-1,-4.600000009E-2
3.600093750E-1,5.389999971E-2,4.059999809E-2,-2.026999891E-1
3.900000000E-1,-8.419999480E-2,-3.399999812E-3,8.909999579E-2
4.100046880E-1,-2.336999923E-1,8.240000159E-2,1.859999895E-1
4.400015630E-1,-2.157000005E-1,7.800000161E-2,1.757999957E-1
4.600031250E-1,-9.519999474E-2,-1.049999967E-1,9.730000049E-2
4.900015630E-1,-2.355999947E-1,-1.198999956E-1,-2.009999938E-2
5.200000000E-1,-1.338000000E-1,-1.679999940E-2,-1.378999949E-1
5.400000000E-1,-1.290999949E-1,3.130000085E-2,-4.129999876E-2
5.600000000E-1,-2.599000037E-1,9.629999846E-2,1.914999932E-1
5.800000000E-1,-2.538000047E-1,2.060000002E-1,1.006999984E-1
6.000000000E-1,2.300000004E-2,2.499999944E-3,1.185999960E-1
