"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.941853438E0,2.568750000E1,3.675000000E1,3.062500000E0
1.961855000E0,2.593750000E1,3.662500000E1,4.187500000E0
1.991853438E0,2.518750000E1,3.687500000E1,4.875000000E0
2.011853438E0,2.418750000E1,3.743750000E1,4.750000000E0
2.031855000E0,2.350000000E1,3.756250000E1,5.187500000E0
2.061853438E0,2.212500000E1,3.793750000E1,6.000000000E0
2.081853438E0,2.206250000E1,3.781250000E1,6.375000000E0
2.101855000E0,2.243750000E1,3.762500000E1,6.687500000E0
2.131858125E0,2.275000000E1,3.743750000E1,7.625000000E0
2.161853438E0,2.287500000E1,3.668750000E1,1.000000000E1
2.181861250E0,2.287500000E1,3.643750000E1,1.206250000E1
2.211853438E0,2.325000000E1,3.506250000E1,1.443750000E1
2.231867500E0,2.443750000E1,3.425000000E1,1.537500000E1
2.261853438E0,2.631250000E1,3.300000000E1,1.550000000E1
2.281859688E0,2.581250000E1,3.218750000E1,1.731250000E1
2.311853438E0,2.418750000E1,3.106250000E1,2.012500000E1
2.331858125E0,2.262500000E1,3.118750000E1,2.125000000E1
2.361853438E0,2.112500000E1,3.256250000E1,2.062500000E1
2.381862813E0,2.006250000E1,3.293750000E1,2.131250000E1
2.411853438E0,1.737500000E1,3.368750000E1,2.275000000E1
2.431861250E0,1.568750000E1,3.362500000E1,2.375000000E1
2.461853438E0,1.262500000E1,3.381250000E1,2.518750000E1
2.481858125E0,1.087500000E1,3.350000000E1,2.631250000E1
2.511853438E0,1.081250000E1,3.306250000E1,2.625000000E1
2.531867500E0,1.250000000E1,3.268750000E1,2.562500000E1
2.561853438E0,1.375000000E1,3.287500000E1,2.462500000E1
2.581856563E0,1.287500000E1,3.343750000E1,2.425000000E1
2.611853438E0,1.168750000E1,3.256250000E1,2.643750000E1
2.631864375E0,1.118750000E1,3.143750000E1,2.787500000E1
2.661853438E0,1.137500000E1,3.037500000E1,2.918750000E1
2.681862813E0,1.143750000E1,3.012500000E1,2.950000000E1
2.711853438E0,1.056250000E1,3.062500000E1,2.937500000E1
2.731853438E0,1.025000000E1,3.081250000E1,2.931250000E1
2.751853438E0,1.050000000E1,3.068750000E1,2.962500000E1
2.771853438E0,1.056250000E1,3.000000000E1,3.018750000E1
2.791853438E0,1.012500000E1,2.918750000E1,3.106250000E1
2.811853438E0,9.125000000E0,2.887500000E1,3.181250000E1
2.831853438E0,7.562500000E0,2.868750000E1,3.200000000E1
2.851853438E0,6.312500000E0,2.912500000E1,3.218750000E1
2.871853438E0,5.312500000E0,2.912500000E1,3.212500000E1
2.891855000E0,4.500000000E0,2.893750000E1,3.237500000E1
2.921853438E0,4.375000000E0,2.906250000E1,3.231250000E1
2.941853438E0,4.125000000E0,2.975000000E1,3.187500000E1
2.961855000E0,3.687500000E0,3.087500000E1,3.093750000E1
2.991853438E0,3.062500000E0,3.331250000E1,2.831250000E1
3.011853438E0,4.000000000E0,3.450000000E1,2.681250000E1
3.031855000E0,6.250000000E0,3.525000000E1,2.525000000E1
3.061855000E0,8.875000000E0,3.618750000E1,2.281250000E1
3.081855000E0,1.000000000E1,3.643750000E1,2.168750000E1
3.101855000E0,9.812500000E0,3.700000000E1,2.031250000E1
3.131853438E0,1.006250000E1,3.768750000E1,1.900000000E1
3.151855000E0,1.087500000E1,3.781250000E1,1.837500000E1
3.171855000E0,1.137500000E1,3.825000000E1,1.737500000E1
3.201853438E0,1.250000000E1,3.881250000E1,1.587500000E1
3.221855000E0,1.281250000E1,3.906250000E1,1.462500000E1
3.251855000E0,1.331250000E1,3.931250000E1,1.375000000E1
3.271864375E0,1.337500000E1,3.893750000E1,1.362500000E1
