"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.901976563E0,-4.688871384E0,-8.229120255E0,7.746582985E0
1.923975000E0,-3.707459688E0,-5.671011925E0,6.391081810E0
1.943978125E0,-4.304640770E0,-4.835569382E0,5.927210331E0
1.965973438E0,-6.323996544E0,-4.560341358E0,7.326113701E0
1.985973438E0,-5.035801411E0,-4.481122017E0,8.997122765E0
2.005973438E0,-3.438274622E0,-6.397374153E0,7.358856678E0
2.025975000E0,-8.534754515E-1,-6.373843670E0,6.162253857E0
2.047973438E0,2.051256299E-1,-7.573846340E0,4.903966904E0
2.067979688E0,-5.139585137E-1,-7.403522968E0,3.419054270E0
2.089975000E0,-6.548620462E-1,-7.761599541E0,2.840203047E0
2.109979688E0,-1.080445766E0,-7.814128399E0,1.607514858E0
2.131975000E0,-1.103027821E0,-7.605823040E0,3.083865881E0
2.151976563E0,-7.571231723E-1,-7.914474010E0,5.005097866E0
2.173973438E0,-4.090637267E-1,-7.255235672E0,3.898028612E0
2.193973438E0,-6.912156343E-1,-6.769605637E0,1.707554221E0
2.213975000E0,-4.062098265E-1,-6.306490421E0,-2.014730453E0
2.235975000E0,1.602036953E0,-5.481448174E0,-1.655935168E0
2.257975000E0,1.555024385E0,-7.988742352E0,9.050302505E0
2.277975000E0,-1.091573954E0,-8.028217316E0,2.381330490E0
2.299975000E0,-4.496387005E0,-1.044741535E1,3.496329308E0
2.321975000E0,-4.018322945E0,-1.077968216E1,2.437919855E0
2.343973438E0,-3.674984694E0,-1.019737434E1,-5.543285847E0
2.363975000E0,-5.607258797E0,-1.392658329E1,4.919318259E-1
2.383982813E0,-3.410501957E0,-1.067539024E1,-1.631409049E0
2.405973438E0,-1.770569563E0,-6.477388382E0,-2.017718315E0
2.425981250E0,-1.992914319E0,-4.706330299E0,6.265817285E-1
2.447975000E0,-7.142669559E-1,-3.026682854E0,-6.179913506E-2
2.467976563E0,-9.344664812E-1,-5.618358612E0,-9.790561199E-1
2.489973438E0,-2.967536449E0,-2.113085938E1,-2.609095812E0
2.509975000E0,-8.272991180E0,-3.627358246E1,6.707308292E0
2.531973438E0,-3.948747396E0,-1.629988861E1,-3.957902789E-1
2.551975000E0,2.232506752E0,-8.898270607E0,-1.002691627E0
2.571975000E0,1.420135140E0,-3.975131273E0,-2.871366262E0
2.591985938E0,1.023406267E0,-6.017136097E0,-3.512657642E0
2.613973438E0,3.061437130E0,-9.191359520E0,-2.131155491E0
2.633979688E0,3.477654457E0,-1.128399754E1,4.671661854E-1
2.655973438E0,3.573317289E0,-1.127673817E1,3.472023487E0
2.675982813E0,3.212827146E-1,-9.115339279E0,3.471219063E0
2.698017188E0,-1.188797712E0,-9.003654480E0,-8.628032804E-1
2.719973438E0,-1.702191114E0,-9.400018692E0,-2.937532187E0
2.739975000E0,-1.975953817E0,-9.853758812E0,-3.528344631E0
2.761973438E0,-2.253700495E0,-9.671253204E0,-3.349296451E-1
2.781973438E0,-1.990108252E0,-9.975153923E0,2.739828587E0
2.801973438E0,-8.111842871E-1,-9.560947418E0,4.254994392E0
2.821975000E0,-1.217604756E0,-9.573454857E0,2.664382458E0
2.841987500E0,-2.784983397E0,-9.825592995E0,1.168973804E0
2.864001563E0,-5.057425499E0,-1.039649487E1,5.892322063E-1
2.885975000E0,-6.588345051E0,-1.199100494E1,2.288090736E-1
2.907975000E0,-6.851946831E0,-1.439008141E1,2.643917084E0
2.927975000E0,-6.287882328E0,-1.851724434E1,3.737377644E0
2.947975000E0,-6.714873791E0,-1.958369827E1,8.276975632E0
2.967975000E0,-5.928647041E0,-1.682869148E1,8.274954796E0
2.987975000E0,-5.860335231E-1,-1.466157436E1,2.183215141E0
3.007975000E0,5.409708500E0,-1.149025249E1,-7.436667919E0
3.027975000E0,4.468050003E0,-9.483175278E0,-8.822594643E0
3.047975000E0,1.731726050E0,-1.043731117E1,-1.517100215E0
3.067975000E0,-6.007148027E-1,-1.338226604E1,1.005883598E1
3.087975000E0,5.509345531E-1,-1.289591694E1,6.289788246E0
3.107985938E0,1.710197330E0,-1.013388920E1,-5.134605169E-1
3.129975000E0,1.397361398E0,-7.615888596E0,-2.395877600E0
3.149981250E0,1.014595628E0,-6.181187153E0,-1.459792614E0
3.171973438E0,9.812204838E-1,-5.119071484E0,-8.277809024E-1
3.191976563E0,8.941193819E-1,-5.011399269E0,-5.713331103E-1
3.213975000E0,1.370977283E0,-4.832887650E0,-7.435528636E-1
3.235973438E0,2.348060608E0,-4.357351780E0,-1.569255590E-1
3.255975000E0,3.384309292E0,-3.178542137E0,1.685604215E0
3.275975000E0,3.856819630E0,-2.383226633E0,4.028761387E0
3.297975000E0,-5.625991225E-1,-5.369409084E0,8.870823860E0
3.317975000E0,-5.468098164E0,-9.514634132E0,1.107075024E1
3.337975000E0,-1.016838551E1,-1.565412426E1,9.178833008E0
3.357979688E0,-8.836452484E0,-1.921282578E1,1.623078156E1
3.379975000E0,-4.765380859E0,-1.186147881E1,-3.814997673E0
3.399979688E0,3.270220995E0,-9.420446396E0,-8.012780190E0
3.421973438E0,6.815152645E0,-1.369043732E1,-7.910251141E0
3.441973438E0,2.312875509E0,-1.192831516E1,-6.316277504E0
3.461975000E0,1.132055163E0,-9.891164780E0,-6.806198120E0
3.483973438E0,2.110239744E0,-1.069741821E1,-4.909750938E0
3.503975000E0,2.328160048E0,-9.516127586E0,-1.988786697E0
3.523990625E0,1.583649516E0,-7.561281681E0,-5.996804833E-1
3.545973438E0,1.493426442E0,-8.633932114E0,8.137316704E-1
3.565978125E0,6.074166298E0,-9.850952148E0,1.233172894E1
3.587975000E0,4.278563023E0,-8.930573463E0,6.467456818E0
3.607987500E0,5.432348251E-1,-1.021532154E1,-3.436139107E0
3.629979688E0,-2.054454803E0,-9.780218124E0,-9.563505173E0
3.651973438E0,-3.444921255E0,-9.359250069E0,-5.302131653E0
3.671973438E0,-4.670369148E0,-9.294415474E0,1.402149916E0
3.691973438E0,-6.339644909E0,-9.457135201E0,5.592826843E0
3.711973438E0,-4.320490360E0,-9.807933807E0,3.829975843E0
3.731981250E0,-1.426704884E0,-1.020448017E1,1.289995909E0
3.753973438E0,-7.419343591E-1,-1.038138294E1,1.996476889E0
3.773976563E0,-2.029382706E0,-1.113411045E1,5.419380665E0
3.795973438E0,-2.131653547E0,-1.134012699E1,5.948356152E0
3.815975000E0,-2.799415588E0,-1.222399902E1,8.123909950E0
3.837975000E0,-2.727560759E0,-1.541505718E1,1.197454166E1
3.857975000E0,-1.855975628E0,-1.742622566E1,6.070613384E0
3.877975000E0,1.732779503E0,-1.718169212E1,-1.892252564E0
3.899973438E0,2.744616985E0,-1.300892353E1,-7.878235817E0
3.919973438E0,1.700141668E0,-1.429207230E1,-6.323115349E0
3.939976563E0,-1.274960339E-1,-1.546274090E1,-2.848487139E0
3.961973438E0,-3.810640097E0,-1.151738358E1,3.809845209E0
3.981975000E0,-3.762411356E0,-9.669587135E0,5.927689075E0
4.003973438E0,-1.390983224E0,-7.402105331E0,-7.999506593E-2
4.023973438E0,4.568136856E-2,-5.932554245E0,-2.935588121E0
4.043973438E0,5.381686687E-1,-5.160768986E0,-1.943775773E0
4.063973438E0,1.249418974E0,-4.801734447E0,-1.129038453E0
4.083973438E0,1.140578508E0,-4.095435143E0,-1.304092884E0
4.103973438E0,9.177358150E-1,-3.164684534E0,-1.324223399E0
4.123973438E0,1.299658775E0,-2.866223335E0,-1.979861259E0
4.143973438E0,1.565166235E0,-3.204658270E0,-2.587500095E0
4.163973438E0,9.950781465E-1,-4.155491352E0,-8.562048078E-1
4.183973438E0,-1.907968044E0,-6.870650291E0,5.195092201E0
4.203975000E0,-1.661539650E1,-1.613261032E1,3.126901245E1
4.223975000E0,-1.056403255E1,-2.371741295E1,2.319301605E0
4.245973438E0,2.460166693E0,-1.794753838E1,-6.208299160E0
4.265973438E0,7.051288128E0,-1.462310410E1,-1.753149390E0
4.285973438E0,6.420530796E0,-1.077691460E1,-2.247245550E0
4.305973438E0,1.165540504E1,-5.777457714E0,1.152808070E0
4.325973438E0,5.469946384E0,-8.189204216E0,1.659708500E0
4.345973438E0,1.297762752E0,-1.007193756E1,-3.187669039E0
4.365973438E0,-1.451719403E0,-1.150537491E1,-5.463453293E0
4.385975000E0,-3.581907749E0,-1.288903141E1,-5.956409454E0
4.407973438E0,-7.865948677E0,-1.316176987E1,3.670263529E0
4.427975000E0,-4.922297001E0,-1.008939552E1,7.564527988E-1
4.447975000E0,-1.856617212E0,-8.998281479E0,-3.440850973E-1
4.469975000E0,-4.766376615E-1,-9.869626999E0,1.616277695E0
4.491973438E0,2.017421484E0,-9.513140678E0,1.925857544E0
4.511973438E0,3.018532991E0,-8.819942474E0,1.960506439E0
4.531973438E0,2.071214437E0,-9.443861008E0,1.709345102E0
4.551975000E0,4.230171144E-1,-9.848558426E0,1.546922445E0
4.571975000E0,-2.542833686E-1,-9.355707169E0,2.149226964E-1
4.593973438E0,-1.431512356E0,-9.482044220E0,-1.516027689E0
4.613973438E0,-2.161552191E0,-9.277713776E0,-2.675070286E0
4.633973438E0,-2.102348566E0,-8.699045181E0,-3.007385492E0
4.653973438E0,-1.546654344E0,-8.255284309E0,-1.201257229E0
4.673973438E0,-1.654182792E0,-1.087865925E1,9.216048717E-1
4.694014063E0,-1.052692175E0,-1.244425583E1,2.898947239E0
4.715973438E0,-1.419732928E0,-1.269364548E1,4.871003628E0
4.735973438E0,-2.981978178E0,-1.436915588E1,5.533344746E0
4.755973438E0,-2.772351503E0,-1.348354149E1,3.357657194E0
4.775973438E0,-4.709777832E-1,-1.172506618E1,-2.059300691E-1
4.795973438E0,4.699482918E0,-1.166570950E1,3.223170280E0
4.815975000E0,8.778560638E0,-1.339578819E1,1.170489788E1
4.837975000E0,6.012175560E0,-1.239291477E1,1.050899410E1
4.857975000E0,2.639301062E0,-9.268078804E0,6.431285858E0
4.877975000E0,2.343253046E-1,-6.839794159E0,-3.076261878E-1
4.899973438E0,-3.410052061E0,-6.111401081E0,-3.464611053E0
4.919973438E0,-6.403005600E0,-6.031137466E0,-2.617034912E0
4.939975000E0,-8.230939865E0,-5.729200363E0,-4.413499832E0
4.961973438E0,-8.236532211E0,-5.732092381E0,-5.455236435E0
4.981973438E0,-4.950969696E0,-4.966197014E0,-3.770963430E0
5.001973438E0,-2.009894133E0,-4.137027264E0,-1.947472453E0
5.021973438E0,-1.860677749E-1,-3.751101017E0,-2.998785377E-1
5.041975000E0,3.132573664E-1,-4.272673130E0,1.000058055E0
5.061979688E0,-3.577895090E-2,-5.545986176E0,4.295398712E0
5.083973438E0,-8.728014231E-1,-8.557001114E0,1.296050262E1
5.103973438E0,-5.415847301E0,-1.547632122E1,6.593765736E0
5.123973438E0,-6.532722712E-1,-2.401626587E1,-6.130314827E0
5.143975000E0,7.430443287E0,-2.006942368E1,-6.861015558E-1
5.165975000E0,9.812874794E0,-1.670900917E1,2.500208473E1
5.187975000E0,2.857996941E0,-1.054221535E1,-3.563491344E0
5.207975000E0,1.472826719E0,-5.087573051E0,-1.452136898E1
5.227975000E0,6.123697758E-1,-2.599815607E0,-8.839297295E0
5.247975000E0,-1.666843295E0,-7.737782001E0,7.461290359E-1
5.267975000E0,-5.375222206E0,-1.312196922E1,-2.485430479E0
5.287975000E0,-6.977890968E0,-1.231844521E1,-4.299315810E-1
5.307975000E0,-7.075412273E0,-9.963393211E0,3.315423489E0
5.327975000E0,-4.054322243E0,-7.870028496E0,2.635872364E0
5.347975000E0,1.394689560E0,-8.144461632E0,1.220104337E0
5.367975000E0,4.781843185E0,-8.377388954E0,7.812088728E-1
5.387975000E0,3.138597488E0,-1.062785149E1,6.148692966E-1
5.407975000E0,-5.671576262E-1,-1.079100227E1,1.561910152E0
5.427975000E0,-4.006572247E0,-1.010862637E1,-8.700529337E-1
5.447975000E0,-5.904139519E0,-9.722460747E0,3.024451435E-1
5.467975000E0,-6.439521313E0,-1.006422710E1,2.530039072E0
5.487975000E0,-4.643151760E0,-1.031692219E1,2.373429775E0
5.507975000E0,-2.663377047E0,-1.034333420E1,8.541075587E-1
5.527975000E0,-1.365030169E0,-1.052675915E1,-5.254411101E-1
5.549981250E0,1.100949720E-1,-1.058650875E1,4.623299241E-1
5.571975000E0,3.513538837E-1,-1.182705021E1,3.963054895E0
5.593973438E0,-1.452887774E0,-1.326192379E1,8.643230438E0
5.613973438E0,-3.128809929E0,-1.550090408E1,7.722038269E0
5.633973438E0,-3.667677402E0,-1.692002487E1,2.778145552E0
