"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.681828000E-2,-1.700000092E-2,1.870000064E-1,3.129999936E-1
9.684530800E-2,-3.089999855E-1,1.449999958E-1,5.270000100E-1
1.168724620E-1,-8.130000234E-1,5.200000107E-2,8.840000033E-1
1.368994440E-1,-9.219999909E-1,1.809999943E-1,1.292999983E0
1.569265150E-1,-6.110000014E-1,4.399999976E-1,2.108999968E0
1.769536120E-1,-7.990000248E-1,4.900000095E-1,2.382999897E0
1.969807040E-1,-1.248999953E0,6.759999990E-1,2.584000111E0
2.170077800E-1,-1.641999960E0,4.839999974E-1,2.418999910E0
2.370346030E-1,-2.466000080E0,-1.500000060E-1,2.207999945E0
2.570616640E-1,-3.457999945E0,-9.359999895E-1,2.121999979E0
2.770887330E-1,-3.749000072E0,-1.697000027E0,2.025000095E0
2.971158090E-1,-3.062999964E0,-1.935999990E0,1.771000028E0
3.171428900E-1,-2.134000063E0,-1.840000033E0,4.600000083E-1
3.371699530E-1,-1.782999992E0,-1.784000039E0,-1.123000026E0
3.571970500E-1,-1.506999969E0,-1.470000029E0,-2.532000065E0
3.772241170E-1,-1.641999960E0,-1.407999992E0,-3.785000086E0
3.972511970E-1,-1.815999985E0,-1.238000035E0,-4.546000004E0
4.172782020E-1,-1.893000007E0,-1.231999993E0,-5.230999947E0
4.373052780E-1,-1.376000047E0,-1.427000046E0,-5.958000183E0
4.573323560E-1,-5.019999743E-1,-1.758999944E0,-6.770999908E0
4.773594530E-1,5.350000262E-1,-1.976999998E0,-7.012000084E0
4.973865440E-1,1.072000027E0,-1.713000059E0,-7.015999794E0
5.174136010E-1,9.860000014E-1,-1.875000000E0,-7.125999928E0
5.374406640E-1,7.269999981E-1,-2.315000057E0,-7.856999874E0
5.574677470E-1,8.500000238E-1,-3.401000023E0,-8.644000053E0
5.774948080E-1,1.674999952E0,-4.360000134E0,-8.013999939E0
5.975218900E-1,2.832999945E0,-5.018000126E0,-7.611999989E0
6.175489780E-1,3.421000004E0,-5.855999947E0,-6.849999905E0
6.375758150E-1,3.584000111E0,-7.217999935E0,-6.083000183E0
6.576028800E-1,3.503999949E0,-8.772000313E0,-5.495999813E0
6.776302050E-1,2.891999960E0,-1.069499969E1,-5.264999866E0
6.976572700E-1,1.508000016E0,-1.272399998E1,-5.455999851E0
7.176841300E-1,-8.820000291E-1,-1.552099991E1,-5.744999886E0
7.377112140E-1,-3.519999981E0,-1.882999992E1,-6.025000095E0
7.577385070E-1,-6.480000019E0,-2.204500008E1,-6.237999916E0
7.777655770E-1,-1.240600014E1,-2.662000084E1,-6.717000008E0
7.977926580E-1,-1.942799950E1,-2.995000076E1,-6.932000160E0
8.178195240E-1,-2.214999962E1,-2.814900017E1,-5.231999874E0
8.378466010E-1,-1.884300041E1,-2.029999924E1,-1.863999963E0
8.578736610E-1,-1.871899986E1,-1.565499973E1,-2.380000055E-1
8.779007360E-1,-2.029400063E1,-8.723999977E0,1.340000033E-1
8.979278030E-1,-1.708900070E1,-2.973999977E0,-3.179999888E-1
9.179548820E-1,-1.317000008E1,-6.430000067E-1,-1.646000028E0
9.379819630E-1,-9.899000168E0,3.199999928E-1,-2.743000031E0
9.580090490E-1,-7.355000019E0,1.401000023E0,-2.851000071E0
9.780361060E-1,-6.087999821E0,2.493000031E0,-2.255000114E0
9.980631830E-1,-5.968999863E0,4.157000065E0,-1.416000009E0
1.018090509E0,-6.093999863E0,5.767000198E0,-9.729999900E-1
1.038117361E0,-6.396999836E0,6.788000107E0,-6.769999862E-1
1.058144465E0,-6.478000164E0,7.133999825E0,-3.409999907E-1
1.078171535E0,-6.583000183E0,7.663000107E0,3.589999974E-1
1.098198826E0,-7.295000076E0,7.809000015E0,1.092000008E0
1.118225663E0,-8.272999763E0,7.420000076E0,1.424000025E0
1.138252665E0,-9.187999725E0,6.020999908E0,1.110999942E0
1.158279736E0,-9.524999619E0,4.171000004E0,6.980000138E-1
1.178306783E0,-9.392999649E0,3.198999882E0,4.480000138E-1
1.198333876E0,-9.100999832E0,2.605000019E0,2.949999869E-1
1.218360933E0,-8.843999863E0,1.643000007E0,7.599999756E-2
1.238388221E0,-8.791000366E0,2.240000069E-1,-3.059999943E-1
1.258415079E0,-8.503000259E0,-1.483000040E0,-9.129999876E-1
1.278442150E0,-7.696000099E0,-2.927000046E0,-1.442000031E0
1.298469540E0,-6.570000172E0,-2.996000051E0,-1.583999991E0
1.318496630E0,-6.315999985E0,-3.549999952E0,-1.835000038E0
1.338523711E0,-6.622000217E0,-4.810999870E0,-2.513000011E0
1.358550771E0,-5.756999969E0,-5.326000214E0,-2.841000080E0
1.378577842E0,-4.184000015E0,-5.100999832E0,-2.173000097E0
1.398604939E0,-3.032999992E0,-4.947000027E0,-1.103000045E0
1.418632029E0,-2.323999882E0,-5.210999966E0,-3.849999905E-1
1.438659122E0,-1.965999961E0,-5.513999939E0,-1.369999945E-1
1.458686194E0,-2.482000113E0,-6.262000084E0,-2.049999982E-1
1.478713250E0,-3.075000048E0,-6.650000095E0,-1.979999989E-1
1.498740332E0,-3.075999975E0,-7.627999783E0,-5.180000067E-1
1.518767396E0,-1.509999990E0,-7.546000004E0,-7.699999809E-1
1.538794487E0,-3.350000083E-1,-7.480999947E0,-2.800000012E-1
1.558821568E0,6.320000291E-1,-7.090000153E0,4.959999919E-1
1.578848660E0,1.161000013E0,-7.227000237E0,7.609999776E-1
1.598875829E0,1.708999991E0,-7.381999969E0,7.699999809E-1
1.618902915E0,2.130000114E0,-7.892000198E0,6.710000038E-1
1.638929995E0,2.349999905E0,-8.701000214E0,7.960000038E-1
1.658957079E0,3.019999981E0,-9.475000381E0,1.296000004E0
1.678984161E0,4.138000011E0,-9.649000168E0,1.827999949E0
1.699011222E0,4.946000099E0,-9.807000160E0,2.040999889E0
1.719038308E0,5.037000179E0,-1.027299976E1,2.091000080E0
1.739065348E0,5.438000202E0,-1.068999958E1,2.183000088E0
1.759092416E0,6.725999832E0,-1.145499992E1,2.204999924E0
1.779119724E0,8.809000015E0,-1.110000038E1,2.460000038E0
1.799146806E0,1.039900017E1,-9.727000237E0,2.963000059E0
1.819173866E0,1.025599957E1,-8.194999695E0,3.533999920E0
1.839200974E0,8.732000351E0,-8.234000206E0,3.414000034E0
1.859228064E0,7.433000088E0,-8.395000458E0,2.262000084E0
1.879255135E0,6.916999817E0,-8.454999924E0,5.889999866E-1
1.899282232E0,6.867000103E0,-1.002299976E1,-1.883000016E0
1.919309367E0,6.813000202E0,-1.153299999E1,-3.819000006E0
1.939336439E0,5.103000164E0,-1.377900028E1,-5.072000027E0
1.959363507E0,2.838000059E0,-1.537699986E1,-5.769000053E0
1.979390573E0,6.140000224E-1,-1.568400002E1,-5.724999905E0
1.999417673E0,-3.392999887E0,-1.537899971E1,-5.243999958E0
2.019444733E0,-7.024000168E0,-1.441600037E1,-4.837999821E0
2.039471800E0,-8.666999817E0,-1.189500046E1,-3.744999886E0
2.059499094E0,-8.614999771E0,-8.515000343E0,-2.355999947E0
2.079526193E0,-7.910999775E0,-4.336999893E0,-8.059999943E-1
2.099553256E0,-7.624000072E0,-7.049999833E-1,4.530000091E-1
2.119580353E0,-7.052000046E0,1.705999970E0,1.138000011E0
2.139607453E0,-5.361000061E0,3.075999975E0,1.335999966E0
2.159634535E0,-3.933000088E0,2.832000017E0,1.082000017E0
2.179661697E0,-1.953999996E0,2.039999962E0,6.250000000E-1
2.199688766E0,-2.899999917E-2,1.445999980E0,2.349999994E-1
2.219715861E0,8.920000196E-1,1.072999954E0,-3.599999845E-2
2.239742952E0,8.180000186E-1,8.730000257E-1,-3.240000010E-1
2.259770031E0,6.800000370E-2,3.779999912E-1,-7.839999795E-1
2.279797338E0,-8.669999838E-1,-9.589999914E-1,-1.062999964E0
2.299824409E0,-1.080000043E0,-1.626000047E0,-7.609999776E-1
2.319851468E0,-1.947000027E0,-1.888000011E0,1.969999969E-1
2.339878516E0,-3.680000067E0,-2.348000050E0,9.390000105E-1
2.359905592E0,-5.216000080E0,-2.118999958E0,1.595999956E0
2.379932761E0,-6.436999798E0,-1.277999997E0,2.234999895E0
2.399959819E0,-7.445000172E0,-4.990000129E-1,2.736999989E0
2.419986895E0,-8.454000473E0,-5.379999876E-1,2.795000076E0
2.440013981E0,-8.239999771E0,-6.499999762E-1,2.983999968E0
2.460041065E0,-5.901999950E0,8.679999709E-1,4.355999947E0
2.480068368E0,-4.066999912E0,2.230999947E0,6.163000107E0
2.500095462E0,-3.608999968E0,2.980999947E0,7.356999874E0
