"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.594341583E0,-3.293215882E0,-6.790848085E-1,-1.043905165E0
1.614344583E0,-5.014729434E0,6.305140346E-1,-1.117639139E0
1.634347583E0,-6.059751416E0,6.942039540E-1,-8.673058033E-2
1.654350583E0,-5.762504700E0,9.213416773E-1,2.612599688E0
1.674353583E0,-4.064133552E0,3.466033557E0,-9.040118750E0
1.694356583E0,-3.361364889E0,-5.409919351E0,1.292926268E1
1.714359583E0,-2.653400974E0,1.293171968E0,4.352287263E0
1.734362583E0,-1.311533979E0,-1.314919517E0,2.072392391E0
1.754365583E0,-2.172376270E0,5.842134422E-1,-2.968938366E0
1.774368583E0,-2.921132115E0,1.350007489E0,-6.606381295E0
1.794371583E0,-2.947283202E0,2.271414070E0,-7.300601329E0
1.814373583E0,-1.783746637E0,1.900076407E0,-6.240774781E0
1.834376583E0,-6.554006615E-1,1.845316941E0,-6.420386043E0
1.854379583E0,-3.701018536E-1,1.662873287E0,-7.353568917E0
1.874382583E0,2.091870636E-2,1.923704129E0,-6.007317095E0
1.894385583E0,-1.557380746E0,2.081937386E0,-7.700362015E-1
1.914388583E0,-1.857058734E0,1.812388346E0,1.367432191E0
1.934391583E0,-1.334893606E0,1.985916603E0,9.879519886E-1
1.954394583E0,-1.596500665E0,1.620042433E0,-1.647663510E-1
1.974397583E0,-1.835046599E0,7.971706443E-1,-1.219149141E0
1.994400583E0,-7.541686124E-1,8.006634785E-1,1.671309650E-2
2.014404333E0,-9.875251418E-1,-5.139948872E-1,-6.585297990E-1
2.034407333E0,-2.391871829E0,-2.436010559E0,3.067168665E-1
2.054410333E0,-3.959390916E0,-1.390817838E0,3.300922805E-1
2.074412333E0,-3.958225858E0,7.690845671E-1,1.946206554E0
2.094415333E0,-1.354005084E0,1.863577649E0,1.649309501E0
2.114418333E0,-9.908835632E-1,1.658652182E0,-1.130631067E0
2.134421333E0,-6.256930053E-1,2.175409513E0,-7.868159562E-1
2.154424333E0,-1.517684584E0,7.547012937E-1,4.746290195E-1
2.174427333E0,-2.348637663E0,6.307555246E-1,-9.536224008E-3
2.194430333E0,1.920273312E-1,1.574804425E0,-2.379115689E0
2.214433333E0,-1.039979271E0,7.527619185E-1,-1.581033318E0
2.234436333E0,-7.760190725E-1,4.142192419E-1,-3.630553740E-1
2.259102250E0,-2.708254874E-2,5.702789426E-3,6.430007637E-1
2.279105250E0,-3.523459062E-2,1.275511622E-2,5.654789633E-1
2.299108250E0,4.337113738E-2,2.123106462E-1,-2.069271147E-2
2.319111250E0,7.913373157E-2,2.054775900E-1,-3.386911958E-1
2.339114250E0,4.800096273E-2,6.448250949E-2,-3.454312813E-1
2.359117250E0,3.446977481E-2,-3.018625081E-2,-3.290239942E-1
2.379120250E0,-1.150235027E-2,-4.560418904E-2,-2.364853746E-1
2.399123250E0,-1.084488934E-1,7.506304622E-2,1.212402624E-1
2.419126250E0,-2.501767762E-1,1.073589724E-1,3.604972172E-1
2.439129250E0,-1.986021414E-1,5.244777024E-2,3.160899532E-1
2.459131250E0,-7.282970220E-2,3.946285844E-2,2.325145304E-1
2.479134250E0,6.516254067E-2,3.938859880E-2,2.268339604E-1
2.499137250E0,6.442754567E-2,-1.024853182E-1,2.782613915E-1
2.519140250E0,7.630514100E-2,-1.455342740E-2,1.834926438E-1
2.539143250E0,1.020334746E-1,2.739420533E-2,7.251132131E-3
2.559146250E0,1.724058844E-1,-9.218515545E-2,-6.341071486E-2
2.579149250E0,1.468788412E-1,-2.453023911E-2,1.364669967E-1
2.599152250E0,-3.436671764E-2,-5.242759734E-2,2.811844146E-1
2.619155250E0,1.518653467E-2,-4.113779336E-2,1.376019412E-1
2.639158250E0,8.520314142E-2,-1.205991152E-1,-2.780479681E-1
2.659161250E0,1.610505916E-1,-3.963710546E-2,-2.409199029E-1
2.679164250E0,1.212123419E-1,1.158742726E-2,-7.727563262E-2
2.699167250E0,1.507852198E-1,-5.112776130E-2,-3.709181249E-2
2.719170250E0,-5.494643167E-2,-8.398735911E-2,-1.657112610E-1
2.739173250E0,-9.102886856E-2,2.769200402E-1,-1.294468296E-1
2.759176250E0,-1.349866278E-1,3.300522271E-1,-1.478702366E-2
2.779178250E0,-1.651772641E-1,2.552075744E-1,8.175459981E-2
2.799181250E0,-3.750864588E-2,1.085477114E-1,3.308559269E-1
2.819184250E0,2.189675550E-1,2.567717046E-2,4.328705442E-1
2.839187250E0,7.581733704E-2,1.988980106E-1,1.111280876E-1
2.859190250E0,-3.411854719E-1,4.778929353E-1,-4.139828682E-3
2.879192750E0,-4.121838261E-1,6.317097902E-2,3.678822505E-1
2.899195750E0,-1.705633537E-1,-1.786154813E-1,6.606277800E-1
2.919198750E0,-3.148431806E-1,-1.928259695E-1,8.511517006E-1
2.939201750E0,-5.595009892E-1,-7.566764832E-2,5.786936706E-1
2.959204750E0,-3.181382328E-1,-4.134712368E-2,-6.115415740E-1
2.979207750E0,-8.031808510E-3,3.613889176E-1,-8.963015610E-1
2.999210750E0,-2.003440270E-1,3.934687892E-1,-3.753362811E-1
3.019213750E0,-5.304059385E-1,3.506560609E-1,1.486531788E-1
3.039216750E0,-4.605919378E-1,1.072373503E-1,-2.901914656E-2
3.059219750E0,-2.932849351E-1,-6.459272951E-2,-2.556595641E-1
3.079222750E0,-4.937652022E-2,2.040991089E-1,-2.257083714E-2
3.099225750E0,-4.542449679E-2,3.790314290E-1,3.698907691E-1
3.119228750E0,-1.787539141E-1,2.062599474E-1,5.032359374E-1
3.139231750E0,-1.686402593E-1,-1.000859132E-1,1.975540280E-1
3.159233750E0,2.783694919E-2,-1.713532394E-1,-4.156727135E-2
3.179236750E0,1.603318957E-1,-1.007983965E-1,1.721648329E-1
3.199239750E0,1.211201569E-1,-1.446735638E-1,3.586401415E-1
3.219242750E0,9.572732560E-3,-4.152979070E-1,1.280405742E-1
3.239245750E0,-6.584845562E-2,-7.612528065E-1,-3.494763851E-2
3.259248750E0,-1.900285884E-1,-9.270517758E-1,2.100372487E-1
3.279251750E0,-1.004871419E-1,-7.091713643E-1,1.054902023E-1
3.299254750E0,-7.343651528E-2,-5.164348572E-1,-1.201269525E-1
3.319257750E0,-1.185533060E0,-1.211210084E0,1.211016834E-2
3.339260750E0,-2.012473853E-1,-6.139210984E-1,4.989914435E-1
3.359263750E0,-3.043966182E-1,-8.630768046E-1,-2.236811417E-1
3.379266750E0,-8.723620369E-1,-1.654209468E-1,1.994245523E-1
3.399269750E0,-8.199392635E-1,-5.406364828E-2,4.459197754E-1
3.419272750E0,-1.382879658E0,-1.083880531E0,-5.357417786E-1
3.439275750E0,-2.047639373E0,-2.461376658E0,-1.848648684E0
3.459278750E0,1.788787521E-1,-1.778040339E0,-3.094676306E0
3.479281750E0,-9.388939954E-1,-1.166169567E0,-7.596813673E-1
3.499284750E0,-1.032857435E0,2.851909268E-1,1.581350237E-1
3.519287750E0,-3.313237041E-2,1.029429798E0,2.266687766E0
3.539290750E0,5.395423226E-1,6.719614381E-1,1.545135507E0
3.559293750E0,6.455940038E-1,4.608582419E-1,4.597010779E-1
3.579296750E0,-5.244870579E-1,1.382810953E-1,4.282834035E-1
3.599298750E0,-1.758560340E-1,8.983425316E-1,5.700292665E-1
3.619301750E0,-1.230138545E0,1.224735279E0,1.395313470E0
3.639304750E0,-8.070290498E-1,2.394282782E-1,1.193162946E0
3.659307750E0,-9.639617398E-2,9.506561083E-1,-7.147285581E-2
3.679310750E0,-1.766975945E-1,7.714073735E-1,-4.779747963E-2
3.699313750E0,-2.248138936E-1,1.734108746E-2,2.342622632E-1
3.719316750E0,5.359880926E-1,-2.571479729E-1,-3.508212447E-2
3.739319750E0,1.096937949E0,-7.359533662E-1,4.334652060E-1
3.759322750E0,6.424210122E-1,-8.246041721E-1,1.992683147E0
3.779325750E0,9.378587459E-1,-8.249743009E-1,2.505500332E0
3.799329750E0,8.911270675E-1,-1.378118270E0,2.878455627E0
3.819332750E0,8.739441472E-1,-1.642470305E0,3.313762121E0
3.839335750E0,1.040556172E0,-2.141752355E0,2.918956951E0
3.859338750E0,1.242207490E0,-2.317518488E0,2.103299019E0
3.879342750E0,1.250555414E0,-2.226106627E0,1.249441811E0
3.899345750E0,9.996698087E-1,-1.929888729E0,5.184416217E-1
3.919347750E0,8.702504611E-1,-1.445563272E0,-1.854760194E-1
3.939350750E0,6.421407844E-1,-1.155486996E0,-7.704764968E-1
3.959353750E0,5.199975657E-1,-9.406369042E-1,-8.747048700E-1
3.979356750E0,4.845198771E-1,-5.003026816E-1,-6.666533357E-1
3.999359750E0,4.306022631E-1,-4.795731327E-1,-7.401762253E-1
4.019362750E0,5.464692266E-1,-4.307330945E-1,-1.041659834E0
4.039365750E0,5.420137945E-1,-2.842577112E-1,-6.912975955E-1
4.059368750E0,3.522641914E-1,6.963156760E-3,1.100376404E0
4.079371750E0,-3.758009154E-1,-1.221313781E-1,7.287823409E-1
4.099374750E0,-4.047240946E-1,-3.594733697E-1,-8.113350856E-1
4.119377750E0,-4.033345038E-1,3.458888260E-1,-2.793485643E0
4.139380750E0,1.501314280E-1,1.047904952E0,-3.473126230E0
4.159383750E0,-1.254314442E0,-4.507840741E-1,-2.249453098E0
4.179386750E0,-1.939363119E0,-4.257796258E-1,-2.101067137E0
4.199389750E0,-1.655107308E0,8.985881147E-1,-3.734421925E0
4.219392750E0,-1.744449839E0,2.343555847E0,-6.245774735E0
4.239395750E0,-2.249810362E0,2.544014187E0,-7.348944939E0
4.259398750E0,-3.231384793E0,1.592412000E0,-6.181013314E0
4.279401750E0,-4.575890636E0,9.652314627E-1,-5.614436243E0
4.299404750E0,-2.963969986E0,2.771133492E0,-3.369169167E0
4.319407750E0,-4.122953033E0,2.594800179E0,-1.192485838E0
4.339410750E0,-4.745176300E0,2.461912263E0,2.042394128E0
4.359413750E0,-4.172088355E0,1.437409914E0,6.123414146E0
4.379416750E0,-1.751126190E0,1.383488646E0,1.023745018E1
4.399419750E0,-1.491095540E0,-1.524132893E0,9.690591086E0
4.419422750E0,-2.929435454E0,-2.701849249E-1,6.471201856E0
4.439425750E0,-3.469314722E0,2.061596677E0,2.501748759E0
4.459428750E0,-3.475853663E0,3.338420122E0,1.148790180E0
4.479431750E0,-3.385064238E0,2.519137793E0,8.234575331E-1
4.499434750E0,-2.859151044E0,1.890515918E0,-2.565220284E-1
4.519437750E0,-2.144416054E0,1.687295938E0,-1.666058850E0
4.539440750E0,-1.321925651E0,1.467576284E0,-2.490503393E0
4.559443750E0,-4.469371909E-1,1.070237516E0,-2.097116758E0
4.579446750E0,6.920115405E-1,4.299548301E-1,-1.673214088E0
4.599449750E0,8.965746260E-1,-3.747997990E-1,-2.350481874E0
4.619452750E0,1.002383794E0,-3.990657440E-1,-2.415833865E0
4.639455750E0,1.502734423E-2,-9.365748435E-2,-1.807595968E0
4.659458750E0,-2.675375688E0,-1.826629239E-1,1.896287119E-1
4.679461750E0,-1.721717034E0,7.218785334E-1,6.833746183E-1
4.699464750E0,-2.414112737E0,7.232157916E-2,8.090447313E-1
