"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.614344583E0,-3.124062061E0,-3.155953169E0,-2.910943702E-2
1.634347583E0,-4.552829266E0,-4.444417953E0,2.928363904E-2
1.654350583E0,-6.264602184E0,-6.537384510E0,2.870401442E-1
1.674353583E0,-5.525453568E0,-6.109162331E0,4.405397177E-1
1.694356583E0,-6.782663345E0,-9.283339500E0,4.571581483E-1
1.714359583E0,-7.388799667E0,-1.125113678E1,-4.950355589E-1
1.734362583E0,-7.883832455E0,-1.211261845E1,-1.181742668E0
1.754365583E0,-7.870265961E0,-1.138956165E1,-1.792265892E0
1.774368583E0,-6.953948021E0,-9.554126740E0,-1.749309659E0
1.794371583E0,-5.530405045E0,-7.647121429E0,-1.679884672E0
1.814373583E0,-4.362067223E0,-6.209222317E0,-1.377671242E0
1.834376583E0,-3.245615721E0,-4.283870220E0,-9.653105736E-1
1.854379583E0,-2.227930784E0,-1.810618877E0,-2.467681915E-1
1.874382583E0,-1.334854126E0,-6.709448695E-1,1.093029454E-1
1.894385583E0,-1.475598454E0,-1.563711405E0,3.553656042E-1
1.914388583E0,-2.243757963E0,-2.431972980E0,4.571292400E-1
1.934391583E0,-2.394035339E0,-2.840688467E0,2.877437770E-1
1.954394583E0,-1.793934703E0,-1.952162266E0,-9.746340662E-2
1.974397583E0,-1.237181544E0,-1.026643515E0,-3.131665587E-1
1.994400583E0,-8.622133732E-1,-7.556239367E-1,-9.379719943E-2
2.014404333E0,-4.540087581E-1,1.754401624E-1,1.036341488E-1
2.034407333E0,1.410648823E-1,4.461517036E-1,-1.028167978E-1
2.054410333E0,9.192427397E-1,7.107706368E-2,-6.671873927E-1
2.074412333E0,7.323749065E-1,-7.287332416E-1,-1.010858297E0
2.094415333E0,3.043363094E-1,-8.137341738E-1,-4.729592502E-1
2.114418333E0,1.907819808E-1,-4.092677683E-2,-3.503105640E-1
2.134421333E0,1.452483088E-1,5.328819901E-2,-3.394989371E-1
2.154424333E0,-1.176274717E-1,-6.334003806E-1,-4.834789932E-1
2.174427333E0,4.081484377E-1,-5.107335448E-1,-4.624970257E-1
2.194430333E0,9.973220825E-1,2.988608479E-1,-1.785324216E-1
2.214433333E0,1.295442104E0,7.924922705E-1,-2.770566344E-1
2.234436333E0,1.196271300E0,4.224569499E-1,-2.956055701E-1
2.259102250E0,-2.121495083E-2,-9.297973663E-2,-2.212564647E-2
2.279105250E0,-2.427551001E-1,-2.021743506E-1,-5.379930884E-2
2.299108250E0,-3.207762539E-1,-1.932558417E-1,-1.602779888E-2
2.319111250E0,-2.799250185E-1,-1.027091071E-1,2.061607875E-2
2.339114250E0,-2.011083215E-1,-2.120184712E-3,3.332362697E-2
2.359117250E0,-1.150184646E-1,4.563770816E-2,4.468640313E-2
2.379120250E0,-4.677583650E-2,1.881997846E-2,7.294401526E-2
2.399123250E0,-2.983371168E-2,-8.415770531E-2,1.160677820E-1
2.419126250E0,-8.848376572E-2,-1.581329554E-1,1.079512611E-1
2.439129250E0,-1.577098370E-1,-1.821845472E-1,9.288030863E-2
2.459131250E0,-1.947747618E-1,-1.596872956E-1,8.407267928E-2
2.479134250E0,-1.992130727E-1,-1.871716827E-1,7.847049087E-2
2.499137250E0,-2.007059306E-1,-2.221207768E-1,5.562373996E-2
2.519140250E0,-1.760318726E-1,-2.088586241E-1,5.815278366E-2
2.539143250E0,-1.196916476E-1,-1.490109265E-1,4.188596457E-2
2.559146250E0,-6.780580431E-2,-1.112951860E-1,5.503055826E-2
2.579149250E0,-1.014861986E-1,-1.817084551E-1,6.092449278E-2
2.599152250E0,-2.014596909E-1,-2.336599529E-1,4.863521829E-2
2.619155250E0,-3.134026229E-1,-1.133245677E-1,1.386206411E-2
2.639158250E0,-3.270449638E-1,-4.840213805E-2,-2.275798470E-2
2.659161250E0,-3.358736634E-1,1.049251854E-2,-3.329052404E-2
2.679164250E0,-3.548946977E-1,-9.013244882E-3,-1.482046396E-2
2.699167250E0,-2.973884940E-1,-4.630345851E-2,-8.727667853E-3
2.719170250E0,-1.938618422E-1,-1.028391719E-1,4.071445018E-2
2.739173250E0,-1.804009825E-1,-1.361249238E-1,1.479084194E-1
2.759176250E0,-2.929051518E-1,-1.344342530E-1,1.705953479E-1
2.779178250E0,-3.846569657E-1,-1.776935011E-1,1.554169357E-1
2.799181250E0,-2.270049155E-1,-2.308822423E-1,1.474865824E-1
2.819184250E0,7.548189908E-2,-9.614053369E-2,1.749558896E-1
2.839187250E0,1.513608843E-1,6.084551103E-3,2.983710170E-1
2.859190250E0,1.186343208E-1,-4.783549160E-2,3.239618838E-1
2.879192750E0,1.140712053E-1,-2.284651250E-1,2.869212925E-1
2.899195750E0,1.110527664E-2,-4.963855743E-1,2.130320519E-1
2.919198750E0,-3.327616453E-1,-7.926560044E-1,9.405036271E-2
2.939201750E0,-7.418498397E-1,-7.479181290E-1,-5.792050622E-3
2.959204750E0,-9.863091111E-1,-4.082073867E-1,-7.325112075E-2
2.979207750E0,-8.948120475E-1,-3.118790686E-1,8.275145665E-3
2.999210750E0,-6.854104996E-1,-4.005115330E-1,1.467724591E-1
3.019213750E0,-4.063419998E-1,-4.319619834E-1,2.193647623E-1
3.039216750E0,-4.771921039E-2,-2.702976465E-1,2.490025610E-1
3.059219750E0,2.513292730E-1,-5.566057935E-2,2.988212705E-1
3.079222750E0,3.362948895E-1,2.994636446E-2,4.343231618E-1
3.099225750E0,2.694523335E-1,-8.645112813E-2,5.507560372E-1
3.119228750E0,1.593434811E-1,-2.156272978E-1,5.535715222E-1
3.139231750E0,4.432496428E-2,-1.893615276E-1,4.815380573E-1
3.159233750E0,-5.722663924E-2,-9.237673134E-2,4.258596301E-1
3.179236750E0,-1.521423012E-1,-8.344259858E-2,4.177848101E-1
3.199239750E0,-1.303652972E-1,-1.399128288E-1,4.447560906E-1
3.219242750E0,1.054087374E-2,-4.162659869E-2,4.550780952E-1
3.239245750E0,1.814555526E-1,7.980957627E-2,4.237748981E-1
3.259248750E0,2.969636619E-1,1.479699910E-1,3.914966285E-1
3.279251750E0,3.681629598E-1,3.054405451E-1,4.898536801E-1
3.299254750E0,5.319975019E-1,3.738302588E-1,4.008256495E-1
3.319257750E0,3.595649004E-1,6.651651859E-1,2.590344250E-1
3.339260750E0,2.342486978E-1,7.214847207E-1,3.001627922E-1
3.359263750E0,4.187994078E-2,1.012328386E0,3.472131491E-1
3.379266750E0,-2.790462673E-1,9.093281627E-1,2.764324844E-1
3.399269750E0,-6.638844013E-1,7.380763292E-1,4.460077584E-1
3.419272750E0,-7.378387451E-1,8.544459939E-1,5.248336792E-1
3.439275750E0,-2.966893315E-1,2.110147476E0,5.441339612E-1
3.459278750E0,2.491154373E-1,3.218034983E0,3.171885610E-1
3.479281750E0,5.504703522E-1,2.948126078E0,4.990503192E-1
3.499284750E0,2.227839977E-1,2.245107412E0,1.006787896E0
3.519287750E0,-2.951959372E-1,4.331820905E-1,1.338689327E0
3.539290750E0,-6.499058008E-1,-1.288764179E-3,9.047034383E-1
3.559293750E0,-7.123218775E-1,-6.991414726E-2,5.872837454E-2
3.579296750E0,-7.968629003E-1,-5.057115555E-1,-7.750014663E-1
3.599298750E0,-7.543495893E-1,-6.752310395E-1,-1.412850142E0
3.619301750E0,-4.722475410E-1,-9.323614240E-1,-1.305172443E0
3.639304750E0,1.795475483E-1,-1.056093216E0,-6.161713600E-1
3.659307750E0,8.308101296E-1,-6.646282077E-1,-1.901116781E-2
3.679310750E0,1.095385313E0,-3.813607991E-2,1.468799263E-1
3.699313750E0,1.147190571E0,5.979231596E-1,1.789147109E-1
3.719316750E0,1.182462811E0,1.052644730E0,2.239583433E-1
3.739319750E0,7.436459661E-1,1.100079775E0,2.230073363E-1
3.759322750E0,7.643140852E-2,9.104548097E-1,1.647477597E-1
3.779325750E0,-1.645706892E-1,6.066923141E-1,2.537851036E-1
3.799329750E0,-9.810257703E-2,2.645740509E-1,4.539854527E-1
3.819332750E0,-5.561263859E-2,-1.392430663E-1,5.586931705E-1
3.839335750E0,-8.050145209E-2,-4.534296095E-1,5.407182574E-1
