"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.876167567E1,3.211222232E1,1.189545746E2,1.641825978E1,2.838694208E0,2.601063634E2,5.075932356E0,5.075932356E0
4.976167400E1,3.211221660E1,1.189545464E2,1.639813854E1,2.626244011E0,2.611699227E2,5.083420685E0,5.083420685E0
5.076167031E1,3.211221476E1,1.189545109E2,1.657315406E1,2.794725572E0,2.669690019E2,5.105594714E0,5.105594714E0
5.176166840E1,3.211221615E1,1.189544735E2,1.643469425E1,2.934483463E0,2.728046789E2,5.090038973E0,5.090038973E0
5.276166697E1,3.211221435E1,1.189544245E2,1.599091672E1,3.394437108E0,2.694943184E2,5.082290167E0,5.082290167E0
5.376166339E1,3.211220826E1,1.189543973E2,1.605523519E1,2.899009103E0,2.641170152E2,5.090142861E0,5.090142861E0
5.476166411E1,3.211219976E1,1.189543646E2,1.630573319E1,2.788204859E0,2.606075681E2,5.099650983E0,5.099650983E0
5.576166065E1,3.211219770E1,1.189543241E2,1.626212689E1,2.964317005E0,2.651981408E2,5.095657412E0,5.095657412E0
5.676165707E1,3.211219785E1,1.189543219E2,1.637244458E1,1.154247814E0,2.670138641E2,5.059798577E0,5.059798577E0
5.776165576E1,3.211219510E1,1.189542969E2,1.609882279E1,1.510261273E0,2.665830866E2,5.055313487E0,5.055313487E0
5.876165242E1,3.211219172E1,1.189542624E2,1.630309974E1,2.016439745E0,2.666161355E2,5.065207374E0,5.065207374E0
5.976165076E1,3.211218852E1,1.189542468E2,1.653437049E1,1.256609619E0,2.656873224E2,5.043261466E0,5.043261466E0
6.076164778E1,3.211218563E1,1.189542137E2,1.646805474E1,1.969364728E0,2.667144520E2,5.055802963E0,5.055802963E0
6.176164527E1,3.211218395E1,1.189542004E2,1.695653526E1,1.247152014E0,2.663601397E2,5.042963594E0,5.042963594E0
6.276164241E1,3.211217786E1,1.189541652E2,1.705206052E1,1.950760172E0,2.636390864E2,5.054359722E0,5.054359722E0
6.376164050E1,3.211217504E1,1.189541510E2,1.676542228E1,1.203877580E0,2.614435101E2,5.035738904E0,5.035738904E0
6.476163872E1,3.211217325E1,1.189541165E2,1.699583284E1,1.778680641E0,2.646359764E2,5.044814870E0,5.044814870E0
6.576163597E1,3.211217949E1,1.189540956E2,1.738209938E1,1.290617018E0,2.774603383E2,5.030596955E0,5.030596955E0
6.676163371E1,3.211217445E1,1.189540633E2,1.754433997E1,1.822850084E0,2.733747641E2,5.043426777E0,5.043426777E0
6.776163204E1,3.211216949E1,1.189540399E2,1.734791659E1,1.254669317E0,2.719296472E2,5.020021223E0,5.020021223E0
6.876162930E1,3.211217565E1,1.189539930E2,1.702553274E1,2.273077316E0,2.791812525E2,5.012069860E0,5.012069860E0
6.976162763E1,3.211217921E1,1.189539722E2,1.730670946E1,1.662515414E0,2.880743084E2,5.002565390E0,5.002565390E0
7.076185496E1,3.211219365E1,1.189539524E2,1.725317759E1,1.521000515E0,3.128133143E2,5.003497775E0,5.003497775E0
7.176185556E1,3.211221334E1,1.189539380E2,1.722925393E1,1.682828630E0,3.294465233E2,5.029846934E0,5.029846934E0
7.276186497E1,3.211222865E1,1.189539255E2,1.730525184E1,1.587491717E0,3.334038282E2,5.039612951E0,5.039612951E0
7.376186402E1,3.211225098E1,1.189539174E2,1.769626004E1,2.008048173E0,3.386992768E2,5.085008652E0,5.085008652E0
7.476187094E1,3.211226397E1,1.189539159E2,1.762208434E1,1.595766621E0,3.491620266E2,5.100322941E0,5.100322941E0
7.576187248E1,3.211228332E1,1.189539070E2,1.781457420E1,1.926175727E0,3.517192812E2,5.155533503E0,5.155533503E0
7.676188345E1,3.211229585E1,1.189538955E2,1.720646405E1,1.543649589E0,3.458662565E2,5.158278590E0,5.158278590E0
7.776188274E1,3.211231769E1,1.189538866E2,1.693703768E1,1.880123432E0,3.485818795E2,5.183143254E0,5.183143254E0
7.876189108E1,3.211233211E1,1.189538820E2,1.758596541E1,1.528217921E0,3.542717421E2,5.200259200E0,5.200259200E0
7.976189192E1,3.211235088E1,1.189538759E2,1.831079886E1,1.602885113E0,3.560928869E2,5.251371189E0,5.251371189E0
8.076190288E1,3.211237671E1,1.189538640E2,1.788420659E1,1.957375575E0,3.530699983E2,5.319875137E0,5.319875137E0
8.176190324E1,3.211239125E1,1.189538464E2,1.719049613E1,1.573528298E0,3.470518238E2,5.285025267E0,5.285025267E0
8.276191290E1,3.211241440E1,1.189538173E2,1.748914609E1,2.055292997E0,3.426070386E2,5.292465334E0,5.292465334E0
8.376191230E1,3.211242713E1,1.189538062E2,1.770854305E1,1.568828165E0,3.419645258E2,5.293574568E0,5.293574568E0
8.476192291E1,3.211245086E1,1.189537956E2,1.698713685E1,1.885254276E0,3.471672489E2,5.346754413E0,5.346754413E0
8.576192220E1,3.211246617E1,1.189537832E2,1.712598234E1,1.407678087E0,3.457183713E2,5.412678880E0,5.412678880E0
8.676193161E1,3.211248866E1,1.189537733E2,1.723791290E1,1.764940350E0,3.473388119E2,5.530172429E0,5.530172429E0
8.776193245E1,3.211251829E1,1.189537600E2,1.825617127E1,2.095580753E0,3.490238745E2,5.666344760E0,5.666344760E0
8.876194222E1,3.211252840E1,1.189537381E2,1.747116823E1,1.382162109E0,3.449447868E2,5.632612018E0,5.632612018E0
8.976194508E1,3.211255338E1,1.189537290E2,1.714336409E1,1.790874423E0,3.485399467E2,5.748122861E0,5.748122861E0
9.076194949E1,3.211258514E1,1.189537112E2,1.720743496E1,2.314687007E0,3.459172139E2,5.784618778E0,5.784618778E0
9.176196463E1,3.211259280E1,1.189537057E2,1.746052235E1,1.369883209E0,3.484066007E2,5.812552417E0,5.812552417E0
9.276195808E1,3.211261706E1,1.189537009E2,1.734316228E1,1.692640517E0,3.535643393E2,5.872012715E0,5.872012715E0
9.376196046E1,3.211265814E1,1.189536912E2,1.705009488E1,2.496092727E0,3.521838821E2,5.807837159E0,5.807837159E0
9.476196320E1,3.211266540E1,1.189536848E2,1.684545554E1,1.330501525E0,3.446293854E2,5.589308728E0,5.589308728E0
9.576196511E1,3.211269623E1,1.189536776E2,1.651423530E1,1.708907515E0,3.476622159E2,5.422205842E0,5.422205842E0
9.676196821E1,3.211272705E1,1.189536778E2,1.669172952E1,1.389574439E0,3.454089473E2,5.320766619E0,5.320766619E0
9.776197047E1,3.211276432E1,1.189536807E2,1.661085152E1,1.842586193E0,3.484197399E2,5.255847606E0,5.255847606E0
9.876197191E1,3.211279927E1,1.189536921E2,1.715314196E1,1.378094018E0,2.231353018E0,5.182938531E0,5.182938531E0
9.976197298E1,3.211284691E1,1.189536878E2,1.737011455E1,2.281805057E0,3.559405775E2,5.094617554E0,5.094617554E0
1.007619746E2,3.211286982E1,1.189536835E2,1.716878485E1,1.390187813E0,3.568946026E2,5.042970545E0,5.042970545E0
