"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.874382583E0,-2.128724670E1,-4.647216797E0,-5.511126709E1
1.894385583E0,-2.247877502E1,-2.643554688E0,-5.428952026E1
1.914388583E0,-2.449336243E1,-1.188964844E-1,-5.336727905E1
1.934391583E0,-2.730726624E1,3.131164551E0,-5.167047119E1
1.954394583E0,-3.013737488E1,5.754981995E0,-4.966870117E1
1.974397583E0,-3.221664429E1,7.472038269E0,-4.834622192E1
1.994400583E0,-3.350314331E1,8.588130951E0,-4.668878174E1
2.014404333E0,-3.419108582E1,9.128421783E0,-4.586282349E1
2.034407333E0,-3.406854248E1,9.599662781E0,-4.531414795E1
2.054410333E0,-3.407800293E1,8.634944916E0,-4.518109131E1
2.074412333E0,-3.447880554E1,7.129730225E0,-4.527047729E1
2.094415333E0,-3.558639526E1,5.843093872E0,-4.442968750E1
2.114418333E0,-3.597579956E1,4.983901978E0,-4.343496704E1
2.134421333E0,-3.624131775E1,4.493225098E0,-4.313079834E1
2.154424333E0,-3.645675659E1,4.103523254E0,-4.291040039E1
2.174427333E0,-3.694702148E1,3.318206787E0,-4.229058838E1
2.194430333E0,-3.727836609E1,2.894584656E0,-4.217309570E1
2.214433333E0,-3.668664551E1,1.495475769E0,-4.245355225E1
2.234436333E0,-3.616812134E1,5.466613770E-1,-4.290637207E1
2.259102250E0,-3.043125916E1,-2.006740570E1,-4.131222534E1
2.279105250E0,-3.055613708E1,-2.024182129E1,-4.150231934E1
2.299108250E0,-3.045481873E1,-1.999803162E1,-4.123159790E1
2.319111250E0,-3.082742310E1,-1.952141571E1,-4.109689331E1
2.339114250E0,-3.080249023E1,-1.966011047E1,-4.120596313E1
2.359117250E0,-3.101925659E1,-1.936967468E1,-4.138638306E1
2.379120250E0,-3.091522217E1,-1.902698517E1,-4.120263672E1
2.399123250E0,-3.078102112E1,-1.920047760E1,-4.124038696E1
2.419126250E0,-3.083787537E1,-1.905855560E1,-4.149523926E1
2.439129250E0,-3.106553650E1,-1.900302124E1,-4.118588257E1
2.459131250E0,-3.148231506E1,-1.851679230E1,-4.111468506E1
2.479134250E0,-3.141549683E1,-1.849467468E1,-4.098983765E1
2.499137250E0,-3.179663086E1,-1.812065887E1,-4.075836182E1
2.519140250E0,-3.197216797E1,-1.796797943E1,-4.073269653E1
2.539143250E0,-3.212702942E1,-1.783921051E1,-4.094778442E1
2.559146250E0,-3.231358337E1,-1.772714233E1,-4.117214966E1
2.579149250E0,-3.234626770E1,-1.752466583E1,-4.067880249E1
2.599152250E0,-3.256872559E1,-1.733127594E1,-4.066452026E1
2.619155250E0,-3.303016663E1,-1.698097992E1,-4.018234253E1
2.639158250E0,-3.314071655E1,-1.685878754E1,-4.017712402E1
2.659161250E0,-3.314173889E1,-1.717118073E1,-4.047738647E1
2.679164250E0,-3.290270996E1,-1.676358795E1,-4.099700928E1
2.699167250E0,-3.318186951E1,-1.645559692E1,-4.061172485E1
2.719170250E0,-3.314906311E1,-1.613288116E1,-4.079208374E1
2.739173250E0,-3.310192871E1,-1.596131897E1,-4.143414307E1
2.759176250E0,-3.309550476E1,-1.566122437E1,-4.103488159E1
2.779178250E0,-3.351344299E1,-1.527696228E1,-4.094622803E1
2.799181250E0,-3.382881165E1,-1.488919830E1,-4.102044678E1
2.819184250E0,-3.416535950E1,-1.456687164E1,-4.092700195E1
2.839187250E0,-3.414884949E1,-1.416507721E1,-4.080935669E1
2.859190250E0,-3.393515015E1,-1.429833984E1,-4.029434204E1
2.879192750E0,-3.395724487E1,-1.451948547E1,-4.062774658E1
2.899195750E0,-3.432530212E1,-1.422380829E1,-4.012829590E1
2.919198750E0,-3.536361694E1,-1.429962158E1,-3.982095337E1
2.939201750E0,-3.574298096E1,-1.381241608E1,-3.976309204E1
2.959204750E0,-3.652070618E1,-1.315086365E1,-3.909588623E1
2.979207750E0,-3.663328552E1,-1.242623901E1,-3.921676636E1
2.999210750E0,-3.690478516E1,-1.180421448E1,-3.930300903E1
3.019213750E0,-3.738092041E1,-1.122599030E1,-3.926824951E1
3.039216750E0,-3.794641113E1,-1.081719208E1,-3.893301392E1
3.059219750E0,-3.806713867E1,-1.068699646E1,-3.902474976E1
3.079222750E0,-3.804595947E1,-1.038751984E1,-3.897976685E1
3.099225750E0,-3.830899048E1,-1.056901550E1,-3.879547119E1
3.119228750E0,-3.846611023E1,-1.019140625E1,-3.926348877E1
3.139231750E0,-3.852139282E1,-9.979736328E0,-3.881311035E1
3.159233750E0,-3.899600220E1,-9.575202942E0,-3.829086304E1
3.179236750E0,-3.891572571E1,-9.003700256E0,-3.856637573E1
3.199239750E0,-3.914173889E1,-9.028099060E0,-3.866448975E1
3.219242750E0,-3.904362488E1,-8.461303711E0,-3.852685547E1
3.239245750E0,-3.930439758E1,-8.228981018E0,-3.882553101E1
3.259248750E0,-3.929450989E1,-8.065383911E0,-3.861080933E1
3.279251750E0,-3.935316467E1,-8.235755920E0,-3.847134399E1
3.299254750E0,-3.895034790E1,-8.132865906E0,-3.907781982E1
3.319257750E0,-3.862594604E1,-8.401519775E0,-3.935009766E1
3.339260750E0,-3.827980042E1,-8.291267395E0,-3.983279419E1
3.359263750E0,-3.749801636E1,-8.036712646E0,-4.028710938E1
3.379266750E0,-3.675048828E1,-7.997726440E0,-4.115280151E1
3.399269750E0,-3.603222656E1,-7.454429626E0,-4.160473633E1
3.419272750E0,-3.551280212E1,-6.602233887E0,-4.287158203E1
3.439275750E0,-3.452505493E1,-5.548980713E0,-4.314700317E1
3.459278750E0,-3.193937683E1,-4.958892822E0,-4.472860718E1
3.479281750E0,-2.908123779E1,-5.029304504E0,-4.653701782E1
3.499284750E0,-2.625711060E1,-4.673156738E0,-4.823489380E1
3.519287750E0,-2.490385437E1,-4.091453552E0,-4.852917480E1
3.539290750E0,-2.456375122E1,-2.768539429E0,-4.846890259E1
3.559293750E0,-2.442779541E1,-2.013572693E0,-4.886425781E1
3.579296750E0,-2.444520569E1,-1.225234985E0,-4.881985474E1
3.599298750E0,-2.477722168E1,-5.761413574E-1,-4.876062012E1
3.619301750E0,-2.553886414E1,-2.005081177E-1,-4.858126831E1
3.639304750E0,-2.646504211E1,-3.895950317E-1,-4.882659912E1
3.659307750E0,-2.701780701E1,-6.681900024E-1,-4.856973267E1
3.679310750E0,-2.739518738E1,-1.520614624E0,-4.862625122E1
3.699313750E0,-2.748562622E1,-2.162475586E0,-4.899996948E1
3.719316750E0,-2.655361938E1,-3.610542297E0,-4.971807861E1
3.739319750E0,-2.530500793E1,-4.566642761E0,-5.029302979E1
3.759322750E0,-2.407083130E1,-5.203262329E0,-5.142416382E1
3.779325750E0,-2.283799744E1,-5.341278076E0,-5.175439453E1
3.799329750E0,-2.165069580E1,-5.690757751E0,-5.281893921E1
3.819332750E0,-2.136807251E1,-5.977851868E0,-5.312585449E1
3.839335750E0,-2.154197693E1,-5.610351562E0,-5.283389282E1
3.859338750E0,-2.209764099E1,-5.745056152E0,-5.292993164E1
3.879342750E0,-2.255117798E1,-5.662147522E0,-5.265087891E1
3.899345750E0,-2.313511658E1,-5.493362427E0,-5.187393188E1
3.919347750E0,-2.422384644E1,-5.464782715E0,-5.125112915E1
3.939350750E0,-2.467649841E1,-5.547157288E0,-5.075109863E1
3.959353750E0,-2.516799927E1,-5.341972351E0,-5.089682007E1
3.979356750E0,-2.531298828E1,-5.786857605E0,-5.047778320E1
3.999359750E0,-2.554667664E1,-5.856918335E0,-5.054446411E1
4.019362750E0,-2.579148865E1,-5.830703735E0,-5.062710571E1
4.039365750E0,-2.602943420E1,-5.895599365E0,-5.024600220E1
4.059368750E0,-2.668804932E1,-5.559089661E0,-4.978146362E1
4.079371750E0,-2.756858826E1,-5.044448853E0,-4.986669922E1
4.099374750E0,-2.865336609E1,-4.375755310E0,-4.956668091E1
4.119377750E0,-2.907698059E1,-4.004234314E0,-4.929400635E1
4.139380750E0,-2.822427368E1,-3.971984863E0,-5.026898193E1
4.159383750E0,-2.638325500E1,-4.854469299E0,-5.125396729E1
4.179386750E0,-2.426074219E1,-7.024734497E0,-5.160668945E1
4.199389750E0,-2.122737122E1,-9.187744141E0,-5.210491943E1
4.219392750E0,-1.691926575E1,-1.230633545E1,-5.311590576E1
4.239395750E0,-9.821929932E0,-1.577116394E1,-5.311367798E1
4.259398750E0,-5.532775879E0,-1.810729218E1,-5.328317261E1
4.279401750E0,3.422302246E0,-2.377011108E1,-5.046557617E1
4.299404750E0,1.292193604E1,-3.021700287E1,-4.517376709E1
4.319407750E0,2.195722961E1,-3.721202087E1,-3.606503296E1
4.339410750E0,2.901026917E1,-4.246692657E1,-2.307598877E1
4.359413750E0,3.303062439E1,-4.552886963E1,-8.909179688E0
4.379416750E0,3.471415710E1,-4.700837708E1,3.632110596E0
4.399419750E0,3.540921021E1,-4.643318176E1,1.206518555E1
4.419422750E0,3.686320496E1,-4.517836761E1,1.809243774E1
4.439425750E0,3.959851074E1,-4.396957397E1,2.225485229E1
4.459428750E0,4.252006531E1,-4.255905914E1,2.579318237E1
4.479431750E0,4.549449158E1,-4.151385498E1,2.926586914E1
4.499434750E0,4.922877502E1,-4.059959412E1,3.257196045E1
4.519437750E0,5.293312073E1,-4.065792084E1,3.486282349E1
4.539440750E0,5.703677368E1,-4.028573608E1,3.659805298E1
4.559443750E0,6.157046509E1,-3.996516418E1,3.855548096E1
4.579446750E0,6.580220032E1,-4.026416016E1,4.061761475E1
4.599449750E0,6.932341003E1,-4.070574951E1,4.206838989E1
4.619452750E0,7.305686951E1,-4.127359009E1,4.456684875E1
4.639455750E0,7.728938293E1,-4.141494751E1,4.915730286E1
4.659458750E0,8.114822388E1,-4.120475006E1,5.420835876E1
4.679461750E0,7.995520020E1,-4.208492279E1,5.544549561E1
4.699464750E0,7.667401886E1,-4.363548279E1,5.423400879E1
4.719467750E0,7.527229309E1,-4.454044342E1,5.303009033E1
4.739470750E0,7.504319000E1,-4.466966248E1,5.225231934E1
4.759473750E0,7.447369385E1,-4.555779266E1,5.115394592E1
4.779476750E0,7.144119263E1,-4.631327820E1,4.926310730E1
4.799479750E0,6.830734253E1,-4.750440979E1,4.581892395E1
4.819482750E0,6.528562927E1,-4.864658356E1,4.246371460E1
4.839485750E0,6.188674927E1,-4.978945160E1,4.007318115E1
4.859488750E0,5.828662109E1,-5.104190063E1,3.850506592E1
