"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.162083300E-2,4.905066490E-1,-1.361287355E0,-3.140015602E-1
9.527343700E-2,3.246960640E-1,-1.438215852E0,-8.567709923E-1
1.189260410E-1,-6.983761787E-1,1.889061928E-2,3.334868431E0
1.425786450E-1,-1.021660566E0,1.351745129E0,8.681879044E-1
1.662311980E-1,1.365118027E-1,1.227076054E-1,2.292252541E0
1.898838020E-1,-1.015137553E0,9.073336124E-1,2.173452377E-1
2.135364060E-1,3.395972848E-1,4.350777864E-1,-2.865345955E0
2.371890100E-1,-3.000098467E-2,-1.656545043E0,-6.517667294E0
2.608416140E-1,-7.357869744E-1,-2.800294638E0,-3.675103188E0
2.844942180E-1,-1.233341217E0,1.004957438E0,2.799062729E0
3.081468230E-1,3.499081135E0,2.477247953E0,6.842168808E0
3.317994270E-1,6.160019875E0,-2.076529980E0,9.514942169E-1
3.554520310E-1,-4.006575584E0,8.546960950E-1,4.360021591E0
3.791046350E-1,-7.409502268E-1,-3.958395958E0,3.655473709E0
4.027572390E-1,1.847345114E0,-3.812358081E-1,3.931200027E0
4.264098430E-1,3.613455534E0,-2.512367725E0,-3.778419495E0
4.500624480E-1,-1.361662388E0,2.246617556E0,-4.575688839E0
4.737151040E-1,-1.365434647E0,2.433695555E0,-4.457597256E0
4.973677080E-1,2.286501884E0,1.250687838E0,2.081985474E-1
5.210203120E-1,2.862507701E-1,7.028808594E-1,-3.517818451E-2
5.446729160E-1,4.984382391E-1,-4.083135128E-1,3.531960487E0
5.683255200E-1,4.391559601E0,-6.286063194E-1,7.704149246E0
5.919781770E-1,8.158102036E-1,1.948442459E-1,2.830498695E0
6.156307810E-1,3.524999619E-1,3.185243607E-1,-9.721488953E-1
6.392833850E-1,2.812357903E0,3.479957581E-2,-1.920043945E0
6.629360410E-1,1.135435104E0,-2.677569389E-1,-3.172343254E0
6.865886450E-1,7.910194397E-1,-5.765414238E-1,-2.382173538E-1
7.102412500E-1,2.343479633E0,2.561483383E-1,-4.314184189E-2
7.338938540E-1,-7.780566216E-1,-1.253374100E0,-3.471196413E0
7.575465100E-1,-1.690671206E0,-1.514046192E0,4.763541222E-1
7.811991140E-1,1.252317429E0,-2.374583721E0,5.630487442E0
8.048517700E-1,2.636678219E0,-4.997524261E0,6.648139477E0
8.285043750E-1,-5.969812393E0,-6.722327232E0,6.323322296E0
8.521570310E-1,-9.601913452E0,-6.068311214E0,6.803972244E0
8.758096350E-1,2.543806553E0,-8.002392769E0,-1.030510068E0
8.994622910E-1,-1.109115362E0,-5.876936436E0,-2.497193813E0
9.231149480E-1,-1.005355930E1,-2.894670963E0,3.021077633E0
9.467675520E-1,-1.893143535E0,-1.210902214E0,-4.235446930E0
9.704202080E-1,2.681229830E0,-1.589680672E0,-9.696515799E-1
9.940728120E-1,2.910748959E0,-1.548741341E0,3.834512711E0
1.017725468E0,-2.551058292E0,-1.396841049E0,5.657634735E0
1.041378125E0,-1.393088937E0,3.241530418E0,8.004209995E-1
1.065030781E0,9.207634926E0,1.086163425E1,1.454272270E-1
1.088683385E0,8.085584641E0,5.458230972E-1,1.404879093E-1
1.112336041E0,-1.131979942E1,-5.153297424E0,4.850119591E0
1.135988698E0,-1.294785118E1,-4.817543030E-1,2.109698296E0
1.159641354E0,-4.691389084E0,2.475292206E0,-4.679127693E0
1.183294010E0,4.847772121E0,2.296740532E0,-5.788830757E0
1.206946666E0,-1.396035552E0,6.232118607E-1,-8.744549751E-1
1.230599323E0,-6.338879585E0,-6.162118912E-1,4.090057373E0
1.254251979E0,-7.240631580E-1,1.753082275E-1,2.122641802E0
1.277904635E0,4.646673679E0,-2.620744705E-1,1.615010738E0
1.301557291E0,4.149227142E-1,-1.966479301E0,2.569095135E0
1.325209948E0,-5.772154808E0,-8.532514572E-1,3.593855858E0
1.348862604E0,2.621261120E0,1.509158134E0,-1.044185448E1
1.372515312E0,-5.592434883E0,6.639795303E-1,-1.455093384E0
