"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.046000000E-2,3.381250000E1,1.106250000E1,-3.393750000E1
4.046156200E-2,3.306250000E1,1.168750000E1,-3.437500000E1
7.045843700E-2,3.256250000E1,1.275000000E1,-3.437500000E1
9.045843700E-2,3.193750000E1,1.356250000E1,-3.506250000E1
1.104600000E-1,3.100000000E1,1.400000000E1,-3.556250000E1
1.304662500E-1,3.125000000E1,1.450000000E1,-3.587500000E1
1.604600000E-1,2.968750000E1,1.293750000E1,-3.818750000E1
1.804615620E-1,2.868750000E1,1.175000000E1,-3.931250000E1
2.104600000E-1,2.768750000E1,1.050000000E1,-4.056250000E1
2.304615620E-1,2.781250000E1,1.037500000E1,-4.037500000E1
2.604584370E-1,2.675000000E1,1.043750000E1,-3.975000000E1
2.804646870E-1,2.593750000E1,1.131250000E1,-3.981250000E1
3.104631250E-1,2.512500000E1,1.137500000E1,-3.937500000E1
3.304662500E-1,2.525000000E1,1.106250000E1,-3.937500000E1
3.604584370E-1,2.587500000E1,1.062500000E1,-3.912500000E1
3.804600000E-1,2.568750000E1,1.037500000E1,-3.918750000E1
4.104584370E-1,2.543750000E1,1.043750000E1,-4.000000000E1
4.304584370E-1,2.518750000E1,1.062500000E1,-3.993750000E1
4.504584370E-1,2.537500000E1,1.037500000E1,-3.981250000E1
4.704662500E-1,2.575000000E1,1.037500000E1,-3.906250000E1
5.004631250E-1,2.675000000E1,1.000000000E1,-3.812500000E1
5.304584370E-1,2.737500000E1,9.812500000E0,-3.787500000E1
5.504584370E-1,2.800000000E1,9.687500000E0,-3.812500000E1
5.704584370E-1,2.850000000E1,9.312500000E0,-3.793750000E1
5.904584370E-1,2.893750000E1,9.062500000E0,-3.743750000E1
6.104584370E-1,2.962500000E1,8.687500000E0,-3.675000000E1
6.304584370E-1,3.050000000E1,8.937500000E0,-3.587500000E1
6.504584370E-1,3.150000000E1,9.000000000E0,-3.450000000E1
6.704584370E-1,3.256250000E1,9.125000000E0,-3.331250000E1
6.904584370E-1,3.343750000E1,8.812500000E0,-3.275000000E1
7.104584370E-1,3.400000000E1,9.000000000E0,-3.225000000E1
7.304584370E-1,3.468750000E1,9.062500000E0,-3.225000000E1
7.504584370E-1,3.487500000E1,9.375000000E0,-3.212500000E1
7.704631250E-1,3.512500000E1,1.012500000E1,-3.162500000E1
8.004568750E-1,3.537500000E1,1.075000000E1,-3.168750000E1
8.204584370E-1,3.468750000E1,1.162500000E1,-3.225000000E1
8.404584370E-1,3.350000000E1,1.262500000E1,-3.337500000E1
8.604631250E-1,3.237500000E1,1.362500000E1,-3.418750000E1
8.904568750E-1,3.075000000E1,1.500000000E1,-3.487500000E1
9.104584370E-1,2.918750000E1,1.593750000E1,-3.512500000E1
9.404584370E-1,2.706250000E1,1.762500000E1,-3.600000000E1
9.604615620E-1,2.593750000E1,1.825000000E1,-3.650000000E1
9.904584370E-1,2.531250000E1,1.862500000E1,-3.718750000E1
1.010458437E0,2.500000000E1,1.856250000E1,-3.800000000E1
1.040458437E0,2.468750000E1,1.762500000E1,-3.875000000E1
1.060478750E0,2.443750000E1,1.687500000E1,-3.918750000E1
1.090456875E0,2.487500000E1,1.562500000E1,-3.912500000E1
1.110464687E0,2.531250000E1,1.512500000E1,-3.856250000E1
1.140458437E0,2.618750000E1,1.450000000E1,-3.818750000E1
1.160461562E0,2.681250000E1,1.393750000E1,-3.775000000E1
1.190458437E0,2.762500000E1,1.343750000E1,-3.768750000E1
1.210458437E0,2.775000000E1,1.275000000E1,-3.712500000E1
1.230458437E0,2.787500000E1,1.193750000E1,-3.700000000E1
1.250458437E0,2.800000000E1,1.181250000E1,-3.693750000E1
1.270458437E0,2.787500000E1,1.187500000E1,-3.662500000E1
1.290458437E0,2.837500000E1,1.212500000E1,-3.643750000E1
1.310458437E0,2.881250000E1,1.306250000E1,-3.593750000E1
1.330458437E0,2.887500000E1,1.418750000E1,-3.600000000E1
1.350464687E0,2.868750000E1,1.462500000E1,-3.593750000E1
1.380458437E0,2.893750000E1,1.468750000E1,-3.575000000E1
1.400467812E0,2.900000000E1,1.456250000E1,-3.625000000E1
1.430492812E0,2.850000000E1,1.450000000E1,-3.718750000E1
1.460458437E0,2.787500000E1,1.493750000E1,-3.731250000E1
1.480458437E0,2.793750000E1,1.531250000E1,-3.712500000E1
1.500463125E0,2.781250000E1,1.568750000E1,-3.693750000E1
1.530458437E0,2.768750000E1,1.581250000E1,-3.675000000E1
1.550460000E0,2.756250000E1,1.575000000E1,-3.700000000E1
1.580458437E0,2.718750000E1,1.556250000E1,-3.725000000E1
1.600458437E0,2.737500000E1,1.531250000E1,-3.737500000E1
1.620458437E0,2.731250000E1,1.512500000E1,-3.681250000E1
1.640464687E0,2.656250000E1,1.500000000E1,-3.675000000E1
1.670458437E0,2.562500000E1,1.537500000E1,-3.725000000E1
1.690461562E0,2.487500000E1,1.562500000E1,-3.750000000E1
1.720458437E0,2.443750000E1,1.556250000E1,-3.843750000E1
1.740467812E0,2.456250000E1,1.531250000E1,-3.856250000E1
1.770458437E0,2.418750000E1,1.506250000E1,-3.850000000E1
1.790460000E0,2.400000000E1,1.493750000E1,-3.850000000E1
1.820458437E0,2.443750000E1,1.493750000E1,-3.831250000E1
1.840464687E0,2.468750000E1,1.475000000E1,-3.806250000E1
1.870458437E0,2.568750000E1,1.443750000E1,-3.731250000E1
1.890461562E0,2.600000000E1,1.393750000E1,-3.731250000E1
1.920481875E0,2.443750000E1,1.412500000E1,-3.775000000E1
1.950458437E0,2.375000000E1,1.525000000E1,-3.787500000E1
1.970458437E0,2.325000000E1,1.531250000E1,-3.800000000E1
1.990458437E0,2.362500000E1,1.550000000E1,-3.775000000E1
2.010458437E0,2.400000000E1,1.550000000E1,-3.756250000E1
2.030499062E0,2.437500000E1,1.550000000E1,-3.768750000E1
2.060458437E0,2.518750000E1,1.606250000E1,-3.756250000E1
2.080463125E0,2.543750000E1,1.650000000E1,-3.775000000E1
2.110458437E0,2.537500000E1,1.675000000E1,-3.768750000E1
2.130458437E0,2.493750000E1,1.693750000E1,-3.787500000E1
