"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668929808879856E9,"2022-11-20 15:36:48.880 UTC+08:00"
"PAUSE",1.744463999583386E2,1.668929983548719E9,"2022-11-20 15:39:43.549 UTC+08:00"
