"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.711934090E-3,3.212472029E1,1.189459905E2,1.993723392E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.217389107E-2,3.212471519E1,1.189459664E2,1.993723392E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.217389107E-2,3.212470818E1,1.189459539E2,1.993723392E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.481374979E0,3.212475234E1,1.189459380E2,1.993715000E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.298869491E1,3.212473306E1,1.189460195E2,1.993768978E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.941697097E1,3.212478251E1,1.189459585E2,1.993706608E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.587075496E1,3.212484809E1,1.189459166E2,1.993704224E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
3.249181390E1,3.212482129E1,1.189459627E2,1.993740010E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
3.537968791E1,3.212481487E1,1.189459874E2,1.993739176E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
4.065158892E1,3.212482738E1,1.189459324E2,1.993699050E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
8.208694398E1,3.212535064E1,1.189463091E2,1.993829918E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
8.377362692E1,3.212536283E1,1.189463204E2,1.993830299E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
8.856618094E1,3.212531024E1,1.189463531E2,1.993841052E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
9.499788392E1,3.212526213E1,1.189464840E2,1.993906689E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.014912800E2,3.212552642E1,1.189463555E2,1.993792629E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.141957870E2,3.212548098E1,1.189461693E2,1.993762732E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.207261080E2,3.212575371E1,1.189460988E2,1.993727374E1,-1.000000000E0,-1.000000000E0,5.123580399E1,5.123580399E1
1.350686840E2,3.212589334E1,1.189462563E2,1.993805003E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.548200769E2,3.212577430E1,1.189469868E2,1.994070482E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.559996070E2,3.212575315E1,1.189470616E2,1.994076991E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.568029749E2,3.212572697E1,1.189471482E2,1.994117260E1,-1.000000000E0,-1.000000000E0,4.017473297E1,4.017473297E1
1.579395909E2,3.212571249E1,1.189471979E2,1.994117260E1,-1.000000000E0,-1.000000000E0,4.054255493E1,4.054255493E1
2.062306169E2,3.212582033E1,1.189466879E2,1.993923926E1,-1.000000000E0,-1.000000000E0,4.575200000E1,4.575200000E1
2.066515239E2,3.212573992E1,1.189468030E2,1.994041681E1,-1.000000000E0,-1.000000000E0,4.580406826E1,4.580406826E1
2.127872089E2,3.212573687E1,1.189468310E2,1.994012380E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.382852379E2,3.212554034E1,1.189470216E2,1.994071651E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.448267180E2,3.212552708E1,1.189470308E2,1.994057798E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.591008580E2,3.212553125E1,1.189471369E2,1.994103193E1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.609074090E2,3.212546700E1,1.189472827E2,1.994185948E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.633856299E2,3.212543239E1,1.189473574E2,1.994199848E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.668518820E2,3.212539644E1,1.189474359E2,1.994276094E1,-1.000000000E0,-1.000000000E0,4.402967545E1,4.402967545E1
2.686174810E2,3.212536739E1,1.189474899E2,1.994276094E1,-1.000000000E0,-1.000000000E0,4.512144764E1,4.512144764E1
