"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.074704167E-2,-1.401058398E-5,1.202554535E-2,3.002713062E-2
3.069104167E-2,-5.522914231E-3,1.436786726E-2,3.654056415E-2
5.063604168E-2,-1.834083162E-2,7.603567094E-3,3.609368950E-2
7.058004168E-2,-3.654637933E-2,1.733739860E-2,3.728248179E-2
9.052504168E-2,-5.884865671E-2,1.856545918E-2,3.617075831E-2
1.104700416E-1,-7.125197351E-2,9.800740518E-3,3.143248335E-2
1.304140416E-1,-7.462222129E-2,1.664492860E-2,3.603337333E-2
1.503590416E-1,-7.929438353E-2,1.976612769E-2,3.957773000E-2
1.703030416E-1,-7.987627387E-2,1.346759312E-2,3.321696073E-2
1.902480416E-1,-7.938930392E-2,-1.930107828E-3,1.483694278E-2
2.101930417E-1,-7.531064749E-2,-9.351216257E-3,-9.241364896E-3
2.301370417E-1,-7.579232007E-2,-1.172484644E-2,-3.252369910E-2
2.500820417E-1,-8.492083102E-2,-2.209942229E-2,-5.841941759E-2
2.700260417E-1,-1.081326827E-1,-3.185518086E-2,-8.910288662E-2
2.899710417E-1,-1.331954300E-1,-2.832835540E-2,-1.191683784E-1
3.099160417E-1,-1.674342155E-1,-2.208970301E-2,-1.467618048E-1
3.298600417E-1,-1.930860132E-1,-3.730615135E-3,-1.648855656E-1
3.498050417E-1,-2.144763321E-1,1.532435976E-2,-1.842548847E-1
3.697500416E-1,-2.379221916E-1,2.992614731E-2,-2.015447766E-1
3.896940416E-1,-2.696883082E-1,5.768687651E-2,-2.246019840E-1
4.096390416E-1,-3.093252778E-1,7.947060466E-2,-2.387356162E-1
4.295830416E-1,-3.562268913E-1,8.826546371E-2,-2.515880167E-1
4.495280416E-1,-3.807327747E-1,1.014696211E-1,-2.532970905E-1
4.694730417E-1,-3.735060692E-1,1.149205938E-1,-2.565820813E-1
4.894170833E-1,-3.438026011E-1,1.357025653E-1,-2.602804601E-1
5.093620833E-1,-3.136191666E-1,1.946364194E-1,-2.715565562E-1
5.293060833E-1,-2.983134091E-1,2.866734266E-1,-2.789588571E-1
5.492510833E-1,-2.922369838E-1,3.033642471E-1,-2.738316655E-1
5.691960834E-1,-2.712580264E-1,2.550174296E-1,-2.590994835E-1
5.891400833E-1,-2.393207103E-1,1.879573166E-1,-2.467785776E-1
6.090850833E-1,-2.277148366E-1,1.251549274E-1,-2.224860042E-1
6.290290833E-1,-2.308318764E-1,1.033144817E-1,-2.220710367E-1
6.489740833E-1,-2.303289771E-1,1.414828002E-1,-2.249355167E-1
6.689190833E-1,-2.191611975E-1,1.769632101E-1,-2.152236551E-1
6.888630833E-1,-1.869053394E-1,1.763057709E-1,-2.012727857E-1
7.088080833E-1,-1.288913786E-1,1.743358821E-1,-1.960845739E-1
7.287520833E-1,-9.525247663E-2,1.813609600E-1,-1.859942526E-1
7.486970833E-1,-8.070753515E-2,1.925484240E-1,-1.775000095E-1
7.686420833E-1,-8.371248096E-2,2.168208957E-1,-1.653642058E-1
7.885860833E-1,-1.023318768E-1,2.432754338E-1,-1.588348597E-1
8.085310833E-1,-1.404597908E-1,2.517414987E-1,-1.542576849E-1
8.284760833E-1,-1.824867725E-1,2.696201205E-1,-1.545359194E-1
8.484200833E-1,-2.103405148E-1,2.999747992E-1,-1.537247747E-1
8.683650833E-1,-2.052483112E-1,3.239451051E-1,-1.636218578E-1
8.883090833E-1,-1.757887751E-1,3.244550228E-1,-1.616946906E-1
9.082540833E-1,-1.368585676E-1,2.756295204E-1,-1.432348490E-1
9.281990833E-1,-8.310598135E-2,1.747855544E-1,-1.228111386E-1
9.481430833E-1,-5.387400277E-3,4.599883407E-2,-1.187455282E-1
9.680880833E-1,6.880446523E-2,-7.271996886E-2,-1.308632195E-1
9.880320833E-1,1.145429164E-1,-1.170917600E-1,-1.437690258E-1
1.007977083E0,1.156492978E-1,-1.029542908E-1,-1.408055723E-1
1.027922083E0,8.211015165E-2,-6.281993538E-2,-1.380343139E-1
1.047866083E0,5.034778640E-2,-3.749778867E-2,-1.385181844E-1
1.067811083E0,1.261982787E-2,-2.793667652E-2,-1.514848918E-1
1.087756083E0,-1.524473261E-2,-1.879050024E-2,-1.660040319E-1
1.107700083E0,-4.726533592E-2,4.480592906E-6,-1.686895937E-1
1.127645083E0,-8.225528896E-2,9.734800085E-3,-1.429670453E-1
1.147589083E0,-9.611801803E-2,9.242622182E-3,-1.182545498E-1
1.167534083E0,-1.056194678E-1,4.185571335E-3,-9.615666419E-2
1.187479083E0,-1.307391673E-1,4.772907123E-4,-7.371149212E-2
1.207423083E0,-1.627842039E-1,1.525107771E-2,-4.473648593E-2
1.227368083E0,-1.801717281E-1,6.146750227E-2,-9.087542072E-3
1.247312083E0,-1.681837440E-1,1.041033193E-1,3.196146712E-2
