"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.568974584E0,1.704263836E-1,6.908682585E-1,-1.111589313E0
1.588974584E0,-2.962609194E-2,6.267293096E-1,-8.559496999E-1
1.608974584E0,-3.016058207E-1,2.855710983E-1,-5.691569448E-1
1.628974584E0,-4.947862923E-1,-1.160609797E-1,-4.362976551E-1
1.648974584E0,-4.844018817E-1,-4.002576768E-1,-3.567348123E-1
1.668974584E0,-2.877090573E-1,-5.390726924E-1,-2.684673667E-1
1.688974584E0,-1.091889441E-1,-4.735593498E-1,-1.632489264E-1
1.708974584E0,-5.100574717E-2,-2.504473627E-1,-1.000262350E-1
1.728974584E0,-1.160609797E-1,-2.015796006E-1,-2.137965411E-1
1.748974584E0,-2.999260128E-1,-2.020377368E-1,-3.599417508E-1
1.768974584E0,-4.822639227E-1,-1.924168915E-1,-3.892624080E-1
1.788974584E0,-6.004628539E-1,-1.595838517E-1,-3.139754832E-1
1.808974584E0,-6.383354068E-1,-1.328592747E-1,-2.394521236E-1
1.828974584E0,-5.972558856E-1,-2.206685692E-1,-3.831539452E-1
1.848974584E0,-5.459447503E-1,-2.764083743E-1,-5.803049207E-1
1.868974584E0,-5.436540842E-1,-1.163664013E-1,-6.387935281E-1
1.888974584E0,-5.570927262E-1,1.427855492E-1,-6.441384554E-1
1.908974584E0,-4.648547769E-1,1.722589284E-1,-5.821374655E-1
1.928974584E0,-3.133646548E-1,1.470614821E-1,-4.666872919E-1
1.948974584E0,-3.504736125E-1,2.290677279E-1,-3.571929336E-1
1.968974584E0,-5.393781066E-1,2.629697323E-1,-2.922904193E-1
1.988974584E0,-6.413896084E-1,2.038702667E-1,-2.518217862E-1
2.008974584E0,-6.604785919E-1,2.576248348E-1,-1.684411317E-1
2.028974584E0,-6.345176101E-1,2.831276953E-1,-5.054761097E-2
2.048974584E0,-4.391991794E-1,-2.748812549E-3,8.490777016E-2
2.068974584E0,1.043021679E-1,-5.838172436E-1,1.995943487E-1
2.088974584E0,7.304205894E-1,-9.228374958E-1,2.086043358E-1
2.108974584E0,1.090362310E0,-8.619054556E-1,2.348707765E-1
2.128974584E0,1.092194915E0,-5.554128885E-1,3.127537966E-1
2.148974584E0,8.490777016E-1,-1.692046970E-1,3.605526090E-1
2.168974584E0,5.586197972E-1,1.467560530E-1,4.040754735E-1
2.188974584E0,3.060344756E-1,1.690519750E-1,4.274403751E-1
2.208974584E0,8.612946421E-2,-1.317902952E-1,4.659237564E-1
2.228974584E0,-1.843231618E-1,-4.952444136E-1,5.642701387E-1
2.248974584E0,-5.146388412E-1,-6.736118197E-1,6.317687631E-1
2.268974584E0,-7.417212725E-1,-6.768187881E-1,5.251759291E-1
2.288974584E0,-7.682931423E-1,-6.055023670E-1,2.877090573E-1
2.308974584E0,-5.781669021E-1,-5.508314967E-1,8.444963396E-2
2.328974584E0,-2.389939874E-1,-5.741963983E-1,-6.413896382E-2
2.348974584E0,1.847812980E-1,-5.210527182E-1,-1.267508119E-1
2.368974584E0,4.384356141E-1,-3.765873313E-1,-9.712471068E-2
2.388974584E0,4.384356141E-1,-3.726168275E-1,-3.985778242E-2
2.408974584E0,2.999260128E-1,-4.170559645E-1,4.581354442E-4
2.428974584E0,1.808107942E-1,-4.660764635E-1,8.078455180E-2
2.448974584E0,1.856975704E-1,-5.283828974E-1,1.834068894E-1
2.468974584E0,1.776038408E-1,-5.563291311E-1,2.652604282E-1
2.488974584E0,1.340809762E-1,-4.970769584E-1,2.554868758E-1
2.508974584E0,8.307522535E-2,-3.646758199E-1,1.707318127E-1
