"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.637893417E0,-1.154100037E-1,3.807931366E0,9.964329071E0
1.657894417E0,9.550140381E-2,4.159550171E0,1.016745667E1
1.677895417E0,2.246827698E-1,4.500990143E0,1.067759583E1
1.697896417E0,7.035369873E-3,4.438719635E0,1.199515594E1
1.717897417E0,-4.813989258E-1,3.360062714E0,1.308788361E1
1.737898417E0,-6.598278809E-1,2.372865601E0,1.331825455E1
1.757898417E0,1.137634277E-1,2.960693207E0,1.260109589E1
1.777899417E0,8.873547363E-1,4.506678314E0,1.227387634E1
1.797900417E0,8.789721680E-1,4.804109802E0,1.290421555E1
1.817901417E0,6.399192810E-1,3.807631989E0,1.336675369E1
1.837902417E0,1.015787659E0,1.956281891E0,1.206266556E1
1.857903417E0,1.679806824E0,1.025517426E0,1.063553329E1
1.877904417E0,1.862277374E0,8.949888611E-1,1.013272888E1
1.897905417E0,1.405726776E0,1.081800385E0,1.028331573E1
1.917906417E0,9.506730652E-1,1.143621826E0,1.004980133E1
1.937907417E0,6.289920044E-1,9.291178894E-1,9.314530334E0
1.957908417E0,4.987628174E-1,7.908055115E-1,8.354576569E0
1.977909417E0,5.840853882E-1,8.767268372E-1,7.193141785E0
1.997910417E0,6.242019653E-1,1.265917511E0,6.064189453E0
2.017911417E0,6.246510315E-1,1.613644409E0,5.534141693E0
2.037912417E0,3.959266663E-1,1.802551575E0,5.535488892E0
2.057912417E0,5.287005615E-1,2.037413177E0,5.827830963E0
2.077913417E0,5.608836365E-1,2.238295441E0,6.091133423E0
2.097914417E0,3.365002441E-1,2.520907745E0,6.776558075E0
2.117915417E0,9.924362183E-2,2.840193787E0,7.525600433E0
2.137916417E0,1.544787598E-1,2.947370911E0,7.699838104E0
2.157916375E0,2.763253784E-1,3.101699982E0,8.059689789E0
2.177917375E0,3.016227722E-1,3.303181000E0,8.762628021E0
2.197918375E0,2.945874023E-1,3.467239838E0,9.552685089E0
2.217919375E0,1.797761536E-1,3.680246887E0,1.021505768E1
2.237920375E0,-2.667453003E-1,3.920646973E0,1.112546448E1
2.257921375E0,-8.800199890E-1,4.064198456E0,1.214349747E1
2.277922375E0,-1.460063782E0,3.958667908E0,1.285062698E1
2.297923375E0,-1.770667877E0,3.912713470E0,1.294612839E1
2.317924375E0,-2.063459015E0,3.996988220E0,1.241772720E1
2.337925375E0,-2.802023163E0,3.663182373E0,1.241578125E1
2.357925375E0,-3.606450348E0,2.973865814E0,1.284224442E1
2.377926375E0,-3.960314484E0,2.158511353E0,1.234288284E1
2.397927375E0,-3.799099731E0,1.675914917E0,1.138756943E1
2.417928375E0,-3.363355865E0,1.745220795E0,1.096664474E1
2.437929375E0,-3.125051422E0,1.558558960E0,1.072130493E1
2.457930375E0,-2.774630127E0,1.446142731E0,1.000743942E1
2.477931375E0,-2.157014465E0,1.556463318E0,9.078471222E0
2.497932375E0,-1.538500671E0,1.594484253E0,8.074958038E0
2.517933375E0,-1.067579956E0,1.412462769E0,7.335046692E0
2.537934375E0,-8.375083923E-1,1.321601715E0,6.769223328E0
2.557935375E0,-4.385879517E-1,1.555415497E0,6.183940430E0
2.577936375E0,-2.490820312E-1,1.926493835E0,5.981710968E0
2.597937375E0,-2.465373230E-1,2.736758881E0,6.158493347E0
2.617938375E0,-5.270539856E-1,2.620151367E0,6.639592896E0
2.637938375E0,-3.266207886E-1,2.343227234E0,7.082970886E0
2.657939375E0,-1.481918335E-2,2.105222168E0,7.525151367E0
2.677940375E0,1.133143616E-1,2.304457855E0,7.282056885E0
2.697941375E0,1.814227295E-1,3.062331848E0,6.923253021E0
2.717942375E0,-3.318598938E-1,3.618425446E0,7.414381714E0
2.737943375E0,-5.689668274E-1,3.993096313E0,8.810827789E0
2.757944375E0,7.244934082E-2,4.207151184E0,9.387129364E0
