"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.958727708E0,2.303390980E0,-6.566802502E0,1.002114105E1
1.980017083E0,-1.977069736E0,-7.258627415E0,1.157976627E1
2.001306510E0,-2.089831591E0,-6.932904720E0,1.578844166E1
2.022595937E0,-2.437688112E-1,-4.708775997E0,1.102193928E1
2.043885312E0,3.828516245E0,-4.112663746E0,1.517797279E1
2.065174740E0,-1.043569803E0,-4.148556232E0,1.592483330E1
2.086464167E0,-4.368995190E0,-4.766203403E0,1.653051567E1
2.107753542E0,-1.778465390E0,-4.177269936E0,1.699502373E1
2.129042969E0,7.307082176E0,-1.151246786E0,1.117268753E1
2.150332396E0,5.161916733E0,-1.065105200E0,9.891928673E0
2.171621823E0,-3.652942896E0,-3.368196964E0,9.396315575E0
2.192911250E0,-6.037689686E0,-2.949153900E0,9.056235313E0
2.214200625E0,-4.754239559E0,-1.723430514E0,7.397111893E0
2.235490052E0,-6.731907368E0,-1.608574986E0,5.845665932E0
2.256779479E0,-5.915356636E0,-1.833500385E0,3.030210733E0
2.278068906E0,-7.289734364E0,-3.564408541E0,6.913462639E0
2.299358333E0,-6.219544411E0,-5.379065514E0,1.097139072E1
2.320647760E0,-3.940380573E0,-5.151747227E0,1.099771214E1
2.341937187E0,-4.217947960E0,-4.969892502E0,6.341279030E0
2.363226615E0,-7.596015453E0,-5.568397522E0,6.774679184E0
2.384516042E0,-7.284948349E0,-5.757430553E0,5.867201328E0
2.405805469E0,-7.311269760E0,-5.130211830E0,6.576074600E0
2.427094896E0,-7.103094101E0,-4.287639141E0,5.448457241E0
2.448384323E0,-6.001797199E0,-5.455934525E0,7.480860710E0
2.469673750E0,-3.368196964E0,-5.915356636E0,4.732405186E0
2.490963229E0,1.821536273E-1,-5.475077152E0,6.116353989E0
2.512252656E0,1.319043487E-1,-6.276971817E0,9.283554077E0
2.533542083E0,-1.890928149E0,-7.014260292E0,6.609574318E0
2.554831510E0,-5.999404430E0,-6.624230385E0,7.284649372E0
2.576120937E0,-3.270091295E0,-4.325924397E0,6.867999077E0
2.597410365E0,-3.823132277E0,-3.361018419E0,6.130710602E0
2.618699844E0,-8.596813202E0,-5.053641319E0,7.349255562E0
2.639989271E0,-8.184948921E0,-4.526921272E0,5.747560024E0
2.661278698E0,-4.079164505E0,-3.461517096E0,6.468098640E0
2.682568125E0,-2.977867842E0,-1.136889815E0,7.995616913E0
2.703857552E0,-5.702395439E0,-3.725026608E0,9.429815292E0
2.725147031E0,-5.245067120E0,-3.660121441E0,6.381957054E0
2.746436458E0,-8.982357025E0,-5.441577911E0,4.445266247E0
2.767725885E0,-1.047398281E1,-3.870988846E0,6.042176247E0
2.789015312E0,-1.699502230E0,-3.049652576E0,1.028674412E1
2.810304792E0,-1.156032443E0,-2.635694027E0,9.338887215E0
2.831594219E0,-2.123331070E0,-1.862214208E0,9.051449776E0
2.852883646E0,-8.662018180E-1,-1.103390336E0,6.456134796E0
2.874173125E0,2.542374134E-1,-1.432702541E-1,7.780262947E0
2.895462552E0,-1.512862086E0,-1.232602715E0,9.657133102E0
2.916751979E0,-4.285246372E0,-2.896511793E0,9.496813774E0
2.938041458E0,-6.310471535E0,-5.314459324E0,8.127222061E0
2.959330885E0,-6.990332127E0,-6.576374054E0,5.462814331E0
2.980620312E0,-5.633003712E0,-5.848357677E0,6.600003242E0
3.001909792E0,-9.415757179E0,-6.377470493E0,6.434599400E0
3.023199219E0,-6.193223000E0,-1.004776096E1,6.243173599E0
3.044488698E0,-3.207877874E0,-6.827620506E0,9.539884567E0
3.065778125E0,-2.195115566E0,-7.244270325E0,9.429815292E0
3.087067552E0,-8.015955687E-1,-5.932106495E0,4.849952221E0
3.108357031E0,-3.095116138E0,-5.606682777E0,6.738786697E0
3.129646458E0,-5.549254894E0,-4.596313000E0,4.217648983E0
3.150935937E0,-9.693324089E0,-3.964308977E0,5.266303539E0
3.172225365E0,-1.479512119E1,-2.585145712E0,7.947760582E0
3.193514844E0,-1.014826012E1,-2.262114763E0,7.013961315E0
3.214804271E0,-7.004689217E0,-2.063510418E0,2.513062000E0
3.236093750E0,-7.347161770E0,-3.219841957E0,4.782654285E0
3.257383177E0,-6.906583309E0,-4.498207569E0,4.208077908E0
3.278672656E0,-6.186044693E0,-8.582456589E0,7.578966618E0
3.299962083E0,-6.717550278E0,-1.016500950E1,5.333302498E0
3.321251562E0,-6.892226696E0,-8.211568832E0,2.843570709E0
3.342540990E0,-3.160021305E0,-8.714061737E0,5.979962826E0
3.363830469E0,-6.480361938E0,-5.554040432E0,6.765107632E0
3.385119896E0,-6.265007973E0,-1.218814087E1,7.401897907E0
3.406409375E0,-6.064010620E0,-9.305388451E0,5.390730381E0
3.427698854E0,-6.164509296E0,-3.914059639E0,3.688536167E0
3.448988281E0,-4.009772778E0,-6.727121830E0,3.849154234E0
3.470277760E0,-5.158925533E0,-8.041379929E0,3.925724745E0
3.491567187E0,-3.518944740E0,-7.304090977E0,4.746761799E0
3.512856667E0,-5.499005318E0,-4.969892502E0,3.777369738E0
3.534146094E0,-9.420542717E0,-2.930011272E0,4.243969917E0
3.555435573E0,-8.793324471E0,-3.780061483E0,6.822535515E0
3.576725000E0,-6.710371971E0,-7.146164894E0,6.533003807E0
3.598014479E0,-6.920940399E0,-7.612765312E0,5.654240131E0
3.619303906E0,-6.607480526E0,-5.723930836E0,3.580859184E0
3.640593385E0,-8.546564102E0,-3.428017616E0,4.253541470E0
3.661882812E0,-1.077787113E1,-1.313958764E0,5.146662235E0
3.683172292E0,-5.338387489E0,-1.039472103E1,6.389135361E0
3.704461719E0,-5.084748268E0,-9.724431038E0,3.600001574E0
3.725751198E0,-9.113962173E0,-1.055533886E0,5.232803822E0
3.747040677E0,-6.791728020E0,-1.364207983E0,2.642573595E0
3.768330104E0,-8.498707771E0,-1.989033818E0,8.742476463E0
3.789619531E0,-7.213163853E0,-4.476672173E0,9.475577474E-1
3.810909010E0,-7.727920055E0,-3.157628536E0,7.289434910E0
3.832198490E0,-8.853144646E0,-2.381755829E0,5.704489231E0
3.853487917E0,-7.900203228E0,-2.130509377E0,4.208077908E0
3.874777396E0,-5.297709465E0,-1.213460207E0,4.188935280E0
3.896066823E0,-6.140581131E0,-4.727918625E0,5.637490273E0
3.917356302E0,-8.678169250E0,-9.020642281E0,2.886641502E0
3.938645781E0,-1.067498016E1,-4.749454021E0,5.486742496E0
3.959935208E0,-4.857429981E0,-6.650551319E0,4.481158733E0
3.981224635E0,-4.739882469E0,-9.118747711E0,4.845166683E0
4.002514115E0,-9.140283585E0,-9.410971642E0,4.270291328E0
4.023803594E0,-9.422935486E0,-5.434399128E0,6.410670757E0
4.045093021E0,-7.735098362E0,-5.041677475E0,8.029116631E0
4.066382500E0,-4.380959034E0,-6.506682873E0,5.350052357E0
4.087671927E0,-1.212802124E1,-4.146163464E0,5.618347645E0
4.108961406E0,-8.168199539E0,-4.162913322E0,6.877570629E0
4.130250833E0,-3.885345697E0,-5.807679653E0,7.217650414E0
4.151540312E0,-2.855833769E0,-3.186342478E0,8.773882866E0
4.172829740E0,-2.760120869E0,-2.889333248E0,6.405885220E0
4.194119219E0,-6.128616810E0,-4.574777603E0,1.011446095E1
4.215408646E0,-8.058129311E0,-8.295317650E0,1.011446095E1
