"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.929408177E0,2.380777150E-1,3.235123396E0,-2.691622019E0
1.950694323E0,1.250862479E0,8.423583508E-1,-2.004418850E0
1.971980520E0,3.840702176E-1,3.903313875E-1,-1.491307259E0
1.993266718E0,-1.213371754E0,2.180724740E-1,-1.420219894E-2
2.014552916E0,-1.450380445E0,6.499415040E-1,8.312104344E-1
2.035839114E0,-1.233529687E0,1.832541777E-3,1.365090966E0
2.057125364E0,-2.124145031E0,4.282039404E-1,1.515359282E0
2.078411562E0,-4.564556181E-1,4.178195298E-1,1.852547050E0
2.099697760E0,3.547724485E0,4.037700295E-1,1.435949206E0
2.120983958E0,-7.698966265E-1,-7.647807598E-1,-4.338542521E-1
2.142270156E0,-2.290906191E0,-7.550072074E-1,3.804051280E-1
2.163556354E0,-1.538342476E0,9.162709117E-3,1.197107911E0
2.184842604E0,-1.340427995E0,-6.224533319E-1,8.025006056E-1
2.206128802E0,-5.767925382E-1,6.316160560E-1,4.811949134E-1
2.227415000E0,1.326607585E0,7.727217674E-1,8.819107413E-1
2.248701198E0,1.680288076E0,1.100746751E0,6.076403260E-1
2.269987448E0,1.455496311E0,1.551552057E0,-1.969982497E-2
2.291273645E0,2.241733074E0,1.068982720E0,-2.707580328E-1
2.312559843E0,2.246619940E0,9.895725846E-1,-8.456416726E-1
2.333846093E0,1.602099657E0,1.132510781E0,-1.253687620E0
2.355132291E0,2.668715239E0,8.729007244E-1,-9.366579056E-1
2.376418541E0,2.859910488E0,1.501462579E0,3.278722763E-1
2.397704739E0,2.897172213E0,1.051268101E0,1.026070714E0
2.418990989E0,2.100627422E0,7.824953198E-1,3.028275371E-1
2.440277187E0,1.354095697E0,1.508792758E0,6.876612902E-1
2.461563385E0,6.962131858E-1,2.009763956E0,1.291178346E0
2.482849635E0,3.405473381E-2,1.966393709E0,7.444701195E-1
2.504135885E0,2.112004459E-1,7.403468490E-1,-1.815743446E-1
2.525422083E0,1.061499834E0,1.345696568E0,-1.750306487E0
2.546708333E0,8.000571728E-1,1.624853730E0,-1.498637438E0
2.567994531E0,-1.681357026E-1,1.505127668E0,9.949174523E-1
2.589280781E0,-1.655014277E0,7.458444834E-1,1.987009764E0
2.610567031E0,-2.348936796E0,-7.098045349E-1,8.196043372E-1
2.631853281E0,-3.681271076E0,3.176405653E-2,1.177408099E-1
2.653139479E0,-2.888314962E0,-9.834641218E-2,7.707365155E-1
2.674425729E0,-1.226810336E0,4.654656053E-1,2.052370548E0
2.695711979E0,-7.589013577E-1,8.667922616E-1,1.798792481E0
2.716998229E0,-9.665894508E-1,1.094638348E0,4.066715539E-1
2.738284479E0,-3.263451457E-1,-5.192201585E-2,-1.937913001E-1
2.759570677E0,7.579087615E-1,-1.026223376E-1,-7.295043468E-1
2.780856927E0,8.971819282E-1,5.460974574E-1,-6.091674566E-1
2.802143177E0,1.088377118E0,7.941014320E-2,-9.030613303E-1
2.823429427E0,1.415180445E0,-9.657495022E-1,-5.493044257E-1
2.844715677E0,1.142131686E0,8.191461563E-1,4.341596961E-1
2.866001927E0,-2.725905776E-1,1.574764252E0,1.674179673E0
2.887288177E0,-2.218215466E0,1.276670843E-1,1.905690789E0
2.908574427E0,-2.317783594E0,-3.390202224E-1,1.216655016E0
2.929860677E0,-6.678087711E-1,1.832541823E-1,6.015318632E-1
2.951146927E0,5.813738704E-1,2.675510943E-1,7.139277458E-1
2.972433177E0,5.117372870E-1,2.443389036E-2,-8.309813142E-1
2.993719427E0,3.242071867E-1,-3.567348123E-1,-1.788179040E0
3.015005677E0,2.454078794E-1,-1.330501676E0,-2.182175398E0
3.036291927E0,5.544965863E-1,-1.828342199E0,-2.353823662E0
3.057578177E0,6.259657145E-1,-2.703686237E0,-2.358099461E0
3.078864427E0,2.606790662E-1,-2.452628136E0,-1.417394757E0
3.100150677E0,-9.311602712E-1,-1.469164014E0,-5.169295073E-1
3.121436927E0,-1.805282712E0,-1.677462935E0,3.687990308E-1
3.142723177E0,-1.349590659E0,8.735115826E-2,2.335803509E0
3.164009427E0,3.649812192E-2,1.454427361E0,3.254517794E0
3.185295677E0,4.260659590E-2,5.961869359E-1,1.529408813E0
3.206581979E0,1.160457134E0,-1.034851670E0,-3.758237660E-1
3.227868229E0,3.289336205E0,-6.719319820E-1,-9.926267900E-3
3.249154479E0,3.616750240E0,-1.607215524E0,-6.336013079E-1
3.270440729E0,1.625922680E0,-1.816125274E0,-1.769853592E0
3.291726979E0,-1.882936656E-1,-1.853386998E0,-1.758858323E0
3.313013281E0,-9.488748312E-1,-1.158242702E0,-5.248705149E-1
3.334299531E0,-9.238301516E-1,8.612946421E-2,1.118919492E0
3.355585781E0,-1.929895520E0,1.069593549E0,1.115865231E0
3.376872031E0,-2.202333450E0,5.882459283E-1,1.222152710E0
3.398158333E0,-1.900574923E0,1.826433241E-1,1.738929391E0
3.419444583E0,-1.398458481E0,7.061394453E-1,3.174878657E-1
3.440730833E0,-7.178982496E-1,9.468132257E-2,8.293778896E-1
3.462017083E0,-1.650814712E-1,5.106683373E-1,1.149461865E0
3.483303385E0,4.634803534E-1,7.751652002E-1,1.267966151E0
3.504589635E0,5.807630420E-1,8.600729704E-1,6.833853722E-1
3.525875937E0,6.106945276E-1,8.551862091E-3,-2.420482337E-1
3.547162187E0,4.292729199E-1,-5.625903010E-1,-1.013624668E0
3.568448437E0,5.337277651E-1,-1.661504507E-1,-2.939702570E-1
3.589734739E0,2.686200738E-1,2.480039895E-1,8.367080092E-1
3.611020989E0,-4.130854607E-1,4.587462842E-1,1.444501042E0
3.632307239E0,-9.342145324E-1,5.839699507E-1,8.886300325E-1
3.653593541E0,-1.142513394E0,-1.478250325E-1,2.362451702E-1
3.674879791E0,-1.274456501E0,-5.796940327E-1,-2.866400778E-1
3.696166093E0,-7.081246972E-1,-5.015056133E-1,5.398362875E-1
3.717452343E0,1.036913246E-1,-1.020114943E-1,1.073716760E0
3.738738645E0,1.372879148E-1,-4.159869850E-1,3.541387022E-1
3.760024895E0,-4.033119082E-1,-7.293516397E-1,-4.295783341E-1
3.781311145E0,-6.653653979E-1,-7.672241330E-1,-8.750387281E-2
3.802597448E0,-1.202987313E0,-4.978405237E-1,3.100049868E-2
3.823883698E0,-1.364251018E0,-2.473931462E-1,5.074613690E-1
3.845170000E0,-1.190770388E0,-3.561239541E-1,5.489989519E-1
3.866456250E0,-6.427640319E-1,-6.163448691E-1,1.330119967E-1
3.887742552E0,-4.857762754E-1,-8.173136115E-1,-6.580352187E-1
3.909028802E0,-7.973847389E-1,-3.750602305E-1,-6.311579347E-1
3.930315104E0,-8.199861050E-1,2.418955117E-1,-2.634278834E-1
3.951601354E0,-5.034908652E-1,3.610107303E-1,5.245651007E-1
3.972887656E0,-5.451811850E-2,4.703523815E-1,1.302784443E0
3.994173906E0,4.176668227E-1,7.159129977E-1,1.511694312E0
4.015460208E0,3.968980014E-1,8.515210748E-1,1.829945683E0
4.036746458E0,2.533488870E-1,9.944593310E-1,1.894084692E0
4.058032760E0,-4.069769979E-1,1.067150116E0,9.784246087E-1
4.079319062E0,-4.352286831E-2,9.926267862E-1,-5.039489828E-3
4.100605312E0,-5.248705149E-1,-3.768927455E-1,-1.453434706E0
4.121891614E0,-2.652604282E-1,-5.796940327E-1,-1.891412139E0
4.143177864E0,9.692618847E-1,-4.862344265E-1,-2.002586365E0
4.164464166E0,1.238034725E0,-1.068982705E-1,-1.298890352E0
4.185750416E0,8.696937561E-1,1.575985998E-1,-6.849125028E-1
4.207036718E0,-6.978929788E-2,4.434750974E-1,-1.238416433E0
4.228323020E0,-7.454627156E-1,4.361449480E-1,-3.196258247E-1
4.249609270E0,3.894151375E-2,4.190412164E-1,5.667135715E-1
4.270895573E0,1.904316396E-1,3.695625961E-1,9.374978542E-1
4.292181823E0,7.102626562E-1,-1.301104724E-1,7.847860456E-1
4.313468125E0,1.245975733E0,-2.651077211E-1,2.020377368E-1
4.334754427E0,1.209935665E0,-1.368297935E-1,-3.831539452E-1
4.356040677E0,1.110367656E0,-4.208737612E-1,-4.081986845E-1
4.377326979E0,1.904316396E-1,-1.942494214E-1,-8.383878320E-2
4.398613281E0,4.109475017E-1,-6.334486008E-1,5.080721974E-1
4.419899531E0,-5.645755529E-1,-1.618745178E-1,-4.240806997E-1
4.441185833E0,-3.953709006E-1,-6.804838181E-1,3.639122546E-1
4.462472135E0,-1.742441803E-1,-5.308262706E-1,-1.601946950E-1
4.483758385E0,-1.889045089E-1,-1.052566171E0,-2.072299272E-1
