"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.511588333E0,-1.957675070E-1,1.621466577E-1,-1.829578727E-1
1.531691333E0,-1.928500086E-1,1.044274420E-1,-3.197942972E-1
1.551793333E0,-1.881570816E-1,2.737753093E-2,-5.015445352E-1
1.571896333E0,-2.809389830E-1,6.625848264E-2,-6.779726744E-1
1.591998333E0,-4.466110170E-1,1.915130764E-1,-7.463133931E-1
1.612100333E0,-5.608782172E-1,3.630756438E-1,-6.586814523E-1
1.632203333E0,-5.572457314E-1,4.700055420E-1,-4.181880951E-1
1.652305333E0,-4.305904210E-1,4.039369226E-1,-1.198819652E-1
1.672408333E0,-2.496295422E-1,1.975850910E-1,-3.776499256E-2
1.692510333E0,-6.760060787E-2,1.629686505E-1,-1.764841229E-1
1.712613333E0,3.761387244E-2,4.157377779E-2,-2.781598866E-1
1.732715333E0,2.422600240E-2,-1.040914133E-1,-3.135723174E-1
1.752818333E0,-1.114690155E-1,-1.501335949E-1,-2.659671307E-1
1.772920333E0,-1.475445181E-1,-6.471764296E-2,-8.945614845E-2
1.793023333E0,-1.921089590E-1,1.120556667E-1,6.965374202E-2
1.813125333E0,-2.546142042E-1,1.750416905E-1,1.109400690E-1
1.833227333E0,-1.949110180E-1,4.568423331E-2,1.131965593E-1
1.853331125E0,-5.961425137E-3,5.925077572E-2,5.532939732E-2
1.873433125E0,2.236692607E-1,1.828889549E-1,-6.800971180E-2
1.893536125E0,3.891428411E-1,3.499231040E-1,-2.354683429E-1
1.913638125E0,4.356853962E-1,4.519324005E-1,-4.013544023E-1
1.933741125E0,3.481520414E-1,5.130534172E-1,-5.689539313E-1
1.953843125E0,1.968914121E-1,5.371586084E-1,-7.393262982E-1
1.973946125E0,3.857195377E-2,4.766117930E-1,-9.244917631E-1
1.994048125E0,2.435307018E-2,4.244931936E-1,-9.840190411E-1
2.014151125E0,8.677651733E-2,5.295535326E-1,-9.062325954E-1
2.034253125E0,8.931440115E-2,5.057396889E-1,-7.080197930E-1
2.054356125E0,2.175211757E-1,8.464454859E-2,-2.872018516E-1
2.074458125E0,2.472416759E-1,-4.209054708E-1,2.420137823E-1
2.094561125E0,1.074005365E-1,-8.219009638E-1,6.845918894E-1
2.114663125E0,7.218109816E-2,-8.217532635E-1,9.582930207E-1
2.134766125E0,2.720332146E-1,-7.003782392E-1,1.072007775E0
2.154868125E0,3.069199324E-1,-8.254365325E-1,1.177417636E0
2.174971125E0,4.674447775E-1,-9.575693011E-1,1.432461023E0
2.195073125E0,6.325719953E-1,-6.337701678E-1,1.601567745E0
2.215175125E0,5.051255822E-1,-1.375239342E-1,1.756260991E0
2.235278125E0,2.043220997E-1,-3.663736284E-1,1.480338812E0
2.255380125E0,-4.626820982E-2,-5.070605874E-1,1.151035309E0
2.275483125E0,-4.446512461E-2,-1.413062960E-1,8.176257014E-1
2.295585125E0,1.832262147E-3,4.143133759E-1,3.704264760E-1
2.315688125E0,-1.444137543E-1,6.424966455E-1,-9.432587773E-2
2.335790125E0,-2.445416600E-1,8.400260806E-1,-4.519771039E-1
2.355893125E0,-3.678120375E-1,1.037631869E0,-7.259857059E-1
2.375995125E0,-6.035363674E-1,1.165515184E0,-1.022190690E0
2.396098125E0,-8.396961093E-1,1.336721659E0,-1.270513058E0
2.416200125E0,-1.036533594E0,1.556608200E0,-1.506607533E0
2.436303125E0,-1.133279681E0,1.619849801E0,-1.704730511E0
2.456405125E0,-1.075762868E0,1.683176279E0,-1.838001490E0
2.476508125E0,-8.905101418E-1,1.648939848E0,-1.911054373E0
2.496610125E0,-6.598331332E-1,1.621861458E0,-1.923686743E0
2.516713125E0,-4.232212603E-1,1.553508401E0,-1.884112597E0
2.536815125E0,-4.017825425E-1,1.335242867E0,-1.790766120E0
2.556918125E0,-6.902160048E-1,1.169281244E0,-1.669473767E0
2.577020125E0,-1.066830039E0,1.076750994E0,-1.319204688E0
2.597123125E0,-1.386757016E0,8.368009925E-1,-8.436028957E-1
2.617226125E0,-1.709175944E0,4.595574141E-1,-4.973726571E-1
2.637328125E0,-1.800593972E0,4.331660271E-1,-2.757737041E-1
2.657431125E0,-1.703332186E0,7.321184874E-1,-2.204250842E-1
2.677533125E0,-1.528126955E0,9.784561396E-1,-3.001343012E-1
2.697636125E0,-1.194504142E0,1.161791801E0,-3.218771517E-1
2.717738125E0,-8.045849204E-1,1.330676913E0,-3.021429777E-1
2.737841125E0,-3.845570385E-1,1.412348747E0,-2.563079894E-1
2.757943125E0,-6.718545407E-2,1.545494199E0,-2.604691684E-1
2.778046125E0,2.945071459E-1,1.654175401E0,-2.080008984E-1
2.798148125E0,7.062147260E-1,1.802655697E0,-5.543067306E-2
2.818251125E0,9.310120940E-1,1.646921277E0,1.719930172E-1
2.838353125E0,1.086446762E0,1.527266383E0,2.123855948E-1
2.858455083E0,9.653807878E-1,1.365813017E0,2.599933147E-1
2.878557083E0,8.060690761E-1,1.303498387E0,3.522791862E-1
2.898660083E0,9.158709645E-1,1.401991844E0,3.826140463E-1
2.918762083E0,9.747444987E-1,1.434865832E0,5.267709494E-1
2.938865083E0,9.283664227E-1,1.279052734E0,5.400059223E-1
2.958967083E0,9.649563432E-1,1.196270585E0,4.354682267E-1
2.979070083E0,8.932816982E-1,1.134694934E0,2.164985687E-1
2.999173083E0,5.353749990E-1,1.003257990E0,-2.962355614E-1
