"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.905187125E0,4.300706635E0,-5.574707336E0,3.546125793E0
1.925290125E0,4.878355408E0,-6.504873047E0,3.524720306E0
1.945392125E0,5.626799011E0,-7.414681091E0,3.511847076E0
1.965495125E0,6.614894257E0,-8.875792694E0,3.789519653E0
1.985597125E0,7.307953033E0,-1.027358597E1,4.555027771E0
2.005699125E0,7.219786377E0,-9.848470001E0,5.062771912E0
2.025802125E0,7.174281006E0,-8.758137360E0,5.227279816E0
2.045904125E0,6.815177765E0,-9.407636719E0,7.473508759E0
2.066007125E0,6.365363159E0,-1.154444321E1,8.872948608E0
2.086109125E0,5.846392365E0,-1.265393600E1,7.209906921E0
2.106212125E0,4.881498871E0,-1.068552933E1,6.041287079E0
2.126314125E0,4.342170410E0,-9.038504333E0,5.484744415E0
2.146417125E0,3.672014008E0,-8.739126892E0,5.422773285E0
2.166519125E0,1.975442047E0,-8.093519440E0,6.286776581E0
2.186622125E0,1.120120697E0,-6.569837952E0,5.811065826E0
2.206724125E0,8.848100281E-1,-5.544170837E0,4.783752136E0
2.226827125E0,4.408332825E-1,-5.389991455E0,7.106322327E0
2.246929125E0,3.616479492E-1,-5.798342285E0,5.225333862E0
2.267032125E0,5.746549988E-1,-5.017865295E0,3.129392395E0
2.287134125E0,1.214873657E0,-5.558690643E0,1.976190491E0
2.307237125E0,1.550924835E0,-5.924679565E0,3.271297302E0
2.327339125E0,1.502874756E0,-6.224955139E0,4.826712799E0
2.347442125E0,1.783092041E0,-6.572382660E0,5.430856476E0
2.367544125E0,2.433938599E0,-7.222780151E0,6.125262451E0
2.387647125E0,2.986289978E0,-7.794591064E0,6.967261505E0
2.407749125E0,3.640429688E0,-7.996072083E0,6.887327728E0
2.427852125E0,4.408033447E0,-7.912545776E0,7.611671448E0
2.447954125E0,5.039570160E0,-6.910379791E0,7.691156158E0
2.468057125E0,5.589825897E0,-5.878575439E0,7.982001343E0
2.488159125E0,6.058052216E0,-5.141508179E0,7.903714142E0
2.508262125E0,6.282585297E0,-4.606969757E0,7.663164368E0
2.528364125E0,6.708150330E0,-5.238356781E0,8.401728516E0
2.548467125E0,7.338489532E0,-6.133345642E0,7.404352570E0
2.568569125E0,7.492968292E0,-7.913443909E0,4.633314972E0
2.588672125E0,5.748346252E0,-9.583071899E0,3.470383301E0
2.608774125E0,5.194348297E0,-1.330178879E1,3.412304077E0
2.628877125E0,5.091811523E0,-1.497366211E1,2.020797729E0
2.648979125E0,4.893324280E0,-1.263956589E1,1.255888367E-1
2.669082125E0,3.948040009E0,-1.015188904E1,8.608598328E-1
2.689184125E0,2.432741089E0,-7.006779327E0,1.776505737E0
2.709287125E0,1.085093536E0,-4.705614624E0,2.763553162E0
2.729389125E0,2.815644836E-1,-3.352428589E0,3.548670502E0
2.749492125E0,2.616558838E-1,-2.871927795E0,3.739523621E0
2.769594125E0,5.652246094E-1,-3.175795898E0,4.399950256E0
2.789697125E0,4.098477173E-1,-3.029999084E0,5.816903687E0
2.809799125E0,1.511706390E0,-3.429667969E0,5.495522003E0
2.829902125E0,2.652184753E0,-5.671406250E0,5.921835480E0
2.850005125E0,3.840413818E0,-7.234306183E0,4.671635284E0
2.870106083E0,5.813161469E0,-8.015531616E0,7.215445404E0
2.890209083E0,6.941365356E0,-8.045469360E0,7.804769897E0
2.910311083E0,7.057673492E0,-6.272705841E0,7.748936005E0
2.930414083E0,6.886728973E0,-5.367837524E0,8.537047119E0
2.950516083E0,7.654931488E0,-5.697003021E0,8.301586761E0
2.970619083E0,7.869884491E0,-5.691165161E0,7.923323364E0
2.990721083E0,8.429121552E0,-7.205565948E0,7.472311249E0
3.010824083E0,8.549171906E0,-1.013242950E1,5.800737305E0
3.030926083E0,5.674549713E0,-1.070154602E1,4.704117737E0
3.051029083E0,4.137994995E0,-1.171793243E1,3.649560699E0
3.071131083E0,1.344055023E0,-1.148741180E1,5.606740723E0
3.091234083E0,7.021897888E-1,-1.232282455E1,7.405999146E0
3.111337083E0,-3.456312561E-1,-1.124297012E1,7.793543243E0
3.131439083E0,2.185455322E-1,-9.464219055E0,6.591093750E0
