"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.813125333E0,-1.258524584E0,5.464379733E0,-9.856490627E-1
1.833227333E0,-1.547048131E0,5.111869227E0,6.965595049E-1
1.853331125E0,-1.232762044E0,4.529386561E0,2.523658276E-2
1.873433125E0,-8.270626339E-1,3.479911923E0,-7.480635345E-1
1.893536125E0,-3.312813118E-1,2.389580451E0,-1.142099211E0
1.913638125E0,1.253534862E-1,1.457259457E0,-1.063278744E0
1.933741125E0,7.511613894E-1,4.785296971E-1,-1.242483625E0
1.953843125E0,1.530932620E0,-6.924705470E-1,-1.188883953E0
1.973946125E0,2.452059997E0,-2.403954077E0,-8.205315864E-1
1.994048125E0,2.664298430E0,-3.191211498E0,1.300607872E-1
2.014151125E0,2.437811502E0,-2.210784291E0,4.456689298E-2
2.034253125E0,2.265565100E0,-1.970687676E0,7.735024309E-1
2.054356125E0,1.704281222E0,-3.517258675E0,3.422067173E0
2.074458125E0,1.300691780E0,-5.536137933E0,3.095423580E0
2.094561125E0,5.102549350E-1,-5.435374619E0,1.842802638E0
2.114663125E0,-2.163963881E-1,-2.815208634E0,7.937513387E-1
2.134766125E0,-5.935327345E-1,-1.770923985E0,5.003836656E-1
2.154868125E0,-1.614869986E0,-1.498969401E0,6.539286250E-1
2.174971125E0,-3.475859218E0,-1.646570081E-1,1.695895730E0
2.195073125E0,-3.266896395E0,1.033379007E0,4.150961781E-1
2.215175125E0,-3.933917229E0,2.289813504E0,2.393651283E-1
2.235278125E0,-3.840048952E0,9.865977734E-1,2.007864273E0
2.255380125E0,-3.277255615E0,2.631689093E0,-8.071987653E-1
2.275483125E0,-2.576643697E0,2.259721978E0,-2.841600627E0
2.295585125E0,-2.141485138E0,1.780962485E0,-2.619806381E0
2.315688125E0,-2.060354143E0,1.693184668E0,-7.420601982E-1
2.335790125E0,-1.883643685E0,1.357652723E0,1.674478841E-1
2.355893125E0,-1.435196158E0,8.087798524E-1,6.175466645E-1
2.375995125E0,-7.844849637E-1,1.275909233E-1,1.699433003E0
2.396098125E0,-3.353957051E-1,-2.351902163E-1,1.996779706E0
2.416200125E0,3.360090780E-1,-3.318622327E-1,2.173358603E0
2.436303125E0,1.035673747E0,4.865526617E-2,2.907579146E0
2.456405125E0,1.486981731E0,1.217339428E0,2.909574509E0
2.476508125E0,1.908535574E0,2.036753027E0,3.198527242E0
2.496610125E0,2.094732555E0,2.696185051E0,2.888926528E0
2.516713125E0,2.277998912E0,2.537186394E0,3.103754109E0
2.536815125E0,2.669170038E0,1.724799979E0,3.439959068E0
2.556918125E0,3.245491201E0,2.274695528E-1,1.333410752E0
2.577020125E0,2.332172196E0,-1.324441708E0,-1.161800235E0
2.597123125E0,7.740880296E-1,-4.025702142E0,-1.435276265E0
2.617226125E0,5.778583959E-1,-7.295207273E0,-1.668529591E0
2.637328125E0,3.878715420E-1,-7.082704253E0,-3.531467116E0
2.657431125E0,-4.252182931E-2,-3.993337219E0,-4.001847256E0
2.677533125E0,-1.210898428E0,-1.088096082E0,-2.936573442E0
2.697636125E0,-2.787244910E0,1.954268695E0,-1.858121758E0
2.717738125E0,-3.847865218E0,3.687381075E0,-9.178625840E-1
2.737841125E0,-4.370744584E0,4.710836188E0,-2.136113593E-1
2.757943125E0,-3.889351505E0,4.950951514E0,4.540889204E-2
2.778046125E0,-3.742137618E0,4.666741750E0,9.187072143E-1
2.798148125E0,-3.652765851E0,4.716171187E0,1.050336809E0
2.818251125E0,-2.385076341E0,3.600322466E0,1.216976316E0
2.838353125E0,2.218696743E-1,6.328149140E-1,-3.528654313E-1
2.858455083E0,1.671473664E0,-7.553690457E-1,2.385172820E-1
2.878557083E0,2.878702087E0,-3.654556561E-1,1.517233179E0
2.898660083E0,3.881278547E0,-1.706199986E-1,2.169475467E0
2.918762083E0,3.937939528E0,1.505594881E0,2.432341724E0
2.938865083E0,4.530557173E0,1.789211152E0,2.449151884E0
2.958967083E0,5.352571614E0,1.456423305E0,1.616555153E0
2.979070083E0,5.772175410E0,8.556575650E-1,1.212120203E0
2.999173083E0,6.623240572E0,-1.656623198E0,1.896731508E-1
3.019275083E0,5.383641379E0,-3.811312226E0,-1.651724986E0
3.039378083E0,3.186009815E0,-4.594026945E0,-2.759486423E0
3.059480083E0,6.973582345E-1,-4.829137639E0,-2.310350679E0
3.079583083E0,-1.444388858E0,-5.039154423E0,2.851979434E-2
3.099685083E0,-2.042130126E0,-5.013668749E0,1.906208675E0
3.119788083E0,-2.071355387E0,-3.391301463E0,5.585219461E-1
3.139890083E0,-1.474215798E0,-1.490958130E0,6.210918313E-1
3.159993083E0,-1.067180153E0,8.465306461E-2,2.593234295E-1
3.180095083E0,-8.676455265E-1,2.099391325E0,-5.564765900E-1
3.200198083E0,-6.189005873E-1,3.521161106E0,-1.669816271E0
3.220300083E0,-6.229491994E-1,4.420202088E0,-2.166145477E0
3.240403083E0,-7.723879516E-1,4.461055999E0,-2.393369447E0
3.260506083E0,-5.408601388E-1,5.185689155E0,-2.591042758E0
3.280608083E0,2.764373526E-2,4.594417539E0,-2.914262221E0
3.300711083E0,5.240080248E-1,3.669147702E0,-3.512157564E0
3.320813083E0,4.524021448E-1,2.367927627E0,-2.726164895E-1
3.340916083E0,3.858906515E-1,9.474015480E-1,1.374665782E0
3.361018083E0,5.507982127E-1,4.778958589E-1,7.137865716E-1
