"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.176028740E1,3.211589407E1,1.189557462E2,1.968941459E1,1.236271977E0,8.717130885E0,5.523174461E0,5.523174461E0
4.276030505E1,3.211590491E1,1.189557571E2,1.965590872E1,1.236271977E0,7.083114085E0,5.693503960E0,5.693503960E0
4.376031935E1,3.211592114E1,1.189557659E2,1.959187807E1,9.568356872E-1,8.572423435E0,5.771950078E0,5.771950078E0
4.476033020E1,3.211593876E1,1.189557705E2,1.951266685E1,9.568356872E-1,9.219916347E0,5.914290296E0,5.914290296E0
4.576033795E1,3.211595080E1,1.189557729E2,1.950383843E1,1.053743839E0,6.575011363E0,6.015802322E0,6.015802322E0
4.676034272E1,3.211596571E1,1.189557760E2,1.941903986E1,1.212439299E0,3.265003982E0,6.089382561E0,6.089382561E0
4.776034546E1,3.211597496E1,1.189557821E2,1.939099101E1,1.212439299E0,3.564613387E2,6.250777903E0,6.250777903E0
4.876034510E1,3.211598484E1,1.189557801E2,1.933002792E1,1.212439299E0,3.551351564E2,6.300341715E0,6.300341715E0
4.976034415E1,3.211599203E1,1.189557777E2,1.932830577E1,9.952132106E-1,3.533607200E2,6.333686832E0,6.333686832E0
5.076033819E1,3.211600349E1,1.189557838E2,1.932953769E1,1.142557621E0,3.532264941E2,6.172887560E0,6.172887560E0
5.176033473E1,3.211600725E1,1.189557777E2,1.937726597E1,9.952132106E-1,3.501963944E2,6.115441349E0,6.115441349E0
5.276032507E1,3.211601234E1,1.189557770E2,1.936634690E1,1.112284541E0,3.485408280E2,6.145578213E0,6.145578213E0
5.376031470E1,3.211602573E1,1.189557719E2,1.938009135E1,1.112284541E0,3.491948933E2,6.074260885E0,6.074260885E0
5.476030242E1,3.211603586E1,1.189557742E2,1.941144438E1,1.061779022E0,3.514401642E2,5.987886891E0,5.987886891E0
5.576029050E1,3.211604010E1,1.189557740E2,1.940425867E1,1.061779022E0,3.463683597E2,5.977392809E0,5.977392809E0
5.676027441E1,3.211605016E1,1.189557708E2,1.940652952E1,1.022840381E0,3.449864457E2,5.984777402E0,5.984777402E0
5.776025903E1,3.211606550E1,1.189557688E2,1.941074956E1,1.022840381E0,3.518391859E2,5.844240379E0,5.844240379E0
5.876024270E1,3.211607763E1,1.189557660E2,1.946980314E1,1.179739594E0,1.217821606E0,5.862991140E0,5.862991140E0
5.976022291E1,3.211608858E1,1.189557668E2,1.948744805E1,1.321964383E0,3.529954303E2,5.887440214E0,5.887440214E0
6.076020432E1,3.211609889E1,1.189557625E2,1.952485352E1,1.321964383E0,3.514242406E2,5.897686999E0,5.897686999E0
6.176018345E1,3.211611014E1,1.189557636E2,1.953543049E1,1.074389219E0,3.526083827E2,5.986719614E0,5.986719614E0
6.276016200E1,3.211612384E1,1.189557665E2,1.953424961E1,1.016277909E0,3.477673432E2,5.883023441E0,5.883023441E0
6.376014590E1,3.211614453E1,1.189557725E2,1.951237009E1,1.016277909E0,3.484252705E2,5.788258216E0,5.788258216E0
6.476011527E1,3.211616102E1,1.189557746E2,1.955501828E1,1.077880859E0,3.490936665E2,5.724789554E0,5.724789554E0
6.576009190E1,3.211617488E1,1.189557721E2,1.961719178E1,1.077880859E0,3.508554870E2,5.672901973E0,5.672901973E0
6.676006651E1,3.211618255E1,1.189557666E2,1.964708741E1,1.029776931E0,3.503458647E2,5.751445670E0,5.751445670E0
6.776004076E1,3.211619195E1,1.189557654E2,1.963868382E1,1.029776931E0,3.517337433E2,5.804473547E0,5.804473547E0
6.876001477E1,3.211620642E1,1.189557718E2,1.968340301E1,1.044712067E0,3.528521557E2,5.851024789E0,5.851024789E0
6.975998759E1,3.211621932E1,1.189557770E2,1.969252586E1,8.353139758E-1,3.517784754E2,5.842960530E0,5.842960530E0
7.075996053E1,3.211623581E1,1.189557718E2,1.942292554E1,1.371340632E0,3.431195564E2,5.721443293E0,5.721443293E0
7.175993240E1,3.211624838E1,1.189557691E2,1.939505679E1,1.116413355E0,3.427606685E2,5.831934938E0,5.831934938E0
7.275990391E1,3.211626131E1,1.189557669E2,1.940389213E1,1.116413355E0,3.475635847E2,5.857604669E0,5.857604669E0
7.375987542E1,3.211627108E1,1.189557632E2,1.943137260E1,9.716063738E-1,3.462468026E2,5.876055599E0,5.876055599E0
7.475984502E1,3.211628762E1,1.189557620E2,1.937801064E1,1.089789987E0,3.395015063E2,5.723088180E0,5.723088180E0
7.575981510E1,3.211629901E1,1.189557526E2,1.938345840E1,1.089789987E0,3.380916461E2,5.606751741E0,5.606751741E0
7.675978518E1,3.211630851E1,1.189557464E2,1.943318631E1,9.157308340E-1,3.362694241E2,5.659543407E0,5.659543407E0
7.775975442E1,3.211631932E1,1.189557423E2,1.950585857E1,9.157308340E-1,3.386461837E2,5.741240034E0,5.741240034E0
7.875972366E1,3.211633081E1,1.189557375E2,1.954006834E1,9.927222133E-1,3.373233529E2,5.741924909E0,5.741924909E0
7.975969172E1,3.211634165E1,1.189557332E2,1.957598584E1,1.069054008E0,3.435908739E2,5.671087055E0,5.671087055E0
8.075966048E1,3.211634935E1,1.189557303E2,1.963669351E1,1.069054008E0,3.529678240E2,5.601960327E0,5.601960327E0
8.175962794E1,3.211635822E1,1.189557318E2,1.971190975E1,1.069054008E0,3.522964494E2,5.735429726E0,5.735429726E0
8.275959671E1,3.211636750E1,1.189557285E2,1.979398480E1,1.068883181E0,3.545305433E2,5.831327622E0,5.831327622E0
8.375956345E1,3.211637758E1,1.189557255E2,1.986277097E1,1.070933700E0,3.569939807E2,5.899380679E0,5.899380679E0
8.475953150E1,3.211639146E1,1.189557205E2,1.993091962E1,1.178950787E0,3.492233807E2,5.923505645E0,5.923505645E0
8.575950193E1,3.211640189E1,1.189557163E2,2.000313949E1,1.178950787E0,3.477267007E2,6.007064301E0,6.007064301E0
8.675946498E1,3.211640963E1,1.189557154E2,2.006767919E1,9.861436486E-1,3.471615920E2,5.950274231E0,5.950274231E0
8.775943172E1,3.211641570E1,1.189557086E2,2.014463530E1,8.496024013E-1,3.460475919E2,5.901646947E0,5.901646947E0
