"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.000000000E-3,3.294999897E-1,-1.164999977E-1,-1.274899960E0
2.800000000E-2,1.692000031E-1,3.089999966E-2,-2.595700026E0
4.800156300E-2,1.021199942E0,-1.149099946E0,-3.653699875E0
7.800000000E-2,1.563599944E0,-1.139099956E0,-4.280999660E0
9.800000000E-2,1.040199995E0,5.207999945E-1,-3.111500025E0
1.180015630E-1,7.805999517E-1,1.524899960E0,-3.729799986E0
1.380015630E-1,-2.410999984E-1,1.482599974E0,-5.475899696E0
1.680000000E-1,-4.362999797E-1,1.452899933E0,-4.143300056E0
1.880000000E-1,7.159999758E-2,1.780399919E0,-3.922199965E0
2.080000000E-1,4.892999828E-1,2.092900038E0,-3.097100019E0
2.280000000E-1,7.696999907E-1,2.834300041E0,-1.706599951E0
2.480000000E-1,8.967999816E-1,2.661999941E0,-8.173999786E-1
2.680015630E-1,1.264099956E0,1.897899985E0,-3.610999882E-1
2.980000000E-1,1.165499926E0,2.715199947E0,9.921000004E-1
3.180000000E-1,6.723999977E-1,2.353999853E0,1.487200022E0
3.380000000E-1,7.312999964E-1,1.355700016E0,1.854499936E0
3.580000000E-1,7.489999533E-1,6.712999940E-1,1.583199978E0
3.780000000E-1,4.628999829E-1,8.678999543E-1,1.168599963E0
3.980000000E-1,-2.536000013E-1,1.105599999E0,1.396399975E0
4.180000000E-1,-1.478500009E0,8.133999705E-1,1.132900000E0
4.380000000E-1,-2.091599941E0,5.087000132E-1,1.529099941E0
4.580000000E-1,-1.669699907E0,1.278000027E-1,1.914299965E0
4.780000000E-1,-4.619999826E-1,-7.554000020E-1,1.509499907E0
4.980000000E-1,5.292999744E-1,-1.892599940E0,1.011799932E0
5.180000000E-1,4.936999977E-1,-1.593400002E0,2.078999877E-1
5.380000000E-1,3.599999845E-2,-9.202999473E-1,-1.496399999E0
5.580000000E-1,6.639999896E-2,-1.345399976E0,-2.005800009E0
5.780000000E-1,5.389999747E-1,-1.889599919E0,-2.567899942E0
5.980000000E-1,7.791000009E-1,-2.811699867E0,-3.418599844E0
6.180000000E-1,6.825000048E-1,-3.415299892E0,-4.719099998E0
6.380000000E-1,1.931999922E-1,-4.322599888E0,-5.182300091E0
6.580000000E-1,-1.298499942E0,-5.428199768E0,-5.412199974E0
6.780000000E-1,-2.792500019E0,-6.700999737E0,-6.328000069E0
6.980000000E-1,-3.100100040E0,-8.393499374E0,-9.355799675E0
7.280000000E-1,-2.850299835E0,-9.585499763E0,4.091899872E0
7.480000000E-1,-2.062599897E0,-5.052099705E0,2.892099857E0
7.680000000E-1,-1.093199968E0,-2.551599979E0,4.746200085E0
7.880000000E-1,-7.243999839E-1,-8.235999942E-1,4.964600086E0
8.080000000E-1,1.105000004E-1,-1.446799994E0,5.791899681E0
8.280000000E-1,-9.266999960E-1,-1.282699943E0,6.374700069E0
8.480000000E-1,-2.481499910E0,-1.445500016E0,6.969099998E0
8.680000000E-1,-2.912400007E0,5.465999842E-1,7.173699856E0
8.880000000E-1,-3.116499901E0,1.955899954E0,7.430199623E0
9.080000000E-1,-4.736399651E0,2.892400026E0,4.733200073E0
9.280000000E-1,-6.085999966E0,3.090199947E0,1.903800011E0
9.480000000E-1,-5.244199753E0,3.413499832E0,2.058099985E0
9.680000000E-1,-4.411699772E0,2.067199945E0,2.926100016E0
9.880000000E-1,-2.505399942E0,-2.395999879E-1,3.302599907E0
1.008000000E0,-1.137699962E0,-1.902300000E0,3.037999868E0
1.028000000E0,-2.988999784E-1,-1.865899920E0,4.272399902E0
1.048000000E0,-1.461699963E0,-1.263999939E-1,2.260699987E0
1.068000000E0,8.143999577E-1,-1.347100019E0,2.294199944E0
1.088001563E0,4.084700108E0,-9.845999479E-1,5.192399979E0
1.118001563E0,3.893800020E0,-7.809999585E-2,5.457799911E0
1.148000000E0,1.739399910E0,-3.921899796E0,4.528999925E-1
1.168000000E0,1.300899982E0,-4.800299644E0,1.112900019E0
1.188050000E0,-9.789999723E-1,-3.348799944E0,1.077199936E0
1.218000000E0,1.987299919E0,-1.299700022E0,9.693999887E-1
1.238000000E0,4.411999702E0,-5.618999600E-1,1.747900009E0
1.258000000E0,2.607899904E0,8.989999443E-2,1.497299910E0
1.278000000E0,-1.165099978E0,3.792699814E0,3.530999899E0
1.298000000E0,-6.766699791E0,5.643300056E0,3.170399904E0
1.318000000E0,-5.330100060E0,7.323899746E0,1.999999862E-3
1.338000000E0,9.030399323E0,-1.634299994E0,4.391999841E-1
1.358000000E0,3.203699827E0,-9.879999608E-2,-9.418999553E-1
1.378000000E0,-2.612999976E-1,6.206199646E0,1.845099926E0
1.398000000E0,2.679100037E0,1.469900012E0,8.565999866E-1
1.418000000E0,3.180599928E0,-6.151000023E0,2.524799824E0
1.447998438E0,-1.242900014E0,-6.668699741E0,-5.957999825E-1
1.467998438E0,-2.679699898E0,-8.194999695E-1,1.316100001E0
1.487998438E0,-8.973099709E0,4.112299919E0,-2.735499859E0
1.508000000E0,-5.215399742E0,-5.182399750E0,-3.868299961E0
1.528000000E0,2.149499893E0,-1.178709984E1,-6.156499863E0
1.548000000E0,2.854599953E0,-7.782299995E0,-6.359600067E0
1.568000000E0,2.257499933E0,-2.361899853E0,-5.860199928E0
1.588000000E0,4.192999899E-1,2.128900051E0,-2.835500002E0
1.608000000E0,8.048600197E0,-1.372999996E-1,2.699999884E-2
1.628000000E0,7.234200001E0,-3.186899900E0,-6.999999750E-4
1.648000000E0,4.631199837E0,1.672500014E0,-6.387999654E-1
1.668000000E0,2.777299881E0,5.759999752E0,1.495700002E0
1.688000000E0,1.295300007E0,3.930799961E0,4.442100048E0
1.708001563E0,1.149000004E-1,-3.435400009E0,3.191599846E0
1.738000000E0,-2.797199965E0,9.002999663E-1,-8.371999860E-1
1.758000000E0,-2.306599855E0,3.715699911E0,-6.355999708E-1
1.778001563E0,4.068999887E-1,8.276999593E-1,-4.398999810E-1
1.808000000E0,1.693099976E0,-6.205999851E-1,3.422999978E-1
1.828000000E0,3.264899969E0,1.475700021E0,8.932999969E-1
1.848000000E0,3.547699928E0,4.614799976E0,1.021600008E0
1.868000000E0,1.874300003E0,2.549199820E0,4.289999977E-2
1.888000000E0,-4.569999874E-2,9.106999636E-1,2.340999991E-1
1.908000000E0,-5.394999981E-1,3.035999835E-1,1.616999984E0
1.928000000E0,1.027500033E0,7.538999915E-1,8.709999919E-1
1.948000000E0,5.799999833E-2,-9.243999720E-1,-3.193999827E-1
1.968000000E0,-1.645399928E0,-1.637499928E0,4.463000000E-1
