"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.411515572E1,3.204970461E1,1.187848806E2,2.060411650E1,1.090465426E0,2.823935852E2,4.703295708E0,4.703295708E0
4.511382499E1,3.204970656E1,1.187848667E2,2.076899032E1,1.131922245E0,2.834215088E2,4.509104729E0,4.509104729E0
4.615937812E1,3.204970728E1,1.187848531E2,2.078300676E1,1.150277853E0,2.754905396E2,4.325416565E0,4.325416565E0
4.711603697E1,3.204970627E1,1.187848377E2,2.055829956E1,1.123131990E0,2.787298889E2,4.401849270E0,4.401849270E0
4.816527239E1,3.204970543E1,1.187848219E2,2.035503511E1,1.133252025E0,2.803051147E2,4.322792053E0,4.322792053E0
4.916974635E1,3.204970738E1,1.187848063E2,1.998951270E1,1.149994135E0,2.830028687E2,4.178658962E0,4.178658962E0
5.014983905E1,3.204971141E1,1.187847926E2,1.998573938E1,1.097491264E0,2.846877441E2,4.297162533E0,4.297162533E0
5.115532968E1,3.204971580E1,1.187847786E2,1.984576654E1,1.146665454E0,2.884854126E2,4.366996765E0,4.366996765E0
5.216832603E1,3.204971890E1,1.187847635E2,1.969025374E1,1.114205241E0,2.968420715E2,4.285959721E0,4.285959721E0
5.315179791E1,3.204972134E1,1.187847481E2,1.943304312E1,1.114620566E0,2.793222046E2,4.323199272E0,4.323199272E0
5.417044166E1,3.204972606E1,1.187847334E2,1.950923537E1,1.184828043E0,3.092147522E2,4.332591057E0,4.332591057E0
5.516203176E1,3.204973321E1,1.187847218E2,1.970400156E1,1.153711796E0,2.839418945E2,4.387140751E0,4.387140751E0
5.613323437E1,3.204973492E1,1.187847077E2,1.974704943E1,1.135149240E0,2.819094849E2,4.352372169E0,4.352372169E0
5.715963957E1,3.204973470E1,1.187846928E2,1.954605268E1,1.149170637E0,2.788037415E2,4.542988777E0,4.542988777E0
5.816594062E1,3.204973394E1,1.187846772E2,1.944137709E1,1.161513448E0,2.824356079E2,4.728619099E0,4.728619099E0
5.918387812E1,3.204973643E1,1.187846622E2,1.979352988E1,1.162208676E0,2.876541748E2,4.891823769E0,4.891823769E0
6.012250624E1,3.204973687E1,1.187846471E2,1.974094650E1,1.124776244E0,2.894685669E2,4.981780529E0,4.981780529E0
6.113310051E1,3.204974042E1,1.187846341E2,2.002052819E1,1.098349214E0,2.880244141E2,4.699999809E0,4.699999809E0
6.211513905E1,3.204974022E1,1.187846206E2,2.012756286E1,1.064412951E0,2.908005066E2,4.894259453E0,4.894259453E0
6.315415364E1,3.204974079E1,1.187846038E2,2.000645158E1,1.113003373E0,2.912707520E2,4.658474445E0,4.658474445E0
6.416171614E1,3.204973990E1,1.187845848E2,1.974018826E1,1.095246196E0,2.842062073E2,4.705967426E0,4.705967426E0
6.515928593E1,3.204973930E1,1.187845731E2,1.994142980E1,1.025882840E0,2.623769531E2,4.758867264E0,4.758867264E0
6.616586457E1,3.204973917E1,1.187845584E2,1.968703203E1,8.953477144E-1,2.254499207E2,4.975655556E0,4.975655556E0
6.718124374E1,3.204973260E1,1.187845462E2,1.944346285E1,9.239376783E-1,2.210959167E2,4.699999809E0,4.699999809E0
6.817176405E1,3.204972519E1,1.187845368E2,1.941461622E1,9.240949750E-1,2.444613953E2,4.699999809E0,4.699999809E0
6.916540780E1,3.204972240E1,1.187845214E2,1.854675235E1,9.231727123E-1,2.662894287E2,4.699999809E0,4.699999809E0
7.015777134E1,3.204972188E1,1.187844992E2,1.826771707E1,1.043249011E0,2.867528992E2,4.699999809E0,4.699999809E0
7.119508801E1,3.204972363E1,1.187844786E2,1.760359349E1,1.080390453E0,2.846267090E2,4.699999809E0,4.699999809E0
7.215741561E1,3.204972468E1,1.187844591E2,1.719465969E1,1.111572742E0,2.864138489E2,4.699999809E0,4.699999809E0
7.317428957E1,3.204972561E1,1.187844427E2,1.696510153E1,1.184355497E0,2.830957031E2,4.775724888E0,4.775724888E0
