"Time (s)","Pressure (hPa)"
9.187531200E-2,1.019091248E3
1.718753120E-1,1.019087463E3
2.518768750E-1,1.019116211E3
3.318784370E-1,1.019139954E3
4.118846870E-1,1.019151245E3
4.918784370E-1,1.019136230E3
5.718768750E-1,1.019139954E3
6.518768750E-1,1.019142456E3
7.318768750E-1,1.019112488E3
8.118768750E-1,1.019114990E3
8.918753120E-1,1.019116211E3
9.718784370E-1,1.019098755E3
1.051878437E0,1.019098755E3
1.131897187E0,1.019103699E3
1.211876875E0,1.019103699E3
1.291876875E0,1.019108704E3
1.371876875E0,1.019114990E3
1.451876875E0,1.019114990E3
1.531876875E0,1.019138733E3
1.611876875E0,1.019154968E3
1.691878437E0,1.019152466E3
1.771878437E0,1.019143738E3
1.851876875E0,1.019113708E3
1.931876875E0,1.019121216E3
2.011876875E0,1.019130005E3
2.091883125E0,1.019144958E3
2.171876875E0,1.019164978E3
2.251876875E0,1.019161255E3
2.331878437E0,1.019153748E3
2.411878437E0,1.019157471E3
2.491878437E0,1.019167480E3
2.571876875E0,1.019178711E3
2.651876875E0,1.019159973E3
2.731876875E0,1.019162476E3
2.811876875E0,1.019157471E3
2.891876875E0,1.019152466E3
2.971876875E0,1.019148743E3
3.051878437E0,1.019146240E3
3.131895625E0,1.019149963E3
3.211876875E0,1.019153748E3
3.291876875E0,1.019162476E3
3.371876875E0,1.019156250E3
3.451876875E0,1.019157471E3
3.531876875E0,1.019151245E3
3.611876875E0,1.019154968E3
3.691878437E0,1.019152466E3
3.771878437E0,1.019158752E3
3.851878437E0,1.019154968E3
3.931876875E0,1.019158752E3
4.011876875E0,1.019157471E3
4.091876875E0,1.019153748E3
4.171876875E0,1.019141235E3
4.251876875E0,1.019136230E3
4.331878437E0,1.019134949E3
4.411880000E0,1.019133728E3
4.491878437E0,1.019133728E3
4.571876875E0,1.019139954E3
4.651876875E0,1.019143738E3
4.731876875E0,1.019138733E3
4.811876875E0,1.019132507E3
4.891876875E0,1.019138733E3
4.971876875E0,1.019139954E3
5.051878437E0,1.019136230E3
5.131895625E0,1.019142456E3
5.211876875E0,1.019146240E3
5.291876875E0,1.019137451E3
5.371876875E0,1.019127502E3
5.451876875E0,1.019123718E3
5.531876875E0,1.019125000E3
5.611876875E0,1.019122498E3
5.691878437E0,1.019131226E3
5.771878437E0,1.019137451E3
5.851878437E0,1.019139954E3
5.931876875E0,1.019136230E3
6.011876875E0,1.019125000E3
6.091876875E0,1.019122498E3
6.171876875E0,1.019102478E3
6.251876875E0,1.019113708E3
6.331878437E0,1.019117493E3
6.411878437E0,1.019127502E3
6.491878437E0,1.019119995E3
6.571876875E0,1.019122498E3
6.651876875E0,1.019116211E3
6.731876875E0,1.019106201E3
6.811876875E0,1.019102478E3
6.891876875E0,1.019096252E3
6.971876875E0,1.019093750E3
7.051878437E0,1.019125000E3
7.131895625E0,1.019111206E3
7.211876875E0,1.019094971E3
7.291876875E0,1.019091248E3
7.371876875E0,1.019101257E3
7.451876875E0,1.019099976E3
7.531876875E0,1.019116211E3
7.611876875E0,1.019107483E3
7.691878437E0,1.019103699E3
7.771878437E0,1.019092468E3
7.851878437E0,1.019066223E3
