"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.991878437E0,-7.568750000E1,1.981250000E1,8.187500000E0
2.021876875E0,-6.900000000E1,1.993750000E1,9.750000000E0
2.041880000E0,-6.500000000E1,2.087500000E1,7.937500000E0
2.061901875E0,-6.218750000E1,1.962500000E1,5.562500000E0
2.091883125E0,-5.850000000E1,1.650000000E1,3.750000000E0
2.121878437E0,-5.650000000E1,1.562500000E1,6.250000000E-2
2.151876875E0,-5.612500000E1,1.875000000E1,-9.125000000E0
2.171876875E0,-5.743750000E1,2.243750000E1,-1.712500000E1
2.191878437E0,-6.225000000E1,2.737500000E1,-2.312500000E1
2.221878437E0,-7.468750000E1,4.006250000E1,-1.831250000E1
2.241881562E0,-8.506250000E1,4.706250000E1,-5.875000000E0
2.261903437E0,-9.106250000E1,5.443750000E1,7.125000000E0
2.291878437E0,-9.100000000E1,6.218750000E1,1.537500000E1
2.321876875E0,-9.093750000E1,5.993750000E1,1.500000000E1
2.341878437E0,-9.106250000E1,5.881250000E1,1.506250000E1
2.361900312E0,-9.125000000E1,5.812500000E1,1.587500000E1
2.391876875E0,-9.156250000E1,5.731250000E1,1.675000000E1
2.411878437E0,-9.125000000E1,5.637500000E1,1.743750000E1
2.441876875E0,-9.093750000E1,5.531250000E1,1.793750000E1
2.461900312E0,-9.050000000E1,5.462500000E1,1.781250000E1
2.491878437E0,-8.925000000E1,5.362500000E1,1.800000000E1
2.511878437E0,-8.875000000E1,5.350000000E1,1.756250000E1
2.541876875E0,-8.737500000E1,5.331250000E1,1.706250000E1
2.561903437E0,-8.662500000E1,5.350000000E1,1.668750000E1
2.591876875E0,-8.512500000E1,5.412500000E1,1.612500000E1
2.611876875E0,-8.450000000E1,5.418750000E1,1.668750000E1
2.631895625E0,-8.387500000E1,5.431250000E1,1.737500000E1
2.661900312E0,-8.368750000E1,5.475000000E1,1.781250000E1
2.691878437E0,-8.356250000E1,5.493750000E1,1.837500000E1
2.721876875E0,-8.337500000E1,5.487500000E1,1.893750000E1
2.741876875E0,-8.318750000E1,5.475000000E1,1.925000000E1
2.761901875E0,-8.325000000E1,5.437500000E1,1.968750000E1
2.791876875E0,-8.306250000E1,5.381250000E1,2.031250000E1
2.811876875E0,-8.318750000E1,5.375000000E1,2.056250000E1
2.831878437E0,-8.325000000E1,5.412500000E1,2.106250000E1
2.861900312E0,-8.362500000E1,5.512500000E1,2.106250000E1
2.891876875E0,-8.337500000E1,5.587500000E1,2.125000000E1
2.911876875E0,-8.350000000E1,5.612500000E1,2.125000000E1
2.931876875E0,-8.368750000E1,5.650000000E1,2.156250000E1
2.951876875E0,-8.368750000E1,5.681250000E1,2.137500000E1
2.971876875E0,-8.412500000E1,5.706250000E1,2.112500000E1
2.991878437E0,-8.450000000E1,5.737500000E1,2.075000000E1
3.021876875E0,-8.487500000E1,5.800000000E1,1.975000000E1
3.041876875E0,-8.493750000E1,5.856250000E1,1.925000000E1
3.061901875E0,-8.531250000E1,5.900000000E1,1.850000000E1
3.091876875E0,-8.525000000E1,5.956250000E1,1.725000000E1
3.111876875E0,-8.525000000E1,6.000000000E1,1.625000000E1
3.131895625E0,-8.543750000E1,6.018750000E1,1.518750000E1
3.161900312E0,-8.506250000E1,6.062500000E1,1.425000000E1
3.191878437E0,-8.550000000E1,6.106250000E1,1.306250000E1
3.221876875E0,-8.543750000E1,6.093750000E1,1.243750000E1
3.241876875E0,-8.587500000E1,6.087500000E1,1.237500000E1
3.261901875E0,-8.625000000E1,6.056250000E1,1.287500000E1
3.291876875E0,-8.618750000E1,6.006250000E1,1.362500000E1
3.311876875E0,-8.650000000E1,5.987500000E1,1.375000000E1
3.331878437E0,-8.643750000E1,5.956250000E1,1.425000000E1
3.351878437E0,-8.656250000E1,5.937500000E1,1.431250000E1
3.381876875E0,-8.675000000E1,5.868750000E1,1.456250000E1
3.401878437E0,-8.675000000E1,5.837500000E1,1.450000000E1
3.421878437E0,-8.693750000E1,5.800000000E1,1.400000000E1
3.451876875E0,-8.656250000E1,5.750000000E1,1.368750000E1
3.471876875E0,-8.650000000E1,5.731250000E1,1.318750000E1
3.491878437E0,-8.606250000E1,5.718750000E1,1.275000000E1
3.521876875E0,-8.525000000E1,5.681250000E1,1.193750000E1
3.541876875E0,-8.512500000E1,5.675000000E1,1.125000000E1
3.561903437E0,-8.450000000E1,5.656250000E1,1.050000000E1
3.591876875E0,-8.425000000E1,5.668750000E1,9.812500000E0
3.611876875E0,-8.393750000E1,5.687500000E1,9.500000000E0
3.631895625E0,-8.350000000E1,5.700000000E1,9.375000000E0
3.661900312E0,-8.356250000E1,5.756250000E1,9.000000000E0
3.691878437E0,-8.312500000E1,5.756250000E1,8.750000000E0
3.721876875E0,-8.306250000E1,5.731250000E1,8.812500000E0
3.741876875E0,-8.312500000E1,5.718750000E1,9.125000000E0
3.761901875E0,-8.325000000E1,5.687500000E1,9.125000000E0
3.791876875E0,-8.312500000E1,5.650000000E1,9.125000000E0
3.811876875E0,-8.312500000E1,5.643750000E1,8.750000000E0
3.831878437E0,-8.287500000E1,5.593750000E1,8.687500000E0
3.851878437E0,-8.287500000E1,5.556250000E1,8.937500000E0
3.881876875E0,-8.287500000E1,5.500000000E1,9.687500000E0
3.901878437E0,-8.275000000E1,5.456250000E1,1.125000000E1
3.921878437E0,-8.231250000E1,5.418750000E1,1.231250000E1
3.951876875E0,-8.193750000E1,5.387500000E1,1.400000000E1
3.971876875E0,-8.156250000E1,5.381250000E1,1.462500000E1
3.991878437E0,-8.150000000E1,5.368750000E1,1.581250000E1
4.021876875E0,-8.125000000E1,5.368750000E1,1.806250000E1
4.041876875E0,-8.100000000E1,5.368750000E1,1.956250000E1
4.061901875E0,-8.068750000E1,5.375000000E1,2.068750000E1
4.091876875E0,-8.031250000E1,5.350000000E1,2.181250000E1
4.111876875E0,-7.987500000E1,5.356250000E1,2.212500000E1
4.131895625E0,-8.025000000E1,5.368750000E1,2.212500000E1
4.161900312E0,-8.050000000E1,5.381250000E1,2.206250000E1
4.191878437E0,-8.087500000E1,5.431250000E1,2.106250000E1
4.221876875E0,-8.087500000E1,5.468750000E1,1.993750000E1
4.241876875E0,-8.068750000E1,5.475000000E1,1.912500000E1
4.261903437E0,-8.093750000E1,5.506250000E1,1.831250000E1
4.291878437E0,-8.125000000E1,5.525000000E1,1.700000000E1
4.321876875E0,-8.150000000E1,5.568750000E1,1.606250000E1
4.341878437E0,-8.218750000E1,5.593750000E1,1.525000000E1
4.361901875E0,-8.225000000E1,5.650000000E1,1.487500000E1
4.391876875E0,-8.225000000E1,5.712500000E1,1.343750000E1
4.411880000E0,-8.212500000E1,5.762500000E1,1.287500000E1
4.441876875E0,-8.175000000E1,5.831250000E1,1.193750000E1
4.461900312E0,-8.150000000E1,5.887500000E1,1.162500000E1
4.491878437E0,-8.187500000E1,5.925000000E1,1.131250000E1
4.521876875E0,-8.200000000E1,5.956250000E1,1.037500000E1
4.541876875E0,-8.231250000E1,5.943750000E1,9.187500000E0
4.561901875E0,-8.256250000E1,5.912500000E1,8.187500000E0
4.591876875E0,-8.300000000E1,5.793750000E1,6.625000000E0
4.611876875E0,-8.337500000E1,5.706250000E1,6.500000000E0
4.631895625E0,-8.300000000E1,5.631250000E1,6.812500000E0
4.661900312E0,-8.306250000E1,5.550000000E1,6.500000000E0
4.691878437E0,-8.237500000E1,5.493750000E1,6.625000000E0
4.721876875E0,-8.243750000E1,5.425000000E1,6.562500000E0
4.741876875E0,-8.193750000E1,5.368750000E1,6.500000000E0
4.761901875E0,-8.150000000E1,5.318750000E1,6.437500000E0
4.791876875E0,-8.112500000E1,5.268750000E1,6.937500000E0
4.811876875E0,-8.075000000E1,5.237500000E1,6.687500000E0
4.831878437E0,-8.056250000E1,5.243750000E1,6.500000000E0
4.851878437E0,-8.056250000E1,5.243750000E1,6.125000000E0
4.881876875E0,-8.025000000E1,5.237500000E1,5.000000000E0
4.901878437E0,-8.012500000E1,5.231250000E1,4.500000000E0
4.921878437E0,-7.943750000E1,5.243750000E1,3.812500000E0
4.951876875E0,-7.875000000E1,5.275000000E1,2.500000000E0
4.971876875E0,-7.850000000E1,5.312500000E1,1.500000000E0
4.991878437E0,-7.793750000E1,5.331250000E1,6.875000000E-1
5.011920625E0,-7.781250000E1,5.343750000E1,-1.250000000E-1
5.041876875E0,-7.762500000E1,5.375000000E1,-1.125000000E0
5.061901875E0,-7.731250000E1,5.393750000E1,-1.625000000E0
5.091876875E0,-7.718750000E1,5.443750000E1,-2.937500000E0
5.111876875E0,-7.706250000E1,5.431250000E1,-3.375000000E0
5.131895625E0,-7.662500000E1,5.406250000E1,-3.562500000E0
5.161900312E0,-7.637500000E1,5.318750000E1,-3.875000000E0
5.191878437E0,-7.618750000E1,5.212500000E1,-3.750000000E0
5.221876875E0,-7.625000000E1,5.150000000E1,-2.625000000E0
5.241876875E0,-7.600000000E1,5.143750000E1,-1.187500000E0
5.261901875E0,-7.625000000E1,5.156250000E1,8.125000000E-1
5.291876875E0,-7.712500000E1,5.150000000E1,3.062500000E0
5.311876875E0,-7.756250000E1,5.175000000E1,3.687500000E0
5.331878437E0,-7.806250000E1,5.162500000E1,4.625000000E0
5.351878437E0,-7.843750000E1,5.187500000E1,5.250000000E0
5.381876875E0,-7.862500000E1,5.243750000E1,6.187500000E0
5.401876875E0,-7.893750000E1,5.268750000E1,6.125000000E0
5.421878437E0,-7.931250000E1,5.306250000E1,5.875000000E0
5.451876875E0,-7.950000000E1,5.350000000E1,6.000000000E0
5.471876875E0,-7.975000000E1,5.400000000E1,6.062500000E0
5.491878437E0,-7.968750000E1,5.462500000E1,6.437500000E0
5.521876875E0,-7.987500000E1,5.581250000E1,6.562500000E0
5.541876875E0,-8.012500000E1,5.618750000E1,6.625000000E0
5.561901875E0,-8.025000000E1,5.656250000E1,6.687500000E0
5.591876875E0,-8.106250000E1,5.643750000E1,7.187500000E0
5.611876875E0,-8.168750000E1,5.587500000E1,7.500000000E0
5.631895625E0,-8.181250000E1,5.568750000E1,7.625000000E0
5.661900312E0,-8.206250000E1,5.525000000E1,7.562500000E0
5.691878437E0,-8.156250000E1,5.481250000E1,7.000000000E0
5.721876875E0,-8.168750000E1,5.531250000E1,6.375000000E0
5.741876875E0,-8.137500000E1,5.543750000E1,5.750000000E0
5.761901875E0,-8.125000000E1,5.537500000E1,5.375000000E0
5.791876875E0,-8.137500000E1,5.512500000E1,4.500000000E0
5.811876875E0,-8.131250000E1,5.456250000E1,3.687500000E0
5.831878437E0,-8.143750000E1,5.406250000E1,2.750000000E0
5.851878437E0,-8.150000000E1,5.350000000E1,1.937500000E0
5.881876875E0,-8.150000000E1,5.231250000E1,1.250000000E0
5.911876875E0,-8.081250000E1,5.112500000E1,6.875000000E-1
5.931876875E0,-8.050000000E1,5.081250000E1,2.500000000E-1
5.951876875E0,-8.000000000E1,5.018750000E1,1.250000000E-1
5.971876875E0,-7.937500000E1,4.981250000E1,0.000000000E0
5.991878437E0,-7.900000000E1,4.937500000E1,-1.250000000E-1
6.021876875E0,-7.831250000E1,4.850000000E1,-5.625000000E-1
6.041876875E0,-7.800000000E1,4.812500000E1,-6.875000000E-1
6.061920625E0,-7.781250000E1,4.787500000E1,-1.062500000E0
6.091876875E0,-7.737500000E1,4.756250000E1,-2.000000000E0
6.111876875E0,-7.681250000E1,4.743750000E1,-2.500000000E0
6.131895625E0,-7.631250000E1,4.725000000E1,-3.125000000E0
6.161900312E0,-7.525000000E1,4.687500000E1,-2.937500000E0
6.191878437E0,-7.456250000E1,4.675000000E1,-2.687500000E0
6.221876875E0,-7.425000000E1,4.712500000E1,-2.750000000E0
6.241876875E0,-7.400000000E1,4.750000000E1,-2.750000000E0
6.261901875E0,-7.356250000E1,4.793750000E1,-2.750000000E0
6.291876875E0,-7.306250000E1,4.818750000E1,-3.000000000E0
6.311876875E0,-7.268750000E1,4.856250000E1,-3.062500000E0
6.331878437E0,-7.268750000E1,4.893750000E1,-3.062500000E0
6.351878437E0,-7.300000000E1,4.925000000E1,-2.937500000E0
6.381876875E0,-7.343750000E1,5.006250000E1,-2.687500000E0
6.411878437E0,-7.368750000E1,5.112500000E1,-2.062500000E0
6.441876875E0,-7.400000000E1,5.193750000E1,-1.500000000E0
6.461900312E0,-7.418750000E1,5.243750000E1,-1.000000000E0
6.491878437E0,-7.475000000E1,5.381250000E1,-8.750000000E-1
6.521876875E0,-7.512500000E1,5.493750000E1,-1.250000000E-1
6.541876875E0,-7.550000000E1,5.575000000E1,6.250000000E-2
6.561903437E0,-7.575000000E1,5.631250000E1,6.250000000E-1
6.591876875E0,-7.618750000E1,5.743750000E1,1.375000000E0
6.611876875E0,-7.650000000E1,5.837500000E1,1.812500000E0
6.631895625E0,-7.700000000E1,5.937500000E1,1.812500000E0
6.661900312E0,-7.756250000E1,6.106250000E1,1.687500000E0
6.691878437E0,-7.812500000E1,6.187500000E1,1.375000000E0
6.721876875E0,-7.918750000E1,6.231250000E1,-6.250000000E-2
6.741876875E0,-7.956250000E1,6.262500000E1,-1.250000000E0
6.761901875E0,-7.987500000E1,6.275000000E1,-1.937500000E0
6.791876875E0,-7.975000000E1,6.281250000E1,-3.125000000E0
6.811876875E0,-8.012500000E1,6.281250000E1,-3.500000000E0
6.831878437E0,-8.056250000E1,6.268750000E1,-3.687500000E0
6.851878437E0,-8.050000000E1,6.256250000E1,-4.437500000E0
6.881876875E0,-8.050000000E1,6.237500000E1,-4.937500000E0
