"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.197812500E-2,-2.229999937E-2,-4.690000042E-2,-3.525999784E-1
4.197656200E-2,-1.543999910E-1,-9.289999604E-1,4.229999781E-1
6.197812500E-2,-1.796799898E0,4.627999961E-1,3.639999926E-1
9.197812500E-2,-1.948399901E0,-3.590999842E-1,-8.129000068E-1
1.219765620E-1,-2.355399847E0,6.291999817E-1,-5.024999976E-1
1.419765620E-1,-1.344200015E0,8.238999844E-1,-2.601199865E0
1.619765620E-1,-2.981999815E-1,-5.169999599E-1,2.989699841E0
1.819765620E-1,-1.089399934E0,-4.913999736E-1,2.834599972E0
2.019765620E-1,-1.387300014E0,-8.705999851E-1,2.731699944E0
2.219765620E-1,-4.396999776E-1,-9.436999559E-1,3.454900026E0
2.419765620E-1,3.351999819E-1,-1.352899909E0,3.334800005E0
2.619765620E-1,-1.310000010E-2,-1.740999967E-1,4.561500072E0
2.819781250E-1,1.202000022E0,-3.497999907E-1,6.611999989E0
3.119765620E-1,5.801699638E0,-2.111399889E0,8.482999802E0
3.319765620E-1,5.514699936E0,-1.501299977E0,9.308400154E0
3.519765620E-1,3.872499943E0,2.171999961E-1,9.998700142E0
3.719765620E-1,3.277499914E0,5.895000100E-1,1.001539993E1
3.919765620E-1,2.016599894E0,8.359000087E-1,1.080289936E1
4.219765620E-1,-6.319999695E-1,9.914000034E-1,1.042879963E1
4.419765620E-1,-2.188400030E0,1.709100008E0,9.032400131E0
4.719765620E-1,-3.863699913E0,3.221400023E0,6.828299999E0
4.919765620E-1,-2.065399885E0,3.955000043E-1,7.660499573E0
5.119765620E-1,2.804100037E0,-5.151799679E0,8.518899918E0
5.319765620E-1,7.969999909E-1,-3.835099936E0,9.293299675E0
5.519765620E-1,-1.361999959E-1,-5.180599689E0,8.519700050E0
5.719765620E-1,-7.493000031E-1,-3.725899935E0,7.053699970E0
5.919765620E-1,-2.787999809E-1,-3.216399908E0,5.785799980E0
6.119765620E-1,9.038999677E-1,-3.398199797E0,4.171599865E0
6.419765620E-1,2.258399963E0,-4.527899742E0,8.199999928E-1
6.619765620E-1,2.625299931E0,-5.017699718E0,-2.160099983E0
6.819765620E-1,2.202299833E0,-4.887899876E0,-4.142199993E0
7.019765620E-1,2.253999949E0,-4.773099899E0,-6.227699757E0
7.219765620E-1,2.387500048E0,-4.478799820E0,-6.495499611E0
7.419765620E-1,2.630499840E0,-4.744100094E0,-5.447999954E0
7.619765620E-1,2.425899982E0,-5.224999905E0,-5.029500008E0
7.819765620E-1,2.110499859E0,-4.755899906E0,-5.919899940E0
8.019765620E-1,2.580199957E0,-5.571399689E0,-7.535799980E0
8.219765620E-1,2.192699909E0,-5.435699940E0,-8.147099495E0
8.419765620E-1,2.300699949E0,-5.895899773E0,-8.569999695E0
8.619765620E-1,2.390599966E0,-6.073099613E0,-8.180399895E0
8.819765620E-1,2.574800014E0,-6.786999702E0,-8.002200127E0
9.019765620E-1,2.369699955E0,-6.628900051E0,-7.641599655E0
9.219765620E-1,2.804199934E0,-6.619999886E0,-7.175600052E0
9.419765620E-1,3.077100039E0,-6.596499920E0,-6.476099968E0
9.619765620E-1,3.719599962E0,-7.977099895E0,-7.092399597E0
9.819765620E-1,2.540099859E0,-7.206399918E0,-7.633599758E0
1.001976562E0,1.279500008E0,-6.002999783E0,-7.242499828E0
1.021976562E0,3.046999872E-1,-4.792200089E0,-6.428999901E0
1.041976562E0,1.990000010E-1,-5.126899719E0,-5.626499653E0
1.061976562E0,1.234099984E0,-6.895099640E0,-4.801300049E0
1.081976562E0,2.730999947E0,-8.231100082E0,-4.324500084E0
1.101976562E0,2.847899914E0,-7.757699966E0,-4.231100082E0
1.121976562E0,2.442399979E0,-6.884199619E0,-3.790399790E0
1.141976562E0,1.590600014E0,-5.935400009E0,-3.070600033E0
1.171976562E0,6.929999590E-2,-3.698499918E0,-5.507999659E-1
1.191976562E0,-2.976000011E-1,-2.182699919E0,8.224999905E-1
1.211976562E0,-3.233000040E-1,-7.310000062E-1,1.234499931E0
1.231976562E0,-2.140000015E-1,5.166999698E-1,1.387699962E0
1.251976562E0,-8.399999887E-2,1.169700027E0,1.046000004E0
1.271976562E0,5.072000027E-1,1.312099934E0,7.522999644E-1
1.291976562E0,1.936299920E0,8.851000071E-1,8.799999952E-1
1.311976562E0,3.244499922E0,7.569999695E-1,1.522300005E0
1.331976562E0,3.644899845E0,9.603999853E-1,1.516199946E0
1.351976562E0,4.278100014E0,7.860999703E-1,1.476300001E0
1.371976562E0,5.166699886E0,8.021999598E-1,2.987699986E0
1.391976562E0,6.290099621E0,2.617000043E-1,4.929299831E0
1.411976562E0,7.199299812E0,-5.049999952E-1,7.071300030E0
1.431976562E0,7.441399574E0,-1.315299988E0,7.326099873E0
1.451976562E0,7.760799885E0,-1.707399964E0,7.081399918E0
1.471976562E0,7.727200031E0,-2.000099897E0,7.030200005E0
1.491976562E0,6.637199879E0,-3.559999764E-1,7.424899578E0
1.511976562E0,5.912600040E0,9.519000053E-1,7.855399609E0
1.531976562E0,6.786699772E0,-6.908000112E-1,6.989299774E0
1.551976562E0,7.863099575E0,-3.861199856E0,5.416399956E0
1.571976562E0,7.806699753E0,-7.227200031E0,4.808399677E0
1.591976562E0,4.164700031E0,-4.513199806E0,5.219799995E0
1.611976562E0,3.023799896E0,-2.886899948E0,3.966899872E0
1.631976562E0,2.381500006E0,-6.051999927E-1,2.448799849E0
1.651976562E0,2.296599865E0,1.413999915E0,2.043699980E0
1.671976562E0,2.139699936E0,2.505899906E0,3.111099958E0
1.691976562E0,1.648499966E0,3.052399874E0,4.400199890E0
1.711978125E0,6.611999869E-1,3.229099989E0,5.101500034E0
1.731978125E0,-3.005999923E-1,2.508999825E0,4.120999813E0
1.751978125E0,-1.004899979E0,8.046000004E-1,3.288599968E0
1.781978125E0,-6.642000079E-1,-1.964999914E0,2.941299915E0
1.811976562E0,1.280300021E0,-7.554499626E0,1.373899937E0
1.831976562E0,3.996799946E0,-1.437179947E1,3.373000026E-1
1.851978125E0,4.903399944E0,-2.140929985E1,-1.886099935E0
1.881976562E0,-7.251699924E0,-1.485199928E1,5.234000087E-1
1.901976562E0,-1.149380016E1,-1.070069981E1,2.818599939E0
1.921976562E0,-1.101429939E1,-9.108099937E0,5.219799995E0
1.941976562E0,-9.166500092E0,-9.272299767E0,6.470499992E0
1.961976562E0,-7.403999805E0,-1.116689968E1,6.396299839E0
1.981976562E0,-7.591099739E0,-1.317199993E1,3.603999853E0
2.001987500E0,-7.641099930E0,-1.461149979E1,-5.730000138E-1
2.031976562E0,-8.504099846E0,-1.012919998E1,-2.544800043E0
2.061975000E0,-5.333899975E0,-7.914199829E0,4.903999865E-1
2.081976562E0,-3.486399889E0,-6.875000000E0,2.441200018E0
2.111976562E0,-2.226999998E0,-5.223099709E0,1.519599915E0
2.131976562E0,-2.485699892E0,-4.577699661E0,-1.154600024E0
2.151976562E0,-4.307799816E0,-3.295199871E0,-2.685400009E0
2.171976562E0,-6.077199936E0,-1.799999952E0,-1.040599942E0
2.191976562E0,-6.499899864E0,-9.090999961E-1,1.583899975E0
2.211976562E0,-6.358399868E0,-2.487999946E-1,3.230599880E0
2.241975000E0,-5.191299915E0,-5.166000128E-1,3.649999857E0
2.261975000E0,-4.448800087E0,-2.556999922E-1,3.349799871E0
2.281976562E0,-2.383899927E0,-7.864999771E-1,2.456199884E0
2.301976562E0,-3.750999868E-1,-9.052000046E-1,2.050099850E0
2.321976562E0,1.388000011E0,-5.205999613E-1,1.987699986E0
2.351976562E0,4.172699928E0,2.093999982E-1,9.763999581E-1
2.371976562E0,5.855499744E0,-2.964999974E-1,-5.649999976E-1
2.391976562E0,7.355399609E0,-1.351799965E0,-2.080199957E0
2.421976562E0,6.805599689E0,-2.295799971E0,-3.335799932E0
2.441976562E0,4.890199661E0,-1.278199911E0,-1.369699955E0
2.471976562E0,3.446399927E0,-1.195799947E0,3.468699932E0
2.491976562E0,3.416299820E0,-2.156999826E0,7.095900059E0
2.511976562E0,3.917299986E0,-2.141900063E0,8.823499680E0
2.541976562E0,7.855299950E0,-3.029700041E0,5.992799759E0
2.571976562E0,1.068459988E1,-2.873699903E0,2.975199938E0
2.591989062E0,9.500100136E0,-1.590600014E0,1.990199924E0
2.621975000E0,5.785699844E0,9.030999541E-1,1.358999968E0
2.641976562E0,3.892799854E0,2.506899834E0,5.898000002E-1
2.671975000E0,2.530699968E0,3.791399956E0,2.259999886E-2
2.691975000E0,1.453499913E0,3.965399981E0,-2.849999964E-1
2.711976562E0,-2.877999842E-1,3.635900021E0,-1.024699926E0
2.741975000E0,-2.706499815E0,2.396399975E0,-2.917299986E0
2.761976562E0,-3.050699949E0,3.684999943E-1,-4.557699680E0
2.781976562E0,-2.980299950E0,-1.090600014E0,-5.090199947E0
2.801976562E0,-3.064599991E0,-2.405799866E0,-4.197799683E0
2.831975000E0,-4.180900097E0,-3.907899857E0,-2.195400000E0
2.851976562E0,-4.946300030E0,-4.784899712E0,-1.553200006E0
2.871976562E0,-5.711199760E0,-5.518699646E0,-1.162799954E0
2.901976562E0,-6.717499733E0,-6.392799854E0,-2.487299919E0
2.921976562E0,-7.977799892E0,-7.750599861E0,-1.844699979E0
2.941976562E0,-8.572799683E0,-8.346699715E0,-6.939999759E-2
2.971976562E0,-7.202999592E0,-5.295000076E0,4.189399719E0
2.991978125E0,-4.021100044E0,-2.655499935E0,6.380699635E0
3.021976562E0,2.124500036E0,-3.016000032E0,4.262099743E0
3.041976562E0,4.686100006E0,-4.143700123E0,1.135699987E0
3.071976562E0,4.489699841E0,-4.768399715E0,-4.367099762E0
3.101976562E0,8.758999705E-1,-2.343899965E0,-5.021599770E0
3.131975000E0,-5.482999682E-1,2.735999823E-1,-1.253999919E-1
3.151976562E0,-1.001999974E0,2.644899845E0,1.908100009E0
3.171976562E0,-8.353999853E-1,4.350500107E0,2.593299866E0
3.191976562E0,7.209999859E-2,4.868499756E0,1.663199902E0
3.211976562E0,6.585999727E-1,5.199399948E0,2.039999887E-2
3.231976562E0,1.135699987E0,5.509299755E0,-1.433799982E0
3.251976562E0,1.758499980E0,5.542799950E0,-2.194200039E0
3.281978125E0,3.146399975E0,5.122299671E0,-2.598099947E0
3.311976562E0,4.284999847E0,4.338599682E0,-2.680500031E0
