"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.311524510E-1,4.087883949E0,9.185461998E0
2.202880300E-2,1.275592297E-1,4.226821899E0,9.286072731E0
4.242880300E-2,-2.575139515E-2,4.226821899E0,9.310027122E0
6.282880300E-2,-1.551072299E-1,4.159748554E0,9.262117386E0
8.322880300E-2,3.174009174E-2,4.140584469E0,9.310027122E0
1.036288030E-1,3.766889870E-1,4.135793686E0,9.262117386E0
1.240288030E-1,4.150166512E-1,4.164539337E0,9.405846596E0
1.444288030E-1,4.389714301E-1,4.159748554E0,9.487293243E0
1.647827610E-1,2.617060244E-1,4.245985508E0,9.099225044E0
1.848796360E-1,1.083954051E-1,4.269940376E0,8.715949059E0
2.049765110E-1,1.658868939E-1,4.250776768E0,8.610548019E0
2.250733860E-1,9.881348908E-2,4.231612682E0,8.854886055E0
2.451702610E-1,6.527678668E-2,4.092675209E0,9.137553215E0
2.652671360E-1,-6.887000799E-2,4.083093166E0,9.027360916E0
2.853640110E-1,-6.407905370E-2,4.135793686E0,8.749485016E0
3.054608860E-1,-5.928809568E-2,4.231612682E0,8.744694710E0
3.255580210E-1,-6.887000799E-2,4.222031116E0,8.806977272E0
3.456554170E-1,1.467230618E-1,4.164539337E0,8.874050140E0
3.657528130E-1,2.090055048E-1,4.174121380E0,8.989033699E0
3.858502090E-1,1.850507110E-1,4.226821899E0,9.056106567E0
4.059471880E-1,2.760789096E-1,4.202867031E0,9.080060959E0
4.260440630E-1,2.952427268E-1,4.245985508E0,8.917168617E0
4.461409380E-1,2.569150627E-1,4.274731636E0,8.835722923E0
4.662378130E-1,3.048246503E-1,4.308268070E0,8.840513229E0
4.863346880E-1,4.389714301E-1,4.499906540E0,8.821350098E0
5.064315630E-1,5.491634607E-1,4.523861408E0,8.792604446E0
5.265284380E-1,5.922820568E-1,4.523861408E0,8.888422966E0
5.466257820E-1,5.108358264E-1,4.423251152E0,8.830931664E0
5.667231780E-1,3.671070933E-1,4.341804981E0,8.706366539E0
5.868205730E-1,7.551746368E-1,4.274731636E0,8.303926468E0
6.069179690E-1,8.270389438E-1,4.341804981E0,8.021260262E0
6.270148960E-1,6.976830959E-1,4.236403942E0,7.681101799E0
6.471117710E-1,8.174570799E-1,3.934573412E0,7.906276703E0
6.672086460E-1,1.061795831E0,3.637534142E0,7.705056667E0
6.873055210E-1,1.545682549E0,3.388404369E0,8.011677742E0
7.074023960E-1,2.681139469E0,3.321331024E0,7.834412575E0
7.274992710E-1,3.749522686E0,1.922371507E0,5.764719009E0
7.475966670E-1,2.470337152E0,2.238574743E0,6.104876995E0
7.676940630E-1,1.584010243E0,1.721151352E0,7.154096603E0
7.877914590E-1,1.373208046E0,8.300333023E-1,8.169779778E0
8.078888550E-1,1.952913880E0,-3.054235280E-1,9.530411720E0
8.279859380E-1,3.035670280E0,-1.268405914E0,1.236186695E1
8.480828130E-1,3.720777035E0,-1.412134647E0,1.575865555E1
8.681796880E-1,1.526518703E0,5.138301253E-1,1.708575058E1
8.882765630E-1,2.010405302E0,-1.856495887E-1,1.449863434E1
9.083734380E-1,2.987760544E0,-1.963094711E0,1.265411568E1
9.284704170E-1,4.492121220E0,-2.724856853E0,1.076168728E1
9.485678130E-1,4.813115120E0,-4.181307793E0,9.506456375E0
9.686652090E-1,7.050492287E0,-5.589848995E0,9.458546638E0
9.887626050E-1,4.449002743E0,-3.673466444E0,8.835722923E0
