"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.547041656E-3,-1.706948727E-1,-8.475798368E-2,-6.467878073E-2
2.549204166E-2,-1.814332306E-1,-7.129131258E-2,-8.893330395E-2
4.543704167E-2,-1.718823910E-1,-1.407629717E-2,-1.112169698E-1
6.538304168E-2,-1.454852223E-1,-1.932299882E-2,-1.120533869E-1
8.532804169E-2,-1.038788408E-1,-4.028632864E-2,-8.982699364E-2
1.052730417E-1,-5.713681504E-2,-5.576078221E-2,-6.032728404E-2
1.252190417E-1,-3.550401330E-2,-7.379248738E-2,-4.614986107E-2
1.451640417E-1,-4.105203971E-2,-9.014890343E-2,-4.083937034E-2
1.651090417E-1,-4.783985019E-2,-9.059917182E-2,-4.399634525E-2
1.850550417E-1,-4.250774160E-2,-7.559333742E-2,-6.419553608E-2
2.050000417E-1,-3.310864046E-2,-6.091308594E-2,-8.175860345E-2
2.249450417E-1,-2.893076465E-2,-3.479258716E-2,-8.974001557E-2
2.448910417E-1,-3.450570256E-2,-1.974670775E-2,-8.742474020E-2
2.648360417E-1,-5.597854033E-2,-1.219012588E-2,-7.320047915E-2
2.847810417E-1,-8.598916978E-2,-5.995347630E-3,-5.870915577E-2
3.047270417E-1,-1.123077497E-1,-1.984257251E-2,-4.292233288E-2
3.246720417E-1,-1.284203529E-1,-3.075133823E-2,-1.696217060E-2
3.446170416E-1,-1.429604441E-1,-3.574310616E-2,1.935005188E-2
3.645630417E-1,-1.603195965E-1,-1.934650540E-2,3.418051824E-2
3.845080417E-1,-1.724756211E-1,2.047403902E-2,1.343826111E-2
4.044532500E-1,-1.949391663E-1,7.254505903E-2,-3.976907115E-3
4.243992500E-1,-2.137381583E-1,9.517206997E-2,4.071886651E-4
4.443442500E-1,-2.140001208E-1,7.330570370E-2,2.033660561E-2
4.642892500E-1,-2.053595483E-1,4.776564613E-2,3.662509099E-2
4.842352500E-1,-1.562475562E-1,4.375081509E-2,3.124405444E-2
5.041802500E-1,-7.954495400E-2,6.853093952E-2,2.291225083E-2
5.241252500E-1,-2.509961464E-2,6.196973473E-2,1.406345330E-2
5.440712500E-1,-1.365677919E-3,5.690684915E-2,1.917124912E-2
5.640162500E-1,-1.462598331E-3,5.009877682E-2,3.588924184E-2
5.839612500E-1,-2.268681303E-2,4.706931487E-2,5.487399548E-2
6.039072500E-1,-4.677220806E-2,4.071550444E-2,6.926312298E-2
6.238522500E-1,-7.557401061E-2,4.136701673E-2,6.768462062E-2
6.437972500E-1,-8.703717589E-2,4.443642870E-2,6.634383649E-2
6.637432500E-1,-9.254459292E-2,1.153200865E-2,7.135990262E-2
6.836882500E-1,-1.131544113E-1,-8.729441091E-3,7.823979110E-2
7.036332500E-1,-1.315941960E-1,1.631581783E-2,9.956596792E-2
7.235792500E-1,-1.463865638E-1,3.316638991E-2,1.198287010E-1
7.435242500E-1,-1.524999440E-1,4.019372910E-2,1.289384216E-1
7.634692500E-1,-1.352030784E-1,2.731639892E-2,1.265016794E-1
7.834152500E-1,-1.102000698E-1,2.399925701E-2,1.211091429E-1
8.033602500E-1,-9.815461189E-2,2.106494829E-2,1.205778420E-1
8.233052500E-1,-8.310006559E-2,2.194595151E-2,1.171727553E-1
8.432512500E-1,-8.927715570E-2,2.924069762E-2,1.090263203E-1
8.631962500E-1,-1.056354716E-1,5.212809145E-2,1.050007790E-1
