"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.372068405E-3,3.212006084E1,1.189479951E2,1.994567013E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1
9.665966034E-3,3.211999029E1,1.189478286E2,1.994505644E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
9.665966034E-3,3.211997022E1,1.189477846E2,1.994505644E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.709867001E0,3.211994354E1,1.189477000E2,1.994467735E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
7.802502036E0,3.211989553E1,1.189475850E2,1.994443226E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.538342595E1,3.211989822E1,1.189476300E2,1.994494009E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.185898101E1,3.211997947E1,1.189479337E2,1.994633007E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.790388298E1,3.211996455E1,1.189480055E2,1.994590807E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
3.436960196E1,3.212001454E1,1.189480909E2,1.994619799E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
4.082535195E1,3.212005086E1,1.189481129E2,1.994619131E1,-1.000000000E0,-1.000000000E0,4.130531488E1,4.130531488E1
4.693256605E1,3.212003076E1,1.189480908E2,1.994608307E1,-1.000000000E0,-1.000000000E0,4.575200000E1,4.575200000E1
5.338016295E1,3.212004660E1,1.189481048E2,1.994625664E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1
5.981326807E1,3.212013760E1,1.189482273E2,1.994686365E1,-1.000000000E0,-1.000000000E0,4.575200000E1,4.575200000E1
6.632863700E1,3.212022008E1,1.189483746E2,1.994742250E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1
7.283712304E1,3.212020440E1,1.189486161E2,1.994837046E1,-1.000000000E0,-1.000000000E0,5.528766406E1,5.528766406E1
7.934692800E1,3.212009158E1,1.189482719E2,1.994556546E1,-1.000000000E0,-1.000000000E0,5.985635519E1,5.985635519E1
