"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.961244345E0,3.526745081E0,8.792304039E0
2.000000000E-2,2.867592812E0,3.566259146E0,8.568954468E0
4.000156200E-2,2.782340050E0,3.510349751E0,8.573214531E0
6.000156200E-2,2.638237715E0,3.511240244E0,8.353168488E0
8.200156200E-2,2.582970142E0,3.512418270E0,8.188983917E0
1.040000000E-1,3.033587456E0,3.217462301E0,8.007436752E0
1.240000000E-1,3.262635946E0,3.302456379E0,7.910604954E0
1.440078120E-1,2.929420471E0,2.671057463E0,8.777143478E0
1.659984370E-1,2.182324409E0,4.290974140E0,8.460936546E0
1.860046870E-1,2.941554308E0,3.969212770E0,7.569957733E0
2.080000000E-1,3.846868992E0,3.408797264E0,7.469832420E0
2.280015620E-1,4.275536537E0,3.404726982E0,7.709223747E0
2.500000000E-1,3.503799200E0,2.624341726E0,7.635798454E0
2.700015620E-1,4.635978699E0,3.691159725E0,8.121180534E0
2.920062500E-1,4.219971657E0,4.143434048E0,7.522228241E0
3.140015620E-1,4.256507397E0,4.032027245E0,6.684763908E0
3.340062500E-1,4.598351479E0,3.939764023E0,6.793250084E0
3.560000000E-1,4.422377586E0,3.507361650E0,7.312542915E0
3.760000000E-1,3.656721592E0,3.219684124E0,7.565361023E0
3.960000000E-1,3.806225061E0,2.542594194E0,8.075641632E0
4.160015620E-1,3.723328352E0,2.640794754E0,8.440978050E0
4.379984370E-1,3.581131935E0,2.701981068E0,7.462075233E0
4.580000000E-1,3.466248512E0,2.877983570E0,7.090964317E0
4.780000000E-1,3.624064684E0,2.563347101E0,7.227098465E0
5.000000000E-1,3.597259283E0,2.626036882E0,6.949725628E0
5.200062500E-1,3.155059814E0,2.983768940E0,7.737484932E0
5.420218750E-1,4.111514568E0,2.139860868E0,7.418874264E0
5.640000000E-1,4.037140846E0,2.790700436E0,7.623588085E0
5.840000000E-1,4.125669003E0,2.368765593E0,8.160837173E0
6.040015620E-1,4.325029373E0,2.784753323E0,7.597491264E0
6.260000000E-1,3.869671345E0,2.731190205E0,7.019990444E0
6.460015620E-1,4.033885002E0,3.507342577E0,7.518290997E0
6.680000000E-1,4.629351616E0,3.229078770E0,7.566854954E0
6.880000000E-1,4.838941097E0,3.523355007E0,7.422044277E0
7.100000000E-1,4.659097195E0,3.807364702E0,6.982296467E0
7.300000000E-1,4.843201637E0,3.904837370E0,7.229004383E0
7.520000000E-1,5.272845745E0,3.877265930E0,8.059716225E0
7.720000000E-1,5.822487831E0,3.740413189E0,8.691938400E0
7.920000000E-1,5.289892673E0,4.248625755E0,9.177175522E0
8.120000000E-1,4.956246376E0,4.187209606E0,9.373558998E0
8.320000000E-1,5.157837868E0,4.519984245E0,1.008383083E1
8.520000000E-1,6.460063457E0,3.877974510E0,1.114123535E1
8.720046870E-1,7.482645988E0,3.723136663E0,1.152355194E1
8.940000000E-1,8.121255875E0,3.092101812E0,1.228115368E1
9.140000000E-1,8.063182831E0,2.329261303E0,1.309534454E1
9.340000000E-1,7.586564064E0,2.030177593E0,1.185380745E1
9.540015620E-1,7.351759911E0,1.893928409E0,1.141088963E1
9.760000000E-1,6.672582626E0,1.864527583E0,1.106052208E1
9.960015620E-1,5.668205261E0,1.960554242E0,1.002658081E1
1.018000000E0,4.549519539E0,2.026404381E0,8.703526497E0
1.038000000E0,4.100367069E0,2.030321360E0,7.887256622E0
1.058000000E0,4.173112392E0,1.949473858E0,7.416307449E0
1.079998437E0,4.409362793E0,1.635900497E0,7.092860699E0
1.100000000E0,4.400638103E0,1.477231979E0,6.476669788E0
1.120000000E0,4.203701019E0,1.518823981E0,5.018715858E0
1.142000000E0,3.581993818E0,1.902882695E0,3.721211672E0
1.162000000E0,2.763895035E0,1.868990421E0,2.810045719E0
1.184000000E0,2.051849842E0,1.830261827E0,2.393081188E0
1.204000000E0,1.793831587E0,1.869957685E0,2.289469719E0
1.224000000E0,1.216867328E0,2.146392107E0,1.983433247E0
1.244001562E0,1.685192347E0,8.641822934E-1,1.562791109E0
1.266000000E0,3.092724323E0,1.823366523E0,2.050403833E0
1.286000000E0,3.832724094E0,2.027725935E0,6.015000343E-1
1.308000000E0,3.982419252E0,1.432393312E0,-8.535615802E-1
1.328000000E0,4.458415031E0,1.478658915E0,1.063686252E0
1.350000000E0,5.335391998E0,1.261294127E0,1.706586957E0
