"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.212015700E1,1.189507510E2,0.000000000E0,0.000000000E0,0.000000000E0,2.500000000E1,0.000000000E0
1.120729200E-2,3.212015700E1,1.189507510E2,0.000000000E0,0.000000000E0,0.000000000E0,2.500000000E1,0.000000000E0
4.997166670E-1,3.212006053E1,1.189507343E2,2.182984560E1,1.034142375E0,1.519100800E2,3.520082474E0,3.520082474E0
8.714885420E-1,3.212005193E1,1.189505611E2,2.178605884E1,7.419899702E-1,1.542123413E2,1.562018585E1,1.562018585E1
1.869590625E0,3.212005304E1,1.189506302E2,1.348810076E1,1.069738269E0,1.541181641E2,2.102137566E1,2.102137566E1
2.878946875E0,3.212004710E1,1.189506711E2,9.606644278E0,1.093155503E0,1.562489929E2,8.847195625E0,8.847195625E0
4.002480208E0,3.212002148E1,1.189506822E2,1.601950164E1,1.305211067E0,1.399453888E2,6.595824242E0,6.595824242E0
5.004081770E0,3.212002613E1,1.189507125E2,1.544669563E1,1.415243030E0,1.431163635E2,7.236730576E0,7.236730576E0
6.016418229E0,3.212005480E1,1.189507182E2,2.084830469E1,1.276801705E0,1.520893097E2,5.410805702E0,5.410805702E0
7.011778124E0,3.212004966E1,1.189507168E2,2.073397489E1,1.148004174E0,1.520893097E2,4.699999809E0,4.699999809E0
8.019316666E0,3.212003347E1,1.189507272E2,2.046158614E1,1.151021242E0,1.471712189E2,4.699999809E0,4.699999809E0
9.028922395E0,3.212002352E1,1.189507335E2,1.383008802E1,1.367207527E0,1.557168121E2,2.957006216E0,2.957006216E0
1.001645885E1,3.212000810E1,1.189507751E2,1.426020243E1,1.340339422E0,1.517637787E2,2.899231911E0,2.899231911E0
1.102895677E1,3.211999688E1,1.189507846E2,1.491607051E1,1.373865247E0,1.595930634E2,3.162434340E0,3.162434340E0
1.201422708E1,3.211998180E1,1.189507892E2,1.485450056E1,1.419071078E0,1.657077789E2,3.158124924E0,3.158124924E0
1.301812083E1,3.211996337E1,1.189507895E2,1.534755266E1,1.456148982E0,1.713600616E2,3.495610476E0,3.495610476E0
1.402319010E1,3.211994671E1,1.189507888E2,1.552619985E1,1.465538621E0,1.656004639E2,3.716796398E0,3.716796398E0
1.502277604E1,3.211993426E1,1.189507855E2,1.594140620E1,1.471960902E0,1.635046082E2,3.987380505E0,3.987380505E0
1.601749427E1,3.211992497E1,1.189507772E2,1.641928727E1,1.247768283E0,1.674321747E2,4.944945335E0,4.944945335E0
1.702553385E1,3.211991869E1,1.189507726E2,1.678702525E1,9.469308853E-1,1.590301208E2,4.699999809E0,4.699999809E0
1.802327031E1,3.211991676E1,1.189507718E2,1.684284327E1,9.279319644E-1,1.525009155E2,4.699999809E0,4.699999809E0
1.902310156E1,3.211990861E1,1.189507812E2,1.687026018E1,1.152602434E0,1.647715454E2,4.699999809E0,4.699999809E0
2.002524791E1,3.211989947E1,1.189507839E2,1.687496276E1,1.253909230E0,1.762437439E2,4.699999809E0,4.699999809E0
2.102010677E1,3.211988986E1,1.189507869E2,1.695660247E1,1.257003784E0,1.786825409E2,4.161196232E0,4.161196232E0
2.203491979E1,3.211988117E1,1.189507904E2,1.671298085E1,1.303178549E0,1.761568909E2,3.605545044E0,3.605545044E0
2.301959583E1,3.211987149E1,1.189507940E2,1.682516979E1,1.235011578E0,1.695166168E2,2.912003756E0,2.912003756E0
2.403163229E1,3.211986164E1,1.189507956E2,1.685566660E1,1.232135296E0,1.675012665E2,2.792395353E0,2.792395353E0
2.503212708E1,3.211985358E1,1.189507989E2,1.678879861E1,1.244261980E0,1.714437408E2,2.827385902E0,2.827385902E0
2.602935781E1,3.211984442E1,1.189508034E2,1.628061881E1,1.213412285E0,1.692800140E2,2.856815577E0,2.856815577E0
2.702227343E1,3.211983502E1,1.189508064E2,1.615717621E1,1.192648411E0,1.716841278E2,2.910464048E0,2.910464048E0
2.802105468E1,3.211982535E1,1.189508076E2,1.619451592E1,1.169488192E0,1.756722565E2,2.991938591E0,2.991938591E0
2.902040000E1,3.211981724E1,1.189508111E2,1.608868616E1,1.144907355E0,1.805535736E2,3.068377256E0,3.068377256E0
3.002674322E1,3.211980796E1,1.189508151E2,1.587933528E1,1.171631932E0,1.873518219E2,3.156338930E0,3.156338930E0
3.102158281E1,3.211979910E1,1.189508180E2,1.573145966E1,1.115164876E0,1.868920898E2,3.320725679E0,3.320725679E0
3.201882395E1,3.211979018E1,1.189508222E2,1.573499480E1,8.994037509E-1,1.867097626E2,3.408256531E0,3.408256531E0
3.302958229E1,3.211977921E1,1.189508258E2,1.547302191E1,8.936620951E-1,1.876052246E2,3.441523790E0,3.441523790E0
3.402110104E1,3.211976741E1,1.189508285E2,1.538493536E1,1.095263600E0,1.961709900E2,3.528076172E0,3.528076172E0
3.502965052E1,3.211975740E1,1.189508287E2,1.542119974E1,1.172007203E0,1.984462891E2,3.562366962E0,3.562366962E0
3.602718958E1,3.211974747E1,1.189508299E2,1.527890555E1,1.184175730E0,2.098810120E2,3.633591413E0,3.633591413E0
3.701991927E1,3.211973780E1,1.189508289E2,1.504109058E1,1.122704148E0,2.157144318E2,3.777624607E0,3.777624607E0
3.803891770E1,3.211973022E1,1.189508304E2,1.518590107E1,1.091098666E0,2.268600159E2,3.985920429E0,3.985920429E0
3.902099531E1,3.211972272E1,1.189508268E2,1.524744769E1,1.143278241E0,2.350401764E2,3.941011429E0,3.941011429E0
4.003226666E1,3.211971431E1,1.189508209E2,1.532682969E1,1.133401394E0,2.439252930E2,3.923011065E0,3.923011065E0
4.101954687E1,3.211970729E1,1.189508142E2,1.595094272E1,1.115548253E0,2.554068146E2,3.812936783E0,3.812936783E0
4.202002083E1,3.211969987E1,1.189508046E2,1.663303381E1,1.080673099E0,2.579102173E2,3.712914705E0,3.712914705E0
4.302813385E1,3.211969699E1,1.189507935E2,1.754914702E1,1.102295756E0,2.619871826E2,3.516930103E0,3.516930103E0
4.403499374E1,3.211969471E1,1.189507784E2,1.817681365E1,1.169113159E0,2.636481934E2,3.582663059E0,3.582663059E0
4.502442135E1,3.211969066E1,1.189507620E2,1.859677231E1,1.201068878E0,2.658529053E2,3.576258898E0,3.576258898E0
4.602908385E1,3.211968720E1,1.189507484E2,1.906302645E1,1.211905599E0,2.655555115E2,3.736871004E0,3.736871004E0
4.703050989E1,3.211968384E1,1.189507363E2,1.929468426E1,1.183620334E0,2.628536987E2,3.789824724E0,3.789824724E0
4.802463906E1,3.211968004E1,1.189507244E2,1.953492278E1,1.148235679E0,2.647455139E2,3.883725643E0,3.883725643E0
4.903074010E1,3.211967698E1,1.189507137E2,1.958798782E1,9.184902310E-1,2.622496033E2,4.146244049E0,4.146244049E0
5.002170208E1,3.211967436E1,1.189507048E2,1.980579869E1,8.569852114E-1,2.585159912E2,4.193173885E0,4.193173885E0
5.102749218E1,3.211966963E1,1.189506937E2,1.998715438E1,1.004607320E0,2.570117188E2,4.125010490E0,4.125010490E0
5.203063697E1,3.211966668E1,1.189506830E2,2.028044040E1,1.021452785E0,2.597091370E2,4.148036957E0,4.148036957E0
5.302205937E1,3.211966387E1,1.189506738E2,2.046815604E1,1.029394388E0,2.588141479E2,4.275052547E0,4.275052547E0
5.403173176E1,3.211966078E1,1.189506662E2,2.077559622E1,1.012597084E0,2.573605042E2,4.146994591E0,4.146994591E0
5.503340416E1,3.211965830E1,1.189506578E2,2.091032059E1,1.044453263E0,2.595672607E2,4.156219482E0,4.156219482E0
5.602917187E1,3.211965435E1,1.189506496E2,2.108289124E1,1.050379157E0,2.544698486E2,4.234921455E0,4.234921455E0
5.703620989E1,3.211965019E1,1.189506411E2,2.134093131E1,8.661544323E-1,2.532097473E2,4.183458328E0,4.183458328E0
5.803413593E1,3.211964451E1,1.189506319E2,2.147418577E1,8.337618709E-1,2.488748474E2,4.041974068E0,4.041974068E0
5.902833593E1,3.211963820E1,1.189506225E2,2.156033084E1,1.001192093E0,2.469421082E2,4.010512829E0,4.010512829E0
6.002967135E1,3.211963296E1,1.189506121E2,2.176423604E1,1.091323614E0,2.444597168E2,4.028578281E0,4.028578281E0
6.102524739E1,3.211962667E1,1.189506004E2,2.183769526E1,1.135922790E0,2.419063721E2,3.964654446E0,3.964654446E0
6.203152187E1,3.211961943E1,1.189505884E2,2.191507629E1,1.158620358E0,2.390672607E2,3.939600706E0,3.939600706E0
6.301671562E1,3.211961063E1,1.189505768E2,2.215817283E1,1.131324410E0,2.335930481E2,3.888086796E0,3.888086796E0
6.403010884E1,3.211960162E1,1.189505651E2,2.219450288E1,1.163938403E0,2.319250336E2,3.823912382E0,3.823912382E0
6.502591145E1,3.211959591E1,1.189505526E2,2.226438773E1,1.080763340E0,2.434943390E2,3.937444210E0,3.937444210E0
6.602320364E1,3.211959065E1,1.189505401E2,2.243154433E1,1.090220094E0,2.449367218E2,4.015994072E0,4.015994072E0
6.701758489E1,3.211958499E1,1.189505285E2,2.261830222E1,1.163015962E0,2.441274567E2,4.233351707E0,4.233351707E0
6.802035884E1,3.211955754E1,1.189505222E2,2.554608343E1,1.223571062E0,2.353832092E2,4.400894642E0,4.400894642E0
6.902845364E1,3.211954110E1,1.189505140E2,2.619150592E1,1.178381920E0,2.432109070E2,4.551141739E0,4.551141739E0
7.002593488E1,3.211953367E1,1.189505036E2,2.633330651E1,1.209776163E0,2.466525269E2,4.508989334E0,4.508989334E0
7.103001822E1,3.211952819E1,1.189504944E2,2.636988408E1,1.208408117E0,2.484599609E2,4.591114998E0,4.591114998E0
7.202731822E1,3.211952393E1,1.189504853E2,2.636203134E1,1.178254485E0,2.478284302E2,4.438426495E0,4.438426495E0
7.302456509E1,3.211951882E1,1.189504737E2,2.634632653E1,1.224860311E0,2.471478577E2,4.435039043E0,4.435039043E0
7.403739895E1,3.211951235E1,1.189504614E2,2.638381383E1,1.249909043E0,2.494010010E2,4.475965023E0,4.475965023E0
7.503019478E1,3.211950765E1,1.189504522E2,2.646674092E1,1.185788989E0,2.510945740E2,4.559472561E0,4.559472561E0
7.602582082E1,3.211950085E1,1.189504446E2,2.660103768E1,1.106550574E0,2.518071747E2,4.644573212E0,4.644573212E0
7.703560259E1,3.211949298E1,1.189504340E2,2.655608762E1,1.165306091E0,2.526361389E2,4.739669800E0,4.739669800E0
7.803367343E1,3.211948306E1,1.189504219E2,2.633450947E1,1.211952448E0,2.594627380E2,4.725371838E0,4.725371838E0
7.902799270E1,3.211947337E1,1.189504086E2,2.617934427E1,1.202811122E0,2.526895142E2,4.645439148E0,4.645439148E0
8.002832186E1,3.211946411E1,1.189503941E2,2.621974701E1,1.231439352E0,2.477001801E2,4.694298744E0,4.694298744E0
8.103828332E1,3.211945390E1,1.189503814E2,2.620847407E1,1.212644696E0,2.403569183E2,4.471292019E0,4.471292019E0
8.203395780E1,3.211944342E1,1.189503676E2,2.636750381E1,1.194362283E0,2.464826355E2,4.646121979E0,4.646121979E0
8.303077499E1,3.211943450E1,1.189503559E2,2.635609145E1,1.199985743E0,2.554006653E2,4.685137272E0,4.685137272E0
8.403836405E1,3.211942617E1,1.189503439E2,2.640015656E1,1.205312014E0,2.685507202E2,4.759963989E0,4.759963989E0
8.503645780E1,3.211942256E1,1.189503306E2,2.664652806E1,1.166309714E0,2.823648071E2,4.720834255E0,4.720834255E0
8.603694530E1,3.211942248E1,1.189503168E2,2.693189927E1,1.198030233E0,2.889973145E2,4.699999809E0,4.699999809E0
8.704148592E1,3.211942399E1,1.189503063E2,2.713016258E1,1.162049770E0,2.809240112E2,4.699999809E0,4.699999809E0
8.803721717E1,3.211942540E1,1.189502969E2,2.742243139E1,1.075933933E0,2.644939575E2,4.699999809E0,4.699999809E0
8.902872759E1,3.211942476E1,1.189502859E2,2.738381082E1,8.826348782E-1,2.625858154E2,4.699999809E0,4.699999809E0
9.003625415E1,3.211942185E1,1.189502744E2,2.701079624E1,7.935655713E-1,2.465430603E2,4.699999809E0,4.699999809E0
9.102379113E1,3.211941709E1,1.189502616E2,2.678459665E1,1.003883719E0,2.400966034E2,4.699999809E0,4.699999809E0
9.202100520E1,3.211940981E1,1.189502504E2,2.668706212E1,1.154806972E0,2.439631195E2,4.964173794E0,4.964173794E0
9.303734113E1,3.211940294E1,1.189502378E2,2.679041731E1,1.232030869E0,2.470420837E2,4.614311695E0,4.614311695E0
9.403612915E1,3.211939620E1,1.189502257E2,2.683366323E1,1.230011106E0,2.468999329E2,4.434215069E0,4.434215069E0
9.501859061E1,3.211939029E1,1.189502115E2,2.673850118E1,1.251358509E0,2.501286011E2,4.499697685E0,4.499697685E0
9.602492603E1,3.211938411E1,1.189501962E2,2.674450686E1,1.326438308E0,2.494475403E2,4.433144569E0,4.433144569E0
9.703589634E1,3.211937714E1,1.189501809E2,2.668791536E1,1.334577918E0,2.545986023E2,4.253712654E0,4.253712654E0
9.803658749E1,3.211937164E1,1.189501657E2,2.661241970E1,1.305034399E0,2.554033508E2,4.280506611E0,4.280506611E0
9.902660311E1,3.211936714E1,1.189501515E2,2.685137925E1,1.283531666E0,2.591379395E2,4.399621010E0,4.399621010E0
1.000243542E2,3.211936130E1,1.189501379E2,2.693146691E1,1.263276935E0,2.604935303E2,4.418610573E0,4.418610573E0
1.010253234E2,3.211935387E1,1.189501242E2,2.678630176E1,1.222174525E0,2.570510559E2,4.461165428E0,4.461165428E0
1.020310823E2,3.211934818E1,1.189501091E2,2.675848007E1,1.235705256E0,2.589700928E2,4.726463795E0,4.726463795E0
1.030210838E2,3.211934388E1,1.189500953E2,2.685463790E1,1.219331026E0,2.609484863E2,4.832286358E0,4.832286358E0
1.040236713E2,3.211933806E1,1.189500831E2,2.682349000E1,1.242113709E0,2.634622803E2,4.862827301E0,4.862827301E0
1.050310042E2,3.211933096E1,1.189500711E2,2.674824228E1,1.259284258E0,2.606907349E2,4.948076725E0,4.948076725E0
1.060280005E2,3.211932449E1,1.189500588E2,2.671127086E1,1.258660555E0,2.593949585E2,4.957434177E0,4.957434177E0
1.070337599E2,3.211931816E1,1.189500458E2,2.663576955E1,1.243061781E0,2.587976379E2,4.845432281E0,4.845432281E0
1.080292193E2,3.211931355E1,1.189500337E2,2.671475164E1,1.197247744E0,2.607797852E2,4.856520176E0,4.856520176E0
1.090321224E2,3.211931055E1,1.189500204E2,2.677501135E1,1.212012887E0,2.612957153E2,4.765426636E0,4.765426636E0
1.100173849E2,3.211930735E1,1.189500061E2,2.684822640E1,1.043174505E0,2.612017212E2,4.556638718E0,4.556638718E0
1.110422385E2,3.211930399E1,1.189499931E2,2.695173628E1,9.233218431E-1,2.627093201E2,4.518162727E0,4.518162727E0
1.120254906E2,3.211930001E1,1.189499815E2,2.698027380E1,9.894793034E-1,2.648649902E2,4.350858688E0,4.350858688E0
1.130306687E2,3.211929489E1,1.189499693E2,2.646909152E1,1.021672726E0,2.649522705E2,4.312495708E0,4.312495708E0
1.140346344E2,3.211928917E1,1.189499573E2,2.627615941E1,1.042132020E0,2.702039795E2,4.475719929E0,4.475719929E0
1.150356177E2,3.211929206E1,1.189499399E2,2.576521817E1,1.099241018E0,2.844294434E2,4.627430916E0,4.627430916E0
1.160302687E2,3.211929311E1,1.189499233E2,2.534974464E1,1.078973293E0,2.886800537E2,4.908346176E0,4.908346176E0
1.170401786E2,3.211929293E1,1.189499070E2,2.496173702E1,1.103925943E0,2.950326538E2,4.699999809E0,4.699999809E0
1.180248526E2,3.211929400E1,1.189498914E2,2.487416549E1,1.114980936E0,3.022366943E2,4.909279823E0,4.909279823E0
1.190330786E2,3.211929715E1,1.189498765E2,2.467784061E1,1.118818164E0,2.955308228E2,4.641650200E0,4.641650200E0
1.200341323E2,3.211930146E1,1.189498619E2,2.452254963E1,1.160070300E0,2.968054810E2,4.744395733E0,4.744395733E0
1.210292094E2,3.211930839E1,1.189498486E2,2.435462750E1,1.140970945E0,3.053564453E2,4.439221382E0,4.439221382E0
1.220322547E2,3.211931703E1,1.189498361E2,2.418411189E1,1.190162420E0,3.154073181E2,4.395942211E0,4.395942211E0
1.230332599E2,3.211932683E1,1.189498248E2,2.391409256E1,1.205291152E0,3.195727539E2,4.401255608E0,4.401255608E0
1.240294047E2,3.211933779E1,1.189498131E2,2.376455165E1,1.187574744E0,3.209659424E2,4.256314278E0,4.256314278E0
1.250275573E2,3.211934838E1,1.189498020E2,2.369349911E1,1.243028522E0,3.210867615E2,3.957206249E0,3.957206249E0
1.260253224E2,3.211935855E1,1.189497928E2,2.361779246E1,1.257026911E0,3.185776367E2,4.048995018E0,4.048995018E0
1.270313635E2,3.211936811E1,1.189497825E2,2.345985011E1,1.251362324E0,3.236480103E2,4.187776566E0,4.187776566E0
1.280293948E2,3.211937695E1,1.189497714E2,2.340594833E1,1.247737050E0,3.390877380E2,4.292115688E0,4.292115688E0
1.290389864E2,3.211938555E1,1.189497614E2,2.358870335E1,1.211215019E0,3.453100281E2,4.524256706E0,4.524256706E0
1.300281719E2,3.211939561E1,1.189497516E2,2.374352091E1,1.216964364E0,3.462163696E2,4.602818966E0,4.602818966E0
1.310392760E2,3.211940535E1,1.189497449E2,2.414190419E1,1.160362601E0,3.477587891E2,4.577559948E0,4.577559948E0
1.320340073E2,3.211941626E1,1.189497400E2,2.429412191E1,1.130615234E0,3.479657288E2,4.352094173E0,4.352094173E0
1.330245114E2,3.211942835E1,1.189497348E2,2.434867737E1,1.182101965E0,3.517294617E2,4.267321110E0,4.267321110E0
1.340290521E2,3.211943994E1,1.189497294E2,2.428136633E1,1.122881651E0,3.562094116E2,4.198184967E0,4.198184967E0
1.350228312E2,3.211945236E1,1.189497234E2,2.405213877E1,1.135727525E0,3.533959961E2,4.086738110E0,4.086738110E0
1.360268510E2,3.211946299E1,1.189497175E2,2.399351706E1,1.087092161E0,3.575908203E2,4.111443520E0,4.111443520E0
1.370282198E2,3.211947138E1,1.189497169E2,2.400325998E1,1.088470340E0,5.346075535E0,4.194563389E0,4.194563389E0
1.380311271E2,3.211947986E1,1.189497166E2,2.406579097E1,1.173378706E0,9.502948761E0,4.226080894E0,4.226080894E0
1.390318099E2,3.211948821E1,1.189497186E2,2.426338480E1,1.204350233E0,3.918825388E0,4.502336979E0,4.502336979E0
