"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.212181361E1,1.189463472E2,2.284765045E1,5.810571313E-1,1.986811371E2,8.956865311E0,8.956865311E0
1.011064583E0,3.212179785E1,1.189463460E2,2.266208226E1,6.124457717E-1,1.785530853E2,8.533450127E0,8.533450127E0
2.045451562E0,3.212178861E1,1.189463346E2,2.236582717E1,7.616141438E-1,2.009611359E2,9.756233215E0,9.756233215E0
2.996621354E0,3.212178582E1,1.189463229E2,2.206505196E1,7.907723188E-1,2.195499420E2,8.936511040E0,8.936511040E0
3.991984375E0,3.212178916E1,1.189463152E2,2.194667717E1,7.667616606E-1,2.380343628E2,8.737365723E0,8.737365723E0
5.133820312E0,3.212179447E1,1.189463124E2,2.209551722E1,8.677008748E-1,2.940031433E2,8.734759331E0,8.734759331E0
6.007690624E0,3.212180205E1,1.189463024E2,2.238661385E1,9.367847443E-1,3.043547058E2,7.808166504E0,7.808166504E0
7.014787499E0,3.212180463E1,1.189462931E2,2.294127143E1,9.928264618E-1,2.994071655E2,5.754620552E0,5.754620552E0
8.014489061E0,3.212180191E1,1.189462807E2,2.340319605E1,1.014171481E0,2.737353210E2,4.699999809E0,4.699999809E0
8.998551040E0,3.212179932E1,1.189462688E2,2.352509533E1,1.026450276E0,2.172871246E2,4.699999809E0,4.699999809E0
9.998019269E0,3.212179858E1,1.189462654E2,2.368601699E1,1.023295641E0,2.087566833E2,4.699999809E0,4.699999809E0
1.102498489E1,3.212179785E1,1.189462710E2,2.379443032E1,9.650634527E-1,2.909990845E2,4.699999809E0,4.699999809E0
1.200083385E1,3.212179476E1,1.189462834E2,2.393015920E1,8.329814076E-1,2.941995239E2,5.373117447E0,5.373117447E0
1.302447292E1,3.212180230E1,1.189462902E2,2.394412117E1,6.728632450E-1,3.030498962E2,7.065958023E0,7.065958023E0
1.403723437E1,3.212182142E1,1.189462811E2,2.396186004E1,6.585416794E-1,3.136351929E2,7.869567871E0,7.869567871E0
1.500306198E1,3.212184258E1,1.189462688E2,2.385316744E1,7.686344981E-1,3.217382202E2,8.788363457E0,8.788363457E0
1.600803541E1,3.212185591E1,1.189462730E2,2.380158396E1,5.997518897E-1,3.557993164E2,9.440704346E0,9.440704346E0
1.701605312E1,3.212185364E1,1.189462823E2,2.370593181E1,2.477129847E-1,1.112604141E1,1.003864288E1,1.003864288E1
1.800161041E1,3.212184348E1,1.189462924E2,2.389512712E1,5.276135206E-1,1.381003418E2,9.275321960E0,9.275321960E0
1.900885885E1,3.212183289E1,1.189462954E2,2.374913822E1,8.448364735E-1,1.667326508E2,8.693623543E0,8.693623543E0
2.001973802E1,3.212182004E1,1.189462995E2,2.382371735E1,1.267683268E0,1.718861389E2,8.191256523E0,8.191256523E0
2.100835312E1,3.212180471E1,1.189462964E2,2.385720476E1,1.399606109E0,1.808962555E2,8.032501221E0,8.032501221E0
2.200275312E1,3.212178565E1,1.189462920E2,2.417472940E1,1.849749327E0,2.061207123E2,7.986905098E0,7.986905098E0
2.312313333E1,3.212177280E1,1.189462990E2,2.449656888E1,1.422610641E0,1.751410522E2,9.072918892E0,9.072918892E0
2.400266510E1,3.212176057E1,1.189462962E2,2.472717388E1,9.947516918E-1,1.824557495E2,9.673498154E0,9.673498154E0
2.500389479E1,3.212174835E1,1.189462938E2,2.483328865E1,1.212530732E0,2.003686829E2,1.014417553E1,1.014417553E1
2.601401614E1,3.212173761E1,1.189462914E2,2.489066383E1,1.149570346E0,1.994821014E2,9.680953979E0,9.680953979E0
2.700258958E1,3.212172537E1,1.189462912E2,2.487644429E1,1.134265304E0,1.998515930E2,9.763498306E0,9.763498306E0
2.802132864E1,3.212171166E1,1.189462871E2,2.483498347E1,1.334021807E0,2.010468140E2,9.758730888E0,9.758730888E0
2.900273645E1,3.212169946E1,1.189462808E2,2.484168861E1,1.315033197E0,1.987157288E2,9.597715378E0,9.597715378E0
3.000244948E1,3.212168588E1,1.189462735E2,2.476439855E1,1.424863935E0,1.967265930E2,9.833880424E0,9.833880424E0
