"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.813480000E0,3.282091618E-1,6.040933728E-1,1.048558950E0
1.833481562E0,4.191233516E-1,2.097327232E0,-8.754047751E-1
1.853481562E0,6.944839358E-1,1.396403074E0,-3.777712822E0
1.875480000E0,2.113419175E-1,1.067233920E0,-1.812332392E0
1.895481562E0,7.029837370E-1,7.290240377E-2,7.630579174E-2
1.917480000E0,5.907067060E-1,-4.391597509E-1,1.206319213E0
1.937480000E0,5.397256017E-1,2.734756470E-1,3.496243656E-1
1.957480000E0,7.181680799E-1,5.021661520E-1,-8.687376380E-1
1.977480000E0,5.631130338E-1,3.362900317E-1,-4.479736686E-1
1.997480000E0,4.216890037E-1,1.559102684E-1,8.031481504E-1
2.017480000E0,1.749727488E0,1.061875820E0,1.121321678E0
2.037480000E0,2.027112722E0,4.796688259E-1,8.490154147E-1
2.057480000E0,1.128058672E0,-2.632829249E-1,1.762485862E0
2.077480000E0,7.952069044E-1,-3.969925940E-1,2.006482840E0
2.097480000E0,1.796292812E-1,-1.511978656E-1,1.622353315E0
2.117480000E0,-4.600862563E-1,5.020264983E-1,-7.615045905E-1
2.137481562E0,1.907470375E-1,-1.179912329E0,-9.631250501E-1
2.159480000E0,5.837777257E-1,-1.435236573E0,2.429498285E-1
2.179480000E0,4.129099846E-1,-1.603608489E0,7.174001336E-1
2.199481562E0,5.071577430E-1,-9.435773492E-1,2.477843910E-1
2.221481562E0,1.249393940E0,-2.465452105E-1,3.635520935E-1
2.243480000E0,1.874117136E0,-1.360466719E0,1.658743501E0
2.263481562E0,1.890837312E0,-5.351353884E-1,4.336445034E-1
2.283481562E0,1.599123001E0,5.739689469E-1,5.914746523E-1
2.303481562E0,1.669948459E0,9.337162375E-1,5.461658835E-1
2.323481562E0,1.188185215E0,1.088788748E0,-7.529350370E-2
2.343481562E0,6.429269314E-1,7.823961973E-1,-3.416132927E-1
2.363481562E0,3.699225485E-1,2.257408798E-1,-1.923527420E-1
2.383481562E0,3.986681104E-1,-1.098161191E-1,1.282817032E-2
2.403481562E0,5.085365772E-1,4.424409568E-2,8.941321820E-2
2.423481562E0,6.710616350E-1,3.959279358E-1,-1.132718697E-1
2.443481562E0,8.791223168E-1,5.706179142E-1,-2.795842886E-1
2.463481562E0,9.428617358E-1,7.811395526E-1,-4.729493260E-1
2.483481562E0,1.158444881E0,1.007054925E0,-6.669775844E-1
2.503481562E0,1.075105309E0,9.738239050E-1,-6.335021853E-1
2.523481562E0,1.057494998E0,9.828298092E-1,-5.957157612E-1
2.543481562E0,9.425476193E-1,5.959252119E-1,-5.006302595E-1
2.563486250E0,1.169265866E0,6.212673783E-1,-3.782477677E-1
2.585480000E0,1.487090349E0,9.716771245E-1,-4.511501491E-1
2.605480000E0,1.728888273E0,1.251593113E0,-5.270196199E-1
2.625480000E0,2.116019726E0,1.057599664E0,-6.047391295E-1
2.645481562E0,2.072124720E0,6.216164827E-1,-6.083694100E-1
2.667481562E0,1.372841120E0,4.616744816E-1,-1.282118857E-1
2.689480000E0,5.867273211E-1,4.990769029E-1,7.410493493E-1
2.709480000E0,4.282514453E-1,5.105960965E-1,1.050042391E0
2.729480000E0,3.428001106E-1,3.474775851E-1,9.433330297E-1
2.749480000E0,7.929030806E-2,1.671850830E-1,5.896071196E-1
