"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.830000000E0,2.854339981E1,6.916800022E0,3.008299828E0
1.850000000E0,8.765099525E0,2.009099960E0,-7.134500027E0
1.870000000E0,-6.561999917E-1,-7.229199886E0,-1.059899926E0
1.890000000E0,-1.835399985E0,-5.721699715E0,-2.541599989E0
1.910000000E0,-2.657500029E0,-3.992899895E0,-5.877099991E0
1.930000000E0,1.862299919E0,2.395799875E0,-2.827699900E0
1.950001562E0,2.603999972E-1,4.396699905E0,-3.202899933E0
1.980000000E0,-9.783999443E0,-9.534999728E-1,-4.673899651E0
2.000000000E0,-9.977699280E0,-7.041999698E-1,-8.549000025E-1
2.020000000E0,-3.159299850E0,4.978600025E0,7.405999660E0
2.040000000E0,-3.126600027E0,4.068999767E0,-1.689999998E-1
2.060000000E0,-2.296200037E0,-1.718400002E0,1.844999939E-1
2.080000000E0,-1.214200020E0,-3.300699949E0,-1.846099973E0
2.100000000E0,9.995800018E0,-5.989999771E-1,-4.142699718E0
2.120001562E0,1.718400002E0,-1.194999963E-1,-3.351999819E-1
2.150001562E0,-2.383800030E0,-5.172599792E0,2.845899820E0
2.180000000E0,-1.123000026E0,-2.269700050E0,1.502299905E0
2.200000000E0,2.795000076E-1,-3.937799931E0,9.545999765E-1
2.220001562E0,-3.923999786E0,-1.129809952E1,4.176300049E0
2.250000000E0,4.231299877E0,2.946300030E0,2.757900000E0
2.270000000E0,-1.134400010E0,2.200500011E0,3.940799952E0
2.290001562E0,-1.153399944E0,-5.910999775E-1,3.293399811E0
2.310001562E0,2.031199932E0,4.878000021E-1,4.609999806E-2
2.340000000E0,2.418799877E0,3.858999908E-1,-1.738499999E0
2.360000000E0,2.276900053E0,3.290999830E-1,-1.556999981E-1
2.380000000E0,2.001800060E0,6.366999745E-1,1.228099942E0
2.400000000E0,2.482300043E0,1.188699961E0,2.629699945E0
2.420000000E0,2.426100016E0,1.422199965E0,2.697199821E0
2.440001562E0,2.067600012E0,1.297099948E0,2.265899897E0
2.460001562E0,1.964899898E0,1.427500010E0,2.265199900E0
2.480001562E0,1.811899900E0,7.992999554E-1,1.968899965E0
2.510001562E0,1.264400005E0,-2.782000005E-1,1.823899984E0
2.540000000E0,1.560000032E-1,4.957000017E-1,-1.193799973E0
2.560000000E0,-1.154600024E0,-2.740000002E-2,2.853099823E0
2.580000000E0,-1.797699928E0,6.943999529E-1,1.704699993E0
2.600000000E0,-1.684399962E0,4.148999751E-1,2.048199892E0
2.620000000E0,-1.795099974E0,2.298999876E-1,1.207799911E0
2.640000000E0,-3.638599873E0,-9.692999721E-1,-1.251399994E0
2.660000000E0,-6.509699821E0,-2.674499989E0,-3.016499996E0
2.680000000E0,-6.668399811E0,-2.578699827E0,-2.679399967E0
2.700000000E0,-2.057899952E0,1.107999980E-1,-2.275999933E-1
2.720001562E0,2.265300035E0,1.720699906E0,5.340999961E-1
2.750000000E0,5.166899681E0,7.850999832E-1,-1.911599994E0
2.770000000E0,3.238899946E0,-1.069700003E0,-3.934299946E0
2.790001562E0,2.077600002E0,-1.535899997E0,-3.044600010E0
2.820000000E0,1.655499935E0,1.027500033E0,3.985999823E-1
2.840000000E0,8.296999931E-1,1.801599979E0,2.454299927E0
2.860000000E0,4.175999761E-1,9.732999802E-1,7.999999821E-2
2.880001562E0,-1.075500011E0,-7.709999681E-1,5.388000011E-1
2.910000000E0,-4.429999739E-2,-5.870000124E-1,1.846699953E0
2.930000000E0,-1.266499996E0,-3.827899933E0,3.877099991E0
2.950000000E0,2.487699986E0,-2.239500046E0,-5.092999935E-1
2.970000000E0,1.389799953E0,1.922599912E0,-5.659999698E-2
2.990000000E0,5.515799999E0,8.017299652E0,2.558099985E0
3.010001562E0,2.472999990E-1,2.194700003E0,2.632999897E0
3.040000000E0,-2.934799910E0,-3.101799965E0,-4.559099674E0
3.060000000E0,-5.439000130E-1,-1.002399921E0,-5.177700043E0
3.080001562E0,2.848199844E0,3.171099901E0,-2.790899992E0
3.110000000E0,-3.865799904E0,3.310499907E0,1.657999903E-1
3.130000000E0,-6.174900055E0,4.157799721E0,-6.956999898E-1
3.150001562E0,-5.671499729E0,2.123299837E0,8.510999680E-1
3.180000000E0,-4.144999981E-1,-1.974999905E-1,4.449800014E0
3.200000000E0,-3.772799969E0,4.608999789E-1,4.750999928E0
3.220001562E0,-4.634999752E0,-3.034999967E-1,3.218199968E0
3.250000000E0,1.060400009E0,-1.013000011E-1,1.398399949E0
3.270000000E0,5.282499790E0,-5.900899887E0,-8.954500198E0
3.290001562E0,2.071500063E0,-1.012720013E1,-6.320399761E0
3.310001562E0,3.553999901E0,-2.887699842E0,-1.470999956E0
3.340000000E0,1.768199921E0,3.702099800E0,6.595499992E0
3.360000000E0,2.550799847E0,1.552899957E0,5.152100086E0
3.380000000E0,-3.687799931E0,-3.888599873E0,2.177999973E0
3.400000000E0,-1.642699957E0,-5.116199970E0,-2.146899939E0
3.420000000E0,5.388599873E0,-2.854599953E0,-2.600499868E0
3.440001562E0,5.095900059E0,-1.976399899E0,-1.407400012E0
3.470000000E0,6.714200020E0,-8.036999702E-1,2.071999907E-1
3.490000000E0,6.744299889E0,-3.838000000E-1,1.832199931E0
3.510001562E0,3.956060028E1,9.403900146E0,-1.151869965E1
3.530001562E0,8.172999620E-1,-1.291739941E1,-2.146800041E0
3.560000000E0,-1.692919922E1,-2.866899967E0,1.410499930E0
3.580001562E0,-4.921999931E0,6.166100025E0,1.002579975E1
3.610000000E0,-3.611199856E0,5.878999829E-1,-6.524199963E0
3.630000000E0,-3.700599909E0,-3.820400000E0,-1.057459927E1
3.650001562E0,-5.058999658E-1,-1.077600002E0,-8.596099854E0
3.680000000E0,-1.879399896E0,-2.898499966E0,2.794579887E1
3.700000000E0,-3.373199940E0,-3.346999884E0,1.932359886E1
3.720001562E0,-4.661999941E-1,1.200099945E0,1.383000016E0
3.740006250E0,1.793999970E-1,3.526999950E-1,-2.323499918E0
3.770000000E0,2.875799894E0,-1.383299947E0,-2.023699999E0
3.790001562E0,3.130699873E0,-8.614999652E-1,-3.379099846E0
3.810001562E0,3.726300001E0,-6.491000056E-1,-2.184499979E0
3.830001562E0,-1.401600003E0,-9.158499718E0,-6.181399822E0
3.850001562E0,2.538699865E0,-6.235799789E0,-6.367699623E0
3.870001562E0,3.092000008E0,2.984400034E0,-6.415499687E0
3.890001562E0,2.560999990E-1,1.984099984E0,-4.100299835E0
3.910001562E0,1.105499983E0,2.807399988E0,-4.835999906E-1
3.930001562E0,2.490900040E0,2.677099943E0,-1.363999993E-1
3.950007812E0,2.834399939E0,3.000799894E0,-1.481000036E-1
3.980001562E0,2.635999918E0,3.999999762E-1,4.811999798E-1
4.000007812E0,7.621999979E-1,-1.453000009E-1,-9.118999839E-1
4.030000000E0,-2.537699938E0,-3.894999921E-1,-8.244999647E-1
4.050006250E0,-2.941499949E0,-2.002999932E-1,6.768999696E-1
4.080001562E0,-1.992799997E0,1.301100016E0,2.357599974E0
4.100009375E0,-9.991999865E-1,4.240999818E-1,2.657599926E0
4.130001562E0,-9.102999568E-1,2.457999885E-1,2.716099977E0
4.150007812E0,-1.851199985E0,2.988999784E-1,2.318099976E0
4.180001562E0,-5.587999821E-1,5.232999921E-1,1.277499914E0
4.200009375E0,-8.402999640E-1,-3.019999899E-2,2.360199928E0
4.230001562E0,-1.211999953E-1,1.681499958E0,3.312299967E0
4.250006250E0,-2.205299854E0,2.861199856E0,1.319000006E0
4.280001562E0,-2.782999992E0,2.824299812E0,5.330599785E0
4.300012500E0,4.911799908E0,-1.034999937E-1,1.818549919E1
